Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,55.315434,55.750080,54.888809,69.150002,55.661552,27809100
2010-01-05,55.693748,55.903023,55.379807,69.419998,55.878880,30174700
2010-01-06,55.903023,56.828709,55.814480,70.019997,56.361847,35044700
2010-01-07,56.265236,56.394039,55.878880,69.800003,56.184761,27192100
2010-01-08,56.096218,56.144520,55.717899,69.519997,55.959385,24891800
2010-01-11,56.297451,56.764313,56.064014,70.300003,56.587219,30685000
2010-01-12,56.120373,56.337692,55.959385,69.949997,56.305489,31496700
2010-01-13,56.313545,56.377934,55.750080,69.669998,56.080109,24884400
2010-01-14,55.975468,56.136459,55.822525,69.680000,56.088146,18630800
2010-01-15,56.064014,56.096218,55.259071,69.110001,55.629333,29411900
2010-01-19,55.331516,55.822525,55.073936,69.269997,55.758137,26081900
2010-01-20,55.186626,55.267128,54.679527,68.029999,54.760014,34629500
2010-01-21,54.832462,54.856602,53.528458,66.699997,53.689442,39114000
2010-01-22,53.544548,54.043625,53.125977,66.099998,53.206463,39085500
2010-01-25,53.568707,53.737740,52.876457,65.849998,53.005245,29305100
2010-01-26,52.836201,53.721634,52.723518,65.919998,53.061592,34083300
2010-01-27,52.852314,53.174271,52.321045,65.540001,52.755718,35723500
2010-01-28,53.005245,53.005245,51.974918,64.959999,52.288849,37349800
2010-01-29,52.441795,52.981106,51.532207,64.430000,51.862225,40880500
2010-02-01,52.940853,53.456013,52.602779,66.180000,53.270882,37703000
2010-02-02,53.713589,54.027512,53.504303,66.959999,53.898727,34057900
2010-02-03,53.834328,54.116055,53.576748,66.599998,53.608948,24024700
2010-02-04,53.343319,53.407711,52.063469,64.720001,52.095665,33858200
2010-02-05,52.079567,52.240559,51.161926,64.800003,52.160061,42297500
2010-02-08,52.589462,53.059368,52.127647,64.349998,52.135757,30519400
2010-02-09,52.751495,53.237617,52.305885,65.199997,52.824409,36243300
2010-02-10,52.727192,52.840611,51.981812,64.849998,52.540848,21699100
2010-02-11,52.411232,53.051262,52.184372,65.239998,52.856827,23555200
2010-02-12,52.354511,52.775795,52.079041,64.800003,52.500328,30636200
2010-02-16,53.018856,53.780445,52.727192,66.279999,53.699413,30514900
2010-02-17,53.748032,53.837139,53.124187,65.760002,53.278122,21821800
2010-02-18,53.310539,53.545479,52.945930,65.959999,53.440159,22536700
2010-02-19,53.140385,53.667015,53.010765,65.870003,53.367237,24264600
2010-02-22,53.553577,53.569798,52.864922,65.400002,52.986454,20469700
2010-02-23,52.873032,53.116085,51.973717,64.940002,52.613762,33372900
2010-02-24,52.670467,53.367237,52.476025,65.550003,53.107990,21469600
2010-02-25,52.346416,52.800114,52.151962,65.139999,52.775795,25668800
2010-02-26,52.873032,52.986454,52.597557,65.000000,52.662380,20129700
2010-03-01,52.954052,53.099873,52.735294,65.400002,52.986454,18798600
2010-03-02,53.197079,53.302429,52.783905,65.489998,53.059368,24823900
2010-03-03,53.286209,53.448265,52.970249,65.430000,53.010765,22279800
2010-03-04,52.945930,53.172798,52.727192,65.400002,52.986454,21961100
2010-03-05,53.440159,53.893867,53.294323,66.470001,53.853359,26837900
2010-03-08,54.096413,54.112617,53.658913,66.480003,53.861446,20297200
2010-03-09,53.731838,54.436691,53.650795,66.779999,54.104507,29003100
2010-03-10,54.412384,54.623035,54.104507,67.220001,54.461006,24810300
2010-03-11,54.598732,54.736469,54.266544,67.220001,54.461006,19357400
