Date,Open,High,Low,Close,Volume
2016-10-18,22.5,22.5,22.5,22.5,1000
2016-10-19,,,,22.5,0
2016-10-20,22.5,24.25,20.13,21.0,6639
2016-10-21,21.2,21.2,20.89,21.0,10963
2016-10-24,21.0,21.0,20.98,21.0,5930
2016-10-25,22.16,22.5,20.64,21.25,165157
2016-10-26,21.0,21.0,20.0,21.0,117516
2016-10-27,21.0,21.75,20.71,21.2,71878
2016-10-28,22.0,22.0,20.76,21.4,616841
2016-10-31,21.29,22.1,20.81,21.44,1937231
2016-11-01,22.1,23.55,21.78,23.0,32220953
2016-11-02,22.67,23.26,22.64,22.91,10755328
2016-11-03,22.96,24.35,22.94,24.15,8084230
2016-11-04,23.82,25.5,23.56,25.2,6878720
2016-11-07,25.54,26.41,24.89,25.08,8377025
2016-11-08,24.3,26.59,24.3,26.4,6471269
2016-11-09,26.83,29.14,26.0,28.72,10675856
2016-11-10,29.08,29.7,28.3,29.1,8189887
2016-11-11,29.18,29.99,27.63,29.3,5337239
2016-11-14,29.5,29.94,28.61,29.62,5156737
2016-11-15,28.94,30.23,28.83,30.21,3668883
2016-11-16,29.69,31.69,29.66,31.42,6152964
2016-11-17,31.3,32.02,30.77,31.85,4693213
2016-11-18,31.73,31.77,30.16,30.42,4421730
2016-11-21,30.89,30.98,29.5,30.69,2986107
2016-11-22,31.1,31.91,30.54,31.34,4182754
2016-11-23,31.0,31.93,30.0,31.51,4112265
2016-11-25,31.24,32.19,31.11,31.7,3109628
2016-11-28,31.48,31.8,30.7,30.86,5121935
2016-11-29,30.02,30.5,29.73,29.73,4928175
2016-11-30,30.06,30.44,28.85,28.97,5131689
2016-12-01,28.84,29.42,28.6,28.88,5006186
2016-12-02,28.86,29.62,28.73,29.04,3870822
2016-12-05,29.03,31.28,28.89,31.22,7034136
2016-12-06,30.71,31.19,30.21,31.15,3248595
2016-12-07,31.3,31.89,30.77,30.9,5778259
2016-12-08,31.28,31.84,30.8,31.31,3064978
2016-12-09,31.31,32.11,31.04,32.05,4344295
2016-12-12,32.16,32.35,30.85,31.24,3416412
2016-12-13,31.4,31.73,30.03,30.24,4215143
2016-12-14,30.11,31.32,30.03,30.45,3176106
2016-12-15,30.16,30.44,29.65,29.79,3753185
2016-12-16,29.65,30.42,29.16,29.4,8133025
2016-12-19,28.89,29.49,28.75,29.29,2572496
2016-12-20,29.9,30.33,29.77,30.16,3826971
