Date,Open,High,Low,Close,Volume
2010-01-04,35.23,35.41,34.46,35.1,3278940
2010-01-05,35.0,35.79,34.94,35.46,2126026
2010-01-06,35.43,36.24,35.01,36.21,4121807
2010-01-07,34.87,35.28,32.59,32.67,14296900
2010-01-08,32.3,33.58,31.53,33.58,7469186
2010-01-11,33.48,33.62,32.03,32.48,5793687
2010-01-12,32.12,32.41,31.83,32.41,3624652
2010-01-13,32.62,33.18,32.44,32.86,3673202
2010-01-14,32.7,33.15,32.57,32.97,2611553
2010-01-15,33.1,33.1,32.36,32.58,2755392
2010-01-19,32.51,32.56,32.07,32.21,2526851
2010-01-20,32.25,32.33,31.25,31.68,3403207
2010-01-21,31.55,31.9,30.61,30.68,4312383
2010-01-22,30.5,30.77,29.88,29.98,4637664
2010-01-25,30.66,30.75,30.16,30.45,3296381
2010-01-26,30.38,31.5,30.14,31.05,4252428
2010-01-27,30.77,31.24,30.36,31.18,3942840
2010-01-28,31.46,31.84,30.75,31.21,3469065
2010-01-29,31.72,32.36,31.5,31.54,4386032
2010-02-01,31.8,32.07,31.31,32.07,2788656
2010-02-02,32.29,32.72,32.01,32.62,3759108
2010-02-03,32.23,32.27,31.38,31.96,4403767
2010-02-04,34.4,34.4,33.01,33.21,9879446
2010-02-05,33.01,33.41,32.55,33.18,4754526
2010-02-08,33.2,33.2,32.37,32.44,2914938
2010-02-09,32.67,32.93,32.21,32.4,3524592
2010-02-10,32.3,32.8,31.97,32.29,2542882
2010-02-11,33.03,33.17,32.48,33.0,3626547
2010-02-12,33.06,34.09,32.69,33.85,4146575
2010-02-16,34.5,35.55,34.06,35.25,6130405
2010-02-17,35.31,35.42,34.99,35.38,2939951
2010-02-18,35.05,35.8,34.91,35.69,2492521
2010-02-19,35.51,35.89,35.42,35.55,2262494
2010-02-22,35.7,35.71,35.19,35.65,1632042
2010-02-23,35.26,35.65,35.01,35.16,2301702
2010-02-24,35.19,35.87,34.95,35.85,2196067
2010-02-25,35.29,36.15,35.24,36.06,2087956
2010-02-26,36.15,36.84,36.13,36.42,1987557
2010-03-01,35.6,37.1,35.55,36.82,2839691
2010-03-02,36.79,37.07,36.48,36.52,2721227
2010-03-03,36.57,37.0,36.11,36.24,2418452
2010-03-04,39.91,41.68,39.13,41.52,14014813
2010-03-05,41.58,42.4,41.3,42.35,7106452
2010-03-08,42.43,43.66,42.35,43.43,5693695
2010-03-09,43.2,43.59,42.96,43.09,3618904
2010-03-10,43.12,43.74,42.93,43.42,3141322
2010-03-11,43.34,43.5,42.92,43.47,2789359
2010-03-12,43.88,43.93,42.95,43.12,2537832
2010-03-15,43.11,43.54,42.89,43.44,1775575
2010-03-16,43.46,44.09,43.37,43.91,1506841
2010-03-17,44.29,44.55,44.11,44.47,2825200
2010-03-18,44.43,44.78,44.25,44.67,2024616
2010-03-19,44.74,44.98,43.87,43.91,2333370
2010-03-22,43.82,45.0,43.73,44.73,2524517
2010-03-23,44.81,44.9,44.03,44.86,2413700
2010-03-24,44.81,44.85,44.23,44.38,2232824
2010-03-25,44.8,45.74,44.49,44.86,3076623
2010-03-26,45.03,45.67,44.62,45.32,1784723
2010-03-29,45.35,45.66,44.46,44.74,1710489
2010-03-30,44.92,45.28,44.56,45.06,1997362
2010-03-31,44.8,45.98,44.66,45.64,2949073
2010-04-01,45.89,46.73,45.71,46.65,2945705
2010-04-05,46.78,48.15,46.78,48.11,3412890
2010-04-06,47.93,47.93,47.35,47.83,2624443
2010-04-07,47.88,48.25,47.19,47.54,3079966
2010-04-08,45.63,47.0,45.23,46.9,7257098
2010-04-09,47.6,50.1,47.28,49.98,7713757
2010-04-12,50.7,51.12,48.93,49.07,5053910
2010-04-13,48.9,49.38,48.63,49.07,2459667
2010-04-14,49.49,49.88,49.05,49.69,3612940
2010-04-15,49.41,50.25,49.25,49.81,2169583
2010-04-16,49.41,49.85,48.2,48.67,3408320
2010-04-19,48.44,48.89,46.53,47.09,4454795
2010-04-20,47.31,47.89,46.97,47.65,2482083
2010-04-21,47.54,48.02,46.82,47.82,2295901
2010-04-22,47.5,49.02,47.08,48.72,2284120
2010-04-23,48.6,49.17,48.29,48.68,1969345
2010-04-26,48.93,49.96,48.64,49.53,3210941
2010-04-27,49.21,49.56,47.76,47.87,3092234
2010-04-28,48.06,49.0,46.38,46.6,4749390
2010-04-29,47.08,47.26,46.25,46.4,3437209
2010-04-30,46.52,46.57,43.63,43.73,4232202
2010-05-03,44.33,45.32,43.45,44.68,2708568
2010-05-04,45.0,45.23,42.59,43.74,4090204
2010-05-05,43.03,45.71,42.81,44.23,4884995
2010-05-06,42.57,42.64,38.04,40.45,13232434
2010-05-07,40.54,40.87,38.42,39.13,6482611
2010-05-10,40.8,42.45,40.75,42.38,4475952
2010-05-11,41.78,43.18,41.63,42.33,2872619
2010-05-12,42.38,43.44,41.75,43.34,2587085
2010-05-13,43.36,43.36,40.89,41.14,3076266
2010-05-14,40.36,40.64,39.58,40.22,3135420
2010-05-17,40.4,40.84,39.02,40.78,3642090
2010-05-18,41.99,41.99,37.82,38.38,7472857
2010-05-19,37.78,38.48,36.11,37.27,7802015
2010-05-20,36.04,36.72,35.23,35.5,5497821
2010-05-21,34.91,36.7,34.58,35.97,5672533
2010-05-24,35.99,36.46,35.27,35.36,3109639
2010-05-25,33.96,35.7,33.52,35.57,4430009
2010-05-26,35.4,35.44,33.97,34.16,4947772
2010-05-27,34.98,35.62,34.22,35.6,3571962
2010-05-28,35.7,36.3,35.05,35.83,3779646
2010-06-01,35.55,35.85,34.59,34.65,2949619
