Date,Open,High,Low,Close,Volume
2010-01-04,44.33,46.52,44.2,46.52,3556501
2010-01-05,46.68,49.51,46.62,48.28,3722791
2010-01-06,48.31,50.5,48.31,50.26,4892303
2010-01-07,49.71,50.99,49.62,50.39,2698974
2010-01-08,50.2,51.44,49.96,51.14,2098025
2010-01-11,52.41,53.34,49.44,50.2,3374268
2010-01-12,49.32,51.37,49.15,51.12,4308673
2010-01-13,51.52,51.96,49.67,50.99,2785314
2010-01-14,50.7,51.46,49.55,49.98,2202718
2010-01-15,49.77,50.13,48.13,48.15,2666787
2010-01-19,47.98,49.11,47.72,48.78,2935064
2010-01-20,47.86,48.54,46.14,48.34,3400884
2010-01-21,47.82,48.32,44.8,45.11,4520042
2010-01-22,44.82,46.76,43.9,44.14,4484355
2010-01-25,45.27,45.91,44.37,45.41,2925342
2010-01-26,44.69,47.47,44.1,45.28,4069844
2010-01-27,45.11,46.48,43.02,44.85,3590947
2010-01-28,45.63,45.71,43.37,44.66,2572639
2010-01-29,44.93,45.64,40.24,40.61,6285335
2010-02-01,41.25,42.64,41.02,42.51,3445426
2010-02-02,42.79,43.11,41.5,42.7,3068027
2010-02-03,42.52,43.99,42.52,43.06,3241844
2010-02-04,42.02,42.35,39.65,39.69,3112117
2010-02-05,39.59,41.25,38.7,41.17,4139826
2010-02-08,41.44,41.97,40.32,40.4,3062821
2010-02-09,41.75,43.48,41.46,41.83,6023632
2010-02-10,42.08,42.38,39.8,41.69,4618014
2010-02-11,41.44,44.63,41.44,44.4,5444660
2010-02-12,43.28,44.18,42.31,44.06,6259319
2010-02-16,44.95,45.97,44.95,45.87,2908278
2010-02-17,45.9,46.69,45.13,46.48,3366078
2010-02-18,46.03,47.7,46.03,47.14,3168490
2010-02-19,46.63,47.63,46.62,47.1,1865469
2010-02-22,47.64,47.85,46.86,46.94,2539505
2010-02-23,46.8,47.05,44.38,44.89,2768973
2010-02-24,45.02,45.68,44.47,44.84,2535361
2010-02-25,44.05,45.97,43.06,45.72,2962724
2010-02-26,45.34,46.13,45.09,46.01,1835788
2010-03-01,46.58,48.11,46.11,48.11,2750033
2010-03-02,48.16,49.88,48.16,49.12,3542374
2010-03-03,49.96,49.96,48.31,48.54,3192787
2010-03-04,48.75,49.1,47.45,48.21,2773057
2010-03-05,48.7,50.68,48.67,50.17,3210294
2010-03-08,50.18,50.59,49.22,49.49,2453533
2010-03-09,48.97,49.33,48.4,48.64,2162763
2010-03-10,48.88,51.44,48.88,50.79,4353404
2010-03-11,50.24,51.17,49.63,50.33,2937071
2010-03-12,50.69,51.71,50.48,51.5,2559454
2010-03-15,50.77,51.02,49.24,49.62,2827140
2010-03-16,50.08,51.49,49.87,51.43,2637566
2010-03-17,51.68,53.93,51.68,52.73,4270304
2010-03-18,52.88,53.0,50.01,50.15,4515370
2010-03-19,50.17,50.74,47.31,47.49,6631333
2010-03-22,46.81,47.95,45.92,47.02,4944514
2010-03-23,47.21,48.32,46.38,48.26,3940734
2010-03-24,47.69,49.84,47.45,49.27,5093303
2010-03-25,50.55,51.02,48.13,48.25,7665686
2010-03-26,48.57,50.06,47.61,48.89,5940927
2010-03-29,49.28,51.18,49.28,50.62,4326755
2010-03-30,51.06,51.2,49.5,50.52,4006212
2010-03-31,50.26,51.11,49.4,49.89,4223268
2010-04-01,50.71,51.86,50.52,51.49,3292414
2010-04-05,51.99,53.25,51.95,53.09,2142425
2010-04-06,53.1,55.7,52.75,54.39,5786486
2010-04-07,54.19,54.85,52.54,53.47,4369481
2010-04-08,53.0,53.28,51.96,53.0,3179676
2010-04-09,53.47,54.17,51.0,52.89,2496034
2010-04-12,53.05,53.96,52.91,53.18,2385118
2010-04-13,53.0,53.35,52.0,53.0,2605899
2010-04-14,53.8,54.14,52.5,53.26,3091007
2010-04-15,52.64,53.55,52.15,52.3,2240809
2010-04-16,51.83,52.18,49.56,50.11,3561847
2010-04-19,49.6,49.94,48.31,49.85,4139380
2010-04-20,50.41,50.96,49.25,49.96,2512901
2010-04-21,50.01,51.09,49.41,50.97,3291635
2010-04-22,49.98,50.61,49.07,50.54,4096407
2010-04-23,50.66,52.76,50.31,52.71,3379757
2010-04-26,52.83,53.68,51.81,52.21,2157063
2010-04-27,51.47,51.92,49.43,49.73,2829193
2010-04-28,50.12,50.77,48.83,49.94,3516781
2010-04-29,50.17,50.49,47.3,47.78,6008905
2010-04-30,48.23,48.59,46.45,47.08,4468790
2010-05-03,47.6,47.63,45.17,46.26,5129129
2010-05-04,45.08,45.18,42.81,43.85,5360575
2010-05-05,43.0,46.17,41.06,44.0,9562115
2010-05-06,43.66,45.03,36.75,42.19,5699501
2010-05-07,42.19,43.29,39.84,40.96,7042630
2010-05-10,43.49,44.84,43.31,44.52,5001215
2010-05-11,43.48,43.98,41.85,42.07,4211984
2010-05-12,42.38,43.44,42.11,43.09,3646991
2010-05-13,43.04,44.41,42.16,43.18,3673222
2010-05-14,42.66,42.66,40.25,41.35,3871938
2010-05-17,41.33,41.4,37.36,38.17,7411293
2010-05-18,39.15,39.73,36.54,36.78,5435627
2010-05-19,36.09,36.25,34.09,35.53,6701671
2010-05-20,33.8,35.38,33.28,34.11,6263040
2010-05-21,33.23,36.32,33.14,35.83,5289661
2010-05-24,35.91,36.59,34.67,34.72,3596400
2010-05-25,33.16,35.66,33.0,35.55,4002370
2010-05-26,36.59,36.97,35.2,35.33,4022780
2010-05-27,37.0,38.43,36.51,38.4,3176989
2010-05-28,38.28,39.43,37.91,38.37,5483032
2010-06-01,37.01,37.46,34.26,34.26,4516424
2010-06-02,34.7,37.3,34.56,37.29,3598114
2010-06-03,37.7,37.81,34.71,35.81,5395627
2010-06-04,34.7,36.62,33.75,34.1,4689834
2010-06-07,34.35,34.47,32.0,32.07,4027257
2010-06-08,32.47,33.81,32.3,33.58,4464238
2010-06-09,34.22,34.7,32.46,32.66,3862868
2010-06-10,33.83,35.4,33.83,35.31,3349795
2010-06-11,34.8,36.1,34.63,36.05,2665398
2010-06-14,37.1,37.89,36.52,36.76,4168255
2010-06-15,37.3,38.65,37.04,38.53,3600801
2010-06-16,38.07,38.49,37.25,37.68,3568322
2010-06-17,38.13,38.13,36.66,37.14,3097955
2010-06-18,37.23,38.55,36.77,38.49,5015158
2010-06-21,39.94,40.92,38.63,38.98,4854961
2010-06-22,39.34,39.44,37.27,37.42,3027750
2010-06-23,37.22,38.55,36.4,38.27,3446024
2010-06-24,37.91,38.28,36.76,36.88,2474117
2010-06-25,37.28,38.42,37.0,37.55,5374912
2010-06-28,37.59,37.7,36.31,36.44,2485620
2010-06-29,35.11,35.39,33.69,33.96,4499277
2010-06-30,34.49,35.6,33.67,33.87,3428151
2010-07-01,33.87,35.16,32.46,33.98,4192497
2010-07-02,33.97,34.37,32.6,33.26,3536190
2010-07-06,34.55,35.48,33.75,34.17,4500388
2010-07-07,34.75,36.53,34.3,36.43,3540948
2010-07-08,36.8,36.95,35.72,36.6,3159567
2010-07-09,36.42,37.84,36.17,37.75,2271604
2010-07-12,37.74,38.04,36.04,36.56,2452043
2010-07-13,37.35,37.5,36.05,36.35,3326667
2010-07-14,36.25,37.24,35.86,36.48,2114500
2010-07-15,36.36,36.38,35.07,35.75,3559805
2010-07-16,35.58,35.69,33.8,33.99,3981718
2010-07-19,34.41,34.77,33.5,34.09,2605924
2010-07-20,33.51,36.6,33.24,36.33,4217988
2010-07-21,36.98,37.94,36.19,36.5,3860574
2010-07-22,37.44,39.5,36.9,39.23,3767797
2010-07-23,39.24,39.75,38.05,39.28,3774245
2010-07-26,39.17,40.0,38.63,39.59,1567384
2010-07-27,39.95,39.95,37.42,37.9,3311254
2010-07-28,37.62,38.45,37.23,37.7,2170024
2010-07-29,38.09,38.56,37.49,38.2,2198459
2010-07-30,37.5,38.55,37.4,38.33,2400587
2010-08-02,39.19,40.25,38.8,40.1,2566152
2010-08-03,39.96,40.47,39.32,39.43,2353632
2010-08-04,39.43,41.92,38.82,41.74,3799485
2010-08-05,41.42,42.97,41.06,42.78,3526761
2010-08-06,42.1,44.39,42.1,43.82,4628155
2010-08-09,44.08,44.26,41.53,42.6,4059217
2010-08-10,41.44,41.51,40.02,40.79,4853558
2010-08-11,39.43,40.06,38.93,39.35,2442498
2010-08-12,38.59,40.49,38.51,39.83,1958142
2010-08-13,39.87,40.39,39.3,39.34,1178849
2010-08-16,38.84,40.06,38.83,39.47,1326399
2010-08-17,40.34,41.46,39.75,40.79,2627908
2010-08-18,40.7,40.82,40.07,40.45,1983382
2010-08-19,39.3,41.56,39.01,40.96,2986809
2010-08-20,40.52,40.94,40.0,40.69,1952944
2010-08-23,40.78,41.21,39.57,39.69,1922555
2010-08-24,38.54,38.96,37.25,37.33,2970932
2010-08-25,36.79,37.43,35.36,36.44,2701922
2010-08-26,36.63,37.16,35.04,35.1,2983032
2010-08-27,35.72,36.33,34.53,36.19,2681272
2010-08-30,36.04,36.34,35.08,35.11,1545920
2010-08-31,35.2,37.86,35.08,37.13,3379305
2010-09-01,38.15,39.36,38.15,39.07,2791206
2010-09-02,39.11,39.42,38.31,39.42,1528981
2010-09-03,40.14,41.07,39.5,39.85,1700831
2010-09-07,39.27,39.76,38.33,39.43,1283047
2010-09-08,39.57,40.43,39.38,39.89,1565026
2010-09-09,40.73,40.73,38.68,39.56,1405781
2010-09-10,39.57,40.59,39.55,40.18,1041085
2010-09-13,41.06,41.78,40.68,41.07,1601017
2010-09-14,40.67,41.23,39.93,40.51,1395130
2010-09-15,40.06,40.49,39.24,39.45,1940504
2010-09-16,39.36,40.43,39.33,39.81,1943864
2010-09-17,39.91,40.02,39.02,39.35,1561310
2010-09-20,39.34,40.58,38.91,40.2,2019828
2010-09-21,40.31,40.46,39.54,40.32,1605175
2010-09-22,39.91,41.42,39.91,40.46,2669500
2010-09-23,40.0,41.22,39.75,40.61,1660646
2010-09-24,41.26,41.74,41.0,41.22,1593676
2010-09-27,41.5,41.71,40.95,41.1,1128050
2010-09-28,41.12,41.42,40.13,41.3,1717019
2010-09-29,41.17,42.44,41.1,41.99,1527257
2010-09-30,42.74,42.79,40.43,41.15,2389423
2010-10-01,41.64,42.84,41.15,42.5,2523236
2010-10-04,42.47,42.75,41.06,41.52,1336658
2010-10-05,42.33,43.1,41.81,42.85,1678096
2010-10-06,42.93,44.6,42.61,43.92,2145940
2010-10-07,44.37,45.0,43.0,43.49,1727387
2010-10-08,43.59,45.2,43.51,45.05,2524330
2010-10-11,45.07,46.17,45.07,45.76,1887249
2010-10-12,45.5,45.77,44.43,45.3,1891453
2010-10-13,45.9,47.31,45.64,47.14,3086664
2010-10-14,47.19,47.32,46.2,46.77,1756775
2010-10-15,47.19,47.31,46.06,46.67,2034577
2010-10-18,45.8,46.58,45.45,45.87,2216230
2010-10-19,43.94,44.76,43.4,44.09,3526499
2010-10-20,44.0,46.81,43.86,45.98,2695589
2010-10-21,46.21,46.25,44.1,44.99,2685813
2010-10-22,45.32,45.42,44.22,44.5,1191218
2010-10-25,45.27,46.2,45.27,45.79,2025903
2010-10-26,45.29,46.13,45.08,45.96,1512386
2010-10-27,45.2,45.57,44.44,45.25,2312170
2010-10-28,45.84,46.13,44.84,45.05,1545081
2010-10-29,44.73,45.26,43.79,45.17,1595195
2010-11-01,45.83,46.67,45.72,46.11,2119417
2010-11-02,46.71,46.71,45.33,45.72,2135588
2010-11-03,44.45,44.61,42.66,43.96,7159275
2010-11-04,44.73,45.91,44.55,45.71,3506983
2010-11-05,45.51,46.33,43.18,44.45,6345278
2010-11-08,45.95,48.53,45.27,48.26,8078834
2010-11-09,48.75,49.45,47.11,47.47,3543150
2010-11-10,47.25,48.51,47.11,47.99,2061181
2010-11-11,47.59,49.93,47.45,49.82,3774917
2010-11-12,49.11,49.69,48.35,48.62,4420411
2010-11-15,49.38,49.69,48.23,48.36,2171359
2010-11-16,47.9,48.0,45.75,46.6,3695189
2010-11-17,46.49,48.2,46.17,46.2,2788732
2010-11-18,47.42,48.14,46.85,46.98,2853914
2010-11-19,47.27,51.57,46.29,50.8,6441166
2010-11-22,50.3,51.6,49.67,51.54,4805254
2010-11-23,50.32,51.06,49.95,50.46,3978560
2010-11-24,50.75,51.75,50.66,50.88,1652007
2010-11-26,50.22,50.8,49.9,50.8,1145083
2010-11-29,50.35,50.94,49.5,50.03,1789223
2010-11-30,49.56,50.05,49.0,49.56,2172681
2010-12-01,50.7,51.55,50.42,50.69,2062328
2010-12-02,51.25,53.65,51.25,53.02,3459670
2010-12-03,52.24,54.45,52.1,54.24,2544631
2010-12-06,54.43,55.52,54.34,55.18,3934552
2010-12-07,55.82,56.42,54.25,54.48,2652407
2010-12-08,53.7,54.75,52.08,52.45,3329282
2010-12-09,53.12,53.67,52.32,52.93,1203305
2010-12-10,52.43,53.24,52.27,52.87,1292439
2010-12-13,53.89,54.18,52.82,52.86,1722226
2010-12-14,52.78,53.28,52.07,52.74,1609006
2010-12-15,52.54,53.16,51.43,51.69,1813239
2010-12-16,51.92,52.25,50.69,51.61,1677128
2010-12-17,51.78,52.28,51.06,51.94,1995945
2010-12-20,52.59,54.0,52.4,53.61,2018688
2010-12-21,54.01,55.32,53.59,55.1,1849063
2010-12-22,55.08,55.99,55.01,55.59,1485932
2010-12-23,55.2,56.06,55.14,55.42,862373
2010-12-27,55.5,55.66,54.66,55.43,807944
2010-12-28,55.84,56.2,55.32,55.46,917560
2010-12-29,55.74,58.29,55.65,57.91,2401104
2010-12-30,57.92,61.07,57.91,60.16,3600807
2010-12-31,60.15,60.43,59.51,60.03,1581861
2011-01-03,61.48,64.03,61.4,61.47,5463475
2011-01-04,62.37,63.46,61.06,63.1,4654391
2011-01-05,62.66,66.15,62.24,65.41,4822441
2011-01-06,65.8,65.92,64.01,64.33,4017807
2011-01-07,64.33,65.76,62.92,65.25,3445372
2011-01-10,64.58,64.95,62.95,64.63,3178865
2011-01-11,65.68,67.48,65.16,67.38,3661806
2011-01-12,68.05,68.05,64.33,66.38,4454421
2011-01-13,66.75,67.23,63.74,64.0,4296622
2011-01-14,62.15,62.65,58.89,59.04,9521631
2011-01-18,59.5,60.56,59.23,59.52,3154376
