Date,Open,High,Low,Close,Volume
2010-01-04,61.44,62.22,60.47,61.65,3006351
2010-01-05,62.29,62.94,61.36,61.75,4532959
2010-01-06,61.75,64.5,61.75,63.7,4897025
2010-01-07,64.36,65.72,63.69,63.94,8075936
2010-01-08,59.41,61.21,58.38,60.5,11249472
2010-01-11,60.35,60.47,58.8,59.97,5076489
2010-01-12,59.73,60.17,59.05,59.65,3959033
2010-01-13,59.57,60.01,58.8,59.95,2409674
2010-01-14,59.5,60.3,59.03,60.24,2017115
2010-01-15,60.48,60.48,59.67,60.37,5199217
2010-01-19,60.12,60.27,59.07,60.26,3131349
2010-01-20,59.5,59.84,58.31,59.33,2008829
2010-01-21,60.23,61.88,59.82,60.9,3936351
2010-01-22,60.1,62.16,60.05,61.19,2453161
2010-01-25,62.01,62.01,60.42,60.9,2137259
2010-01-26,60.42,62.19,60.0,61.88,3611991
2010-01-27,62.06,64.6,61.87,64.15,4620232
2010-01-28,63.58,63.58,62.3,62.45,2959773
2010-01-29,62.8,62.94,60.41,60.59,4561905
2010-02-01,60.45,60.75,59.77,60.2,3441837
2010-02-02,60.68,60.76,59.9,60.39,2567156
2010-02-03,60.18,61.32,59.99,61.08,1744687
2010-02-04,60.8,61.09,60.41,60.41,3235846
2010-02-05,61.0,61.0,59.4,59.93,3252596
2010-02-08,59.89,60.24,59.27,59.28,1853403
2010-02-09,59.47,59.95,58.7,59.45,2697213
2010-02-10,59.22,59.85,58.43,59.46,2297101
2010-02-11,59.19,59.3,57.32,58.3,3902755
2010-02-12,57.84,59.32,57.73,59.22,2286348
2010-02-16,59.36,60.21,59.31,60.16,2212982
2010-02-17,60.24,60.85,60.1,60.47,1959741
2010-02-18,60.69,61.74,60.4,61.45,2020105
2010-02-19,55.32,58.16,55.25,56.92,13382220
2010-02-22,56.92,58.1,56.92,57.9,3743121
2010-02-23,57.64,59.09,57.64,58.8,3594424
2010-02-24,59.16,60.0,58.83,59.54,2003050
2010-02-25,59.29,59.78,58.44,59.68,1895812
2010-02-26,59.77,60.23,59.32,59.88,1770463
2010-03-01,60.17,60.31,59.62,60.0,2332680
2010-03-02,59.84,60.17,59.21,59.48,1704032
2010-03-03,59.54,61.14,58.76,60.93,3286104
2010-03-04,61.23,61.5,60.95,61.17,1694202
2010-03-05,61.08,62.59,60.98,62.39,1876072
2010-03-08,62.96,62.96,62.08,62.25,1297284
2010-03-09,62.07,62.53,62.01,62.13,2220912
2010-03-10,61.96,63.54,61.85,63.36,1618825
2010-03-11,63.06,63.9,62.89,63.44,1760923
2010-03-12,63.39,63.39,62.53,63.02,1573751
2010-03-15,62.9,63.53,62.6,63.21,1490214
2010-03-16,63.6,64.8,63.22,64.65,1692027
2010-03-17,64.58,64.65,63.69,64.01,1601035
2010-03-18,64.26,65.69,63.91,64.63,1668182
2010-03-19,65.23,65.47,63.98,64.37,2002132
2010-03-22,64.47,64.83,63.95,64.47,1616369
2010-03-23,64.31,64.48,63.75,63.97,3004801
2010-03-24,63.99,64.3,62.95,63.27,1940161
2010-03-25,63.32,63.4,62.26,62.43,2136658
2010-03-26,62.23,62.67,60.8,61.28,4210234
2010-03-29,65.0,65.04,62.55,63.16,6454009
2010-03-30,63.87,63.89,61.61,62.28,2945527
2010-03-31,62.19,62.19,61.15,61.29,2533154
2010-04-05,61.51,62.64,61.45,62.56,2296695
2010-04-06,62.09,64.39,62.08,63.76,3224636
2010-04-07,64.22,65.24,63.39,64.47,3680757
2010-04-08,64.3,64.49,62.8,63.0,2744672
2010-04-09,63.05,63.21,62.31,63.14,1844493
2010-04-12,63.47,63.65,62.28,62.57,1534799
2010-04-13,63.06,65.17,62.77,64.88,4386866
2010-04-14,64.74,64.89,62.9,63.84,3566636
2010-04-15,63.58,64.21,63.41,64.02,1575048
2010-04-16,63.81,64.75,63.66,64.61,2075837
2010-04-19,64.72,65.19,63.81,65.12,2064810
2010-04-20,65.01,65.7,63.4,64.87,2179669
2010-04-21,64.75,65.93,64.75,65.74,1805910
2010-04-22,65.79,66.69,64.34,64.88,2020515
2010-04-23,64.4,64.65,62.64,63.53,1852151
2010-04-26,62.95,62.95,61.71,62.75,1920656
2010-04-27,62.42,62.99,61.8,61.91,1719882
2010-04-28,61.95,62.17,61.26,61.5,1557158
2010-04-29,61.23,61.25,57.38,57.73,5666199
2010-04-30,57.96,58.48,57.37,57.41,4429344
2010-05-03,57.87,58.36,57.08,58.32,1801108
2010-05-04,57.64,57.79,55.67,56.1,2738994
2010-05-05,55.99,57.65,55.81,56.99,1777391
2010-05-06,57.09,57.33,54.0,55.02,2110396
2010-05-07,55.21,55.6,54.0,54.41,3814369
2010-05-10,55.99,55.99,54.65,55.24,2727936
2010-05-11,54.81,55.38,53.63,54.16,3718480
2010-05-12,54.15,55.85,54.0,55.74,2026862
2010-05-13,55.44,55.74,54.54,54.61,1738037
2010-05-14,54.61,54.69,52.2,52.78,3639173
2010-05-17,52.93,58.38,52.45,57.85,8782230
2010-05-18,58.58,58.8,53.71,54.52,8716286
2010-05-19,54.42,56.68,54.1,56.18,4826348
2010-05-20,55.39,59.05,55.39,55.61,5307599
2010-05-21,55.25,56.17,54.8,55.5,3797521
2010-05-24,55.34,55.86,54.86,55.06,1629232
2010-05-25,54.43,55.08,53.38,55.06,2080541
2010-05-26,54.66,55.68,52.84,53.4,4320212
2010-05-27,52.59,53.63,52.3,53.18,4268351
2010-05-28,53.02,53.78,52.85,53.16,3003496
2010-06-01,52.95,53.18,51.36,51.4,2849907
2010-06-02,51.5,51.78,51.07,51.47,3946399
2010-06-03,51.64,53.07,51.45,52.85,3800883
2010-06-04,51.8,53.21,51.39,51.48,2641931
2010-06-07,51.38,51.89,49.75,49.76,3789435
2010-06-08,49.7,50.68,49.66,50.44,3214087
2010-06-09,50.69,50.82,49.88,50.03,1925227
2010-06-10,50.88,51.51,49.73,50.26,3192128
2010-06-11,50.0,52.31,50.0,51.1,3185953
2010-06-14,51.07,51.61,47.5,47.6,7236731
2010-06-15,47.9,48.65,47.71,48.3,4236334
2010-06-16,48.65,50.24,48.65,49.36,5223950
2010-06-17,49.44,49.7,48.27,48.58,2536027
2010-06-18,48.5,49.32,48.25,48.39,2946862
2010-06-21,49.25,49.53,47.74,48.01,2952104
2010-06-22,47.94,48.02,46.49,46.55,3614013
2010-06-23,46.6,47.06,46.0,46.33,3117302
2010-06-24,45.66,47.65,44.61,45.97,6326941
2010-06-25,46.03,46.11,43.49,43.75,5008963
2010-06-28,43.87,44.75,43.6,44.51,3685049
2010-06-29,44.04,44.23,42.88,43.13,3760348
2010-06-30,43.01,44.34,42.41,42.47,4522625
2010-07-01,41.53,44.69,41.45,43.34,8041476
2010-07-02,43.39,43.45,41.84,41.86,3070696
2010-07-06,42.25,43.17,41.9,42.27,3617470
2010-07-07,42.45,43.04,41.65,42.97,2638607
2010-07-08,43.17,44.13,43.05,44.06,2772644
2010-07-09,44.01,44.51,43.49,44.44,1860056
2010-07-12,44.26,44.63,43.73,43.87,1781264
2010-07-13,44.19,44.77,43.55,43.92,1769667
2010-07-14,44.12,44.85,43.63,44.69,1630050
2010-07-15,44.38,44.9,43.9,44.78,1923709
2010-07-16,44.8,47.05,44.4,45.57,5389103
2010-07-19,46.39,49.98,46.39,48.03,8967358
2010-07-20,47.66,48.3,47.09,48.08,2835239
2010-07-21,48.01,48.57,46.5,47.1,3410758
2010-07-22,46.95,46.95,45.73,46.32,4712879
2010-07-23,48.65,51.28,47.64,49.27,8481963
2010-07-26,49.11,49.49,47.86,48.32,2339861
2010-07-27,48.33,48.77,47.19,47.76,2253444
2010-07-28,47.91,48.29,47.54,47.81,1487522
2010-07-29,48.01,48.33,46.37,47.07,2845607
2010-07-30,46.73,47.18,45.32,46.13,3004245
2010-08-02,46.8,47.22,46.01,47.14,1892490
2010-08-03,46.01,46.29,44.56,44.81,3899049
2010-08-04,44.85,45.64,44.11,44.76,4401800
2010-08-05,44.16,44.7,42.5,42.83,6100923
2010-08-06,41.91,42.83,41.11,42.49,5762286
2010-08-09,42.6,42.8,41.98,42.57,1641928
2010-08-10,42.37,42.65,41.52,41.84,1993505
2010-08-11,41.5,42.79,41.0,41.3,3698367
2010-08-12,40.89,41.3,40.38,40.47,3011690
2010-08-13,40.45,41.13,38.39,38.94,5986899
2010-08-16,39.37,44.54,39.34,40.98,14703506
2010-08-17,41.26,41.58,39.43,40.36,6461406
2010-08-18,40.17,42.25,40.08,40.98,5657747
2010-08-19,40.68,40.79,39.75,40.59,3251739
2010-08-20,40.51,40.91,39.37,40.72,4861999
2010-08-23,41.0,41.59,40.77,41.36,3191399
2010-08-24,41.42,43.5,41.11,41.49,5952336
2010-08-25,41.2,43.2,41.0,42.94,3864244
2010-08-26,43.12,43.18,42.02,42.32,2787425
2010-08-27,42.38,43.11,41.55,42.77,1987205
2010-08-30,42.77,43.73,42.56,43.2,2406419
2010-08-31,42.85,43.01,41.73,42.49,3833193
2010-09-01,42.74,43.77,42.62,43.39,2035625
2010-09-02,43.15,44.68,43.13,44.67,2302512
2010-09-03,45.06,45.48,44.95,45.38,1686988
2010-09-07,45.19,45.51,44.92,45.17,2562787
2010-09-08,45.28,46.07,45.25,46.05,1975091
2010-09-09,45.63,47.05,45.5,46.89,2408763
2010-09-10,47.08,48.39,46.92,47.56,2330870
2010-09-13,48.8,49.33,47.28,47.88,3671862
2010-09-14,47.8,48.14,46.91,47.74,3031291
2010-09-15,47.42,49.23,46.72,48.66,4399863
