Date,Open,High,Low,Close,Volume
2010-01-04,48.27,48.55,47.89,48.39,390335
2010-01-05,48.11,48.39,47.68,48.22,611736
2010-01-06,48.22,48.6,47.93,48.24,580423
2010-01-07,47.65,48.35,47.65,48.16,525003
2010-01-08,48.14,48.3,47.9,48.2,488009
2010-01-11,48.76,48.76,47.67,48.6,569002
2010-01-12,48.16,48.34,47.65,48.15,553879
2010-01-13,48.3,48.9,48.01,48.87,378733
2010-01-14,48.42,48.97,48.0,48.34,364381
2010-01-15,48.24,48.38,47.7,48.25,401808
2010-01-19,48.17,49.05,48.0,48.91,443785
2010-01-20,48.49,49.08,48.47,48.99,594918
2010-01-21,48.88,49.76,48.81,48.9,821421
2010-01-22,48.76,49.13,48.01,48.11,700179
2010-01-25,48.46,48.78,48.24,48.48,501684
2010-01-26,48.07,48.68,48.03,48.13,410669
2010-01-27,48.0,48.0,46.69,47.55,805977
2010-01-28,47.74,47.92,46.67,46.83,641865
2010-01-29,43.37,44.68,41.82,42.26,4901738
2010-02-01,43.18,44.8,42.75,44.76,1748480
2010-02-02,44.78,45.15,44.23,44.66,948971
2010-02-03,44.41,44.78,43.91,44.25,785705
2010-02-04,43.87,44.42,43.53,43.53,873462
2010-02-05,62.65,62.82,59.98,60.96,28645412
2010-02-08,60.42,61.02,60.24,60.55,6491064
2010-02-09,60.85,61.36,60.51,61.35,3766770
2010-02-10,60.87,61.64,60.85,61.31,3759505
2010-02-11,61.4,61.74,61.01,61.71,2329528
2010-02-12,60.96,62.04,60.66,61.81,2229185
2010-02-16,61.44,62.0,61.12,61.16,2003406
2010-02-17,62.3,63.05,62.24,62.94,3686197
2010-02-18,62.83,63.37,62.74,63.13,2326349
2010-02-19,62.97,65.53,62.9,63.53,2336208
2010-02-22,63.5,63.85,62.95,63.58,1574888
2010-02-23,63.37,63.88,63.28,63.37,1383410
2010-02-24,63.3,63.85,63.17,63.35,2581040
2010-02-25,62.53,63.87,61.67,63.87,3822900
2010-02-26,64.0,64.71,63.4,64.14,2024561
2010-03-01,63.75,65.38,63.7,65.0,2510605
2010-03-02,65.4,66.06,64.72,65.53,2553717
2010-03-03,65.64,66.0,65.14,65.71,1281229
2010-03-04,65.57,66.0,65.28,65.57,995725
2010-03-05,65.84,65.87,65.25,65.63,1923137
2010-03-08,65.31,65.63,64.7,64.78,1650215
2010-03-09,64.54,64.83,63.25,64.54,1990149
2010-03-10,64.62,64.92,64.15,64.77,834515
2010-03-11,63.56,64.7,63.56,64.37,1082599
2010-03-12,64.37,64.71,64.07,64.5,1092838
2010-03-15,64.08,64.66,63.81,64.07,1346002
2010-03-16,64.69,64.69,63.88,64.28,875279
2010-03-17,64.29,64.52,64.09,64.5,1336548
2010-03-18,64.26,64.49,63.95,64.16,739972
2010-03-19,64.42,64.42,63.66,63.9,1395521
2010-03-22,63.4,64.63,63.38,64.51,882762
2010-03-23,64.44,64.5,64.06,64.27,980126
2010-03-24,64.01,64.21,63.75,63.75,1046927
2010-03-25,64.1,64.37,63.75,63.83,1295500
2010-03-26,63.91,64.38,63.76,64.09,623036
2010-03-29,64.06,64.18,63.62,63.85,934702
2010-03-30,63.7,64.05,63.64,63.98,692051
2010-03-31,63.77,64.1,63.53,63.62,1183603
2010-04-01,64.0,64.45,63.6,63.96,1279401
2010-04-05,63.56,63.99,63.25,63.92,848910
2010-04-06,63.65,63.95,63.61,63.67,470694
2010-04-07,63.64,63.86,63.55,63.76,645481
2010-04-08,63.6,64.18,63.6,63.84,524793
2010-04-09,64.03,64.16,63.65,64.06,559434
2010-04-12,64.05,64.11,63.66,64.01,408223
2010-04-13,63.96,64.18,63.92,64.08,879968
2010-04-14,64.17,64.22,63.88,64.2,566994
2010-04-15,64.0,64.46,63.96,64.4,380796
2010-04-16,64.14,64.45,63.82,64.32,932920
2010-04-19,63.7,63.97,63.63,63.77,1204963
2010-04-20,63.98,63.98,63.78,63.89,1168042
2010-04-21,63.75,63.89,63.51,63.65,504997
2010-04-22,62.45,63.87,62.1,63.45,911908
2010-04-23,63.55,63.65,63.13,63.22,730143
2010-04-26,63.29,63.78,63.0,63.05,749698
2010-04-27,63.01,63.14,62.75,62.85,959564
2010-04-28,63.23,63.85,62.96,63.56,901299
2010-04-29,63.83,63.97,63.4,63.68,336133
2010-04-30,63.85,64.09,63.29,63.45,489531
2010-05-03,63.57,64.3,63.39,64.23,678059
2010-05-04,63.66,64.0,63.34,63.8,780212
2010-05-05,63.6,64.17,63.05,63.68,1075330
2010-05-06,63.5,64.17,60.76,61.21,4143713
2010-05-07,61.76,62.02,60.52,61.69,3051147
2010-05-10,63.38,63.47,62.5,63.46,1474900
2010-05-11,62.76,63.57,62.66,63.29,551379
2010-05-12,63.05,63.75,62.8,63.73,500603
2010-05-13,63.52,63.77,62.87,63.05,747200
2010-05-14,62.8,63.03,61.74,62.09,1708970
2010-05-17,62.13,62.58,61.01,62.51,1107397
2010-05-18,62.84,63.93,62.67,62.82,1476816
2010-05-19,62.53,62.97,61.5,61.97,2328988
2010-05-20,60.65,61.43,59.26,59.79,4199434
2010-05-21,59.43,61.75,59.37,61.7,4314516
2010-05-24,61.3,62.24,61.3,62.01,1475574
2010-05-25,60.7,62.23,60.55,62.23,2467975
2010-05-26,62.6,62.67,61.61,62.23,1214789
2010-05-27,63.15,63.47,62.34,63.33,1150678
2010-05-28,63.0,63.18,62.33,62.47,566883
2010-06-01,62.05,63.0,62.0,62.0,818028
2010-06-02,62.72,62.99,62.16,62.8,968350
2010-06-03,62.72,63.0,62.47,62.98,1484158
2010-06-04,62.05,62.85,62.05,62.37,1352312
2010-06-07,62.45,62.56,61.89,61.89,689800
2010-06-08,61.88,62.48,61.68,62.34,940749
2010-06-09,62.71,62.9,61.86,62.16,732744
2010-06-10,63.1,63.1,62.65,63.0,756733
2010-06-11,62.17,63.0,62.02,63.0,747205
2010-06-14,63.08,63.49,62.63,62.75,634870
2010-06-15,63.0,63.39,62.74,63.39,660064
2010-06-16,63.04,63.52,62.85,63.4,497633
2010-06-17,63.49,63.75,63.23,63.7,403575
2010-06-18,63.7,64.47,63.21,63.76,509780
2010-06-21,63.51,64.01,62.82,63.22,524908
2010-06-22,63.0,63.65,62.75,62.75,454211
2010-06-23,63.03,63.07,62.36,62.72,526798
2010-06-24,62.52,63.12,62.25,62.27,816692
2010-06-25,62.5,63.06,62.24,62.93,1837375
2010-06-28,63.23,63.23,62.59,62.8,1202051
2010-06-29,62.12,62.7,61.98,62.07,1254464
2010-06-30,62.22,62.71,61.96,62.2,977456
2010-07-01,62.53,62.53,61.47,62.04,1160092
2010-07-02,62.14,63.01,62.09,62.57,924077
2010-07-06,62.75,63.0,62.35,63.0,656602
2010-07-07,62.85,63.54,62.8,63.5,1037990
2010-07-08,63.76,63.88,63.32,63.87,777094
2010-07-09,64.38,64.93,64.16,64.9,3715490
2010-07-12,64.97,65.03,64.58,64.85,720442
2010-07-13,64.99,65.05,64.76,64.98,1244615
2010-07-14,64.9,65.14,64.78,65.04,858208
2010-07-15,65.02,65.07,64.79,65.0,727929
2010-07-16,64.89,65.0,64.62,64.74,1717032
2010-07-19,64.84,64.9,64.41,64.84,484894
2010-07-20,64.45,65.2,64.28,65.16,794774
2010-07-21,65.38,65.51,64.55,64.73,1285278
2010-07-22,64.56,65.16,64.55,65.16,1319632
2010-07-23,65.36,65.52,64.95,65.48,754219
2010-07-26,65.6,65.71,65.21,65.57,414381
2010-07-27,65.79,65.92,65.42,65.66,801282
2010-07-28,65.34,65.93,65.34,65.5,783970
2010-07-29,65.72,65.8,65.1,65.29,1036925
2010-07-30,65.12,65.62,65.1,65.29,537365
2010-08-02,65.76,66.0,65.52,65.7,960969
2010-08-03,65.36,66.0,65.18,65.27,1743748
2010-08-04,65.37,65.77,65.13,65.62,744595
2010-08-05,65.72,65.97,65.37,65.85,472590
2010-08-06,65.57,65.99,65.47,65.98,1529983
2010-08-09,65.99,66.0,65.55,65.8,317608
2010-08-10,65.36,66.1,65.36,65.98,1141813
2010-08-11,65.53,65.91,65.38,65.38,855714
2010-08-12,65.12,65.44,64.84,65.11,1209285
2010-08-13,64.89,65.25,64.87,64.95,457403
2010-08-16,65.09,65.97,65.0,65.93,1049380
2010-08-17,65.88,66.41,65.67,66.28,712586
2010-08-18,66.16,66.64,65.98,66.6,642699
2010-08-19,66.4,66.4,65.97,66.25,684438
2010-08-20,66.04,66.36,65.96,66.25,829889
2010-08-23,66.41,66.72,66.17,66.53,527766
2010-08-24,66.25,66.5,66.1,66.45,704837
2010-08-25,66.36,66.63,65.96,66.28,764069
2010-08-26,66.46,66.73,66.26,66.28,493980
2010-08-27,66.73,66.99,66.35,66.72,793484
2010-08-30,66.5,66.6,66.29,66.38,383314
2010-08-31,66.1,66.2,65.49,65.8,1291701
2010-09-01,66.23,66.37,65.87,66.2,1128750
2010-09-02,66.28,66.49,65.92,66.15,703074
2010-09-03,66.49,66.88,66.06,66.67,1374743
2010-09-07,66.12,66.4,65.51,65.75,3053074
2010-09-08,65.69,65.85,64.41,64.59,6709529
2010-09-09,63.9,64.93,63.55,64.83,5560686
2010-09-10,64.71,65.69,64.54,65.02,2275825
2010-09-13,65.1,65.1,63.02,64.63,3047135
2010-09-14,64.86,65.43,64.21,64.85,2718871
2010-09-15,65.47,67.63,65.19,67.16,8938340
2010-09-16,67.1,67.4,66.84,67.3,1261568
2010-09-17,67.43,67.96,67.13,67.7,2588967
2010-09-20,67.68,67.88,67.52,67.75,846593
2010-09-21,67.48,67.99,67.46,67.65,889822
2010-09-22,67.68,67.88,67.56,67.72,549743
2010-09-23,67.32,67.99,67.32,67.63,383049
2010-09-24,67.94,68.0,67.69,67.95,707254
2010-09-27,67.66,67.97,67.6,67.84,364752
2010-09-28,67.8,68.2,67.6,68.04,630164
2010-09-29,67.66,68.09,67.65,68.0,384697
2010-09-30,68.2,68.3,67.87,67.95,610618
2010-10-01,68.23,68.33,67.95,68.3,943793
2010-10-04,68.01,68.28,67.78,68.25,784150
2010-10-05,68.64,68.64,68.08,68.32,552928
2010-10-06,68.12,68.74,68.11,68.73,979827
2010-10-07,68.77,68.79,68.36,68.57,425477
2010-10-08,68.91,68.93,67.37,67.85,2409533
2010-10-11,69.71,70.0,69.5,69.78,5902004
2010-10-12,69.51,70.02,69.51,69.92,995206
2010-10-13,69.91,70.0,69.66,69.81,2254545
2010-10-14,69.91,70.04,69.47,69.65,1174890
2010-10-15,69.9,70.0,69.55,69.71,855874
2010-10-18,69.51,69.9,69.41,69.82,1379392
2010-10-19,69.47,70.04,69.47,69.95,706943
2010-10-20,69.95,70.11,69.8,70.03,469711
2010-10-21,69.93,70.23,69.88,70.15,1030134
2010-10-22,70.0,70.23,69.9,70.13,693574
2010-10-25,70.24,70.25,69.9,69.99,582579
2010-10-26,70.1,71.09,70.1,70.84,2389047
2010-10-27,70.42,70.86,70.34,70.8,966772
2010-10-28,71.1,71.15,70.56,70.79,567834
2010-10-29,70.56,70.95,70.51,70.89,728423
2010-11-01,71.05,71.09,70.62,71.0,800885
2010-11-02,71.05,71.28,70.24,70.43,1772771
2010-11-03,70.3,70.4,69.02,69.31,2114162
2010-11-04,69.72,69.72,68.48,68.6,1814390
2010-11-05,68.34,68.73,67.97,68.56,687169
