Date,Open,High,Low,Close,Volume
2010-01-04,31.87,32.28,31.73,32.12,3256640
2010-01-05,31.9,32.34,31.55,32.25,2698134
2010-01-06,32.42,32.48,31.97,31.99,4996264
2010-01-07,31.84,31.86,30.81,31.18,8024132
2010-01-08,31.28,31.59,30.97,31.47,6414095
2010-01-11,30.96,31.1,30.19,30.93,8793440
2010-01-12,30.82,32.2,30.82,32.17,7839484
2010-01-13,32.24,32.44,31.87,31.99,4216050
2010-01-14,32.03,32.38,31.86,32.32,3500797
2010-01-15,32.29,32.54,32.0,32.26,4559440
2010-01-19,32.28,32.86,32.19,32.8,2894827
2010-01-20,32.51,32.51,32.07,32.32,4465732
2010-01-21,32.41,33.17,31.98,32.1,5146146
2010-01-22,31.94,32.33,31.72,31.84,3879310
2010-01-25,31.96,32.25,31.75,31.82,2746209
2010-01-26,31.61,31.63,31.13,31.19,3842786
2010-01-27,31.16,31.28,30.62,31.12,3480126
2010-01-28,31.25,31.54,30.86,31.01,2583279
2010-01-29,31.24,31.26,30.01,30.14,4714785
2010-02-01,30.46,31.22,30.32,31.17,4212201
2010-02-02,31.16,32.51,31.16,32.47,5360010
2010-02-03,32.34,32.64,32.02,32.6,4131165
2010-02-04,32.08,32.08,30.2,30.3,8968546
2010-02-05,30.2,30.26,28.76,29.24,8458307
2010-02-08,29.21,29.74,28.9,29.21,5432030
2010-02-09,29.56,29.69,29.07,29.46,5389960
2010-02-10,29.51,29.63,29.07,29.32,3871577
2010-02-11,29.31,29.83,29.17,29.69,2855509
2010-02-12,29.38,29.45,29.03,29.34,4734292
2010-02-16,29.37,30.18,29.37,30.15,2240575
2010-02-17,30.25,30.56,30.12,30.53,2744814
2010-02-18,30.63,31.02,30.51,30.95,2534094
2010-02-19,30.75,30.75,30.08,30.32,3847288
2010-02-22,30.35,30.49,30.22,30.37,2625760
2010-02-23,30.38,30.5,29.98,30.28,3934362
2010-02-24,30.42,30.89,30.31,30.85,3588653
2010-02-25,30.16,30.6,29.52,30.29,6106654
2010-02-26,30.24,30.5,30.02,30.44,3178651
2010-03-01,30.61,31.07,30.37,30.97,3592058
2010-03-02,31.1,31.32,30.74,30.94,2501250
2010-03-03,30.9,31.38,30.83,31.06,2101893
2010-03-04,31.07,31.22,30.58,30.8,2383501
2010-03-05,30.99,31.3,30.82,31.26,2004318
2010-03-08,31.29,31.46,30.99,31.38,2543807
2010-03-09,31.32,31.54,31.16,31.31,2250961
2010-03-10,31.2,31.46,30.94,31.44,3990919
2010-03-11,31.26,31.65,31.0,31.61,2138217
2010-03-12,31.63,32.08,31.42,32.03,3076850
2010-03-15,31.91,32.15,31.79,32.06,2644411
2010-03-16,32.07,32.49,31.89,32.46,2184410
2010-03-17,32.49,32.95,32.23,32.91,2999173
2010-03-18,32.86,32.92,32.47,32.64,1939464
2010-03-19,32.67,32.87,31.9,32.1,3911915
2010-03-22,31.97,32.73,31.95,32.61,1963014
2010-03-23,32.59,32.92,32.28,32.88,1826044
2010-03-24,32.75,32.75,32.03,32.08,2805640
2010-03-25,32.23,32.54,31.96,31.99,2615886
2010-03-26,32.19,33.42,31.99,33.25,6060413
2010-03-29,33.35,34.32,33.35,33.96,4278299
2010-03-30,34.07,34.24,33.74,34.14,3035549
2010-03-31,34.0,34.18,33.47,33.87,4529337
2010-04-01,34.05,34.3,33.89,34.13,3236761
2010-04-05,34.24,34.38,33.75,33.9,2395891
2010-04-06,33.68,33.79,33.52,33.74,1508817
2010-04-07,33.79,33.8,33.38,33.78,3630714
2010-04-08,33.55,33.99,33.35,33.83,2745798
2010-04-09,33.96,34.59,33.79,34.33,4266199
2010-04-12,34.47,34.94,34.44,34.76,2485281
2010-04-13,33.86,34.34,31.68,31.99,21265616
2010-04-14,31.99,33.22,31.96,33.13,14318190
2010-04-15,33.22,33.97,33.08,33.56,8261233
2010-04-16,33.39,33.96,33.26,33.86,8180944
2010-04-19,33.81,33.94,33.52,33.73,4278736
2010-04-20,33.93,34.31,33.56,33.76,5544495
2010-04-21,33.86,33.95,33.44,33.6,4137021
2010-04-22,33.31,33.31,32.86,33.01,7788149
2010-04-23,33.13,33.51,32.98,33.4,4513187
2010-04-26,33.49,34.04,33.28,33.74,5657700
2010-04-27,33.44,33.46,32.62,32.69,4715323
2010-04-28,32.9,32.95,32.22,32.64,4599542
2010-04-29,32.89,33.01,32.4,32.67,4282202
2010-04-30,31.56,33.03,31.09,32.33,6348586
2010-05-03,32.26,32.53,31.61,31.9,7515169
2010-05-04,31.16,31.34,30.81,30.99,7133713
2010-05-05,30.76,31.06,30.02,30.21,6088220
2010-05-06,30.17,30.27,25.63,29.16,15222617
2010-05-07,29.14,29.14,27.88,28.59,17195346
2010-05-10,29.83,30.33,29.22,29.51,6787666
2010-05-11,29.21,29.39,28.69,28.79,8317951
2010-05-12,28.74,28.91,28.12,28.53,9947353
2010-05-13,28.52,29.07,28.35,28.4,5093484
2010-05-14,28.28,28.38,27.26,27.51,6298009
2010-05-17,27.58,28.22,27.52,28.17,6256563
2010-05-18,27.99,28.5,27.63,27.67,5237420
2010-05-19,27.6,27.64,26.88,27.21,5642687
2010-05-20,26.86,26.93,26.15,26.33,6645915
2010-05-21,26.01,26.96,26.01,26.66,4920027
2010-05-24,26.48,26.56,25.94,25.95,5793255
2010-05-25,25.47,26.16,25.0,26.12,7036846
2010-05-26,26.21,26.48,26.09,26.18,7333017
2010-05-27,26.52,27.06,26.51,27.06,4934735
2010-05-28,27.13,27.16,26.46,26.49,5330229
2010-06-01,26.31,26.36,25.85,25.86,4127651
2010-06-02,25.93,26.15,25.51,26.12,4354050
2010-06-03,26.3,26.48,26.03,26.29,4077742
2010-06-04,25.85,26.1,25.67,25.73,6520632
2010-06-07,25.81,26.26,25.73,25.82,5717431
2010-06-08,25.77,27.16,25.75,27.11,9274943
2010-06-09,27.31,28.01,27.17,27.36,8679483
2010-06-10,27.75,28.36,27.75,28.2,5197022
2010-06-11,28.02,28.11,27.55,28.09,4746891
2010-06-14,28.35,28.75,28.13,28.17,3429498
2010-06-15,28.41,28.73,28.28,28.72,3219979
2010-06-16,28.53,28.6,28.22,28.55,2388074
2010-06-17,28.51,28.86,28.16,28.86,4075682
2010-06-18,28.97,29.02,28.66,28.74,4182640
2010-06-21,29.11,29.5,28.55,28.65,2974840
2010-06-22,28.74,29.32,28.66,28.71,4236807
2010-06-23,28.74,28.97,28.02,28.36,3450606
2010-06-24,28.2,28.2,27.41,27.45,3877606
2010-06-25,27.45,27.77,27.17,27.49,4218721
2010-06-28,27.62,27.89,27.32,27.78,2289407
2010-06-29,27.47,27.63,26.76,27.07,4257800
2010-06-30,26.97,27.48,26.44,26.5,7250590
2010-07-01,26.41,26.93,26.18,26.87,5430264
2010-07-02,26.8,27.06,26.33,26.46,3068196
2010-07-06,27.0,27.39,26.61,26.77,3640048
2010-07-07,26.87,27.83,26.87,27.83,3136442
2010-07-08,28.18,28.23,27.56,28.07,2628003
2010-07-09,28.0,28.37,27.98,28.27,1909625
2010-07-12,28.18,28.6,28.16,28.42,2095297
2010-07-13,28.82,29.34,28.64,29.19,3068810
2010-07-14,29.16,29.39,28.89,29.29,2544209
2010-07-15,29.24,29.36,28.82,29.3,2167884
2010-07-16,29.21,29.27,28.66,28.69,4520554
2010-07-19,28.94,29.04,28.49,28.61,2509367
2010-07-20,28.16,28.49,27.86,28.46,4739979
2010-07-21,28.5,28.73,28.03,28.19,3837382
2010-07-22,28.56,29.29,28.43,29.1,4045781
2010-07-23,29.09,29.62,28.83,29.44,3909835
2010-07-26,29.45,29.9,29.13,29.9,3276916
2010-07-27,30.12,30.16,29.78,29.98,4927429
2010-07-28,29.82,30.01,29.5,29.53,3185821
2010-07-29,30.43,31.49,29.96,30.27,9396721
2010-07-30,29.84,31.26,29.71,31.13,5787590
2010-08-02,31.45,31.92,31.22,31.83,4259716
2010-08-03,31.78,31.78,31.35,31.44,2569513
2010-08-04,31.45,31.59,31.25,31.47,2728584
2010-08-05,31.34,31.55,31.02,31.06,3254182
2010-08-06,30.79,31.11,30.49,31.11,5056202
2010-08-09,31.23,31.46,31.03,31.1,2341355
2010-08-10,30.86,31.29,30.65,31.06,3460948
2010-08-11,30.64,30.85,29.74,29.85,5130133
2010-08-12,29.43,29.73,29.03,29.69,2868174
2010-08-13,29.51,29.71,29.3,29.4,2275846
2010-08-16,29.23,29.52,28.97,29.48,2939775
2010-08-17,29.75,30.14,29.51,29.94,2806611
2010-08-18,29.92,30.23,29.55,29.85,2100887
2010-08-19,29.68,29.68,29.21,29.44,1935035
2010-08-20,29.2,29.32,28.79,29.0,2244863
2010-08-23,29.21,30.12,29.21,29.79,3466833
2010-08-24,29.34,29.64,29.16,29.48,2895222
2010-08-25,29.36,29.44,28.88,29.36,2617290
2010-08-26,29.44,29.65,28.88,28.96,1924564
2010-08-27,29.1,29.68,28.7,29.61,2152658
2010-08-30,29.56,29.65,28.92,28.95,1561066
2010-08-31,28.75,29.43,28.72,29.1,2418873
2010-09-01,29.52,29.82,29.26,29.31,3276698
2010-09-02,29.44,29.97,29.36,29.92,2659389
2010-09-03,30.31,30.54,30.09,30.44,1784484
2010-09-07,30.36,30.44,29.86,29.96,1922095
2010-09-08,29.96,30.62,29.96,30.42,1640230
2010-09-09,30.74,31.04,30.63,30.79,2055764
2010-09-10,30.92,30.92,30.27,30.47,1478925
2010-09-13,30.79,30.82,30.35,30.42,2930197
2010-09-14,30.4,30.82,30.29,30.6,1660860
2010-09-15,30.55,31.37,30.48,31.28,2974297
2010-09-16,31.2,31.26,31.02,31.16,2235838
2010-09-17,31.28,31.43,31.07,31.07,3603585
2010-09-20,31.31,31.9,31.19,31.78,3108380
2010-09-21,31.76,31.84,31.43,31.55,3769442
2010-09-22,31.61,31.89,31.49,31.68,2855089
2010-09-23,31.45,32.02,31.32,31.8,2837223
2010-09-24,32.2,32.37,31.96,32.19,2406164
2010-09-27,31.76,32.46,31.37,31.5,2450251
2010-09-28,31.55,32.92,31.4,32.87,4887302
2010-09-29,32.74,32.86,32.19,32.27,3269664
2010-09-30,32.52,32.59,31.94,32.11,2635760
2010-10-01,32.12,32.34,31.79,32.12,2445138
2010-10-04,31.81,31.81,31.24,31.53,2506396
2010-10-05,31.87,32.36,31.7,32.13,3171825
2010-10-06,32.13,32.22,31.56,31.69,2289626
2010-10-07,31.9,32.11,31.6,31.79,1465920
2010-10-08,31.94,33.1,31.88,32.93,3237432
2010-10-11,33.09,33.38,32.83,33.16,2412645
2010-10-12,36.0,36.2,33.81,34.54,25264257
2010-10-13,34.78,35.75,34.6,35.49,6288032
2010-10-14,35.37,35.64,34.51,34.88,4364309
2010-10-15,35.13,35.26,34.63,34.86,2936976
2010-10-18,34.73,34.84,34.27,34.39,3485163
2010-10-19,34.04,35.17,33.81,34.34,7002443
2010-10-20,34.36,34.43,33.76,33.81,4145153
2010-10-21,34.01,34.18,33.56,33.85,3881409
2010-10-22,33.99,34.54,33.96,34.43,2695679
2010-10-25,34.4,34.4,32.97,33.02,4874823
2010-10-26,32.83,33.12,32.5,32.83,4257010
2010-10-27,32.68,34.87,32.55,32.86,9981816
2010-10-28,30.13,31.57,29.01,31.01,28161716
2010-10-29,30.67,30.68,29.92,30.45,8047818
2010-11-01,30.45,30.45,28.92,29.06,9173614
2010-11-02,29.27,29.38,28.79,28.86,7919122
2010-11-03,29.08,29.11,28.51,28.75,6466220
2010-11-04,29.16,29.26,28.41,29.02,9665662
2010-11-05,29.21,29.84,29.0,29.78,8607489
2010-11-08,29.34,29.45,29.05,29.23,5592894
2010-11-09,29.27,29.4,28.68,28.85,3349857
2010-11-10,28.78,28.91,28.37,28.85,3966665
2010-11-11,28.54,29.48,28.37,29.45,5298422
2010-11-12,29.14,29.52,29.0,29.4,6420809
2010-11-15,29.37,29.52,29.17,29.39,3083969
2010-11-16,29.28,29.57,28.63,29.09,5786917
2010-11-17,29.07,29.11,28.7,29.0,2432574
2010-11-18,29.16,29.56,29.16,29.41,3182273
2010-11-19,29.3,29.41,28.98,29.23,2590298
2010-11-22,29.07,29.24,28.9,29.19,3040775
2010-11-23,28.96,29.1,28.7,28.97,3390065
2010-11-24,29.0,29.2,28.65,28.9,2547860
2010-11-26,28.85,29.12,28.76,28.76,1137921
2010-11-29,28.77,29.46,28.52,28.71,4124134
2010-11-30,28.54,28.72,28.45,28.56,2792068
2010-12-01,28.93,29.61,28.72,29.36,3890222
2010-12-02,29.38,29.43,28.95,29.19,4535661
