Date,Open,High,Low,Close,Volume
2010-01-04,43.57,43.8,43.09,43.39,1296940
2010-01-05,43.24,44.0,43.02,43.76,905042
2010-01-06,43.62,44.25,43.59,44.24,1108810
2010-01-07,44.06,44.69,43.88,44.55,1166238
2010-01-08,44.28,44.8,44.03,44.66,804851
2010-01-11,44.79,45.25,44.38,45.18,981782
2010-01-12,44.75,44.97,44.48,44.79,1163569
2010-01-13,44.98,45.45,44.82,45.3,546626
2010-01-14,45.12,45.23,44.48,44.77,1431571
2010-01-15,44.67,44.84,43.89,44.23,1200739
2010-01-19,44.23,45.0,43.94,44.98,521354
2010-01-20,44.42,44.59,43.96,44.38,732150
2010-01-21,44.31,44.86,43.7,43.9,1207861
2010-01-22,43.74,43.86,43.07,43.08,1193415
2010-01-25,43.46,43.63,43.07,43.31,1006480
2010-01-26,43.08,43.24,42.87,43.08,734193
2010-01-27,42.93,43.31,42.48,43.27,1050462
2010-01-28,43.33,43.65,43.0,43.38,1048612
2010-01-29,42.27,42.7,41.51,41.57,3711129
2010-02-01,41.84,42.54,41.32,42.49,1319836
2010-02-02,42.44,43.64,42.43,43.5,1240709
2010-02-03,43.31,43.39,42.82,43.22,677007
2010-02-04,42.83,42.84,41.93,41.93,1413520
2010-02-05,41.0,41.44,39.93,40.73,1847430
2010-02-08,40.64,41.09,40.23,40.66,1423530
2010-02-09,41.21,41.52,40.51,40.92,1256927
2010-02-10,40.89,40.91,40.28,40.52,744994
2010-02-11,40.34,40.76,39.88,40.58,994761
2010-02-12,40.26,41.07,39.84,41.03,968512
2010-02-16,41.13,42.03,40.99,42.02,711990
2010-02-17,42.25,42.9,41.91,42.78,923523
2010-02-18,42.68,43.43,42.68,43.37,662230
2010-02-19,43.28,43.9,43.28,43.63,1091574
2010-02-22,43.84,43.9,43.53,43.67,460171
2010-02-23,43.44,43.5,42.82,43.04,927791
2010-02-24,43.33,43.64,42.87,43.61,892863
2010-02-25,42.9,43.6,42.6,43.6,888446
2010-02-26,43.64,44.03,43.37,43.83,615634
2010-03-01,43.93,44.85,43.92,44.44,802591
2010-03-02,44.68,45.07,44.26,44.77,622144
2010-03-03,44.84,45.07,44.72,44.88,517445
2010-03-04,44.89,45.28,44.57,45.2,616086
2010-03-05,45.46,46.45,45.21,46.42,852577
2010-03-08,46.48,46.63,46.01,46.43,611337
2010-03-09,46.28,46.63,46.02,46.48,421606
2010-03-10,46.44,47.03,46.06,47.03,829627
2010-03-11,46.9,47.27,46.69,47.21,656743
2010-03-12,46.86,47.56,46.5,47.34,842134
2010-03-15,47.25,48.56,47.13,48.5,1270412
2010-03-16,48.5,49.22,48.35,49.16,923395
2010-03-17,49.39,49.85,49.28,49.75,771151
2010-03-18,49.69,50.08,49.61,49.7,1492272
2010-03-19,49.79,49.99,48.86,48.89,1753054
2010-03-22,48.66,49.2,48.55,49.02,1218870
2010-03-23,49.14,49.8,49.04,49.8,1023271
2010-03-24,49.64,49.64,49.07,49.21,1053406
2010-03-25,49.48,50.0,49.21,49.29,672039
2010-03-26,49.43,49.51,48.71,49.06,923926
2010-03-29,49.24,49.43,49.03,49.34,670179
2010-03-30,49.33,49.62,48.69,49.11,769620
2010-03-31,49.0,49.03,48.48,48.51,903892
2010-04-01,48.91,49.24,48.91,49.02,1172472
2010-04-05,49.16,49.87,49.16,49.83,713833
2010-04-06,49.48,49.71,49.27,49.7,501312
2010-04-07,49.64,49.79,49.28,49.41,684937
2010-04-08,49.29,49.65,48.66,49.58,877003
2010-04-09,49.61,50.82,49.61,50.67,969513
2010-04-12,50.7,51.09,50.56,51.05,778969
2010-04-13,51.47,52.8,51.47,52.05,2106883
2010-04-14,52.16,52.5,52.03,52.37,1222805
