Date,Open,High,Low,Close,Volume
2010-01-04,29.38,29.51,28.6,28.96,1941318
2010-01-05,28.95,28.99,28.64,28.96,1381699
2010-01-06,28.75,29.35,28.64,29.34,1676073
2010-01-07,29.63,29.82,29.2,29.67,2100162
2010-01-08,29.54,29.97,29.49,29.85,1525609
2010-01-11,29.88,30.0,29.54,29.69,1146754
2010-01-12,29.85,30.59,29.18,30.21,2679243
2010-01-13,30.84,31.21,30.37,31.17,2264712
2010-01-14,31.12,31.19,30.5,30.73,1541918
2010-01-15,30.94,31.32,30.79,31.02,1795919
2010-01-19,31.0,31.39,30.79,30.99,1358956
2010-01-20,29.71,30.14,29.5,30.1,2565703
2010-01-21,30.23,30.5,29.92,30.1,1857524
2010-01-22,30.0,30.34,29.5,29.59,1838387
2010-01-25,29.93,30.02,29.53,29.58,1064355
2010-01-26,29.57,29.99,29.35,29.82,1158076
2010-01-27,29.84,29.87,28.8,29.22,1377596
2010-01-28,29.28,29.41,28.78,29.06,784588
2010-01-29,29.13,29.22,28.39,28.41,1291607
2010-02-01,28.69,28.89,28.51,28.85,788159
2010-02-02,28.96,29.43,28.87,29.29,1016955
2010-02-03,29.08,29.39,29.02,29.21,750424
2010-02-04,29.07,30.04,29.0,29.66,1989093
2010-02-05,29.67,29.76,29.02,29.48,1225272
2010-02-08,29.53,29.81,29.19,29.2,745437
2010-02-09,29.47,29.9,29.24,29.77,746327
2010-02-10,29.83,29.95,29.53,29.67,1440758
2010-02-11,29.7,30.33,29.4,30.28,681751
2010-02-12,29.99,30.66,29.84,30.61,964437
2010-02-16,30.77,31.14,30.66,31.0,787528
2010-02-17,31.05,31.13,30.86,31.08,1048992
2010-02-18,31.1,31.35,30.9,31.28,768333
2010-02-19,31.18,31.45,31.09,31.36,773627
2010-02-22,31.46,31.6,31.08,31.31,854943
2010-02-23,31.21,31.4,30.88,31.33,1449095
2010-02-24,31.46,31.82,31.3,31.78,1048790
2010-02-25,31.61,32.92,31.4,32.9,2541435
2010-02-26,32.99,33.82,32.9,33.5,2527595
2010-03-01,34.02,34.42,33.75,34.25,1703401
2010-03-02,34.44,34.55,33.71,33.94,2701283
2010-03-03,34.99,35.56,34.38,34.57,4439922
2010-03-04,34.65,35.73,34.42,35.66,2424306
2010-03-05,35.74,36.39,35.49,36.09,1872010
2010-03-08,35.95,36.25,35.83,35.98,1370534
2010-03-09,35.88,36.34,35.68,35.97,1378102
2010-03-10,35.91,36.05,35.69,35.88,1255873
2010-03-11,35.76,35.88,35.09,35.88,1327836
2010-03-12,35.89,35.96,35.49,35.87,799573
2010-03-15,35.89,36.02,35.51,35.99,992562
2010-03-16,35.81,36.58,35.81,36.54,1436927
2010-03-17,36.65,37.29,36.2,37.1,1572402
2010-03-18,37.0,37.05,36.65,36.97,897387
2010-03-19,36.97,37.0,36.21,36.7,1032997
2010-03-22,36.21,37.74,35.81,37.65,1377313
2010-03-23,37.78,37.95,37.31,37.91,1131538
2010-03-24,37.78,37.87,37.1,37.24,931173
2010-03-25,37.4,37.81,37.33,37.36,853998
