Date,Open,High,Low,Close,Volume
2010-01-04,40.5,40.56,40.09,40.42,1367075
2010-01-05,40.39,40.87,40.26,40.47,1593911
2010-01-06,40.3,40.72,39.94,40.16,1194290
2010-01-07,40.01,40.37,39.7,39.98,1245702
2010-01-08,40.02,40.59,39.75,40.36,1129569
2010-01-11,40.31,40.52,39.77,40.07,1190792
2010-01-12,40.01,40.09,38.97,39.49,1417852
2010-01-13,39.72,40.25,39.47,40.06,1300760
2010-01-14,39.9,40.35,39.74,40.12,836485
2010-01-15,40.21,40.37,38.83,39.43,2214728
2010-01-19,39.33,39.85,39.18,39.62,1828472
2010-01-20,39.24,39.3,38.1,38.9,2544282
2010-01-21,39.0,39.21,37.76,38.17,2810270
2010-01-22,38.01,38.42,36.95,36.96,2046133
2010-01-25,37.1,37.51,36.92,37.17,1773476
2010-01-26,37.22,37.94,37.06,37.54,1840255
2010-01-27,37.35,37.76,36.84,37.24,2218486
2010-01-28,37.86,38.37,36.89,37.76,3411604
2010-01-29,37.95,38.91,37.91,38.64,5648669
2010-02-01,38.48,38.69,38.13,38.42,3129881
2010-02-02,38.28,38.31,37.58,38.09,2713254
2010-02-03,37.82,37.97,37.56,37.7,2003094
2010-02-04,37.41,37.48,36.1,36.15,4333872
2010-02-05,36.27,36.5,35.55,36.41,4124662
2010-02-08,36.34,36.36,35.93,35.93,1953885
2010-02-09,36.33,36.64,35.97,36.32,1807585
2010-02-10,36.18,36.43,36.0,36.24,1559444
2010-02-11,36.11,36.73,35.79,36.46,1369813
2010-02-12,36.01,36.28,35.77,36.1,2354074
2010-02-16,36.39,36.65,36.1,36.51,1857499
2010-02-17,37.06,37.06,36.25,36.69,1401769
2010-02-18,36.83,36.98,36.69,36.79,1684656
2010-02-19,36.55,37.13,36.51,36.87,1623012
2010-02-22,36.76,36.92,36.29,36.47,1637419
2010-02-23,36.45,36.7,36.1,36.56,2478337
2010-02-24,36.73,37.25,36.53,37.08,2689399
2010-02-25,36.47,36.61,35.87,36.55,2671783
2010-02-26,36.61,36.92,36.5,36.84,1782949
2010-03-01,37.03,37.27,36.64,36.99,2296196
2010-03-02,36.85,37.35,36.77,36.95,2301344
2010-03-03,37.1,37.19,36.84,36.92,1115559
2010-03-04,37.04,37.07,36.64,36.91,1229864
