Date,Open,High,Low,Close,Volume
2010-01-04,29.91,30.16,29.7,30.01,868984
2010-01-05,30.03,30.13,29.59,29.78,623829
2010-01-06,29.72,30.02,29.67,29.92,765927
2010-01-07,30.0,30.37,29.85,30.32,918280
2010-01-08,30.31,30.56,30.1,30.56,574572
2010-01-11,30.7,30.74,30.15,30.36,639472
2010-01-12,30.1,30.27,29.91,30.25,516925
2010-01-13,30.27,30.36,30.0,30.18,613697
2010-01-14,30.07,30.24,29.79,29.98,638545
2010-01-15,29.84,30.0,29.69,29.88,639594
2010-01-19,29.79,30.52,29.79,30.49,406649
2010-01-20,30.33,30.43,29.71,29.99,703527
2010-01-21,29.91,29.91,28.9,28.91,781213
2010-01-22,28.87,29.34,28.63,28.7,701301
2010-01-25,29.04,29.18,28.63,28.72,657695
2010-01-26,28.55,28.87,28.45,28.54,524035
2010-01-27,28.45,28.82,28.25,28.74,973052
2010-01-28,28.93,28.99,28.2,28.45,997699
2010-01-29,28.6,28.81,27.96,28.06,1208995
2010-02-01,28.2,28.42,28.03,28.25,1087212
2010-02-02,28.25,28.93,28.11,28.78,895851
2010-02-03,28.74,28.74,28.07,28.39,631566
2010-02-04,28.28,28.28,27.54,27.54,926027
2010-02-05,27.52,27.87,27.09,27.84,1074344
2010-02-08,27.89,28.22,27.52,27.68,689328
2010-02-09,28.0,28.27,27.62,28.02,769512
2010-02-10,28.02,28.15,27.63,27.91,643970
2010-02-11,27.75,28.11,27.57,28.06,802142
2010-02-12,27.73,28.0,27.52,27.99,843275
2010-02-16,28.23,28.45,28.08,28.29,573386
2010-02-17,28.38,28.58,27.78,27.94,1078925
2010-02-18,27.95,28.62,27.95,28.58,829996
2010-02-19,28.53,28.75,28.24,28.51,948516
2010-02-22,28.6,28.66,28.24,28.4,453730
2010-02-23,28.31,28.63,28.14,28.16,492385
2010-02-24,28.16,28.47,28.06,28.2,636132
2010-02-25,28.35,29.53,27.61,29.5,2000434
2010-02-26,29.63,29.65,29.08,29.27,1143335
2010-03-01,29.43,29.65,29.13,29.61,966451
2010-03-02,29.66,29.73,29.36,29.47,1325183
2010-03-03,29.48,29.67,29.23,29.34,977061
2010-03-04,29.45,29.53,28.71,28.91,1342137
2010-03-05,29.01,29.48,28.95,29.46,1176363
2010-03-08,29.55,29.75,29.42,29.69,743584
2010-03-09,29.65,29.66,29.25,29.41,1190802
2010-03-10,29.45,29.45,29.03,29.15,872035
2010-03-11,29.19,29.34,29.0,29.34,440760
2010-03-12,29.42,29.57,29.25,29.5,427122
2010-03-15,29.52,29.75,29.32,29.68,584787
2010-03-16,29.82,29.88,29.5,29.84,809429
2010-03-17,29.83,30.13,29.77,29.98,663527
2010-03-18,29.93,29.94,29.46,29.6,607005
2010-03-19,29.62,29.81,29.1,29.15,1000760
2010-03-22,29.07,29.85,29.01,29.85,714367
2010-03-23,29.94,30.09,29.69,30.0,516407
2010-03-24,29.86,29.9,29.63,29.69,455164
2010-03-25,29.86,29.92,29.19,29.2,534457
2010-03-26,29.21,29.29,28.89,29.24,1124953
2010-03-29,29.27,29.54,29.14,29.26,585935
2010-03-30,29.34,29.4,28.86,28.86,772783
2010-03-31,28.82,28.91,28.63,28.72,1085213
2010-04-01,29.28,29.72,29.11,29.72,1032902
2010-04-05,29.73,30.16,29.7,30.09,571347
2010-04-06,29.95,29.99,29.65,29.88,667904
2010-04-07,29.78,29.87,29.5,29.53,800425
2010-04-08,29.38,29.48,29.15,29.24,868031
2010-04-09,29.34,29.88,29.31,29.88,1200803
2010-04-12,29.97,29.97,29.59,29.66,669329
2010-04-13,29.69,30.03,29.53,30.0,608400
2010-04-14,30.01,30.34,30.0,30.28,593436
2010-04-15,30.19,30.84,30.16,30.68,976503
2010-04-16,30.66,30.96,30.39,30.68,1489858
2010-04-19,30.51,30.75,30.41,30.67,728338
2010-04-20,30.82,30.95,30.68,30.88,536321
2010-04-21,30.87,31.12,30.8,31.07,807938
2010-04-22,30.82,31.34,30.6,31.24,662338
2010-04-23,31.28,31.59,31.16,31.57,483388
2010-04-26,31.62,31.8,31.31,31.32,623691
2010-04-27,31.2,31.35,30.58,30.64,767377
2010-04-28,30.77,31.01,30.57,30.82,725710
2010-04-29,30.95,31.79,30.87,31.38,1197601
