Date,Open,High,Low,Close,Volume
2010-01-04,32.03,32.49,32.03,32.24,5934896
2010-01-05,32.3,32.4,31.51,31.82,6276765
2010-01-06,31.68,31.91,31.33,31.48,5727208
2010-01-07,31.56,31.56,30.94,31.0,8116706
2010-01-08,30.98,31.22,30.52,30.71,10182903
2010-01-11,30.73,30.9,30.48,30.71,5120908
2010-01-12,30.51,30.59,29.68,29.98,7030000
2010-01-13,30.38,30.99,29.69,30.87,9831461
2010-01-14,30.62,30.75,30.2,30.49,6702457
2010-01-15,30.38,30.57,29.5,29.51,10320967
2010-01-19,29.61,29.96,29.5,29.68,9966710
2010-01-20,29.41,29.85,29.02,29.44,9519730
2010-01-21,29.78,30.14,29.3,29.49,8933545
2010-01-22,29.47,29.55,28.37,28.43,11169302
2010-01-25,28.66,29.34,28.61,28.8,7029783
2010-01-26,28.69,29.09,28.4,28.64,7847148
2010-01-27,28.47,28.98,28.15,28.71,8764439
2010-01-28,28.52,28.69,26.99,27.41,13180260
2010-01-29,27.7,27.97,26.4,26.72,15005361
2010-02-01,26.98,27.64,26.79,27.51,8227062
2010-02-02,27.92,28.05,27.48,28.03,7597521
2010-02-03,27.82,28.06,27.64,27.89,9628217
2010-02-04,27.69,29.06,27.67,27.71,19179307
2010-02-05,27.88,29.6,27.6,29.39,22405937
2010-02-08,29.53,29.6,28.8,28.8,12135148
2010-02-09,29.27,29.79,28.99,29.54,11622598
2010-02-10,29.66,30.2,29.46,29.99,12153028
2010-02-11,29.92,30.8,29.6,30.66,11461849
2010-02-12,30.36,31.12,30.26,30.95,13273265
2010-02-16,31.25,31.61,31.15,31.57,12271247
2010-02-17,31.63,31.65,31.03,31.44,9377354
2010-02-18,31.27,31.76,31.19,31.72,6762249
2010-02-19,31.69,31.95,31.41,31.6,6488111
2010-02-22,31.63,31.79,31.25,31.39,5670255
2010-02-23,31.39,31.5,30.45,30.73,7612610
2010-02-24,30.86,31.84,30.8,31.65,7922372
2010-02-25,31.04,31.46,30.62,31.4,7561586
2010-02-26,31.46,31.49,31.0,31.32,4687035
2010-03-01,31.56,32.19,31.5,31.78,6848502
2010-03-02,32.06,32.06,31.05,31.24,8445854
2010-03-03,31.48,31.54,30.83,30.98,5630630
2010-03-04,31.02,31.29,30.79,30.86,6887150
2010-03-05,30.93,31.43,30.78,31.15,5472958
2010-03-08,31.11,31.54,31.03,31.46,6597926
2010-03-09,31.38,31.97,31.27,31.63,8399480
2010-03-10,31.58,33.0,31.54,32.83,16219724
2010-03-11,32.66,33.06,32.5,33.06,13338952
2010-03-12,33.11,33.25,32.53,32.63,6807930
2010-03-15,32.66,32.75,32.33,32.61,4265186
2010-03-16,32.87,33.67,32.68,33.52,7767762
2010-03-17,33.52,33.81,33.42,33.61,4123316
2010-03-18,33.97,34.27,33.75,33.99,7780565
2010-03-19,34.25,34.25,33.34,33.67,7679259
2010-03-22,33.55,34.2,33.35,34.09,5441234
2010-03-23,34.23,34.3,33.86,34.2,9080080
2010-03-24,33.92,34.05,33.46,33.53,7144529
