Date,Open,High,Low,Close,Volume
2017-04-03,30.03,31.5,30.03,31.0,15515
2017-04-04,32.0,32.5,26.51,27.25,3711465
2017-04-05,27.99,28.5,26.0,28.0,3178535
2017-04-06,28.15,28.62,27.01,27.55,1614392
2017-04-07,27.45,27.88,27.12,27.57,418384
2017-04-10,28.0,28.47,27.26,27.98,816334
2017-04-11,27.65,27.9,27.02,27.49,593483
2017-04-12,27.43,27.61,25.48,25.75,1003122
2017-04-13,25.78,25.89,23.28,23.82,3701438
2017-04-17,23.95,23.99,22.61,23.42,1934769
2017-04-18,23.41,24.65,23.41,24.0,3042244
2017-04-19,24.5,25.15,24.43,24.94,1081120
2017-04-20,25.06,25.29,24.72,25.0,491404
2017-04-21,25.12,25.95,25.12,25.69,524642
2017-04-24,26.7,26.95,26.01,26.39,261384
2017-04-25,26.99,27.0,25.46,26.1,544768
2017-04-26,26.75,27.0,26.0,26.53,851865
2017-04-27,26.73,26.75,26.03,26.21,568140
2017-04-28,26.5,26.5,25.19,25.41,415130
2017-05-01,25.74,26.01,25.31,25.75,461813
2017-05-02,25.9,26.5,25.75,26.03,915658
2017-05-03,26.05,26.83,24.8,25.07,2050932
2017-05-04,25.04,25.1,23.78,23.79,4993357
2017-05-05,24.16,24.36,23.63,23.96,1169106
2017-05-08,24.0,24.7,23.88,24.2,1351213
2017-05-09,24.23,25.08,24.11,24.96,708792
2017-05-10,24.96,25.63,24.69,25.26,990851
2017-05-11,25.14,25.34,24.53,24.74,560257
2017-05-12,24.62,25.09,24.45,25.01,536028
2017-05-15,24.97,25.25,24.64,24.76,450491
2017-05-16,24.64,24.89,23.83,24.13,1434327
2017-05-17,23.97,24.47,22.97,23.4,931699
2017-05-18,23.33,24.19,22.87,23.46,582348
2017-05-19,23.21,24.06,23.1,23.3,736662
2017-05-22,23.35,23.75,23.07,23.29,1002239
2017-05-23,23.35,23.86,23.08,23.57,720811
2017-05-24,23.51,24.48,23.33,24.0,511173
2017-05-25,24.28,24.6,23.57,23.97,715878
2017-05-26,23.93,24.76,23.74,24.76,551188
2017-05-30,24.84,24.93,24.46,24.84,609950
2017-05-31,24.79,24.79,23.91,24.29,463884
2017-06-01,24.3,24.45,23.52,24.13,570303
2017-06-02,24.16,24.16,22.8,23.4,1578712
2017-06-05,23.51,24.2,23.27,24.0,1154894
2017-06-06,24.02,24.78,23.96,24.25,786783
2017-06-07,24.2,24.9,23.79,24.24,1127033
2017-06-08,24.14,24.29,23.6,23.79,796325
2017-06-09,23.77,24.64,23.68,24.43,1202447
2017-06-12,24.43,24.9,24.23,24.77,1064198
2017-06-13,24.68,25.68,24.6,25.12,1554901
2017-06-14,25.23,26.18,25.12,25.63,1686898
2017-06-15,25.54,25.61,23.67,24.1,1417989
2017-06-16,24.1,24.1,22.59,23.46,9049883
2017-06-19,23.48,23.61,22.88,23.51,1111463
2017-06-20,23.27,23.5,22.77,23.41,935658
2017-06-21,23.41,23.58,23.0,23.36,1244538
2017-06-22,23.44,23.81,23.17,23.44,964764
2017-06-23,23.41,23.41,22.58,23.01,6528533
2017-06-26,22.9,23.46,22.76,23.31,1352919
2017-06-27,23.51,23.87,23.29,23.49,1397968
2017-06-28,23.55,23.74,23.34,23.53,714058
2017-06-29,23.52,24.45,23.42,24.35,1087420
2017-06-30,24.45,24.6,24.15,24.45,932552
2017-07-03,24.47,25.0,24.37,24.85,544116
2017-07-05,24.96,25.41,24.56,25.39,771153
2017-07-06,25.32,25.76,25.0,25.09,968535
2017-07-07,25.09,25.36,24.64,25.31,653457
2017-07-10,25.31,25.78,24.93,25.73,562251
2017-07-11,25.52,25.96,25.42,25.88,873941
