Date,Open,High,Low,Close,Volume
2010-01-04,42.52,43.6,42.52,43.43,2647917
2010-01-05,43.55,44.03,43.32,43.96,2243459
2010-01-06,43.61,44.26,43.15,44.26,3509642
2010-01-07,43.85,44.52,43.69,44.5,2156850
2010-01-08,43.72,45.0,43.69,44.86,3289921
2010-01-11,45.43,45.43,43.17,43.74,2807988
2010-01-12,43.0,43.07,42.08,42.39,2984352
2010-01-13,42.36,43.14,41.72,43.08,2408389
2010-01-14,42.79,43.22,42.13,42.59,1973002
2010-01-15,42.56,42.7,41.43,41.65,3624160
2010-01-19,41.47,42.25,41.08,42.18,3211632
2010-01-20,41.53,42.08,40.96,41.92,2810647
2010-01-21,41.89,42.39,40.16,40.5,4812018
2010-01-22,40.11,40.37,38.92,39.08,3046305
2010-01-25,39.38,40.44,39.24,39.84,2340953
2010-01-26,39.38,40.57,39.0,39.15,2866100
2010-01-27,39.13,39.61,38.22,39.07,2742852
2010-01-28,39.44,39.56,37.58,37.99,5283296
2010-01-29,38.62,39.59,37.34,37.66,4894651
2010-02-01,38.03,39.21,38.03,39.15,2362143
2010-02-02,38.96,39.76,38.82,39.6,3283915
2010-02-03,39.4,40.27,39.31,39.68,2645588
2010-02-04,38.95,39.11,37.5,37.88,3699512
2010-02-05,37.91,38.21,35.98,37.31,4502322
2010-02-08,37.32,38.06,36.76,36.91,3718977
2010-02-09,38.22,39.86,37.8,39.33,5370621
2010-02-10,39.39,39.69,38.36,39.25,3202678
2010-02-11,40.24,41.05,39.23,40.97,4004027
2010-02-12,40.11,41.05,39.83,40.86,2896493
2010-02-16,41.7,41.75,41.24,41.71,2684894
2010-02-17,41.91,42.08,40.74,41.16,3869520
2010-02-18,41.19,41.95,40.75,41.76,3088936
2010-02-19,41.61,42.07,41.3,41.94,2875708
2010-02-22,42.52,42.61,41.24,42.0,3232476
2010-02-23,42.0,42.03,40.66,40.75,4674395
2010-02-24,40.92,41.25,40.4,40.99,2683737
2010-02-25,40.01,40.79,39.58,40.71,3414428
2010-02-26,41.03,41.27,40.39,41.13,2426982
2010-03-01,41.47,41.67,41.02,41.52,1797183
2010-03-02,41.54,42.54,41.36,42.21,2887315
2010-03-03,42.46,43.68,42.24,43.54,3668044
2010-03-04,43.62,44.0,42.86,43.26,4059477
2010-03-05,43.75,44.43,43.75,44.43,2532801
2010-03-08,44.54,44.98,43.45,43.8,3369607
2010-03-09,43.45,43.73,43.13,43.44,2295813
2010-03-10,43.52,44.29,43.37,44.09,2833793
2010-03-11,43.99,44.2,43.56,44.19,2034881
2010-03-12,44.77,44.82,44.11,44.65,2206827
2010-03-15,44.39,44.39,43.19,43.96,2034703
2010-03-16,44.29,44.29,43.7,44.02,2910113
2010-03-17,44.12,44.49,43.98,44.33,3060946
2010-03-18,44.29,44.38,42.74,43.17,2866666
2010-03-19,42.99,43.22,41.42,41.81,5238045
2010-03-22,41.39,42.44,40.81,42.27,2442627
2010-03-23,42.25,42.79,41.84,42.11,3139885
2010-03-24,41.58,42.18,41.5,41.94,2613653
2010-03-25,42.4,42.52,41.16,41.18,2670436
2010-03-26,41.38,41.85,40.89,41.1,2718697
2010-03-29,41.25,42.39,41.18,42.21,2467730
2010-03-30,42.49,42.87,42.08,42.75,2735920
2010-03-31,42.92,43.09,42.61,42.86,2237049
2010-04-01,43.37,44.49,43.37,44.47,3552782
2010-04-05,44.68,45.64,44.51,45.5,2424345
2010-04-06,45.23,45.7,44.8,45.65,2619674
2010-04-07,45.51,45.68,44.62,45.08,2831305
2010-04-08,44.56,45.03,44.24,44.94,2254321
2010-04-09,45.18,45.33,44.73,45.23,1639301
2010-04-12,45.31,45.95,44.99,45.66,1489487
2010-04-13,45.5,45.5,44.09,44.52,2894168
2010-04-14,44.85,45.83,44.42,45.74,2809017
2010-04-15,45.63,46.13,45.38,45.62,1681865
2010-04-16,45.45,45.92,44.19,44.75,3376362
2010-04-19,44.24,45.13,44.04,44.83,2414793
2010-04-20,45.29,46.52,45.15,46.04,3162428
2010-04-21,45.95,46.15,45.14,45.48,3338081
2010-04-22,44.81,45.92,44.21,45.82,3032396
2010-04-23,45.95,47.35,45.6,47.31,3749321
2010-04-26,47.41,47.44,46.86,47.1,3021640
2010-04-27,46.55,46.63,43.48,43.59,8055830
2010-04-28,44.1,44.81,43.76,44.47,4788083
2010-04-29,44.21,44.21,34.65,38.7,37952501
2010-04-30,39.09,40.91,36.0,39.46,28119509
2010-05-03,38.0,41.71,36.84,40.77,23314929
2010-05-04,40.03,40.94,38.88,39.18,8666850
2010-05-05,38.43,39.98,38.11,39.23,9969574
2010-05-06,39.03,40.26,35.0,37.76,7867872
2010-05-07,37.5,38.32,35.17,35.58,10032848
2010-05-10,36.91,37.9,35.2,35.99,14805420
2010-05-11,35.6,38.53,34.81,37.1,16332492
2010-05-12,37.76,39.52,37.48,39.46,10834558
2010-05-13,38.98,39.52,37.95,38.1,6014657
2010-05-14,37.61,37.81,36.84,37.3,4963568
2010-05-17,38.16,38.85,36.26,37.25,6981610
2010-05-18,37.94,38.5,36.45,36.75,6652157
2010-05-19,36.89,37.2,34.78,36.51,5669953
2010-05-20,35.45,35.61,34.12,34.53,6915394
