Date,Open,High,Low,Close,Volume
2016-06-01,39.4,39.77,38.83,39.26,20296882
2016-06-02,39.73,40.1,39.26,39.5,11670083
2016-06-03,39.71,40.35,39.51,40.13,6974210
2016-06-06,40.29,40.32,39.38,39.48,6174584
2016-06-07,39.3,39.78,39.2,39.62,5495806
2016-06-08,39.63,40.01,39.59,39.95,4179662
2016-06-09,39.84,40.0,39.34,39.5,5063699
2016-06-10,38.99,39.0,38.25,38.55,5856460
2016-06-13,38.61,38.67,37.95,37.97,4142526
2016-06-14,37.92,37.94,37.32,37.39,5376018
2016-06-15,37.45,37.65,37.19,37.26,3198873
2016-06-16,36.84,37.31,36.78,37.25,3277577
2016-06-17,37.44,37.63,37.02,37.47,5017999
2016-06-20,38.0,38.91,37.86,37.86,3755483
2016-06-21,38.17,38.2,37.54,37.54,3012925
2016-06-22,37.7,37.78,37.24,37.35,3501052
2016-06-23,37.76,38.0,37.12,37.67,6305366
2016-06-24,35.22,36.14,34.73,35.07,9702959
2016-06-27,34.79,34.8,33.94,33.95,6309627
2016-06-28,34.46,34.47,33.67,33.83,5365038
2016-06-29,34.25,35.33,34.2,34.87,6479936
2016-06-30,35.26,35.73,35.02,35.69,4068092
2016-07-01,35.64,35.76,35.16,35.31,2400372
2016-07-05,35.58,35.59,34.78,34.85,2557523
2016-07-06,34.75,34.84,34.22,34.79,2898701
2016-07-07,35.08,35.64,35.08,35.58,6326735
2016-07-08,36.02,36.07,35.45,35.73,4311110
2016-07-11,36.02,36.03,35.61,35.68,3283652
2016-07-12,35.98,36.12,35.73,35.95,4253683
2016-07-13,35.82,36.11,35.82,36.01,2404025
2016-07-14,36.27,36.8,36.21,36.6,2534631
2016-07-15,36.55,36.69,36.49,36.62,2517585
2016-07-18,36.68,37.03,36.66,37.0,2182577
2016-07-19,37.44,37.95,37.26,37.5,4321336
2016-07-20,37.9,38.02,37.5,37.89,3032404
2016-07-21,38.02,38.11,37.88,38.07,2440762
2016-07-22,38.09,38.41,37.94,38.25,1682800
2016-07-25,38.25,38.35,38.03,38.08,2496895
2016-07-26,38.38,38.41,37.96,38.21,2744255
2016-07-27,38.22,38.23,37.35,37.5,1641993
2016-07-28,37.72,37.83,37.26,37.55,1131282
2016-07-29,37.65,37.67,37.14,37.33,1281937
2016-08-01,37.74,38.32,37.51,37.95,2318500
2016-08-02,38.16,38.19,36.96,37.01,2330800
2016-08-03,36.84,36.84,36.49,36.63,1349954
2016-08-04,36.58,36.76,36.48,36.73,1387350
2016-08-05,36.8,37.12,36.69,36.69,1812156
2016-08-08,36.79,36.88,36.48,36.8,2478662
2016-08-09,37.01,37.42,36.94,37.4,1889300
2016-08-10,37.34,37.94,37.31,37.83,1938540
2016-08-11,38.08,38.47,37.98,38.41,3097527
2016-08-12,38.21,38.62,38.17,38.55,3629348
2016-08-15,38.45,38.97,38.44,38.72,2137726
2016-08-16,38.44,38.82,38.22,38.22,1264150
2016-08-17,38.22,38.28,37.7,38.24,3021949
2016-08-18,38.24,38.55,37.99,38.22,1793769
2016-08-19,38.22,38.38,38.02,38.16,793845
2016-08-22,38.08,38.34,37.85,38.25,1883499
2016-08-23,38.4,38.56,38.21,38.31,1118664
2016-08-24,38.23,38.4,38.14,38.36,1994405
2016-08-25,38.47,38.7,38.38,38.42,2167172
2016-08-26,38.75,39.38,38.56,38.61,4519382
2016-08-29,38.84,38.87,38.6,38.66,2023134
2016-08-30,38.81,38.81,38.13,38.16,1310115
2016-08-31,38.0,38.47,37.84,38.45,1919574
2016-09-01,38.18,38.38,37.79,38.34,2411880
2016-09-02,38.29,39.0,38.24,38.97,2048605
2016-09-06,39.0,39.32,38.45,39.26,2701513
2016-09-07,39.68,40.37,39.66,40.16,4502752
2016-09-08,40.78,41.2,40.66,41.15,5103026
2016-09-09,40.47,40.78,40.33,40.43,3524823
2016-09-12,40.26,41.28,40.2,41.0,3951928
2016-09-13,40.59,40.72,39.73,39.75,3580778
2016-09-14,39.66,39.88,39.45,39.65,1409867
2016-09-15,39.25,39.82,39.24,39.74,1358816
2016-09-16,39.14,39.4,39.08,39.27,1782127
2016-09-19,39.02,39.53,38.97,39.35,1301116
2016-09-20,39.49,39.87,39.36,39.75,2274460
2016-09-21,39.56,39.81,39.22,39.7,3053426
2016-09-22,40.4,40.96,40.1,40.22,2690517
2016-09-23,39.56,40.29,39.52,40.23,3149435
2016-09-26,39.95,40.07,39.39,39.52,3069344
2016-09-27,39.11,39.59,38.95,39.4,1657881
2016-09-28,39.56,39.65,39.08,39.35,2514270
2016-09-29,39.42,39.52,39.03,39.03,1539352
2016-09-30,39.31,40.17,39.02,39.9,2329607
2016-10-03,39.95,40.01,38.93,39.0,2032647
2016-10-04,38.9,38.96,38.48,38.62,2034287
2016-10-05,38.75,39.1,38.63,39.01,1797527
2016-10-06,38.87,39.27,38.8,39.25,670420
2016-10-07,38.93,39.05,38.55,38.85,2276996
2016-10-10,38.29,38.48,37.83,37.87,3238550
2016-10-11,37.64,37.88,37.45,37.87,2621989
2016-10-12,37.74,38.14,37.53,38.11,1306885
2016-10-13,37.72,38.16,37.44,38.0,1123399
2016-10-14,37.86,38.11,37.75,37.97,1297851
2016-10-17,37.91,38.04,37.59,37.59,601540
2016-10-18,37.49,38.17,37.43,38.03,926063
2016-10-19,37.9,38.16,37.75,38.08,957617
2016-10-20,37.97,38.16,37.76,37.9,845978
2016-10-21,37.88,37.98,37.64,37.83,635798
2016-10-24,38.0,38.26,37.86,38.0,542704
2016-10-25,37.9,38.06,37.42,37.9,1025913
2016-10-26,37.76,38.58,37.71,38.2,1719279
2016-10-27,38.0,38.21,37.62,38.02,1738374
2016-10-28,38.26,38.37,37.97,38.24,828881
2016-10-31,38.28,38.5,38.17,38.44,773533
2016-11-01,38.19,38.54,38.08,38.53,1433098
2016-11-02,38.43,38.88,38.37,38.75,969257
2016-11-03,38.61,38.94,38.53,38.74,1466871
2016-11-04,38.16,38.36,37.82,37.92,1528905
2016-11-07,37.95,38.59,37.95,38.56,1236010
2016-11-08,38.31,39.35,38.31,39.04,1067938
2016-11-09,38.5,38.59,38.01,38.27,1534636
