Date,Open,High,Low,Close,Volume
2010-01-04,24.99,25.18,24.22,24.93,1232215
2010-01-05,24.82,25.07,24.37,24.66,706996
2010-01-06,24.58,24.98,24.51,24.8,517472
2010-01-07,24.86,25.25,24.63,25.12,801255
2010-01-08,25.11,26.26,25.0,26.16,1255555
2010-01-11,26.19,26.73,25.77,26.64,995231
2010-01-12,26.41,26.51,25.29,25.58,1495163
2010-01-13,25.71,26.12,25.39,25.75,492665
2010-01-14,25.67,26.04,25.47,25.99,830980
2010-01-15,25.9,25.95,25.5,25.59,988259
2010-01-19,25.59,26.14,25.59,26.05,1175976
2010-01-20,26.96,26.96,25.95,26.78,1926249
2010-01-21,26.75,27.21,26.49,27.17,1941869
2010-01-22,27.22,28.0,26.86,27.55,2690899
2010-01-25,27.78,28.35,27.38,27.5,2376369
2010-01-26,27.23,27.82,27.16,27.52,1328916
2010-01-27,27.48,27.57,26.67,26.94,1165625
2010-01-28,27.07,27.23,26.09,26.14,824391
2010-01-29,26.04,26.42,25.64,25.75,960065
2010-02-01,25.81,26.08,25.59,26.01,1083254
2010-02-02,26.18,26.94,26.0,26.9,1051418
2010-02-03,26.77,26.85,26.32,26.34,531655
2010-02-04,26.15,26.15,25.75,25.9,1143282
2010-02-05,25.77,26.02,25.04,25.98,1092152
2010-02-08,25.88,26.71,25.52,25.84,1512498
2010-02-09,26.48,26.54,25.84,26.25,1750144
2010-02-10,24.85,26.99,24.6,26.45,4597059
2010-02-11,26.43,26.61,25.79,25.8,1820873
2010-02-12,25.6,25.62,24.53,25.17,2300227
2010-02-16,25.38,25.38,24.58,25.32,2720579
2010-02-17,25.34,26.27,25.1,26.21,1612048
2010-02-18,26.27,26.45,26.02,26.21,597772
2010-02-19,26.02,26.36,25.8,26.26,1046917
2010-02-22,26.29,26.5,25.91,26.39,544113
2010-02-23,26.3,26.4,25.81,25.93,1128793
2010-02-24,25.92,26.0,25.63,25.84,1218193
2010-02-25,25.62,25.64,25.05,25.37,1453150
2010-02-26,25.35,25.35,25.04,25.24,1765935
2010-03-01,25.53,26.09,25.48,26.09,841764
2010-03-02,26.35,26.35,25.71,25.76,1056077
2010-03-03,25.75,25.75,25.23,25.38,1916660
2010-03-04,25.37,25.62,25.24,25.44,773264
2010-03-05,25.59,26.17,25.4,25.97,1305670
2010-03-08,25.89,26.03,25.8,25.93,607563
2010-03-09,25.81,26.15,25.57,25.81,693981
2010-03-10,25.74,25.74,25.43,25.66,793354
2010-03-11,25.55,25.68,25.28,25.63,709353
2010-03-12,25.7,25.84,25.63,25.8,887970
2010-03-15,25.74,25.8,25.34,25.79,721897
2010-03-16,25.76,25.77,25.26,25.76,842876
2010-03-17,25.49,25.8,25.14,25.4,2753551
2010-03-18,25.35,25.46,25.16,25.43,787377
2010-03-19,25.59,25.85,25.08,25.18,1095512
2010-03-22,25.05,25.5,25.05,25.27,652811
2010-03-23,25.35,25.35,24.9,25.17,791892
2010-03-24,25.07,25.2,24.87,24.98,730258
2010-03-25,25.17,25.2,24.95,25.0,745154
2010-03-26,25.01,25.46,24.94,25.45,1588358
2010-03-29,25.49,25.83,25.26,25.8,1228310
2010-03-30,25.79,26.62,25.64,26.58,1446921
2010-03-31,26.33,26.45,26.08,26.43,1022301
2010-04-01,26.51,26.56,26.06,26.17,820422
2010-04-05,26.16,26.69,25.89,26.36,693683
2010-04-06,26.2,26.5,26.1,26.38,497595
2010-04-07,26.26,26.48,26.15,26.25,487520
2010-04-08,26.24,26.32,26.01,26.26,512152
2010-04-09,26.19,26.7,26.14,26.57,780633
2010-04-12,26.56,26.66,26.3,26.44,550658
2010-04-13,26.48,27.03,26.46,26.99,1019390
2010-04-14,27.0,27.0,26.61,26.84,938631
2010-04-15,26.69,26.93,26.53,26.92,767528
2010-04-16,26.85,27.22,26.7,27.17,1500041
2010-04-19,27.07,27.83,26.97,27.68,1303971
2010-04-20,27.8,27.99,27.54,27.81,1381382
2010-04-21,27.73,28.08,27.73,28.07,1939731
2010-04-22,27.84,28.05,27.33,27.94,1854374
2010-04-23,27.96,27.96,27.54,27.81,1082830
2010-04-26,27.74,27.9,27.12,27.23,1135343
2010-04-27,27.16,27.57,26.6,26.65,745463
2010-04-28,26.67,27.23,26.66,27.18,946975
2010-04-29,27.34,27.6,27.22,27.49,679552
2010-04-30,27.64,27.96,27.48,27.58,789137
2010-05-03,27.6,27.66,26.84,27.3,1272205
2010-05-04,28.8,30.08,28.07,28.56,5707537
2010-05-05,28.49,29.15,28.32,28.94,1414078
2010-05-06,28.82,29.09,27.22,27.62,2575811
2010-05-07,25.8,26.46,24.39,26.16,3926211
2010-05-10,27.17,27.5,26.42,26.63,2136992
2010-05-11,26.43,26.9,26.18,26.47,1801714
2010-05-12,26.51,26.69,26.16,26.38,2128902
2010-05-13,26.25,26.4,26.01,26.04,2011674
2010-05-14,25.84,25.95,25.35,25.84,1455432
2010-05-17,25.97,26.05,25.35,25.55,1388495
2010-05-18,25.63,25.93,25.37,25.38,1722416
2010-05-19,25.26,25.63,25.07,25.35,1434242
2010-05-20,24.87,25.25,24.7,24.71,1822843
2010-05-21,24.39,24.81,24.21,24.72,1896333
2010-05-24,24.55,25.49,24.53,25.02,1229550
2010-05-25,24.48,24.78,24.01,24.77,1563158
2010-05-26,24.93,25.28,24.65,24.73,1153974
2010-05-27,25.12,25.58,24.93,25.58,906331
2010-05-28,25.53,25.71,25.38,25.42,1044429
2010-06-01,25.22,25.49,25.0,25.06,898564
2010-06-02,25.11,25.91,25.07,25.9,1052771
2010-06-03,25.86,26.09,25.74,25.93,1014947
2010-06-04,25.48,25.64,24.75,24.8,1326247
2010-06-07,24.87,24.88,24.47,24.76,1298180
2010-06-08,24.64,25.2,24.64,25.11,1939505
2010-06-09,25.29,25.43,24.96,25.09,1654071
2010-06-10,25.4,25.4,24.91,25.31,1098341
2010-06-11,25.08,25.5,25.08,25.5,787014
2010-06-14,25.53,25.71,25.46,25.55,1201709
2010-06-15,25.79,25.89,25.42,25.53,2329229
2010-06-16,25.5,25.93,25.39,25.49,1960776
2010-06-17,25.65,25.65,24.92,25.3,1726663
2010-06-18,25.41,25.45,24.54,24.68,2321472
2010-06-21,24.84,24.94,24.24,24.55,2410926
2010-06-22,24.59,24.8,23.9,23.97,1983539
2010-06-23,24.06,24.19,23.69,23.85,1744409
2010-06-24,23.7,24.22,23.53,23.57,1594737
2010-06-25,23.56,23.74,23.34,23.34,4385332
2010-06-28,23.36,23.9,23.07,23.64,1936819
2010-06-29,23.35,23.4,22.76,22.85,1645231
2010-06-30,22.78,23.0,22.66,22.7,1694982
2010-07-01,22.65,22.65,21.93,22.41,2240131
2010-07-02,22.39,22.76,22.21,22.42,1556651
2010-07-06,22.6,23.29,22.46,22.72,2029057
2010-07-07,22.88,23.15,22.42,22.76,2601408
2010-07-08,22.82,23.1,22.55,22.75,2643902
2010-07-09,22.75,22.75,22.39,22.61,2736824
2010-07-12,22.53,22.62,22.29,22.48,1920942
2010-07-13,22.57,22.95,22.34,22.86,3131180
2010-07-14,22.73,22.8,22.28,22.56,2195113
2010-07-15,22.5,22.58,22.13,22.42,1712337
2010-07-16,22.26,22.4,21.44,21.55,2822067
2010-07-19,21.59,21.9,21.53,21.83,1390350
2010-07-20,21.67,21.79,21.36,21.66,1794664
2010-07-21,21.68,21.83,20.63,20.68,2731433
2010-07-22,20.89,21.56,20.84,21.19,1902175
2010-07-23,21.09,21.56,21.02,21.56,1288724
2010-07-26,21.48,21.86,21.38,21.85,2135145
2010-07-27,21.92,22.03,21.39,21.52,2642185
2010-07-28,21.45,21.6,21.19,21.31,1818271
2010-07-29,21.37,21.55,20.9,21.1,1313825
2010-07-30,20.94,21.44,20.86,21.07,1255616
2010-08-02,21.35,21.82,21.35,21.43,1831412
2010-08-03,21.48,21.48,21.07,21.14,1038939
2010-08-04,21.17,21.48,21.17,21.45,1734218
2010-08-05,21.32,21.56,21.15,21.49,952355
2010-08-06,21.32,21.62,21.23,21.49,1299082
2010-08-09,21.63,21.93,21.59,21.72,1373311
2010-08-10,21.58,21.61,20.97,21.4,2485187
2010-08-11,22.74,23.87,21.5,23.26,6178296
2010-08-12,23.01,23.04,22.43,22.75,3443245
2010-08-13,22.64,23.15,22.52,22.85,2529893
2010-08-16,22.73,22.86,22.45,22.59,1054966
2010-08-17,22.79,22.81,22.53,22.53,1497914
2010-08-18,22.54,22.82,22.4,22.48,1494921
2010-08-19,22.37,22.63,21.99,22.0,1627976
2010-08-20,21.85,22.86,21.53,22.81,2416397
2010-08-23,22.81,23.2,22.59,22.97,3722939
2010-08-24,22.67,23.15,22.25,22.27,3255020
2010-08-25,22.2,22.66,22.15,22.58,1995891
2010-08-26,22.64,22.77,22.3,22.48,1842235
2010-08-27,22.6,22.74,22.43,22.73,1311862
2010-08-30,22.65,22.65,22.05,22.1,1536385
2010-08-31,21.99,22.06,21.53,21.58,2013306
2010-09-01,21.78,22.19,21.55,22.18,2972674
2010-09-02,22.17,22.64,22.02,22.17,1743711
2010-09-03,22.36,22.72,22.25,22.55,1676740
2010-09-07,22.55,22.68,22.09,22.45,1695473
2010-09-08,22.48,22.72,22.34,22.65,1528136
2010-09-09,22.9,23.15,22.78,23.07,1209210
2010-09-10,22.94,23.34,22.87,23.31,1494277
2010-09-13,23.33,23.6,23.07,23.31,1525169
2010-09-14,23.33,24.3,23.33,24.0,2245937
2010-09-15,23.91,24.55,23.79,24.49,3276726
2010-09-16,24.2,24.47,23.8,24.16,14957709
2010-09-17,24.22,24.48,24.14,24.22,4248104
2010-09-20,24.22,24.7,24.16,24.66,1806711
2010-09-21,24.54,24.79,24.09,24.2,2460007
2010-09-22,24.16,24.37,23.99,24.2,3013442
2010-09-23,24.11,24.61,24.06,24.49,2874334
2010-09-24,24.69,25.08,24.48,24.95,1684779
2010-09-27,25.14,25.14,24.6,24.69,1662387
2010-09-28,24.8,25.14,24.57,25.0,3231817
2010-09-29,25.0,25.35,24.95,25.16,5771528
2010-09-30,25.16,25.25,24.71,24.84,2653332
2010-10-01,24.97,24.99,24.41,24.76,1993545
2010-10-04,24.64,24.76,24.29,24.42,1205483
2010-10-05,24.55,24.98,24.48,24.85,2015018
2010-10-06,24.81,24.94,24.53,24.71,1318893
2010-10-07,24.72,24.87,24.31,24.48,1866939
2010-10-08,24.56,24.86,24.4,24.49,1871769
2010-10-11,24.55,24.67,24.44,24.66,701229
2010-10-12,24.6,24.78,24.37,24.71,1583417
2010-10-13,24.77,25.2,24.76,24.96,2169930
2010-10-14,24.97,24.99,24.34,24.75,2500541
2010-10-15,24.89,25.1,24.3,24.63,3452337
2010-10-18,24.66,24.88,24.5,24.88,3664976
2010-10-19,24.62,24.76,24.18,24.4,2553598
2010-10-20,24.71,25.06,24.71,24.85,1828420
2010-10-21,24.96,25.07,24.68,24.84,1872966
2010-10-22,24.85,24.99,24.59,24.7,1490666
2010-10-25,24.83,24.99,24.62,24.68,863781
2010-10-26,24.63,24.65,24.32,24.38,1279982
2010-10-27,24.33,24.52,24.15,24.37,1343456
2010-10-28,24.49,24.62,24.19,24.36,554098
2010-10-29,24.29,24.31,23.95,24.14,1789700
2010-11-01,24.24,24.53,24.23,24.4,1573437
2010-11-02,23.78,24.18,22.6,23.03,6710360
2010-11-03,23.13,23.82,23.03,23.78,3099194
2010-11-04,23.85,24.63,23.85,24.14,2393495
2010-11-05,24.11,24.19,23.84,24.11,1764338
2010-11-08,23.96,23.98,23.28,23.42,2220457
2010-11-09,23.41,23.54,23.09,23.18,2212170
2010-11-10,23.15,23.27,22.93,23.11,1370129
2010-11-11,22.94,23.63,22.85,23.36,4954180
2010-11-12,23.23,23.23,22.88,23.11,2270390
2010-11-15,23.25,23.73,22.91,23.49,5483101
2010-11-16,23.37,23.55,22.95,23.17,3137534
2010-11-17,23.13,23.6,23.04,23.46,2072152
2010-11-18,23.55,24.03,23.39,23.95,2901211
2010-11-19,23.84,23.94,23.42,23.5,2129309
2010-11-22,23.4,23.46,23.0,23.43,1618058
2010-11-23,23.19,23.2,22.93,23.08,1538469
2010-11-24,23.14,23.35,23.09,23.29,942417
2010-11-26,23.07,23.41,23.07,23.28,243862
2010-11-29,23.22,23.22,22.81,23.0,1143516
2010-11-30,22.78,22.89,22.61,22.87,1935609
2010-12-01,23.07,23.59,22.9,23.57,2281555
2010-12-02,23.54,23.56,22.66,22.75,9351528
2010-12-03,22.66,23.08,22.53,23.0,3608202
2010-12-06,23.19,23.52,23.14,23.34,2552638
2010-12-07,23.43,23.51,23.3,23.43,2246762
2010-12-08,23.39,23.75,23.35,23.72,1857737
2010-12-09,23.83,23.89,23.59,23.71,1811424
2010-12-10,23.8,24.45,23.8,24.19,3244050
2010-12-13,24.32,24.33,23.94,24.19,3104725
2010-12-14,23.73,24.75,23.72,24.47,3637720
2010-12-15,24.47,24.6,24.23,24.41,2414952
2010-12-16,24.46,24.72,24.18,24.32,4148054
2010-12-17,24.3,24.96,24.3,24.86,3043530
2010-12-20,24.96,24.97,24.63,24.87,1171545
2010-12-21,24.89,25.27,24.67,25.21,1391334
2010-12-22,25.12,25.27,24.99,25.17,1199116
2010-12-23,25.1,25.26,24.89,25.22,1188712
2010-12-27,25.16,25.41,25.16,25.39,698327
2010-12-28,25.36,25.99,25.36,25.98,1479719
2010-12-29,25.97,26.24,25.57,25.65,1718828
2010-12-30,25.63,26.12,25.59,26.0,1613174
2010-12-31,26.0,26.04,25.58,25.7,1438094
2011-01-03,25.8,25.8,25.27,25.38,2204232
2011-01-04,25.58,25.75,24.97,25.48,2424639
2011-01-05,25.38,25.51,25.11,25.41,1352081
2011-01-06,25.4,25.49,25.15,25.41,1187955
2011-01-07,25.38,25.6,25.15,25.31,1372065
2011-01-10,25.19,25.24,24.95,25.22,1549125
2011-01-11,25.32,25.67,25.13,25.66,1026717
2011-01-12,25.7,26.08,25.46,25.92,1935260
2011-01-13,25.85,26.58,25.85,26.49,2466492
2011-01-14,26.4,26.98,26.11,26.84,2287322
2011-01-18,26.71,26.8,26.2,26.21,1690532
2011-01-19,26.15,26.46,25.88,26.03,2853984
2011-01-20,25.94,26.07,25.65,25.91,1561513
2011-01-21,26.09,26.48,26.04,26.06,1622399
2011-01-24,26.01,26.48,26.01,26.42,1158149
2011-01-25,26.33,26.61,25.98,26.2,968205
2011-01-26,26.21,26.24,26.01,26.17,890190
2011-01-27,26.14,26.28,25.68,25.77,1641452
2011-01-28,25.88,26.0,25.14,25.22,2440037
2011-01-31,25.28,25.74,25.26,25.73,1440356
2011-02-01,26.01,26.9,25.93,26.31,3649208
2011-02-02,26.16,26.33,25.98,26.17,2044273
2011-02-03,26.08,27.18,26.05,26.69,2870481
2011-02-04,26.6,27.82,26.5,27.43,2540182
2011-02-07,27.48,28.03,27.33,28.0,1983832
2011-02-08,27.95,27.95,27.26,27.7,2320206
2011-02-09,27.54,27.54,27.05,27.25,1904103
2011-02-10,27.21,27.42,27.12,27.34,1486314
2011-02-11,27.21,27.9,27.05,27.79,1491444
2011-02-14,27.79,27.89,27.53,27.58,811429
2011-02-15,27.58,27.92,27.4,27.84,1021376
2011-02-16,27.84,28.35,27.73,28.08,1342449
2011-02-17,27.98,28.19,27.82,28.0,701280
2011-02-18,27.98,28.16,27.79,28.04,1054724
2011-02-22,27.8,27.8,27.16,27.38,1762303
2011-02-23,27.39,27.49,26.99,27.09,1567363
2011-02-24,27.12,27.21,26.91,27.0,1204262
2011-02-25,27.12,27.48,27.02,27.39,768226
2011-02-28,27.42,27.61,27.24,27.32,1856316
2011-03-01,27.39,27.59,27.05,27.09,1932662
2011-03-02,27.02,27.44,26.96,27.31,1065760
2011-03-03,27.61,28.3,27.61,28.13,1541045
2011-03-04,28.16,28.28,27.62,27.92,767886
2011-03-07,27.97,28.09,27.19,27.5,1166703
2011-03-08,27.55,28.11,27.42,28.05,1106064
2011-03-09,27.86,28.08,27.72,27.99,909060
2011-03-10,27.72,27.85,27.43,27.46,1134101
2011-03-11,27.44,27.89,27.15,27.88,1370249
2011-03-14,27.6,27.84,27.03,27.11,1373359
2011-03-15,26.43,27.28,25.91,27.13,1420782
2011-03-16,27.05,27.22,26.79,26.81,1510869
2011-03-17,27.13,27.27,26.86,27.03,832930
2011-03-18,27.29,27.43,26.81,27.05,1245396
2011-03-21,27.3,27.58,27.15,27.48,1465058
2011-03-22,27.52,27.52,27.18,27.27,885022
2011-03-23,27.17,27.24,26.98,27.14,743817
2011-03-24,27.27,27.46,27.03,27.27,1013922
2011-03-25,27.29,27.94,27.21,27.88,2341975
2011-03-28,27.88,28.23,27.83,27.99,1358040
2011-03-29,27.92,28.14,27.74,28.08,1182018
2011-03-30,28.23,28.61,28.16,28.51,1667516
2011-03-31,28.4,28.5,28.03,28.2,1277891
2011-04-01,28.49,28.75,28.08,28.21,1803435
2011-04-04,28.28,28.29,27.92,27.96,1902251
2011-04-05,27.86,28.07,27.7,27.97,3300669
2011-04-06,28.02,28.02,27.74,27.92,1400948
2011-04-07,27.83,28.29,27.83,28.13,1365141
2011-04-08,28.19,28.25,27.79,27.84,885302
2011-04-11,27.27,27.93,27.27,27.6,1438934
2011-04-12,27.43,27.57,27.15,27.41,1262225
2011-04-13,28.63,28.64,28.03,28.34,4175692
2011-04-14,28.24,29.41,28.16,29.18,3511962
2011-04-15,29.32,29.5,29.11,29.3,2330601
2011-04-18,28.99,29.02,28.54,28.84,1088767
2011-04-19,28.87,29.27,28.7,29.25,1532871
2011-04-20,29.57,29.58,29.04,29.21,1607243
2011-04-21,29.38,29.51,29.15,29.42,1331091
2011-04-25,29.27,29.4,28.94,29.15,1292523
2011-04-26,29.32,29.56,29.31,29.42,946291
2011-04-27,29.46,29.65,29.33,29.5,824850
2011-04-28,29.41,29.55,29.24,29.26,1551677
2011-04-29,29.21,29.73,29.21,29.37,1595543
2011-05-02,29.52,29.72,29.34,29.51,1279225
2011-05-03,29.5,29.83,29.43,29.56,1551975
2011-05-04,29.52,29.62,29.17,29.23,1610445
2011-05-05,29.24,29.29,28.8,28.92,1957086
2011-05-06,29.07,29.34,28.75,29.2,2793239
2011-05-09,29.13,29.22,28.92,29.05,2173965
2011-05-10,29.15,29.56,29.1,29.44,2265684
2011-05-11,29.44,29.92,29.44,29.82,2651637
2011-05-12,29.76,29.91,29.64,29.89,2490253
2011-05-13,29.95,29.97,29.54,29.82,2138014
2011-05-16,29.72,29.78,29.33,29.35,1310478
2011-05-17,29.3,29.3,28.91,29.12,1617637
2011-05-18,29.16,29.26,29.04,29.14,1390478
2011-05-19,29.3,29.42,28.94,29.12,2110948
2011-05-20,29.08,29.09,28.6,28.84,1447820
2011-05-23,28.54,28.77,28.31,28.65,2458277
2011-05-24,28.67,29.15,28.51,29.06,2638266
2011-05-25,28.92,29.2,28.82,29.05,1446784
2011-05-26,28.87,29.05,28.7,28.91,1568690
2011-05-27,28.96,29.16,28.64,28.7,1332005
2011-05-31,29.05,29.19,28.72,28.98,3379576
2011-06-01,28.91,28.95,28.07,28.11,1983517
2011-06-02,28.13,28.22,27.53,27.74,2143282
2011-06-03,27.45,27.73,27.35,27.62,1846710
2011-06-06,27.57,27.65,27.41,27.41,1859392
2011-06-07,27.64,28.09,27.32,27.69,2277621
2011-06-08,27.56,27.67,27.42,27.61,1711317
2011-06-09,27.66,28.26,27.58,28.11,2141251
2011-06-10,27.96,27.96,27.59,27.66,1805341
2011-06-13,27.75,27.9,27.42,27.47,1568596
2011-06-14,27.65,27.74,27.43,27.46,1549931
2011-06-15,27.38,27.5,26.8,26.93,3186832
2011-06-16,26.95,27.05,26.7,26.9,1472151
2011-06-17,26.99,27.07,26.65,26.66,1839684
2011-06-20,26.65,27.02,26.57,26.81,1395912
2011-06-21,26.94,27.4,26.83,27.31,2884721
2011-06-22,27.18,27.3,27.09,27.18,1657927
2011-06-23,26.84,27.24,26.64,27.2,2478373
2011-06-24,27.16,27.16,26.15,26.4,5164800
2011-06-27,26.32,26.87,26.3,26.78,1451577
2011-06-28,26.82,27.12,26.76,27.12,1789352
2011-06-29,27.19,27.25,26.67,26.77,3558680
2011-06-30,26.88,27.34,26.74,27.17,2937399
2011-07-01,27.12,27.68,27.12,27.67,2338292
2011-07-05,27.66,27.85,27.64,27.76,3106632
2011-07-06,27.76,27.92,27.61,27.88,2287916
2011-07-07,28.05,28.21,27.93,28.12,1346454
2011-07-08,27.8,28.16,27.76,28.1,1437624
2011-07-11,27.75,27.91,27.59,27.66,1523478
2011-07-12,27.75,28.02,27.65,27.69,1254109
2011-07-13,27.88,28.2,27.66,27.74,1164476
2011-07-14,27.75,27.9,27.4,27.5,1215858
2011-07-15,27.62,27.68,27.42,27.61,1507957
2011-07-18,27.49,27.6,27.14,27.28,1642601
2011-07-19,27.46,27.87,27.31,27.73,1144537
2011-07-20,27.73,27.77,27.4,27.6,978695
2011-07-21,27.78,28.25,27.64,28.14,1456584
2011-07-22,28.07,28.1,27.7,27.9,1055159
2011-07-25,27.61,27.68,27.36,27.45,883213
2011-07-26,27.42,27.47,27.11,27.14,951651
2011-07-27,27.09,27.16,26.62,26.69,1290519
2011-07-28,26.66,26.99,26.44,26.49,862443
2011-07-29,26.27,26.59,26.02,26.39,1834553
2011-08-01,26.58,26.58,25.4,25.49,2062175
2011-08-02,25.37,25.51,24.45,24.55,6652527
2011-08-03,24.52,25.06,24.3,25.01,6537282
2011-08-04,24.71,24.94,23.96,24.05,4228654
2011-08-05,24.34,24.47,23.32,24.02,2834575
2011-08-08,23.51,25.2,22.01,22.26,7250824
2011-08-09,22.3,25.2,22.3,24.48,6463314
2011-08-10,24.02,24.02,23.01,23.07,4650960
2011-08-11,23.14,24.78,22.99,24.76,3180404
2011-08-12,24.94,25.6,24.7,25.59,3241547
2011-08-15,25.75,25.75,24.92,25.56,3850650
2011-08-16,25.35,25.87,25.0,25.71,2921006
2011-08-17,25.85,26.03,25.36,25.49,1973730
2011-08-18,24.81,24.96,24.02,24.21,2806431
2011-08-19,23.89,24.59,23.73,23.86,2831374
