Date,Open,High,Low,Close,Volume
2010-01-04,47.12,48.88,46.94,48.21,2749522
2010-01-05,48.4,49.2,48.05,48.95,2086813
2010-01-06,49.22,50.7,49.11,50.64,3854443
2010-01-07,50.26,50.71,49.12,49.88,2707238
2010-01-08,49.69,53.2,49.56,53.12,4280529
2010-01-11,54.7,55.4,52.38,52.88,4115208
2010-01-12,51.8,52.18,49.5,50.24,4647309
2010-01-13,50.72,51.75,48.7,51.55,3670816
2010-01-14,51.34,52.98,51.34,51.75,3080813
2010-01-15,51.39,51.55,49.65,49.75,3593764
2010-01-19,49.73,51.6,49.4,51.56,4687077
2010-01-20,50.19,50.19,48.68,49.18,4375373
2010-01-21,49.39,49.41,44.66,44.74,8930196
2010-01-22,44.11,45.49,42.18,42.37,7379982
2010-01-25,43.37,43.88,42.4,42.89,4260439
2010-01-26,41.97,43.12,41.06,41.6,5667340
2010-01-27,42.0,42.66,39.19,41.01,5805561
2010-01-28,41.65,41.89,39.59,40.04,4333587
2010-01-29,40.66,41.88,39.52,39.95,6848717
2010-02-01,40.86,43.16,40.85,43.07,5412937
2010-02-02,43.77,44.74,42.22,44.54,5088045
2010-02-03,43.95,46.18,43.75,44.55,8061629
2010-02-04,43.49,43.67,40.18,40.23,5971532
2010-02-05,40.52,41.74,39.13,41.69,6416328
2010-02-08,41.9,42.86,40.51,40.53,3504899
2010-02-09,41.97,42.77,40.9,42.75,5729304
2010-02-10,42.64,43.91,42.0,43.12,5551597
2010-02-11,43.33,45.95,43.03,45.81,5384021
2010-02-12,44.63,46.28,44.1,45.87,5455839
2010-02-16,47.3,48.95,47.16,48.17,5727791
2010-02-17,48.64,48.78,46.55,47.4,5190091
2010-02-18,47.39,51.44,47.31,50.9,10515864
2010-02-19,50.74,54.45,50.69,53.6,10466249
2010-02-22,54.35,55.34,53.2,54.49,6670985
2010-02-23,53.76,54.2,52.18,52.72,7025590
2010-02-24,53.31,54.5,53.14,53.95,6860945
2010-02-25,52.36,55.69,51.8,55.53,6952443
2010-02-26,55.78,56.46,54.63,56.4,4489865
2010-03-01,57.04,59.32,56.22,59.08,6219948
2010-03-02,59.54,59.89,58.16,58.65,6926151
2010-03-03,59.24,60.3,57.01,57.41,7471468
2010-03-04,57.49,58.94,56.46,58.65,7449596
2010-03-05,59.42,60.69,59.32,60.65,5899727
2010-03-08,61.17,61.5,59.64,60.17,3723081
2010-03-09,59.31,60.33,58.6,59.18,4834013
2010-03-10,59.66,60.49,58.66,59.71,4934219
2010-03-11,59.07,60.46,58.41,60.31,3942735
2010-03-12,61.5,64.74,61.28,64.34,10258811
2010-03-15,63.71,63.93,62.12,63.15,4151655
2010-03-16,64.97,66.97,64.79,66.27,8835728
2010-03-17,67.22,67.53,65.09,65.43,5925780
2010-03-18,65.71,65.97,64.21,64.56,4663794
2010-03-19,64.93,65.3,62.4,64.01,5766479
2010-03-22,62.85,65.45,61.87,65.24,5011597
2010-03-23,66.23,69.84,65.72,69.72,7465883
2010-03-24,70.09,72.77,69.68,71.76,10190167
2010-03-25,72.92,73.38,68.74,69.03,9404154
2010-03-26,70.28,72.0,69.69,71.26,8478360
2010-03-29,72.79,73.95,72.23,72.85,5930148
2010-03-30,73.27,73.75,70.77,71.25,6540264
2010-03-31,70.34,72.09,70.27,70.95,4504702
2010-04-01,72.47,73.5,71.39,72.35,5753319
2010-04-05,73.42,75.0,72.76,74.85,4650606
2010-04-06,74.26,76.17,73.97,74.02,5622274
2010-04-07,73.92,74.39,71.8,72.41,5883697
2010-04-08,71.76,73.5,71.01,73.26,5189958
2010-04-09,74.98,75.58,73.99,74.83,5841302
2010-04-12,75.29,75.48,73.53,73.98,3813319
2010-04-13,73.42,74.45,72.51,73.47,3881997
2010-04-14,74.61,75.55,73.15,75.43,4601474
2010-04-15,75.0,75.94,73.31,73.79,4467999
2010-04-16,72.99,74.3,69.77,70.24,7642255
2010-04-19,69.69,70.55,67.25,68.71,6431471
2010-04-20,69.91,71.26,69.8,70.1,4483446
2010-04-21,70.52,70.59,67.5,68.87,6118443
2010-04-22,67.41,70.04,66.56,69.61,5615530
2010-04-23,71.78,73.94,71.15,72.85,6433862
2010-04-26,73.8,74.75,72.43,73.0,3821353
2010-04-27,72.01,72.24,68.06,68.54,6632369
2010-04-28,69.86,70.7,68.34,70.21,6299687
2010-04-29,70.6,71.15,63.25,64.33,17512411
2010-04-30,65.13,65.86,62.25,62.53,7435736
2010-05-03,61.89,62.41,58.66,58.95,12121010
2010-05-04,56.93,57.03,53.29,54.55,17614857
2010-05-05,52.9,60.12,52.2,58.73,21667150
2010-05-06,59.31,60.46,50.8,56.0,14864001
2010-05-07,56.3,58.12,52.75,56.12,13512963
2010-05-10,60.09,61.4,59.5,61.18,8334397
2010-05-11,59.81,59.81,56.64,56.79,14706318
2010-05-12,57.21,58.24,55.61,57.34,13025507
2010-05-13,57.94,59.25,55.93,56.3,8588347
2010-05-14,55.0,55.47,52.12,53.98,8902684
2010-05-17,53.64,53.87,50.56,52.92,9393363
2010-05-18,54.6,55.0,50.9,51.04,8552244
2010-05-19,50.1,52.15,48.79,50.91,13425997
2010-05-20,48.89,49.9,46.65,47.35,11772265
2010-05-21,46.4,51.1,46.4,50.47,11543262
2010-05-24,51.94,52.16,50.04,50.26,7851797
2010-05-25,48.13,51.97,46.64,51.69,14727090
2010-05-26,53.23,54.79,52.33,53.26,15355371
2010-05-27,55.81,57.7,54.75,57.69,9782571
2010-05-28,57.34,57.93,54.75,55.86,7069435
2010-06-01,54.23,54.84,51.26,51.3,6722879
2010-06-02,52.25,54.36,51.63,54.35,5592446
2010-06-03,55.48,55.48,51.6,53.22,6158439
2010-06-04,50.69,51.87,48.77,49.22,9701795
2010-06-07,49.67,50.3,47.85,47.99,6845751
2010-06-08,48.15,50.19,47.7,50.11,8141833
2010-06-09,50.93,53.3,50.33,50.8,8969658
2010-06-10,53.0,54.87,52.41,54.87,8387210
2010-06-11,53.84,56.18,53.77,55.97,5818075
2010-06-14,57.52,58.43,55.9,56.12,6695687
2010-06-15,57.46,58.07,56.1,57.93,5062606
2010-06-16,57.03,58.2,56.5,57.51,4280428
2010-06-17,58.48,58.5,55.42,56.36,5880053
2010-06-18,56.64,56.86,55.73,56.22,4382085
2010-06-21,59.04,60.27,57.16,57.89,8188613
2010-06-22,58.17,59.02,55.8,55.88,4753014
2010-06-23,55.72,57.08,54.19,56.3,5883226
2010-06-24,55.5,55.99,53.78,53.94,4888919
2010-06-25,54.67,56.5,53.72,56.37,8185350
2010-06-28,56.38,56.38,54.3,54.44,3526238
2010-06-29,52.0,52.25,47.93,48.49,11436656
2010-06-30,48.68,49.8,47.0,47.16,6962940
2010-07-01,46.91,48.51,44.91,46.85,8920399
2010-07-02,47.73,47.99,46.31,46.89,5719513
2010-07-06,48.7,49.53,44.46,44.49,10905487
2010-07-07,44.49,48.43,44.2,48.43,9119830
2010-07-08,49.5,49.5,47.63,49.42,7425702
2010-07-09,49.08,51.3,49.01,51.07,5752407
2010-07-12,50.62,50.62,47.37,47.95,7400983
2010-07-13,49.8,49.98,47.84,48.9,6722388
2010-07-14,48.3,49.23,47.56,48.64,5514587
2010-07-15,48.39,49.15,47.53,48.46,4579267
2010-07-16,47.91,48.13,46.35,46.55,5171260
2010-07-19,47.15,47.43,45.18,46.52,5124616
2010-07-20,45.51,50.5,45.51,50.33,8560082
2010-07-21,52.01,53.51,50.61,51.28,9231420
2010-07-22,52.75,54.85,51.99,54.52,7923059
