Date,Open,High,Low,Close,Volume
2010-01-04,51.28,53.47,51.1,52.95,3539637
2010-01-05,53.0,55.35,52.96,54.53,3187520
2010-01-06,55.07,56.66,54.72,56.34,3376036
2010-01-07,56.0,56.0,54.49,55.46,2772175
2010-01-08,55.05,56.5,54.48,56.21,1781161
2010-01-11,57.84,58.0,54.71,55.12,2579224
2010-01-12,54.22,54.95,53.62,54.3,3113512
2010-01-13,54.85,54.93,52.94,54.53,1960545
2010-01-14,54.59,55.07,53.7,53.82,2065576
2010-01-15,53.72,54.13,52.31,52.9,3153303
2010-01-19,52.71,53.69,52.5,53.61,1938791
2010-01-20,52.69,52.91,51.46,52.81,2117692
2010-01-21,51.38,52.02,49.58,49.75,3847896
2010-01-22,51.0,51.66,48.8,49.16,5978200
2010-01-25,50.08,50.77,49.61,49.9,2008184
2010-01-26,49.0,51.47,48.42,50.01,3479231
2010-01-27,49.77,50.59,47.69,50.03,3586948
2010-01-28,50.85,51.36,48.17,49.34,3459351
2010-01-29,49.91,50.83,46.09,46.61,5998114
2010-02-01,47.43,50.07,46.87,49.97,4610017
2010-02-02,50.25,50.41,48.74,50.08,3448423
2010-02-03,50.07,50.98,48.77,49.14,2579303
2010-02-04,48.32,48.47,45.06,45.32,4456118
2010-02-05,45.14,46.17,43.98,46.05,4974760
2010-02-08,46.26,46.52,44.53,44.58,2776711
2010-02-09,45.73,47.59,45.54,46.54,4461313
2010-02-10,46.41,46.95,44.53,45.8,3344739
2010-02-11,46.1,48.84,46.04,48.49,4340845
2010-02-12,47.49,49.44,46.62,49.36,4889879
2010-02-16,50.47,50.76,50.06,50.5,3205664
2010-02-17,50.74,50.92,49.15,50.13,3340256
2010-02-18,49.74,50.47,49.04,49.67,3262708
2010-02-19,49.11,50.5,49.06,49.91,2504916
2010-02-22,50.39,51.0,49.71,49.94,3216761
2010-02-23,49.68,49.9,47.08,47.16,4649879
2010-02-24,47.37,48.52,47.24,48.18,3496633
2010-02-25,46.52,49.75,46.03,49.6,4407434
2010-02-26,49.22,50.59,48.79,50.36,3083543
2010-03-01,51.18,52.43,50.72,52.29,3874097
2010-03-02,52.61,54.8,52.56,53.84,4154403
2010-03-03,54.06,54.87,53.71,53.96,2988838
2010-03-04,53.94,54.37,52.44,53.05,3598225
2010-03-05,53.73,55.33,53.27,55.05,3843471
2010-03-08,55.09,55.39,53.28,53.71,2962085
2010-03-09,53.07,53.75,52.56,53.24,2355468
2010-03-10,53.53,54.3,53.0,53.68,2330021
2010-03-11,53.29,54.43,53.03,53.93,2799610
2010-03-12,54.41,54.99,53.94,54.33,2441719
2010-03-15,50.8,50.99,48.51,48.85,9424013
2010-03-16,49.34,49.43,47.69,48.69,7328085
2010-03-17,49.17,50.17,48.37,48.58,5299834
2010-03-18,48.64,49.3,47.18,47.43,4859951
2010-03-19,47.55,48.16,45.45,45.55,6011681
2010-03-22,44.73,45.05,43.19,44.69,8900269
2010-03-23,45.24,45.44,44.41,44.87,5236526
2010-03-24,45.37,46.32,45.02,45.7,7480120
2010-03-25,45.83,45.98,42.86,42.97,9406837
2010-03-26,42.43,43.04,42.05,42.5,34625309
2010-03-29,42.92,43.39,42.54,42.66,13193922
2010-03-30,42.95,42.99,41.81,42.28,8124379
2010-03-31,42.34,43.26,42.27,42.66,8159672
2010-04-01,43.24,44.25,42.76,43.94,10016305
2010-04-05,44.03,45.33,44.03,45.27,7083992
2010-04-06,45.36,46.12,44.72,45.94,8882539
