Date,Open,High,Low,Close,Volume
2010-01-04,0.48,0.48,0.47,0.48,312266000
2010-01-05,0.48,0.48,0.48,0.48,208435000
2010-01-06,0.48,0.49,0.48,0.49,231820600
2010-01-07,0.49,0.49,0.48,0.49,215262400
2010-01-08,0.48,0.49,0.48,0.49,291009900
2010-01-11,0.49,0.49,0.49,0.49,202528500
2010-01-12,0.49,0.49,0.48,0.49,172388800
2010-01-13,0.49,0.5,0.49,0.5,192923800
2010-01-14,0.5,0.5,0.49,0.49,247958900
2010-01-15,0.49,0.49,0.48,0.48,286248900
2010-01-19,0.48,0.49,0.48,0.49,359705800
2010-01-20,0.51,0.52,0.51,0.52,728300200
2010-01-21,0.52,0.52,0.51,0.51,582780500
2010-01-22,0.5,0.51,0.5,0.51,516190000
2010-01-25,0.52,0.52,0.51,0.51,444477000
2010-01-26,0.51,0.51,0.51,0.51,383675500
2010-01-27,0.51,0.51,0.5,0.51,204555100
2010-01-28,0.51,0.51,0.5,0.51,254152500
2010-01-29,0.51,0.51,0.5,0.51,365872100
2010-02-01,0.51,0.51,0.5,0.5,323518300
2010-02-02,0.5,0.51,0.5,0.51,254047100
2010-02-03,0.51,0.51,0.51,0.51,168459100
2010-02-04,0.51,0.51,0.5,0.51,367566300
2010-02-05,0.5,0.51,0.48,0.49,504310700
2010-02-08,0.49,0.5,0.49,0.49,229754500
2010-02-09,0.5,0.5,0.49,0.5,232642500
2010-02-10,0.49,0.5,0.49,0.49,272473400
2010-02-11,0.49,0.5,0.49,0.5,279564800
2010-02-12,0.5,0.5,0.49,0.5,191408400
2010-02-16,0.5,0.5,0.49,0.5,219020300
2010-02-17,0.5,0.51,0.5,0.51,194753200
2010-02-18,0.51,0.51,0.5,0.51,126711100
2010-02-19,0.51,0.51,0.5,0.5,277293300
2010-02-22,0.5,0.51,0.5,0.5,146705700
2010-02-23,0.51,0.51,0.5,0.5,378000700
2010-02-24,0.5,0.5,0.5,0.5,226549500
2010-02-25,0.5,0.5,0.49,0.5,241035100
2010-02-26,0.5,0.5,0.49,0.49,379593900
2010-03-01,0.49,0.5,0.49,0.5,344555900
2010-03-02,0.5,0.5,0.5,0.5,324211200
2010-03-03,0.51,0.51,0.5,0.5,185808000
2010-03-04,0.5,0.5,0.5,0.5,182111800
2010-03-05,0.5,0.5,0.5,0.5,326457300
2010-03-08,0.5,0.5,0.5,0.5,194652900
2010-03-09,0.5,0.52,0.5,0.51,394936200
2010-03-10,0.51,0.52,0.51,0.51,230467100
2010-03-11,0.51,0.51,0.5,0.51,249261000
2010-03-12,0.51,0.51,0.5,0.5,154078500
2010-03-15,0.5,0.51,0.5,0.51,122771700
2010-03-16,0.5,0.51,0.5,0.5,122712100
2010-03-17,0.52,0.52,0.51,0.51,303195600
2010-03-18,0.51,0.51,0.51,0.51,143641400
2010-03-19,0.51,0.51,0.51,0.51,205015700
2010-03-22,0.51,0.52,0.51,0.51,234605700
2010-03-23,0.51,0.51,0.51,0.51,123189300
2010-03-24,0.51,0.51,0.5,0.5,347950000
2010-03-25,0.5,0.5,0.5,0.5,314997200
2010-03-26,0.5,0.5,0.49,0.49,198070900
2010-03-29,0.49,0.5,0.49,0.5,201184900
2010-03-30,0.5,0.51,0.49,0.5,209596800
2010-03-31,0.5,0.51,0.5,0.5,181569300
2010-04-01,0.5,0.51,0.5,0.5,213709800
2010-04-05,0.5,0.51,0.5,0.51,109249200
2010-04-06,0.51,0.51,0.51,0.51,107561800
2010-04-07,0.51,0.51,0.5,0.5,219179400
2010-04-08,0.5,0.5,0.49,0.49,264633700
2010-04-09,0.5,0.51,0.5,0.51,283010400
2010-04-12,0.51,0.51,0.5,0.51,162414800
2010-04-13,0.5,0.51,0.5,0.5,256135100
2010-04-14,0.51,0.52,0.51,0.51,438427400
2010-04-15,0.52,0.52,0.51,0.52,162046100
2010-04-16,0.52,0.52,0.51,0.51,285594700
2010-04-19,0.51,0.51,0.51,0.51,161114200
2010-04-20,0.52,0.52,0.52,0.52,261597800
2010-04-21,0.51,0.51,0.5,0.5,596082100
2010-04-22,0.5,0.5,0.48,0.49,470897500
2010-04-23,0.49,0.5,0.49,0.49,287986100
2010-04-26,0.49,0.49,0.48,0.48,440536400
2010-04-27,0.48,0.48,0.47,0.47,402072600
