Date,Open,High,Low,Close,Volume
2010-01-04,57.94,58.0,57.49,57.74,847667
2010-01-05,57.86,57.95,57.28,57.72,695592
2010-01-06,57.76,57.95,57.48,57.93,868630
2010-01-07,57.6,57.88,57.12,57.35,753190
2010-01-08,57.2,57.21,56.65,57.2,701810
2010-01-11,57.29,57.52,56.58,56.85,645138
2010-01-12,56.64,56.64,55.93,56.23,896601
2010-01-13,56.26,56.98,56.19,56.82,598296
2010-01-14,56.88,57.12,56.5,57.01,722164
2010-01-15,56.91,57.04,55.74,55.96,807160
2010-01-19,55.84,57.01,55.71,57.01,918308
2010-01-20,56.56,56.56,55.96,56.49,804532
2010-01-21,56.47,56.65,54.83,54.99,1299332
2010-01-22,54.9,54.9,53.18,53.23,1263173
2010-01-25,53.44,53.68,52.7,53.2,1153773
2010-01-26,53.14,53.14,52.7,52.74,1015427
2010-01-27,52.72,52.89,51.94,52.43,1524917
2010-01-28,52.7,52.77,51.51,52.14,1112832
2010-01-29,52.46,52.46,51.21,51.3,1102396
2010-02-01,51.6,52.61,51.0,52.51,1454263
2010-02-02,52.45,53.1,52.19,53.06,920268
2010-02-03,52.88,53.15,52.49,52.87,554624
2010-02-04,52.46,52.66,51.28,51.29,1020069
2010-02-05,51.32,51.5,50.53,51.36,1115674
2010-02-08,52.05,52.86,51.47,51.68,1232086
2010-02-09,52.15,52.73,51.72,52.5,1233837
2010-02-10,53.66,53.66,51.8,52.13,1658406
2010-02-11,51.98,52.46,51.4,52.23,1160303
2010-02-12,51.74,51.97,50.51,51.27,1582216
2010-02-16,51.58,52.19,51.26,52.19,941157
2010-02-17,52.29,52.32,51.85,52.05,850948
2010-02-18,52.05,52.4,51.89,52.3,663192
2010-02-19,52.13,52.7,51.78,52.45,905808
2010-02-22,52.08,52.59,52.02,52.3,837854
2010-02-23,52.24,52.46,51.68,52.18,949187
2010-02-24,52.24,52.33,51.73,51.9,1124379
2010-02-25,51.22,51.5,50.72,51.4,821901
2010-02-26,51.34,51.86,51.09,51.79,939982
2010-03-01,51.78,52.67,51.69,52.45,1063624
2010-03-02,52.6,52.99,52.42,52.56,877843
2010-03-03,52.77,52.77,52.22,52.31,1030465
2010-03-04,52.27,52.4,51.79,51.99,1111795
2010-03-05,52.21,52.99,52.15,52.96,648312
2010-03-08,52.89,53.32,52.89,53.15,745784
2010-03-09,53.0,53.46,52.77,53.29,623947
2010-03-10,53.37,53.61,53.04,53.56,849273
2010-03-11,53.3,53.6,53.08,53.6,778429
2010-03-12,53.6,53.62,53.13,53.45,563673
2010-03-15,53.35,53.67,53.15,53.58,500898
2010-03-16,53.72,53.74,53.33,53.66,610806
2010-03-17,53.68,54.46,53.61,54.38,1059437
2010-03-18,54.42,54.65,54.2,54.44,929563
2010-03-19,54.53,54.93,54.31,54.56,1634218
2010-03-22,54.17,55.17,54.0,55.03,1241011
2010-03-23,55.22,55.48,54.87,55.43,902310
2010-03-24,55.28,55.28,54.8,54.88,1008594
2010-03-25,55.02,55.13,54.75,54.81,1451372
2010-03-26,54.88,54.99,54.51,54.58,1049268
2010-03-29,54.73,55.07,54.63,54.97,572542
2010-03-30,55.0,55.08,54.72,54.99,549985
2010-03-31,54.69,54.97,54.42,54.49,1136623
2010-04-01,54.21,55.1,53.61,54.25,4601042
2010-04-05,53.29,54.71,52.9,54.04,1896266
2010-04-06,53.68,54.09,53.59,53.89,1662917
2010-04-07,53.8,54.06,53.64,53.77,1474530
2010-04-08,53.54,53.79,53.15,53.66,1213363
2010-04-09,53.83,54.54,53.61,54.51,1039399
2010-04-12,54.47,54.98,54.34,54.82,1557667
2010-04-13,54.88,55.0,54.54,54.91,1215661
2010-04-14,55.02,55.59,54.74,55.54,1510053
2010-04-15,55.45,55.7,55.09,55.7,1875581
2010-04-16,55.6,55.62,55.05,55.2,1412856
2010-04-19,54.97,54.99,54.39,54.85,1439772
2010-04-20,55.12,55.28,54.71,55.22,1155188
2010-04-21,55.4,55.4,54.83,55.28,814892
2010-04-22,54.9,55.46,54.39,55.34,924510
2010-04-23,55.26,55.65,54.86,55.61,711943
2010-04-26,55.55,55.86,55.4,55.42,1017071
2010-04-27,55.1,55.27,54.02,54.12,969580
2010-04-28,54.36,54.49,53.11,53.49,1614743
2010-04-29,53.74,53.83,53.24,53.73,995168
2010-04-30,53.82,53.82,52.32,52.39,1076574
2010-05-03,52.82,52.82,51.82,51.92,1464199
2010-05-04,51.51,51.65,50.34,51.0,1515688
2010-05-05,50.44,51.22,50.44,50.96,1341978
2010-05-06,50.93,51.55,49.06,50.27,3076397
2010-05-07,50.36,50.52,49.02,49.58,2856906
2010-05-10,51.96,51.96,50.49,51.16,1812340
2010-05-11,50.59,51.5,50.56,50.89,1340338
2010-05-12,50.96,51.94,50.96,51.83,1175465
2010-05-13,51.81,52.02,51.25,51.27,842070
2010-05-14,51.07,51.07,49.58,49.85,1732695
2010-05-17,49.87,50.37,49.31,49.87,1732064
2010-05-18,50.11,50.36,49.27,49.34,1700444
2010-05-19,49.32,49.67,48.81,49.11,1493676
2010-05-20,49.0,49.38,47.7,47.88,2338825
2010-05-21,47.38,49.99,47.05,49.74,3240409
2010-05-24,49.4,49.49,48.61,48.82,2233947
2010-05-25,47.72,48.23,47.1,48.22,3095853
2010-05-26,48.41,49.38,48.27,48.54,1967514
2010-05-27,49.35,49.85,49.12,49.84,1129357
2010-05-28,49.93,50.33,49.53,49.99,2015920
2010-06-01,49.47,49.7,47.87,47.94,2482445
2010-06-02,48.22,49.58,48.1,49.55,2113734
2010-06-03,49.72,50.35,49.58,50.26,1475261
2010-06-04,49.33,49.44,47.64,47.78,2147185
2010-06-07,47.82,48.23,47.3,47.35,1835039
2010-06-08,47.34,48.04,47.19,47.99,1679814
2010-06-09,48.21,48.73,47.72,47.93,994627
2010-06-10,48.65,49.49,48.45,49.44,928933
2010-06-11,48.71,49.3,48.64,49.24,888985
2010-06-14,49.71,49.9,49.07,49.1,1108905
2010-06-15,49.26,50.26,49.18,50.19,898973
2010-06-16,49.78,50.6,49.57,50.41,805006
2010-06-17,50.42,51.0,50.16,51.0,1420611
2010-06-18,50.99,51.06,50.34,50.53,1342797
2010-06-21,51.17,51.37,50.01,50.27,1194038
2010-06-22,50.28,50.66,49.31,49.41,944367
2010-06-23,49.29,49.56,48.78,49.06,726335
2010-06-24,48.94,48.95,47.68,47.86,892321
2010-06-25,48.04,48.21,47.4,47.91,1223790
2010-06-28,48.03,48.03,47.34,47.5,861185
2010-06-29,46.94,46.96,45.29,45.56,1562405
2010-06-30,45.28,46.0,45.08,45.25,1784961
2010-07-01,45.22,45.29,44.16,44.62,1449982
2010-07-02,44.71,44.85,44.04,44.1,1339132
2010-07-06,44.39,44.68,43.42,43.7,1480014
2010-07-07,43.88,45.28,43.86,45.25,1166582
2010-07-08,45.51,45.97,45.09,45.35,2065493
2010-07-09,45.37,45.73,45.2,45.67,958799
2010-07-12,45.57,46.1,45.45,45.87,879764
2010-07-13,46.28,47.18,46.07,47.01,1246205
2010-07-14,46.72,47.14,46.4,46.7,958528
2010-07-15,46.68,46.82,46.07,46.71,1086564
2010-07-16,46.47,46.47,45.28,45.3,1101448
2010-07-19,45.53,46.21,45.53,46.09,971792
2010-07-20,45.35,46.18,45.1,46.18,1156922
2010-07-21,46.48,46.48,44.92,45.12,1318239
2010-07-22,45.68,46.5,45.56,46.4,1124908
2010-07-23,46.24,46.92,46.09,46.78,824971
2010-07-26,46.8,46.9,46.49,46.81,950263
2010-07-27,47.1,47.11,46.28,46.39,745702
2010-07-28,46.18,46.55,46.02,46.3,1021933
2010-07-29,46.5,46.61,44.86,45.17,1414427
2010-07-30,44.88,45.52,44.63,45.33,1010549
2010-08-02,46.01,46.57,45.87,46.38,839644
2010-08-03,46.3,46.58,45.89,46.03,751603
2010-08-04,46.12,46.36,45.92,46.31,657694
2010-08-05,45.91,46.44,45.91,46.37,864896
2010-08-06,46.0,46.17,45.37,46.05,813709
2010-08-09,46.21,46.63,46.16,46.58,898372
2010-08-10,46.22,46.59,45.88,46.44,1517808
2010-08-11,45.6,45.66,43.71,43.88,2193412
2010-08-12,43.44,43.59,42.4,42.49,1709576
2010-08-13,42.34,42.48,41.9,42.04,1298353
2010-08-16,41.88,42.62,41.58,42.25,1177319
2010-08-17,42.65,42.88,42.26,42.41,926497
2010-08-18,42.62,42.64,42.11,42.38,921777
2010-08-19,42.15,42.29,41.82,42.01,1096178
2010-08-20,41.63,42.08,41.37,42.02,1281022
2010-08-23,42.15,42.2,41.14,41.15,1139097
2010-08-24,40.45,40.8,40.06,40.43,1631652
2010-08-25,40.16,40.41,39.8,40.1,1932790
2010-08-26,40.28,40.36,39.9,40.11,1278293
2010-08-27,40.39,40.8,39.76,40.77,1980204
2010-08-30,40.51,40.66,40.15,40.18,1033903
2010-08-31,39.96,40.32,39.61,39.81,1775926
2010-09-01,40.47,41.68,39.96,41.66,1798228
2010-09-02,41.71,41.97,41.44,41.97,999945
2010-09-03,42.3,42.51,41.93,42.51,1043774
2010-09-07,42.11,42.26,41.61,41.7,930273
2010-09-08,41.85,42.04,41.57,41.87,1723384
2010-09-09,42.3,42.36,41.5,41.73,1177893
2010-09-10,42.75,43.03,42.35,42.87,1698690
2010-09-13,43.18,43.43,42.84,42.9,1462879
2010-09-14,42.84,43.05,42.53,42.83,1438767
2010-09-15,42.68,43.27,42.45,43.23,1015466
2010-09-16,43.07,43.37,42.96,43.17,1369968
2010-09-17,43.7,43.71,43.18,43.62,1739837
2010-09-20,43.73,44.62,43.65,44.52,1011144
2010-09-21,44.5,44.93,44.26,44.66,1639504
2010-09-22,44.53,44.87,44.19,44.29,1963346
2010-09-23,43.92,44.77,43.78,44.42,1280211
2010-09-24,44.9,45.43,44.66,45.38,1424531
2010-09-27,45.46,45.46,45.0,45.17,703228
2010-09-28,45.4,45.93,44.75,45.85,1164342
2010-09-29,45.89,46.01,45.43,45.88,1178502
2010-09-30,46.23,46.43,45.95,46.0,1545129
2010-10-01,46.36,46.81,45.65,45.73,1676512
2010-10-04,45.72,45.8,45.15,45.35,914915
2010-10-05,45.69,46.52,45.69,46.4,1216312
2010-10-06,46.34,46.34,45.7,46.03,850007
2010-10-07,46.25,46.35,45.59,45.9,707620
2010-10-08,45.96,46.48,45.83,46.37,929745
2010-10-11,46.38,46.9,46.26,46.6,618335
2010-10-12,46.53,47.14,46.23,47.01,891517
2010-10-13,47.31,47.85,47.14,47.58,1119889
2010-10-14,47.59,47.62,46.81,46.98,1223692
2010-10-15,47.37,49.78,47.18,49.39,3459625
2010-10-18,49.59,50.01,49.09,50.01,1821529
2010-10-19,49.28,49.4,48.62,48.95,1294051
2010-10-20,49.06,49.62,49.0,49.33,967621
2010-10-21,49.55,50.0,48.87,49.38,716494
2010-10-22,49.41,49.82,49.34,49.79,656128
2010-10-25,49.98,49.98,49.32,49.51,1060509
2010-10-26,49.35,49.67,49.03,49.55,873892
2010-10-27,49.13,49.2,48.69,49.07,929716
2010-10-28,49.37,49.58,48.84,49.33,789380
2010-10-29,49.23,49.53,48.93,49.05,1064541
2010-11-01,49.29,49.59,48.6,48.91,855053
2010-11-02,49.39,49.73,49.34,49.64,745513
2010-11-03,49.66,49.79,48.77,49.18,1351774
2010-11-04,49.7,49.82,49.59,49.66,1042178
2010-11-05,49.8,49.96,49.54,49.74,684974
2010-11-08,49.22,49.49,48.85,48.97,1560381
2010-11-09,49.11,49.42,48.6,48.79,1381708
2010-11-10,48.75,49.0,47.87,48.37,1877155
2010-11-11,47.84,47.88,47.09,47.39,1523594
2010-11-12,47.12,47.35,46.78,46.86,1040976
2010-11-15,46.94,47.05,46.51,46.56,991812
2010-11-16,46.14,46.21,45.56,45.84,1538101
2010-11-17,45.91,46.13,45.57,45.67,1092552
2010-11-18,45.95,46.31,45.68,46.21,1274445
2010-11-19,46.14,46.2,45.74,46.0,605288
2010-11-22,45.75,46.05,45.5,46.02,673417
2010-11-23,45.43,45.5,45.05,45.31,916382
2010-11-24,45.54,46.07,45.48,45.93,713589
2010-11-26,45.57,45.84,45.31,45.59,424560
2010-11-29,45.35,45.35,44.74,45.1,1007042
2010-11-30,44.65,44.97,44.44,44.63,1191417
2010-12-01,45.3,46.58,45.26,46.46,1293927
2010-12-02,46.47,47.02,46.35,46.76,1128293
2010-12-03,46.61,47.18,46.61,47.1,804501
2010-12-06,47.04,47.28,46.8,47.06,718501
2010-12-07,47.52,47.57,47.07,47.08,784987
2010-12-08,47.19,47.5,46.77,47.3,902922
2010-12-09,47.46,47.74,46.95,47.0,785393
2010-12-10,47.1,47.17,46.89,47.11,879466
2010-12-13,47.2,47.24,46.9,46.91,870450
