Date,Open,High,Low,Close,Volume
2010-01-04,26.12,26.51,25.77,26.46,1823597
2010-01-05,26.43,26.62,26.29,26.38,1525583
2010-01-06,26.21,26.61,26.06,26.23,914088
2010-01-07,26.25,26.62,26.01,26.48,1499888
2010-01-08,26.41,26.45,26.09,26.28,826945
2010-01-11,26.33,26.45,26.15,26.29,686610
2010-01-12,26.04,26.13,25.8,25.92,858537
2010-01-13,26.31,27.4,25.12,26.87,2734872
2010-01-14,26.83,27.73,26.83,27.41,1973013
2010-01-15,27.33,27.35,26.58,26.92,1155838
2010-01-19,26.85,27.45,26.85,27.26,1536800
2010-01-20,27.03,27.2,26.64,27.01,1108159
2010-01-21,27.22,27.37,26.25,26.49,2098244
2010-01-22,26.3,26.49,25.79,25.86,3868593
2010-01-25,26.15,26.71,26.03,26.58,2592475
2010-01-26,26.5,26.54,25.93,26.09,1661592
2010-01-27,25.97,26.07,25.34,25.68,2366977
2010-01-28,25.85,26.35,25.45,26.06,2550184
2010-01-29,26.11,26.42,25.56,25.64,1911850
2010-02-01,25.86,26.48,25.81,26.38,2029972
2010-02-02,26.49,27.14,26.31,26.86,1586954
2010-02-03,26.92,27.39,26.27,26.6,1466935
2010-02-04,26.3,26.41,25.54,25.57,1512699
2010-02-05,25.56,25.86,24.73,25.24,2392671
2010-02-08,25.33,25.48,25.04,25.15,1573325
2010-02-09,25.39,26.28,25.36,26.11,2207661
2010-02-10,21.65,22.36,21.53,22.1,3860511
2010-02-11,22.36,22.68,22.13,22.45,3936083
2010-02-12,22.16,22.63,22.11,22.42,2138416
2010-02-16,22.54,22.71,22.12,22.17,3049955
2010-02-17,22.3,22.66,22.15,22.62,1784692
2010-02-18,22.51,23.11,22.46,22.73,2227369
2010-02-19,22.78,23.26,22.7,23.12,1515361
2010-02-22,23.2,23.3,22.95,23.05,1287183
2010-02-23,22.97,23.13,22.48,22.54,2018398
2010-02-24,22.61,22.99,22.46,22.83,1444733
2010-02-25,22.29,24.26,21.93,23.58,5783098
2010-02-26,23.52,24.16,23.51,24.08,2166589
2010-03-01,24.14,24.74,24.14,24.51,1570008
2010-03-02,24.71,24.71,24.14,24.32,1927937
2010-03-03,24.32,24.52,24.04,24.15,1357774
2010-03-04,24.14,24.18,23.79,24.07,1493379
2010-03-05,24.18,24.46,24.15,24.28,2156800
2010-03-08,24.09,24.29,23.89,24.0,2196696
2010-03-09,23.81,24.17,23.81,24.08,1904562
2010-03-10,24.08,24.09,23.75,24.0,1222888
2010-03-11,23.86,24.02,23.61,23.75,2399162
2010-03-12,23.88,24.12,23.71,24.09,2092074
2010-03-15,23.93,24.04,23.7,24.0,712565
2010-03-16,24.09,24.23,23.63,23.76,1689502
