Date,Open,High,Low,Close,Volume
2010-01-04,24.52,25.21,24.38,25.17,1005323
2010-01-05,25.33,25.45,24.64,24.84,1439703
2010-01-06,24.88,25.56,24.79,25.3,1428733
2010-01-07,25.34,25.85,25.31,25.79,2041074
2010-01-08,25.78,25.85,25.47,25.6,955787
2010-01-11,25.66,26.0,25.46,25.73,846010
2010-01-12,25.74,25.74,24.74,24.9,1482864
2010-01-13,24.92,25.21,24.27,24.74,2022351
2010-01-14,24.78,25.42,24.5,25.17,1409114
2010-01-15,25.14,25.49,24.85,25.2,1832176
2010-01-19,25.38,27.08,25.38,26.71,3208719
2010-01-20,26.8,27.27,25.93,26.2,2290871
2010-01-21,26.22,26.44,24.33,24.61,3146814
2010-01-22,24.49,24.73,24.0,24.06,1451348
2010-01-25,24.47,24.47,23.88,23.92,1012600
2010-01-26,23.82,23.82,23.22,23.43,2041219
2010-01-27,23.35,23.79,23.01,23.52,1669761
2010-01-28,23.56,24.11,23.21,23.5,1736473
2010-01-29,23.56,23.56,22.84,22.88,1504798
2010-02-01,22.86,23.21,22.4,23.03,1342618
2010-02-02,23.09,23.86,22.78,23.77,1443219
2010-02-03,23.6,23.71,23.17,23.39,1189212
2010-02-04,23.1,23.39,22.48,22.49,1527875
2010-02-05,22.36,22.56,21.82,22.37,1697785
2010-02-08,22.35,23.02,22.09,22.44,1744561
2010-02-09,23.81,23.99,22.83,23.22,2715674
2010-02-10,23.03,23.1,22.23,22.67,1601082
2010-02-11,22.58,22.67,22.24,22.6,1210825
2010-02-12,22.3,22.39,21.87,22.33,1299389
2010-02-16,22.55,22.66,22.01,22.41,1079906
2010-02-17,22.47,23.08,22.47,22.74,1021757
2010-02-18,22.64,23.11,22.48,23.06,1353236
2010-02-19,22.92,22.98,22.47,22.86,1726624
2010-02-22,22.9,23.34,22.77,22.99,1478197
2010-02-23,22.82,22.89,22.34,22.55,848842
2010-02-24,22.52,22.66,22.28,22.56,1154101
2010-02-25,22.25,22.72,22.01,22.69,1485697
2010-02-26,22.71,23.4,22.56,23.18,1428765
2010-03-01,23.87,24.55,23.73,23.81,2211245
2010-03-02,23.87,24.09,23.61,23.78,1130479
2010-03-03,23.87,24.02,23.56,23.86,1190670
2010-03-04,23.83,24.21,23.57,23.98,1865916
2010-03-05,24.08,24.44,24.02,24.43,635821
2010-03-08,24.5,24.5,23.95,24.0,1025959
2010-03-09,23.87,24.0,23.73,23.74,787076
2010-03-10,23.68,24.08,23.66,23.75,1172526
2010-03-11,23.73,24.61,23.62,24.55,1292317
2010-03-12,24.66,24.73,24.1,24.22,625487
2010-03-15,24.1,24.43,23.82,24.43,1079388
2010-03-16,25.0,25.2,24.58,25.15,1375184
2010-03-17,25.17,25.25,24.72,25.03,1174097
2010-03-18,24.94,25.96,24.44,25.79,1665978
2010-03-19,25.81,26.64,25.81,26.24,2128888
2010-03-22,26.4,26.7,25.9,26.13,1476325
2010-03-23,26.23,26.23,25.5,25.84,958455
2010-03-24,25.73,25.77,25.14,25.2,1033539
2010-03-25,25.5,25.52,24.99,25.01,973840
2010-03-26,25.15,25.26,24.77,24.91,803803
2010-03-29,25.02,25.2,24.96,25.08,747232
2010-03-30,25.15,25.34,24.93,25.28,1502795
2010-03-31,25.15,25.21,24.66,24.72,1067956
2010-04-01,24.86,25.06,24.51,24.73,961697
2010-04-05,24.85,24.9,24.55,24.65,553874
2010-04-06,24.49,25.53,24.49,25.42,2015688
2010-04-07,25.41,25.46,24.65,24.76,1142038
2010-04-08,24.64,24.72,24.19,24.46,978242
2010-04-09,24.45,24.45,23.99,24.33,1244863
2010-04-12,24.41,24.59,24.24,24.57,951181
2010-04-13,24.54,24.63,24.33,24.52,1249994
2010-04-14,24.54,24.64,24.0,24.11,2129540
2010-04-15,24.04,24.15,23.74,24.06,1738580
2010-04-16,23.97,24.3,23.24,23.71,1624015
2010-04-19,23.61,24.68,23.61,24.35,1370651
2010-04-20,24.64,24.71,23.79,24.48,1334051
2010-04-21,24.49,24.57,23.88,24.06,1121053
2010-04-22,23.85,23.98,23.28,23.59,910910
2010-04-23,23.49,23.72,23.4,23.64,983012
2010-04-26,23.64,23.85,23.13,23.16,986550
2010-04-27,22.97,23.58,22.88,23.0,1585133
2010-04-28,23.06,23.55,22.82,23.35,1292444
2010-04-29,23.6,25.19,23.56,24.88,2977424
2010-04-30,25.17,25.17,23.59,23.74,2482361
2010-05-03,23.84,23.93,22.75,23.03,2251620
2010-05-04,22.61,22.72,21.85,21.9,1906822
2010-05-05,21.71,22.23,21.52,22.06,2171123
2010-05-06,22.04,22.61,20.0,21.51,2304976
2010-05-07,21.56,21.56,20.55,21.1,3178649
2010-05-10,21.82,22.26,21.28,21.68,2154638
2010-05-11,21.44,22.01,21.31,21.76,1554019
2010-05-12,21.75,22.19,21.72,22.15,1467929
2010-05-13,22.11,22.12,21.73,21.74,1530920
2010-05-14,21.5,21.61,21.11,21.48,1001309
2010-05-17,21.51,21.7,20.96,21.37,1560578
