Date,Open,High,Low,Close,Volume
2010-01-04,14.5,14.7,14.36,14.54,14488879
2010-01-05,14.76,14.94,14.59,14.87,20109821
2010-01-06,14.87,14.88,14.5,14.58,25146852
2010-01-07,14.6,14.8,14.53,14.72,19705925
2010-01-08,14.84,14.92,14.71,14.85,17641537
2010-01-11,14.87,15.0,14.7,14.86,18758416
2010-01-12,14.82,15.2,14.8,15.06,28240324
2010-01-13,15.11,15.15,14.81,15.07,19695988
2010-01-14,14.94,15.16,14.63,14.7,37817269
2010-01-15,14.89,14.9,14.31,14.4,30103797
2010-01-19,14.3,14.85,14.3,14.81,17907622
2010-01-20,14.74,14.74,14.38,14.51,23367282
2010-01-21,14.51,14.76,14.35,14.39,22137903
2010-01-22,14.3,14.41,13.58,13.64,28526046
2010-01-25,13.75,14.1,13.74,13.89,26823534
2010-01-26,13.8,13.94,13.54,13.58,26288489
2010-01-27,13.52,13.7,13.29,13.53,28521175
2010-01-28,13.6,13.64,13.03,13.28,33810104
2010-01-29,13.37,13.47,12.75,12.9,35716703
2010-02-01,12.99,13.29,12.98,13.22,26477520
2010-02-02,13.3,13.38,13.03,13.3,23782925
2010-02-03,13.27,13.44,13.22,13.36,13242329
2010-02-04,13.17,13.36,12.98,13.01,24749482
2010-02-05,13.11,13.31,12.92,13.24,38256071
2010-02-08,13.28,13.73,13.16,13.39,34710189
2010-02-09,13.58,13.69,13.39,13.55,21068022
2010-02-10,13.78,13.96,13.67,13.75,28788529
2010-02-11,13.73,14.0,13.65,13.95,21790743
2010-02-12,13.79,13.89,13.5,13.84,25256727
2010-02-16,13.99,14.22,13.99,14.14,20302866
2010-02-17,14.23,14.36,14.05,14.11,21767306
2010-02-18,14.22,14.48,14.11,14.43,45300796
2010-02-19,13.7,13.71,13.27,13.47,99363817
2010-02-22,13.48,13.5,13.35,13.36,29241590
2010-02-23,13.34,13.4,13.15,13.21,21330433
2010-02-24,13.32,13.4,13.26,13.39,28409345
2010-02-25,13.19,13.3,13.1,13.29,21405860
2010-02-26,13.25,13.31,13.1,13.24,17143385
2010-03-01,13.35,13.65,13.28,13.57,21976719
2010-03-02,13.75,13.99,13.6,13.68,38410180
2010-03-03,13.69,13.79,13.57,13.71,20190027
2010-03-04,13.72,13.75,13.52,13.67,22496263
2010-03-05,13.68,13.97,13.6,13.88,19357054
2010-03-08,14.0,14.07,13.86,14.01,20608117
2010-03-09,13.95,14.4,13.86,14.18,28946883
2010-03-10,14.24,14.51,14.18,14.31,34314153
2010-03-11,14.25,14.27,14.02,14.21,17682355
2010-03-12,14.29,14.36,14.11,14.26,19891259
2010-03-15,14.22,14.33,14.11,14.26,15477159
2010-03-16,14.3,14.33,14.11,14.3,17821816
2010-03-17,14.26,14.82,14.22,14.59,32908414
2010-03-18,14.59,14.65,14.35,14.55,52924678
2010-03-19,14.61,14.63,14.23,14.41,29703896
2010-03-22,14.26,14.72,14.25,14.62,22089900
2010-03-23,14.62,15.25,14.6,15.22,49473501
2010-03-24,15.0,15.12,14.91,14.99,29830939
2010-03-25,15.16,15.16,14.86,14.87,19224121
2010-03-26,14.91,15.0,14.7,14.99,21902545
2010-03-29,15.1,15.2,14.92,14.96,12052088
2010-03-30,14.93,15.07,14.83,14.97,12461296
2010-03-31,14.97,15.18,14.94,15.02,15049806
2010-04-05,15.04,15.31,15.0,15.2,18090071
2010-04-06,15.1,15.63,15.1,15.57,29599165
2010-04-07,15.58,15.97,15.55,15.69,34241940
2010-04-08,15.52,15.78,15.42,15.76,22361741
2010-04-09,15.71,15.85,15.44,15.83,23056001
2010-04-12,15.78,15.99,15.77,15.93,22115289
2010-04-13,15.86,15.91,15.61,15.72,18975927
2010-04-14,15.97,16.68,15.96,16.56,57684765
2010-04-15,16.51,16.93,16.5,16.86,37747791
2010-04-16,16.92,17.0,16.63,16.76,42023991
2010-04-19,16.68,16.92,16.59,16.9,22775093
2010-04-20,16.94,17.04,16.61,17.01,25432419
2010-04-21,17.1,17.2,16.95,17.17,24100194
2010-04-22,16.95,17.5,16.77,17.46,34748364
2010-04-23,17.37,17.52,17.24,17.5,22071800
2010-04-26,17.37,17.41,16.96,17.02,33580024
2010-04-27,16.86,16.98,16.5,16.53,30764263
