Date,Open,High,Low,Close,Volume
2010-01-04,36.14,36.56,36.0,36.22,1429518
2010-01-05,36.24,36.78,36.08,36.74,1049934
2010-01-06,36.6,36.92,36.48,36.78,851079
2010-01-07,36.66,36.7,36.4,36.44,1532102
2010-01-08,36.38,36.96,36.1,36.46,1150012
2010-01-11,36.62,36.98,36.48,36.86,668097
2010-01-12,36.82,37.54,36.62,37.06,1026191
2010-01-13,37.14,37.42,36.88,37.06,825822
2010-01-14,36.84,36.98,36.44,36.7,1270831
2010-01-15,36.72,36.76,36.24,36.48,863978
2010-01-19,36.54,36.74,36.26,36.48,935584
2010-01-20,36.32,36.38,35.64,36.0,804144
2010-01-21,36.1,37.36,36.1,37.02,2427312
2010-01-22,37.04,37.58,36.82,36.96,1574377
2010-01-25,37.08,37.08,36.14,36.5,1206098
2010-01-26,36.42,36.64,36.16,36.54,1200978
2010-01-27,36.62,36.62,36.04,36.44,935719
2010-01-28,36.44,36.44,35.82,36.1,1009338
2010-01-29,36.16,36.2,35.14,35.26,1389444
2010-02-01,35.42,35.74,35.06,35.66,839721
2010-02-02,35.7,36.78,35.46,36.4,1281622
2010-02-03,36.26,36.52,36.07,36.12,1082404
2010-02-04,35.96,36.14,35.42,35.6,1100382
2010-02-05,35.42,35.7,35.14,35.5,1134806
2010-02-08,35.58,35.58,34.82,34.82,1171258
2010-02-09,34.92,35.5,34.6,35.28,1186264
2010-02-10,32.78,33.02,29.46,30.38,9550360
2010-02-11,30.28,30.28,28.54,28.92,6765158
2010-02-12,28.9,29.3,28.7,29.12,3600360
2010-02-16,29.4,29.6,28.76,29.56,2078390
2010-02-17,29.58,29.9,29.54,29.7,2200734
2010-02-18,29.58,29.66,28.66,29.36,3075500
2010-02-19,29.36,29.56,29.0,29.26,2382408
2010-02-22,29.34,29.78,29.12,29.72,2127196
2010-02-23,29.72,29.84,29.3,29.4,1734813
2010-02-24,29.6,29.78,29.12,29.6,1541949
2010-02-25,29.42,29.66,29.2,29.36,2155844
2010-02-26,29.32,29.4,29.0,29.18,2201412
2010-03-01,29.26,29.48,28.92,29.2,1931372
2010-03-02,29.28,29.78,29.16,29.56,2012839
2010-03-03,29.5,30.32,29.5,30.22,3163776
2010-03-04,30.4,30.48,30.02,30.12,2136897
2010-03-05,30.22,32.64,30.06,32.0,7194646
2010-03-08,31.86,32.47,31.5,32.36,3142049
2010-03-09,32.3,32.62,31.68,31.92,2279128
2010-03-10,31.98,32.12,30.9,31.4,3309678
2010-03-11,31.22,31.4,30.96,31.36,2531150
2010-03-12,31.42,31.72,31.28,31.64,1441960
2010-03-15,31.64,31.74,31.0,31.12,1438770
2010-03-16,31.16,31.34,30.88,31.32,1190331
2010-03-17,31.34,31.82,31.28,31.8,1665090
2010-03-18,31.7,32.02,31.3,31.48,1603816
2010-03-19,31.64,31.76,30.9,31.0,1505032
2010-03-22,30.94,31.54,30.66,31.24,1452992
2010-03-23,31.24,31.44,30.92,31.34,1774150
2010-03-24,31.24,31.72,31.14,31.5,1674630
2010-03-25,31.6,31.72,31.4,31.48,1119958
2010-03-26,31.5,31.7,31.3,31.34,1008006
2010-03-29,31.46,31.8,31.24,31.6,939051
2010-03-30,31.58,31.78,31.31,31.62,901584
2010-03-31,31.54,31.62,31.26,31.38,1064028
2010-04-01,31.44,32.06,31.4,31.98,1253608
2010-04-05,32.12,32.88,31.84,32.38,2446261
2010-04-06,32.14,32.8,32.14,32.78,1839258
2010-04-07,32.7,33.52,32.54,33.3,2237029
2010-04-08,33.24,33.46,33.0,33.32,1380758
2010-04-09,33.3,33.86,33.24,33.7,1423493
2010-04-12,33.68,33.98,33.32,33.32,2391300
2010-04-13,33.32,33.78,33.28,33.56,1449532
2010-04-14,33.5,33.8,33.32,33.78,1322570
2010-04-15,33.8,33.8,33.34,33.42,964474
2010-04-16,33.28,33.58,32.96,33.16,1698666
2010-04-19,33.06,33.54,32.96,33.5,1126394
2010-04-20,33.48,33.6,33.3,33.4,722040
2010-04-21,33.3,34.0,32.92,33.08,1703488
2010-04-22,32.82,32.88,32.5,32.64,975016
2010-04-23,32.52,32.56,31.64,32.04,1999794
2010-04-26,32.18,32.18,31.5,31.64,1667194
2010-04-27,31.5,31.64,30.82,30.9,1581476
2010-04-28,31.06,31.21,30.62,30.98,1294056
2010-04-29,31.12,31.9,31.12,31.6,1206942
2010-04-30,31.56,31.9,31.38,31.4,1105444
2010-05-03,31.52,31.78,30.58,30.64,1515108
2010-05-04,30.42,30.73,29.84,30.22,1891456
2010-05-05,30.28,30.74,30.02,30.64,1242750
2010-05-06,30.56,30.56,28.2,29.46,2143929
2010-05-07,29.48,29.92,29.06,29.26,1968964
2010-05-10,25.28,25.58,20.7,20.94,23474670
2010-05-11,20.62,20.64,18.76,19.16,16541756
2010-05-12,19.46,20.08,19.32,19.88,7704403
2010-05-13,20.0,20.22,19.34,19.42,5016594
2010-05-14,19.5,19.6,18.98,19.14,3786922
2010-05-17,19.18,19.74,19.04,19.62,4048636
2010-05-18,19.88,20.51,19.72,20.4,6362542
2010-05-19,20.22,21.38,20.2,21.06,5659230
2010-05-20,20.7,21.22,20.2,20.68,5084072
2010-05-21,20.22,20.92,20.22,20.76,2617544
2010-05-24,20.54,21.02,20.52,20.72,1919144
2010-05-25,20.52,20.88,20.26,20.86,4853398
2010-05-26,21.04,21.2,20.64,20.72,3135474
2010-05-27,20.88,21.48,20.68,21.48,2316958
2010-05-28,21.42,21.58,21.14,21.3,2072976
2010-06-01,21.26,21.5,21.02,21.08,2125454
2010-06-02,21.12,21.86,21.12,21.64,4283312
2010-06-03,21.6,22.13,21.6,22.06,2303630
2010-06-04,21.86,21.94,21.18,21.22,2431204
2010-06-07,21.4,21.52,20.72,20.74,2625441
2010-06-08,20.76,21.2,20.64,21.18,2172323
