Date,Open,High,Low,Close,Volume
2010-01-04,84.61,84.61,82.95,83.37,499477
2010-01-05,83.16,83.41,82.7,83.29,413466
2010-01-06,82.93,83.54,82.73,83.34,363692
2010-01-07,83.01,83.52,82.33,82.6,356738
2010-01-08,82.34,82.47,81.42,81.74,323365
2010-01-11,82.17,82.32,81.66,82.15,261561
2010-01-12,81.73,82.42,81.57,82.07,169368
2010-01-13,82.09,82.48,81.96,82.29,225084
2010-01-14,82.08,82.5,81.78,82.43,264609
2010-01-15,82.54,82.54,82.09,82.15,339085
2010-01-19,82.35,82.65,82.05,82.6,178130
2010-01-20,82.06,82.25,81.36,81.39,285828
2010-01-21,81.38,81.89,80.34,80.35,443944
2010-01-22,80.09,80.74,79.67,79.77,356911
2010-01-25,79.84,80.78,79.75,80.04,196608
2010-01-26,80.07,80.3,79.32,79.35,303738
2010-01-27,79.36,80.17,79.08,80.16,258804
2010-01-28,80.2,80.42,78.99,79.22,235411
2010-01-29,79.25,79.85,78.87,78.97,324039
2010-02-01,79.16,79.98,79.13,79.96,240954
2010-02-02,79.93,80.38,79.45,80.33,150127
2010-02-03,80.37,80.58,78.89,78.95,704312
2010-02-04,78.63,79.37,77.63,77.74,624970
2010-02-05,75.0,75.0,71.21,73.92,1377439
2010-02-08,71.98,72.41,71.35,71.35,815206
2010-02-09,71.76,72.1,70.91,71.04,846160
2010-02-10,71.19,71.48,70.67,70.72,585213
2010-02-11,70.74,71.02,70.06,71.01,470736
2010-02-12,70.75,71.19,70.32,70.39,832945
2010-02-16,70.76,70.76,69.94,70.47,765469
2010-02-17,70.57,71.18,70.36,71.09,524574
2010-02-18,71.05,71.39,70.75,71.35,343879
2010-02-19,71.42,71.45,70.91,71.32,553704
2010-02-22,71.5,71.5,70.96,71.06,431161
2010-02-23,71.13,71.13,70.11,70.25,583983
2010-02-24,70.52,70.79,70.16,70.76,453263
2010-02-25,70.35,70.49,69.79,70.43,480431
2010-02-26,70.36,70.36,69.86,70.16,544755
2010-03-01,70.11,70.43,69.48,70.21,325229
2010-03-02,70.51,70.76,69.7,70.11,371052
2010-03-03,70.25,70.59,70.08,70.24,367791
2010-03-04,70.18,70.19,69.73,69.84,476329
2010-03-05,70.0,70.04,69.65,69.95,524478
2010-03-08,69.93,70.1,69.57,69.62,282245
2010-03-09,69.6,69.78,69.13,69.31,398165
2010-03-10,69.5,69.62,69.26,69.5,419502
2010-03-11,69.35,69.71,69.1,69.69,329235
2010-03-12,69.62,70.92,69.47,70.73,745297
2010-03-15,70.65,71.58,70.65,71.25,503438
2010-03-16,71.36,72.75,71.34,72.68,558775
2010-03-17,72.61,73.87,72.5,73.59,524292
2010-03-18,73.48,73.59,73.13,73.35,257037
2010-03-19,73.58,74.43,73.51,74.25,857177
2010-03-22,73.87,74.93,73.87,74.92,322021
2010-03-23,75.0,75.0,74.2,74.75,318559
2010-03-24,74.55,74.7,73.6,73.7,313579
2010-03-25,74.0,74.14,73.44,73.58,363359
2010-03-26,73.7,73.7,73.12,73.5,241595
2010-03-29,73.81,74.32,73.69,74.22,392522
2010-03-30,74.44,74.66,74.32,74.6,346452
2010-03-31,74.41,74.94,74.08,74.42,471912
2010-04-01,74.56,75.32,74.05,74.38,338289
2010-04-05,74.67,75.19,74.42,74.69,227771
2010-04-06,74.27,74.96,74.18,74.46,284587
2010-04-07,74.45,74.54,73.9,74.04,254660
2010-04-08,74.06,74.18,73.72,74.12,211271
2010-04-09,74.09,74.5,73.99,74.49,173809
2010-04-12,74.62,75.0,74.62,74.95,160046
2010-04-13,75.08,75.8,75.0,75.53,246185
2010-04-14,75.57,76.27,75.48,76.27,205002
2010-04-15,75.91,76.8,75.84,76.7,225915
2010-04-16,76.54,77.0,76.28,76.31,405924
2010-04-19,76.38,76.6,75.78,76.4,217230
2010-04-20,76.4,77.05,76.1,77.03,250029
2010-04-21,77.19,77.19,76.6,77.08,175067
2010-04-22,76.7,78.0,76.28,77.96,216628
2010-04-23,77.95,78.98,77.85,78.82,340457
2010-04-26,78.89,79.2,78.58,78.59,239403
2010-04-27,78.42,78.99,77.7,78.2,329881
2010-04-28,78.09,78.4,76.98,77.32,395201
2010-04-29,77.89,77.96,76.98,77.2,446903
2010-04-30,77.53,79.73,75.79,76.97,959821
2010-05-03,77.37,78.01,76.92,77.53,482097
2010-05-04,76.69,77.55,76.69,77.35,408152
2010-05-05,77.24,77.8,76.87,77.29,403304
2010-05-06,77.33,77.76,73.25,75.48,614958
2010-05-07,75.43,75.75,73.87,74.1,636890
2010-05-10,76.49,76.74,75.5,76.64,492464
2010-05-11,75.76,76.39,75.56,75.8,538863
2010-05-12,75.8,76.29,75.58,76.14,623922
2010-05-13,75.88,77.13,75.64,76.1,330135
2010-05-14,76.0,76.04,74.72,74.98,444228
2010-05-17,75.15,75.95,74.9,75.76,357508
2010-05-18,76.21,76.55,75.08,75.24,579174
2010-05-19,74.83,75.05,74.42,74.76,414973
2010-05-20,73.72,74.38,72.42,72.42,497721
2010-05-21,71.62,73.33,71.53,73.33,606183
2010-05-24,72.91,73.58,72.8,72.85,365281
2010-05-25,71.9,72.76,71.68,72.69,431455
2010-05-26,72.84,73.5,72.42,72.63,449243
2010-05-27,73.46,73.74,72.91,73.74,382158
2010-05-28,73.46,73.64,72.9,72.99,332553
2010-06-01,72.72,73.09,71.58,71.67,357451
2010-06-02,71.78,72.57,71.78,72.57,459623
2010-06-03,72.78,73.15,72.16,72.99,517493
2010-06-04,71.76,72.24,70.19,70.49,526432
2010-06-07,70.43,70.98,69.9,69.96,362733
2010-06-08,70.0,70.34,69.34,70.25,378077
2010-06-09,70.49,71.03,70.04,70.21,318815
2010-06-10,71.1,71.53,70.68,71.53,273050
2010-06-11,70.84,71.85,70.61,71.84,216549
2010-06-14,72.28,72.43,71.77,71.87,209105
2010-06-15,72.17,73.5,72.17,73.48,239985
2010-06-16,73.16,73.6,72.79,73.45,281724
2010-06-17,73.5,73.56,73.12,73.48,181772
2010-06-18,73.57,73.75,73.13,73.23,263094
2010-06-21,73.81,73.87,72.47,72.67,202234
2010-06-22,72.86,73.33,71.67,71.76,459883
2010-06-23,71.76,71.8,71.03,71.3,280302
2010-06-24,71.09,71.54,70.43,70.47,179493
2010-06-25,70.68,71.07,70.22,70.48,299048
2010-06-28,70.69,70.69,70.19,70.28,467852
2010-06-29,69.6,69.61,67.81,68.08,583483
2010-06-30,67.87,68.25,66.99,67.12,640809
2010-07-01,67.04,67.52,66.48,66.87,548980
2010-07-02,66.99,67.34,66.27,66.37,387591
2010-07-06,67.04,67.11,65.5,65.92,412746
2010-07-07,66.05,66.72,65.66,66.72,425726
2010-07-08,67.0,67.41,66.71,67.29,622330
2010-07-09,67.35,67.54,66.94,67.46,350581
2010-07-12,67.44,67.79,67.21,67.39,386906
2010-07-13,67.86,68.91,67.81,68.77,638943
2010-07-14,68.54,68.93,68.26,68.5,221197
2010-07-15,68.54,69.07,67.89,68.9,380606
2010-07-16,68.62,68.72,67.88,67.94,582734
2010-07-19,68.25,68.49,67.97,68.35,348280
2010-07-20,68.15,70.0,67.97,69.94,420421
2010-07-21,70.08,70.08,68.94,69.05,350650
2010-07-22,69.67,70.55,69.52,70.18,386587
2010-07-23,69.95,70.34,69.7,70.34,420559
