Date,Open,High,Low,Close,Volume
2010-01-04,15.23,15.78,15.21,15.63,3263064
2010-01-05,15.68,15.96,15.58,15.92,3648461
2010-01-06,15.89,16.52,15.76,16.35,5940810
2010-01-07,16.25,16.39,15.94,16.29,4517423
2010-01-08,16.25,16.74,16.12,16.74,4268877
2010-01-11,16.85,17.07,16.12,16.18,4773064
2010-01-12,15.92,16.06,15.59,15.66,5030126
2010-01-13,15.59,15.78,15.35,15.72,5742831
2010-01-14,15.71,15.9,15.52,15.84,2695615
2010-01-15,15.75,15.83,15.39,15.4,4067957
2010-01-19,15.3,15.58,15.2,15.58,4342432
2010-01-20,15.34,15.48,15.12,15.2,4051648
2010-01-21,15.24,15.56,15.14,15.3,5002917
2010-01-22,15.22,15.3,14.54,14.63,5291010
2010-01-25,14.8,15.1,14.55,14.67,3809138
2010-01-26,14.5,14.83,14.21,14.38,5496401
2010-01-27,14.34,14.42,13.57,14.04,7671845
2010-01-28,14.12,14.37,13.84,14.25,5865929
2010-01-29,14.33,14.59,13.51,13.55,5345855
2010-02-01,13.77,14.49,13.77,14.46,4411414
2010-02-02,14.58,15.47,14.44,15.29,6440724
2010-02-03,15.34,15.56,15.02,15.13,4820019
2010-02-04,14.89,15.06,14.23,14.48,5286192
2010-02-05,14.41,14.49,13.45,14.1,9213430
2010-02-08,14.08,14.5,13.84,14.11,3735937
2010-02-09,14.51,14.7,14.26,14.48,5040755
2010-02-10,14.5,14.58,14.02,14.37,4317356
2010-02-11,14.32,14.61,14.2,14.57,4744709
2010-02-12,14.31,14.49,14.01,14.29,7309592
2010-02-16,14.53,15.08,14.5,15.06,6209641
2010-02-17,15.26,15.26,14.9,15.1,7168806
2010-02-18,14.99,15.15,14.7,14.91,5119569
2010-02-19,14.79,14.95,14.52,14.76,5713109
2010-02-22,14.74,14.82,14.05,14.31,6386492
2010-02-23,14.09,14.15,13.54,13.58,11189963
2010-02-24,13.78,14.02,13.6,13.88,9268599
2010-02-25,13.65,13.99,13.41,13.96,8302045
2010-02-26,14.06,14.25,13.85,14.08,8576806
2010-03-01,14.54,14.78,14.42,14.63,14478394
2010-03-02,14.86,14.86,14.4,14.46,14461914
2010-03-03,14.37,14.51,14.24,14.28,13846692
2010-03-04,14.31,14.94,14.2,14.92,24927932
2010-03-05,14.99,15.36,14.95,15.13,16530513
2010-03-08,15.36,15.43,15.11,15.29,10310601
2010-03-09,15.46,15.61,15.05,15.43,61826707
2010-03-10,15.3,16.14,15.3,16.05,18493173
2010-03-11,16.05,16.46,16.04,16.15,11684143
2010-03-12,16.52,16.56,15.98,16.04,10400688
2010-03-15,15.97,16.05,15.29,15.61,8997138
2010-03-16,15.71,15.86,15.46,15.71,11022287
2010-03-17,15.8,16.15,15.76,16.03,11902476
2010-03-18,16.04,16.12,15.56,15.81,8261246
2010-03-19,15.84,15.95,15.28,15.45,7686612
2010-03-22,15.24,15.67,15.1,15.5,6467675
2010-03-23,15.51,15.71,15.36,15.63,5618235
2010-03-24,15.52,15.56,15.25,15.51,6558391
2010-03-25,15.71,15.73,15.33,15.48,12701304
2010-03-26,15.53,15.64,15.22,15.6,11999875
2010-03-29,15.68,16.31,15.65,16.25,7537703
2010-03-30,16.52,16.66,16.31,16.48,11619329
2010-03-31,16.48,17.12,16.34,16.87,14798646
2010-04-01,17.07,17.5,17.07,17.34,8167959
2010-04-05,17.66,18.0,17.56,17.88,6206404
2010-04-06,17.82,18.15,17.7,18.0,6347294
2010-04-07,18.0,18.48,17.92,18.12,9590247
2010-04-08,17.99,18.09,17.46,17.97,11663897
2010-04-09,18.12,18.3,17.95,18.28,4695865
2010-04-12,18.27,18.46,18.14,18.23,4016190
2010-04-13,18.15,18.2,17.44,17.67,8689588
2010-04-14,17.85,17.88,17.34,17.7,7333748
2010-04-15,17.7,17.81,17.56,17.61,3671198
2010-04-16,17.49,17.6,17.11,17.25,5793023
2010-04-19,17.1,17.33,16.97,17.15,4633785
2010-04-20,17.31,17.76,17.3,17.74,5189216
2010-04-21,17.78,17.9,17.5,17.66,4201776
2010-04-22,17.42,18.02,17.13,18.01,7980293
2010-04-23,17.99,18.42,17.8,18.42,5105113
2010-04-26,18.47,18.64,18.14,18.17,4500776
2010-04-27,18.08,18.3,17.62,17.73,9718466
2010-04-28,17.96,18.23,17.74,18.04,7091670
2010-04-29,18.44,18.5,18.09,18.42,5094119
2010-04-30,18.49,19.46,18.29,19.15,12330559
