Date,Open,High,Low,Close,Volume
2010-01-04,100.01,101.43,100.01,101.17,1598114
2010-01-05,101.27,103.1,101.23,102.03,1899239
2010-01-06,102.03,105.25,101.28,104.9,1718014
2010-01-07,104.38,104.94,103.07,104.5,1015937
2010-01-08,104.19,106.66,103.4,106.34,1256157
2010-01-11,107.12,107.12,103.06,104.24,1523152
2010-01-12,102.97,103.98,101.81,103.01,2009653
2010-01-13,102.79,104.23,101.21,103.9,1426752
2010-01-14,103.91,104.57,102.53,103.9,1092945
2010-01-15,104.14,104.37,102.01,102.84,1633847
2010-01-19,101.98,103.62,101.98,103.52,1207170
2010-01-20,102.0,102.0,99.96,101.11,1839365
2010-01-21,101.29,101.89,97.75,98.05,2311637
2010-01-22,97.68,98.76,93.92,94.38,2071289
2010-01-25,95.04,97.15,94.75,96.05,1368309
2010-01-26,95.58,97.89,94.42,95.12,1699664
2010-01-27,94.94,96.13,92.79,95.1,1750975
2010-01-28,96.39,97.06,92.81,93.8,1678357
2010-01-29,94.54,95.82,90.96,91.53,1692101
2010-02-01,91.96,94.96,91.96,94.89,1619855
2010-02-02,95.13,97.0,94.81,96.36,1784222
2010-02-03,95.92,96.9,95.02,95.78,1767456
2010-02-04,94.26,94.81,89.5,89.79,3472161
2010-02-05,89.61,90.22,85.84,88.46,3319692
2010-02-08,88.65,89.98,87.16,88.24,2975627
2010-02-09,89.04,91.34,88.87,90.0,2427617
2010-02-10,87.32,89.5,85.89,86.37,3455249
2010-02-11,86.31,87.35,84.46,86.96,2210864
2010-02-12,85.93,85.98,84.14,85.29,2042912
2010-02-16,87.0,88.0,86.37,87.73,4161479
2010-02-17,88.01,88.63,86.22,87.82,1911095
2010-02-18,87.27,88.62,86.88,88.09,1840685
2010-02-19,88.22,89.69,87.55,89.12,2467201
2010-02-22,90.06,90.17,87.52,88.41,2105572
2010-02-23,87.91,88.11,86.5,86.94,1832820
2010-02-24,86.42,88.56,86.27,87.35,3881381
2010-02-25,86.35,87.55,85.4,87.31,2010484
2010-02-26,86.98,87.57,86.32,87.32,2322831
2010-03-01,87.93,88.62,87.08,87.58,2153986
2010-03-02,87.57,88.15,86.04,87.24,3126088
2010-03-03,87.7,88.48,87.24,87.91,1753827
2010-03-04,88.1,88.23,86.56,87.09,1708170
2010-03-05,87.8,88.19,86.9,87.93,1560859
2010-03-08,88.25,88.83,87.54,88.5,1715881
2010-03-09,88.08,89.29,87.85,88.76,1958163
2010-03-10,88.48,90.18,88.19,89.38,1698253
2010-03-11,89.02,89.78,88.51,89.58,1057269
2010-03-12,90.14,90.53,89.24,89.56,1417320
2010-03-15,89.42,89.42,86.73,87.61,1419735
2010-03-16,88.01,88.53,87.0,88.32,1316554
2010-03-17,87.49,88.59,87.1,87.37,2144417
2010-03-18,87.26,87.56,84.42,85.07,1673217
2010-03-19,85.09,85.85,83.37,84.41,2529659
2010-03-22,83.76,84.94,83.18,84.62,1768091
2010-03-23,84.97,85.78,84.22,85.15,1210606
2010-03-24,84.36,85.89,84.26,84.52,1150866
2010-03-25,85.25,85.75,83.23,83.23,1576056
2010-03-26,83.6,85.32,83.21,84.68,1776210
2010-03-29,85.61,86.73,85.61,85.82,1698962
2010-03-30,86.02,86.71,85.15,85.41,1348451
2010-03-31,86.5,89.1,86.2,88.81,2532308
2010-04-01,90.04,91.69,89.76,91.01,2330568
2010-04-05,92.62,92.62,91.3,92.22,1602558
2010-04-06,91.58,92.59,91.14,91.94,1690584
2010-04-07,91.97,91.97,90.21,90.45,1761160
2010-04-08,89.69,90.64,89.2,90.38,1223554
2010-04-09,90.42,91.37,89.8,90.72,1285130
2010-04-12,90.6,91.8,90.6,91.33,1262872
2010-04-13,91.25,91.55,89.67,90.96,1412220
2010-04-14,91.6,93.42,91.01,93.01,1420050
2010-04-15,93.01,93.41,91.42,91.54,1750125
2010-04-16,90.4,90.4,86.01,87.21,4088013
2010-04-19,86.71,88.33,86.6,87.79,1776494
2010-04-20,89.3,91.92,88.86,91.2,1851128
2010-04-21,91.32,91.69,89.62,90.3,1629090
2010-04-22,86.1,86.8,84.7,85.43,4335757
2010-04-23,85.19,86.08,84.61,85.6,2879575
2010-04-26,85.84,86.0,84.81,85.18,1805761
2010-04-27,84.91,85.93,83.91,84.52,3019998
2010-04-28,85.18,86.08,83.68,85.94,2584980
2010-04-29,84.88,85.26,81.82,82.74,3745940
2010-04-30,82.25,83.0,77.46,79.1,4826031
2010-05-03,79.09,79.67,75.4,78.69,5105043
2010-05-04,77.88,77.88,76.17,77.24,2898783
2010-05-05,76.18,78.48,75.37,77.35,3434503
2010-05-06,77.14,78.01,69.5,73.92,3691335
2010-05-07,73.75,75.0,71.37,72.9,3647275
2010-05-10,74.88,75.93,74.04,75.42,2913226
2010-05-11,74.04,76.29,74.04,75.07,2145327
2010-05-12,75.79,76.44,74.21,75.44,1622177
2010-05-13,75.22,75.49,71.9,72.14,3590189
2010-05-14,71.72,71.9,69.69,71.67,3129031
2010-05-17,71.91,72.47,70.19,71.5,2773957
2010-05-18,72.59,73.71,69.7,70.1,2637953
2010-05-19,69.72,70.86,67.67,69.01,3383514
2010-05-20,67.73,69.6,65.4,67.9,4954930
2010-05-21,67.09,72.31,66.99,70.55,5426964
2010-05-24,70.92,70.98,67.53,67.74,2816039
2010-05-25,66.21,69.6,66.12,69.3,3872015
2010-05-26,70.13,70.29,68.33,68.55,2700707
2010-05-27,69.91,70.91,67.01,68.08,6332225
2010-05-28,66.49,66.91,63.0,63.1,6907072
2010-06-01,61.36,61.36,57.1,58.51,9927732
2010-06-02,59.7,61.25,58.31,60.14,5403844
2010-06-03,61.06,61.06,58.42,60.49,6144495
2010-06-04,59.17,62.55,58.94,59.15,4590491
2010-06-07,59.37,60.23,58.74,59.21,3763023
2010-06-08,56.57,57.8,54.7,56.94,12150690
2010-06-09,57.58,61.0,56.95,57.1,7038144
2010-06-10,59.94,61.74,59.33,61.35,4874976
2010-06-11,61.04,62.36,59.89,60.99,3741255
2010-06-14,62.45,62.74,60.13,60.25,3542591
2010-06-15,61.01,63.36,60.71,63.15,3786087
2010-06-16,62.8,64.86,62.15,62.83,3498096
2010-06-17,63.83,63.89,62.06,62.79,2757324
2010-06-18,62.78,64.0,62.48,63.87,2977127
2010-06-21,65.15,65.31,63.86,64.74,3958466
2010-06-22,64.59,68.65,62.36,62.85,7448066
2010-06-23,63.0,63.33,61.2,62.62,3626994
2010-06-24,62.7,62.7,59.71,59.85,3028463
2010-06-25,59.7,62.53,59.57,61.72,4394478
2010-06-28,62.0,62.17,60.28,60.44,1838807
2010-06-29,59.52,60.75,58.85,60.16,3524751
2010-06-30,60.42,63.66,59.92,62.19,3704021
2010-07-01,62.93,64.89,61.86,63.84,4101548
2010-07-02,63.85,65.75,63.18,63.49,2079107
2010-07-06,65.57,65.81,61.81,62.9,2851753
2010-07-07,63.45,64.37,62.28,64.26,3238355
2010-07-08,64.98,65.41,63.02,65.26,2251287
2010-07-09,65.61,66.0,63.5,64.4,2069365
2010-07-12,64.41,65.5,63.5,64.09,2186584
2010-07-13,65.08,65.64,63.71,65.33,2532163
2010-07-14,65.35,67.03,64.71,65.91,1825073
2010-07-15,65.97,66.51,64.12,65.91,1977471
2010-07-16,65.09,65.09,62.48,62.55,2509139
2010-07-19,63.21,63.92,62.32,63.19,1440048
2010-07-20,62.03,65.38,61.82,65.02,1712581
2010-07-21,65.5,65.68,63.49,64.14,2511822
2010-07-22,63.0,63.42,61.06,62.31,5797452
2010-07-23,61.81,61.81,60.45,61.66,2295077
2010-07-26,62.11,62.89,61.64,62.83,1575450
2010-07-27,63.19,63.5,60.91,62.83,1783190
2010-07-28,62.43,62.98,61.06,61.22,1734108
2010-07-29,60.73,61.72,59.29,59.81,2115639
2010-07-30,59.38,59.89,58.75,59.49,2169510
2010-08-02,60.34,62.3,60.13,61.68,1992562
2010-08-03,61.52,63.47,60.83,63.34,2255313
2010-08-04,63.5,67.8,63.5,67.28,3068303
