Date,Open,High,Low,Close,Volume
2010-01-04,17.72,17.98,17.64,17.9,28138897
2010-01-05,17.97,18.1,17.84,18.06,19429639
2010-01-06,18.07,18.15,17.64,17.86,25964334
2010-01-07,17.77,17.89,17.47,17.56,22985556
2010-01-08,17.63,17.71,17.48,17.66,22145930
2010-01-11,17.76,17.8,17.26,17.51,20380138
2010-01-12,17.51,17.73,17.31,17.47,23841714
2010-01-13,17.49,17.7,17.35,17.6,19502825
2010-01-14,17.62,18.21,17.61,18.17,43084189
2010-01-15,18.17,18.31,17.79,17.94,31195924
2010-01-19,17.92,18.24,17.86,18.09,29275097
2010-01-20,17.97,18.02,17.7,17.78,30120159
2010-01-21,17.95,18.0,17.37,17.53,41416933
2010-01-22,17.64,17.64,16.74,16.76,40470160
2010-01-25,17.01,17.07,16.78,16.94,29909142
2010-01-26,17.5,17.79,17.06,17.61,64876801
2010-01-27,17.55,17.66,17.27,17.58,37540868
2010-01-28,17.56,17.63,16.89,17.04,37796425
2010-01-29,17.21,17.23,16.56,16.67,33460958
2010-02-01,16.67,17.06,16.6,17.04,28384493
2010-02-02,17.04,17.17,16.8,17.09,23472560
2010-02-03,16.99,17.14,16.87,17.06,20312891
2010-02-04,16.92,16.96,16.6,16.63,26623714
2010-02-05,16.63,16.86,16.45,16.82,30926208
2010-02-08,16.79,17.06,16.68,16.84,24040365
2010-02-09,16.99,17.12,16.86,16.95,21683373
2010-02-10,16.95,16.95,16.63,16.76,17007260
2010-02-11,16.7,17.19,16.66,17.13,24280130
2010-02-12,16.96,17.18,16.84,17.12,20263749
2010-02-16,17.21,17.43,17.15,17.43,13432533
2010-02-17,17.46,17.49,17.32,17.4,12586646
2010-02-18,17.35,17.79,17.35,17.74,17926476
2010-02-19,17.6,17.91,17.6,17.81,13031433
2010-02-22,17.89,17.89,17.61,17.71,12624099
2010-02-23,17.64,17.68,17.12,17.25,20990369
2010-02-24,17.3,17.49,17.24,17.39,15902544
2010-02-25,17.06,17.34,16.92,17.32,21653038
2010-02-26,17.28,17.57,17.17,17.49,16948509
2010-03-01,17.48,17.75,17.48,17.75,16544984
2010-03-02,17.72,17.93,17.62,17.65,22095497
2010-03-03,17.7,17.83,17.47,17.55,15981901
2010-03-04,17.57,17.58,17.31,17.47,14866171
2010-03-05,17.58,17.95,17.48,17.87,19906954
2010-03-08,17.9,18.46,17.87,18.42,42152404
2010-03-09,18.36,18.73,18.28,18.54,30508423
2010-03-10,18.55,18.92,18.5,18.72,23986302
2010-03-11,18.59,18.81,18.54,18.8,16630134
2010-03-12,18.94,18.94,18.71,18.88,14558944
2010-03-15,18.76,18.86,18.65,18.82,18127053
2010-03-16,18.8,18.82,18.69,18.78,18249038
2010-03-17,18.73,18.82,18.62,18.7,20422184
2010-03-18,18.61,18.8,18.56,18.64,17704407
2010-03-19,18.71,18.83,18.5,18.61,20158646
2010-03-22,18.4,18.88,18.38,18.83,16530992
2010-03-23,18.74,18.98,18.54,18.94,28023996
2010-03-24,18.84,18.98,18.72,18.82,18005481
2010-03-25,18.97,19.04,18.72,18.73,18714541
2010-03-26,18.76,18.89,18.48,18.56,17411465
2010-03-29,18.6,18.69,17.87,18.06,44224948
2010-03-30,18.12,18.2,17.8,18.04,29224607
2010-03-31,18.0,18.18,17.97,18.04,16775923
2010-04-01,18.18,18.35,17.99,18.18,17024206
2010-04-05,18.31,18.71,18.27,18.62,20064695
2010-04-06,18.55,18.77,18.44,18.7,16208409
2010-04-07,18.8,18.85,18.5,18.53,21172414
2010-04-08,18.25,18.48,18.1,18.4,25825092
2010-04-09,18.47,18.56,18.38,18.54,12181659
2010-04-12,18.71,19.26,18.68,19.17,38654886
2010-04-13,19.11,19.17,18.92,19.02,23231054
2010-04-14,19.04,19.28,19.01,19.27,20674763
2010-04-15,19.29,19.4,19.2,19.35,18011537
2010-04-16,19.28,19.55,19.15,19.36,37003210
2010-04-19,19.27,19.31,18.91,19.25,21655148
2010-04-20,19.35,19.5,19.24,19.41,18795446
2010-04-21,19.85,19.95,19.53,19.85,37637617
2010-04-22,19.62,19.88,19.51,19.84,23098858
2010-04-23,19.8,19.98,19.63,19.98,19264982
2010-04-26,19.9,20.0,19.9,19.98,14686674
2010-04-27,19.9,19.95,19.31,19.35,27155107
2010-04-28,19.48,19.58,19.21,19.55,21754304
2010-04-29,19.65,19.74,19.47,19.63,20786495
2010-04-30,19.62,19.63,18.99,19.01,29625144
2010-05-03,19.08,19.57,19.05,19.44,24010785
2010-05-04,19.2,19.2,18.8,19.0,24276015
2010-05-05,18.76,19.13,18.69,19.07,28904029
2010-05-06,19.0,19.2,17.1,18.57,41426445
2010-05-07,18.46,18.62,17.66,18.08,39411224
2010-05-10,18.69,18.93,18.58,18.76,32971379
2010-05-11,18.56,19.09,18.48,18.75,22349064
2010-05-12,18.81,19.12,18.68,19.08,25062744
2010-05-13,19.04,19.22,18.79,18.84,21546910
2010-05-14,18.68,18.74,18.28,18.57,23411830
2010-05-17,18.57,18.85,18.36,18.67,21086314
2010-05-18,18.69,18.85,18.24,18.38,23902059
2010-05-19,18.22,18.43,17.96,18.2,24478128
2010-05-20,17.8,18.0,17.55,17.68,26420564
2010-05-21,17.12,17.99,17.11,17.96,37805694
