Date,Open,High,Low,Close,Volume
2010-01-04,40.7,42.48,40.64,42.35,7761234
2010-01-05,42.34,43.32,42.15,43.05,6182686
2010-01-06,43.1,44.2,42.84,43.99,4126417
2010-01-07,44.25,44.25,43.37,43.68,3331968
2010-01-08,44.1,44.99,43.69,44.92,4765282
2010-01-11,45.59,45.71,44.01,44.14,4871764
2010-01-12,43.54,44.09,42.62,42.89,4810571
2010-01-13,42.88,43.83,42.65,43.55,3283881
2010-01-14,43.39,45.09,43.38,44.97,5669166
2010-01-15,44.67,45.05,44.13,44.58,4320138
2010-01-19,44.14,44.45,43.47,44.27,4191643
2010-01-20,43.68,44.31,43.23,43.41,3950843
2010-01-21,43.57,43.8,42.34,42.37,5382170
2010-01-22,42.0,42.65,40.78,40.98,3968412
2010-01-25,41.38,41.81,40.74,40.86,3524988
2010-01-26,40.55,41.84,40.1,40.57,3705023
2010-01-27,40.59,41.29,40.03,40.79,3800050
2010-01-28,41.3,41.34,39.84,40.41,3549943
2010-01-29,40.77,41.34,38.83,39.03,4171399
2010-02-01,39.34,40.58,39.34,40.48,3834168
2010-02-02,40.65,41.55,40.27,41.43,2619298
2010-02-03,41.29,41.84,40.98,41.4,1916819
2010-02-04,40.78,40.84,38.76,38.99,4311066
2010-02-05,39.35,39.61,37.45,38.94,3822726
2010-02-08,39.16,39.36,38.29,38.37,3682578
2010-02-09,39.07,40.08,39.0,39.55,2564546
2010-02-10,39.14,40.32,38.98,39.6,2865077
2010-02-11,40.0,41.11,39.7,41.02,2849554
2010-02-12,40.45,40.68,39.47,40.48,2474345
2010-02-16,41.4,42.0,40.96,41.91,3089903
2010-02-17,41.87,42.33,41.47,42.21,2258532
2010-02-18,42.01,42.65,41.56,41.97,3421657
2010-02-19,42.73,43.46,42.5,43.04,3996684
2010-02-22,43.72,44.05,42.76,43.3,3789625
2010-02-23,43.1,43.35,42.12,42.3,2812325
2010-02-24,42.16,42.63,41.44,41.78,4600998
2010-02-25,41.39,44.11,40.85,43.97,7714484
2010-02-26,43.96,44.47,43.59,44.17,3119183
2010-03-01,45.47,45.5,44.85,45.37,4671539
2010-03-02,45.47,46.33,45.01,45.48,3792273
2010-03-03,45.84,46.1,45.07,45.26,2538774
2010-03-04,45.22,45.82,44.7,45.18,2482346
2010-03-05,45.8,46.29,45.4,45.92,2180845
2010-03-08,45.83,46.4,45.48,46.11,1917600
2010-03-09,45.54,46.21,45.13,45.57,2146828
2010-03-10,45.48,45.84,44.75,45.55,2279376
2010-03-11,45.46,45.55,44.96,45.51,2187458
2010-03-12,46.05,46.77,45.61,45.82,2821796
2010-03-15,45.42,45.59,44.61,45.31,1556997
2010-03-16,45.44,45.94,44.92,45.92,2387810
2010-03-17,45.9,46.98,45.79,46.6,2371985
2010-03-18,46.45,46.67,44.73,45.03,2882999
2010-03-19,45.03,45.11,43.02,43.29,3770841
2010-03-22,42.9,43.9,42.15,43.84,3051897
2010-03-23,43.68,44.68,43.68,44.01,2796512
2010-03-24,43.67,43.95,43.19,43.74,3100470
2010-03-25,44.02,44.31,42.83,42.93,3259569
2010-03-26,43.09,43.36,42.34,42.47,3208839
2010-03-29,43.09,43.59,42.77,43.19,2539606
2010-03-30,43.25,44.08,43.1,43.65,2615478
2010-03-31,43.94,45.32,43.81,44.78,3520509
2010-04-01,45.37,47.38,45.21,46.91,3625996
2010-04-05,47.4,48.33,46.79,47.54,2925951
2010-04-06,47.56,48.3,47.3,47.89,2073041
2010-04-07,47.89,48.16,46.94,47.4,3006790
2010-04-08,47.12,47.13,46.31,47.06,1635968
2010-04-09,47.36,47.74,46.76,46.98,2053831
2010-04-12,46.98,47.9,46.66,47.22,1499881
2010-04-13,46.9,46.97,45.81,46.62,2526596
2010-04-14,47.1,48.8,46.78,48.7,2757380
2010-04-15,48.39,49.29,48.38,48.92,2207900
2010-04-16,49.54,49.54,45.74,47.18,4857091
2010-04-19,46.43,47.72,45.88,47.27,2039975
2010-04-20,47.63,49.36,47.61,48.58,2033372
2010-04-21,48.29,48.83,47.64,48.18,3345902
2010-04-22,48.92,50.4,48.24,50.16,4798649
2010-04-23,50.55,52.06,50.0,51.95,3962280
2010-04-26,52.32,52.32,51.01,51.42,2681775
2010-04-27,50.67,51.13,49.02,50.2,3141824
2010-04-28,50.8,51.28,49.42,49.93,2754372
2010-04-29,50.57,50.88,46.7,48.63,5756856
2010-04-30,45.81,48.4,44.92,47.18,10421942
2010-05-03,46.95,48.2,45.23,47.84,4987791
2010-05-04,46.82,47.78,45.94,47.05,2670709
2010-05-05,45.9,46.8,44.61,45.16,4929146
2010-05-06,44.84,46.17,40.91,43.43,4185932
2010-05-07,43.22,43.3,40.24,41.44,6486017
2010-05-10,42.84,43.84,42.15,43.03,4784485
2010-05-11,42.26,43.77,42.2,43.14,2660226
2010-05-12,43.59,43.83,41.8,42.66,3741274
2010-05-13,42.29,42.67,41.11,41.54,4424515
