Date,Open,High,Low,Close,Volume
2010-01-04,27.85,27.98,27.33,27.39,4798193
2010-01-05,27.4,27.54,27.15,27.49,5437327
2010-01-06,30.2,31.25,30.06,30.92,15874906
2010-01-07,30.84,30.92,30.16,30.53,4013317
2010-01-08,30.37,30.74,30.12,30.14,3945122
2010-01-11,30.2,30.59,30.05,30.55,2745991
2010-01-12,29.44,30.5,29.4,30.28,6190043
2010-01-13,30.34,30.37,30.05,30.31,3717880
2010-01-14,30.16,30.39,30.11,30.34,2317924
2010-01-15,30.15,30.73,30.1,30.61,3498887
2010-01-19,30.54,30.95,30.44,30.82,2812415
2010-01-20,30.72,30.72,30.35,30.57,2373969
2010-01-21,30.63,30.97,30.34,30.81,3998845
2010-01-22,30.84,31.01,30.3,30.36,3718058
2010-01-25,30.47,30.77,30.26,30.51,2649266
2010-01-26,30.31,30.7,30.25,30.41,2612128
2010-01-27,30.35,30.71,30.26,30.63,2526449
2010-01-28,30.78,30.85,30.51,30.69,2220962
2010-01-29,30.77,30.97,30.61,30.88,2874373
2010-02-01,30.86,31.05,30.69,31.01,2567991
2010-02-02,31.0,31.4,30.92,31.3,1846101
2010-02-03,31.15,31.45,31.03,31.28,1467787
2010-02-04,31.19,31.45,31.03,31.13,3340551
2010-02-05,31.04,31.1,30.6,31.06,4181719
2010-02-08,31.03,31.88,30.94,31.45,3547446
2010-02-09,31.61,31.86,31.39,31.6,2095260
2010-02-10,31.53,31.65,31.27,31.37,2113299
2010-02-11,31.32,31.81,31.11,31.75,2000015
2010-02-12,31.62,31.67,31.29,31.63,1787133
2010-02-16,31.8,32.37,31.75,32.29,1820043
2010-02-17,32.29,32.5,32.1,32.42,1352439
2010-02-18,32.44,32.49,32.1,32.4,1790786
2010-02-19,32.22,32.71,32.19,32.48,2148807
2010-02-22,32.49,32.59,32.3,32.36,1493078
2010-02-23,32.32,32.52,32.06,32.36,1665138
2010-02-24,32.55,33.15,32.55,33.0,2149300
2010-02-25,32.69,32.9,32.21,32.75,2145167
2010-02-26,32.83,33.57,32.83,32.99,2411821
2010-03-01,32.97,33.01,32.3,32.72,3544762
2010-03-02,32.8,33.0,32.56,32.95,1901852
2010-03-03,32.9,33.14,32.58,32.61,1966197
2010-03-04,33.74,35.73,33.6,35.24,9581493
2010-03-05,35.58,35.89,35.24,35.47,3075308
2010-03-08,35.56,35.6,35.32,35.56,1756222
2010-03-09,35.43,35.65,35.27,35.61,1989446
2010-03-10,35.66,35.8,35.39,35.63,1727165
2010-03-11,35.54,35.63,35.05,35.32,1642480
2010-03-12,35.29,35.62,35.15,35.38,1331052
2010-03-15,35.42,35.5,35.18,35.44,1017800
2010-03-16,35.49,35.6,35.33,35.41,1000357
2010-03-17,35.55,36.44,35.54,36.09,2605982
2010-03-18,36.16,36.24,35.66,36.14,1621876
2010-03-19,36.24,36.29,35.61,35.82,1924484
2010-03-22,35.55,36.47,35.5,36.36,1477484
