Date,Open,High,Low,Close,Volume
2010-01-04,33.74,34.29,33.48,33.7,542703
2010-01-05,33.7,34.14,33.41,33.97,549156
2010-01-06,34.0,34.51,33.84,34.19,523694
2010-01-07,34.22,34.84,34.02,34.75,723686
2010-01-08,34.73,35.26,34.62,35.24,490876
2010-01-11,35.44,36.61,35.22,36.07,1019006
2010-01-12,35.9,36.57,35.5,35.92,860625
2010-01-13,35.94,36.12,35.38,35.87,410652
2010-01-14,35.99,36.2,35.78,35.85,568408
2010-01-15,35.96,36.19,35.37,35.8,595127
2010-01-19,35.76,36.16,35.76,35.96,248784
2010-01-20,35.6,36.02,35.21,35.92,642088
2010-01-21,36.07,36.41,35.19,35.3,526019
2010-01-22,35.35,35.35,34.04,34.27,437767
2010-01-25,34.49,34.56,33.48,33.85,354873
2010-01-26,33.73,34.18,33.54,33.66,354342
2010-01-27,33.42,34.25,33.26,34.2,303824
2010-01-28,34.18,34.62,33.26,33.37,395157
2010-01-29,33.43,33.66,32.61,32.65,453786
2010-02-01,32.77,33.07,32.54,33.04,283055
2010-02-02,33.19,33.8,32.8,33.62,376121
2010-02-03,33.52,33.78,33.11,33.44,392619
2010-02-04,33.24,33.35,32.04,32.17,667903
2010-02-05,32.23,32.28,31.31,32.07,376210
2010-02-08,32.17,32.54,31.76,32.38,483254
2010-02-09,32.89,33.11,32.35,32.95,527823
2010-02-10,32.92,33.01,32.5,32.74,536763
2010-02-11,32.59,33.68,32.18,33.47,376180
2010-02-12,33.15,34.24,32.87,34.22,1110807
2010-02-16,36.53,37.06,34.93,36.58,2273648
2010-02-17,36.97,37.1,36.04,36.82,703105
2010-02-18,36.53,36.96,36.08,36.69,467269
2010-02-19,36.7,36.99,36.46,36.69,422329
2010-02-22,36.89,36.89,36.01,36.38,424342
2010-02-23,36.19,36.49,35.73,36.21,585199
2010-02-24,36.42,36.76,36.2,36.38,304811
2010-02-25,35.9,36.37,35.47,36.34,623121
2010-02-26,36.28,36.53,36.0,36.25,350318
2010-03-01,36.58,37.12,36.18,37.06,631541
2010-03-02,37.06,38.0,37.02,37.63,705469
2010-03-03,37.99,38.08,37.47,37.66,569848
2010-03-04,37.84,37.97,37.3,37.6,623111
2010-03-05,37.99,38.8,37.64,38.73,978534
2010-03-08,38.94,39.0,38.73,38.99,369907
2010-03-09,38.98,39.6,38.5,39.3,574950
2010-03-10,39.41,39.41,38.6,38.8,547285
2010-03-11,38.41,38.93,38.24,38.93,316394
2010-03-12,38.88,39.13,38.49,38.73,246516
2010-03-15,38.77,38.79,38.0,38.78,294528
2010-03-16,38.61,39.0,38.37,38.91,237652
2010-03-17,38.86,39.29,38.69,38.89,349948
2010-03-18,38.63,39.18,38.62,38.8,243388
2010-03-19,39.1,39.4,38.32,38.36,555240
2010-03-22,37.98,39.07,37.75,38.95,384302
2010-03-23,38.73,39.27,38.53,39.22,361814
2010-03-24,39.06,39.13,37.65,37.79,694461
2010-03-25,38.0,38.18,37.34,37.39,584037
2010-03-26,37.58,38.24,37.56,37.84,315539
2010-03-29,37.87,38.28,37.76,38.26,308679
2010-03-30,38.18,38.68,37.85,38.05,215385
2010-03-31,38.0,38.34,37.67,37.74,329669
2010-04-05,39.0,39.96,38.88,39.6,372544
2010-04-06,39.31,39.79,39.04,39.75,323718
2010-04-07,39.75,39.75,38.76,39.21,421719
2010-04-08,39.13,39.13,38.51,38.65,755833
2010-04-09,38.8,38.95,38.18,38.92,553047
2010-04-12,38.85,39.28,38.85,39.21,321442
2010-04-13,39.21,40.79,39.14,40.76,686609
2010-04-14,40.94,41.2,40.65,40.95,511479
2010-04-15,40.92,41.37,40.67,41.2,348277
2010-04-16,41.14,41.5,40.72,41.07,569181
2010-04-19,41.03,41.29,39.18,39.85,549941
2010-04-20,40.12,40.68,39.84,40.27,418691
2010-04-21,40.41,40.96,40.21,40.88,358020
2010-04-22,40.49,41.84,40.47,41.77,371523
2010-04-23,41.61,42.99,41.61,42.91,519850
2010-04-26,42.91,43.42,42.5,42.59,499588
2010-04-27,42.46,42.79,41.58,41.77,625204
2010-04-28,42.12,42.3,40.07,40.13,699888
2010-04-29,40.5,40.94,39.75,40.63,424123
2010-04-30,40.77,40.77,38.89,38.96,515761
2010-05-03,39.19,40.83,38.63,40.46,370707
2010-05-04,39.68,39.68,38.03,38.65,445037
2010-05-05,38.17,38.68,37.44,37.44,488026
2010-05-06,37.26,37.7,33.0,35.29,964715
2010-05-07,35.24,36.04,33.73,33.95,1061877
2010-05-10,36.42,39.39,36.42,37.86,1407496
2010-05-11,40.77,42.59,40.39,41.06,2434861
2010-05-12,41.53,42.15,41.29,41.88,631553
2010-05-13,41.85,42.0,41.42,41.59,658220
2010-05-14,40.69,41.13,38.66,39.97,1065232
2010-05-17,40.34,40.6,37.78,39.53,634326
2010-05-18,39.95,40.79,38.89,39.05,1790619
2010-05-19,38.85,39.46,37.71,37.82,1368770
2010-05-20,36.81,37.33,35.56,36.34,2050722
2010-05-21,35.48,36.93,35.11,36.18,1347869
2010-05-24,36.0,36.61,35.76,35.86,457549
2010-05-25,34.28,35.79,33.2,35.65,1009166
2010-05-26,35.9,37.1,35.75,36.27,1040389
2010-05-27,37.21,38.65,37.0,38.64,738527
2010-05-28,38.48,38.74,37.19,37.5,904703
2010-06-01,37.24,38.05,36.22,36.23,430552
2010-06-02,36.59,37.52,35.56,37.52,697035
2010-06-03,37.57,39.19,37.47,39.05,906544
2010-06-04,37.97,38.48,36.17,36.31,917930
2010-06-07,36.53,36.57,34.7,34.77,597210
2010-06-08,34.72,35.53,33.85,35.42,1023594
2010-06-09,35.56,37.08,35.56,36.55,1015262
2010-06-10,37.23,38.59,37.12,38.54,1212841
2010-06-11,37.99,39.44,37.69,38.93,961261
2010-06-14,39.5,40.19,39.19,39.33,523319
2010-06-15,39.58,40.56,39.34,40.44,662468
2010-06-16,39.97,40.33,39.79,39.98,701836
2010-06-17,40.07,40.67,39.51,40.3,561447
2010-06-18,40.48,40.84,40.33,40.52,635813
2010-06-21,40.96,41.16,39.89,40.11,773799
2010-06-22,40.15,40.43,39.27,39.4,1291121
2010-06-23,39.43,39.64,38.25,39.11,599359
2010-06-24,38.91,39.03,36.52,36.69,1158930
2010-06-25,36.76,37.28,36.27,36.56,6024369
2010-06-28,36.86,37.56,36.19,36.23,1048697
2010-06-29,35.56,35.87,34.43,34.72,928584
2010-06-30,34.79,35.42,34.34,34.7,648283
2010-07-01,35.04,35.9,33.86,35.79,1435136
2010-07-02,36.15,36.83,35.63,35.92,1005432
2010-07-06,36.6,37.66,35.49,35.88,955410
2010-07-07,36.19,37.58,35.97,37.57,634123
2010-07-08,38.02,38.29,37.36,37.83,658565
2010-07-09,37.86,39.02,37.86,38.39,496487
2010-07-12,38.11,38.45,37.36,37.66,293084
2010-07-13,38.1,38.9,38.01,38.68,338832
2010-07-14,38.43,39.12,38.15,38.38,524352
2010-07-15,38.48,39.13,38.17,38.84,748228
2010-07-16,38.62,38.62,37.06,37.07,259475
2010-07-19,37.2,37.34,36.28,37.08,479416
2010-07-20,36.38,38.63,36.38,38.46,349770
2010-07-21,38.61,38.87,37.29,37.32,438511
2010-07-22,37.89,39.31,37.89,39.18,673615
2010-07-23,38.9,40.45,38.9,40.16,1013845
2010-07-26,40.4,40.86,39.77,40.81,675451
2010-07-27,40.98,41.07,40.51,40.63,791126
2010-07-28,40.65,40.79,39.02,39.43,482468
2010-07-29,39.94,40.49,38.81,39.65,461952
2010-07-30,38.99,39.87,38.82,39.6,630335
2010-08-02,40.27,40.76,39.73,40.31,634573
2010-08-03,40.05,40.1,38.85,39.41,417619
2010-08-04,39.51,40.98,39.51,40.92,292232
2010-08-05,40.67,41.61,39.98,41.45,940698
2010-08-06,41.0,42.24,40.9,41.6,448666
2010-08-09,42.12,42.99,42.08,42.47,1271682
2010-08-10,45.0,46.3,44.57,45.84,2847321
2010-08-11,45.11,45.12,43.86,44.18,714241
2010-08-12,43.16,44.34,42.55,44.18,916229
2010-08-13,43.97,44.16,43.55,43.7,542920
2010-08-16,43.03,44.38,42.51,43.83,631554
2010-08-17,44.0,45.23,43.85,44.5,759277
2010-08-18,44.5,45.44,44.1,45.0,626324
2010-08-19,44.77,44.92,43.74,44.14,797725
2010-08-20,43.78,44.27,43.51,44.15,489391
2010-08-23,44.64,45.08,44.13,44.36,731214
2010-08-24,43.76,44.65,43.25,44.38,864119
2010-08-25,44.0,44.93,43.75,44.71,831881
2010-08-26,44.79,45.13,44.32,44.85,845646
2010-08-27,44.93,46.33,44.72,46.01,1082547
2010-08-30,46.21,49.5,46.2,47.95,2003015
2010-08-31,47.69,48.74,47.32,47.49,1339848
2010-09-01,47.96,48.97,47.55,48.8,884031
2010-09-02,48.87,50.38,48.86,49.91,1142401
2010-09-03,50.35,50.49,48.93,50.2,658532
2010-09-07,50.17,50.33,49.4,49.43,688507
2010-09-08,49.5,50.44,49.46,50.12,540363
2010-09-09,50.5,51.2,50.5,50.85,731900
2010-09-10,50.85,50.98,50.01,50.39,519377
2010-09-13,50.97,51.34,50.6,51.0,645873
2010-09-14,50.57,51.95,50.57,51.49,788643
2010-09-15,51.4,51.99,50.88,51.83,415468
2010-09-16,51.46,52.07,51.37,51.88,509916
2010-09-17,52.0,52.08,51.13,51.58,1173743
2010-09-20,51.83,52.56,51.6,52.43,632597
2010-09-21,52.45,52.64,51.29,51.84,1078063
2010-09-22,51.71,52.49,50.75,51.31,393128
2010-09-23,50.71,52.03,50.71,51.24,565197
2010-09-24,51.95,53.05,51.95,53.03,509268
2010-09-27,53.16,53.68,52.85,53.13,461570
2010-09-28,53.55,54.76,53.16,54.59,765649
2010-09-29,53.5,53.83,52.7,52.89,1621984
2010-09-30,52.99,54.15,52.51,53.79,1062334
2010-10-01,54.44,54.58,52.53,53.07,488684
2010-10-04,52.1,53.18,51.03,52.75,476795
2010-10-05,53.52,54.47,52.8,54.14,1061348
2010-10-06,54.23,54.34,52.52,52.97,578160
2010-10-07,53.51,54.97,53.01,54.68,937594
2010-10-08,54.92,55.1,54.3,54.54,471677
2010-10-11,54.54,55.51,54.54,55.03,380498
2010-10-12,55.07,55.11,54.26,54.57,637325
2010-10-13,54.72,54.88,53.0,53.06,1042688
2010-10-14,53.0,54.94,52.68,54.33,833457
2010-10-15,54.83,54.99,53.23,53.9,566163
2010-10-18,53.93,54.24,53.4,53.81,281702
2010-10-19,53.64,54.78,52.93,53.43,566137
2010-10-20,53.66,54.49,53.54,53.97,464228
2010-10-21,54.29,55.93,54.29,55.63,910920
2010-10-22,55.95,56.67,55.76,56.58,529165
2010-10-25,56.8,57.81,56.58,57.3,539273
2010-10-26,57.0,58.75,56.79,57.94,694615
2010-10-27,57.64,58.56,56.92,58.51,577432
2010-10-28,58.91,59.81,58.69,59.36,791048
2010-10-29,59.37,59.94,58.92,58.99,560936
2010-11-01,59.48,60.11,58.84,59.26,827020
2010-11-02,59.92,60.41,59.69,60.17,1245872
2010-11-03,60.21,60.54,59.51,60.22,771523
2010-11-04,60.76,61.45,60.23,61.25,1040157
2010-11-05,61.29,62.31,61.11,62.22,504179
2010-11-08,62.5,64.0,62.38,63.97,1566569
2010-11-09,69.01,69.8,67.34,67.85,2215647
2010-11-10,68.21,70.07,67.71,69.7,1190355
2010-11-11,69.17,69.4,68.2,68.91,1025250
2010-11-12,68.2,68.98,66.97,67.74,902248
2010-11-15,67.28,69.1,67.28,67.99,824143
