Date,Open,High,Low,Close,Volume
2010-01-04,136.0,136.83,133.57,135.46,1636001
2010-01-05,135.43,140.6,135.1,137.4,2521043
2010-01-06,138.43,140.25,137.65,140.02,2195971
2010-01-07,141.0,142.46,138.91,140.48,2039929
2010-01-08,139.7,141.5,137.01,139.68,1583126
2010-01-11,141.0,141.24,137.77,138.24,1576115
2010-01-12,137.0,137.0,132.66,132.98,2088630
2010-01-13,133.52,134.0,129.42,132.12,1805540
2010-01-14,131.52,136.23,124.72,124.84,8296529
2010-01-15,125.89,126.5,122.5,124.07,3772126
2010-01-19,123.13,124.68,120.0,123.94,3574578
2010-01-20,120.61,122.0,118.25,119.5,3932123
2010-01-21,119.08,121.45,118.19,119.12,2872706
2010-01-22,119.54,119.54,109.77,112.39,4927381
2010-01-25,114.68,115.75,111.1,111.72,2803737
2010-01-26,112.02,117.88,111.35,115.13,4067700
2010-01-27,115.06,115.98,111.02,114.14,2191841
2010-01-28,115.3,115.78,112.07,114.35,2436768
2010-01-29,114.64,120.03,113.0,113.3,2927893
2010-02-01,114.89,119.84,114.25,117.49,1797525
2010-02-02,117.49,118.68,115.29,117.37,2175655
2010-02-03,117.86,120.3,117.74,119.07,1314848
2010-02-04,116.56,117.86,113.25,113.46,1579259
2010-02-05,113.92,114.4,110.84,114.19,1966072
2010-02-08,112.0,113.32,110.57,111.21,1932096
2010-02-09,112.94,114.9,111.25,113.29,2518807
2010-02-10,112.65,113.04,107.25,109.33,2674458
2010-02-11,110.65,114.45,110.21,113.81,2275858
2010-02-12,113.21,115.9,110.44,115.1,1875024
2010-02-16,116.84,122.79,116.04,121.36,2547275
2010-02-17,123.47,124.75,121.7,124.22,2602891
2010-02-18,125.63,127.0,124.05,126.29,4205781
2010-02-19,116.68,118.49,115.12,116.0,5673413
2010-02-22,114.76,115.12,110.32,113.09,5790347
2010-02-23,109.0,109.64,105.08,105.78,5724719
2010-02-24,106.6,107.7,103.58,105.13,3707722
2010-02-25,100.55,103.46,98.71,102.97,5222360
2010-02-26,105.26,105.98,102.53,105.75,2718370
2010-03-01,107.59,107.9,104.36,105.62,1757850
2010-03-02,106.28,109.34,104.7,107.26,2900010
2010-03-03,108.5,110.15,107.46,107.64,1783437
2010-03-04,108.8,109.7,107.95,108.05,1394011
2010-03-05,108.73,109.5,108.11,108.62,1352078
2010-03-08,109.2,109.49,106.52,108.64,1497028
2010-03-09,105.9,107.28,104.83,106.22,2620907
2010-03-10,106.12,112.25,106.11,110.95,3146857
2010-03-11,110.7,115.7,109.95,113.69,3096867
2010-03-12,114.5,117.44,114.29,115.53,2104382
2010-03-15,115.53,118.64,114.21,114.92,2010356
2010-03-16,115.81,116.7,114.4,115.24,948875
2010-03-17,116.25,116.49,114.39,114.52,1220400
2010-03-18,114.05,115.82,113.45,115.13,1501365
2010-03-19,114.5,114.9,112.55,113.3,2222974
2010-03-22,110.22,110.93,108.97,109.36,2446825
2010-03-23,109.93,112.68,109.52,112.02,1519460
2010-03-24,111.15,111.97,109.36,109.45,1771909
2010-03-25,112.8,113.7,111.77,112.05,2081000
2010-03-26,113.59,118.58,113.06,116.5,3825081
2010-03-29,118.22,120.5,117.3,119.37,2148945
2010-03-30,120.0,122.89,119.41,122.18,2153637
2010-03-31,121.68,123.4,121.31,122.65,1670350
2010-04-05,122.48,124.0,120.83,122.28,1095691
2010-04-06,122.26,122.26,120.11,120.53,1101581
2010-04-07,122.54,126.73,122.51,126.6,2682317
2010-04-08,125.4,127.56,124.15,126.25,1633783
2010-04-09,126.45,127.0,123.78,124.09,1477235
2010-04-12,123.94,129.95,123.76,127.86,1964914
2010-04-13,128.0,128.5,126.31,126.75,1057306
2010-04-14,128.25,132.64,128.0,132.6,2477991
2010-04-15,133.33,139.46,132.49,137.9,2887413
2010-04-16,138.02,138.09,132.17,134.32,1765424
2010-04-19,132.1,134.9,130.15,132.8,1615240
2010-04-20,134.88,135.72,131.9,134.12,1198795
2010-04-21,132.0,132.08,128.0,130.49,2200520
2010-04-22,129.5,134.29,129.36,133.94,1493124
2010-04-23,132.48,133.88,130.27,133.87,1419535
2010-04-26,132.96,135.42,130.88,131.95,1141484
2010-04-27,131.94,133.79,127.78,128.36,1927605
2010-04-28,128.39,131.56,128.05,128.13,3146093
2010-04-29,141.83,152.53,141.69,150.87,9799811
2010-04-30,148.65,150.79,143.49,143.98,3459431
2010-05-03,145.75,148.11,144.0,146.91,1897939
2010-05-04,143.55,143.72,137.91,139.73,2390925
2010-05-05,135.19,137.5,132.0,133.95,2851717
2010-05-06,132.5,136.24,118.01,122.24,4544036
2010-05-07,123.34,127.2,117.27,122.55,3443368
2010-05-10,129.2,134.24,128.29,130.18,2253149
2010-05-11,129.8,129.8,126.61,127.45,1560271
2010-05-12,128.91,129.06,125.25,128.62,1726721
2010-05-13,126.86,129.45,125.93,126.0,1085768
2010-05-14,123.5,124.5,118.75,120.31,2088944
2010-05-17,119.71,120.31,110.12,113.17,4792642
2010-05-18,115.89,115.89,108.24,110.06,3359355
2010-05-19,108.15,110.93,105.35,110.0,4501464
2010-05-20,107.99,114.0,105.5,109.62,4391076
2010-05-21,107.42,115.88,106.36,113.95,3281405
2010-05-24,115.41,115.41,108.72,109.21,2047800
2010-05-25,106.0,112.98,103.7,112.62,2687161
2010-05-26,115.18,117.0,109.61,110.35,2292399
2010-05-27,114.71,115.9,112.2,115.8,2039170
2010-05-28,115.64,115.95,110.56,112.36,1653239
2010-06-01,112.22,112.51,107.05,107.11,2142343
2010-06-02,108.38,110.99,106.67,110.98,1863629
2010-06-03,112.67,114.5,110.57,112.96,1911691
2010-06-04,109.97,115.34,108.59,109.84,2640000
2010-06-07,110.03,110.08,104.56,104.98,2196265
2010-06-08,105.31,106.85,100.19,104.38,3654876
2010-06-09,105.96,108.97,102.5,103.07,2026185
2010-06-10,106.3,109.62,104.5,109.36,2139218
2010-06-11,105.75,108.96,105.31,107.27,2319336
2010-06-14,109.03,110.0,107.2,107.53,1761615
2010-06-15,109.29,117.55,109.26,117.27,3815382
2010-06-16,115.8,120.44,114.61,118.77,3451189
2010-06-17,124.93,125.88,122.52,123.45,3229138
