Date,Open,High,Low,Close,Volume
2010-01-04,36.69,37.03,36.62,37.0,192260
2010-01-05,36.85,36.91,35.5,36.27,546563
2010-01-06,36.27,36.35,35.55,35.7,390436
2010-01-07,35.71,35.96,35.52,35.88,208201
2010-01-08,35.94,36.01,35.58,35.97,187026
2010-01-11,36.21,36.59,36.02,36.56,251257
2010-01-12,36.47,36.81,36.23,36.37,222440
2010-01-13,36.6,36.99,36.29,36.68,233060
2010-01-14,36.47,37.04,36.47,36.75,181371
2010-01-15,36.71,36.98,36.05,36.41,156751
2010-01-19,36.58,37.24,36.58,37.24,243504
2010-01-20,36.94,37.05,36.45,36.75,149303
2010-01-21,36.67,37.01,35.7,36.1,240571
2010-01-22,36.2,36.29,35.53,35.58,223048
2010-01-25,35.77,36.0,35.51,35.91,179871
2010-01-26,35.72,36.08,35.45,35.67,197115
2010-01-27,35.69,35.79,35.0,35.26,272829
2010-01-28,35.37,35.41,34.91,35.25,194551
2010-01-29,35.49,35.63,35.15,35.29,294209
2010-02-01,35.36,35.62,35.11,35.62,433800
2010-02-02,35.52,36.0,35.29,35.63,366804
2010-02-03,35.6,35.67,35.22,35.29,268022
2010-02-04,35.21,35.72,34.79,35.22,302139
2010-02-05,35.3,35.43,34.43,35.0,334670
2010-02-08,35.09,35.29,34.79,34.82,179172
2010-02-09,35.03,35.24,34.6,34.95,212127
2010-02-10,34.9,34.9,34.26,34.62,209236
2010-02-11,34.6,35.23,34.54,35.12,150577
2010-02-12,34.75,35.3,34.67,35.3,254125
2010-02-16,35.6,35.8,35.3,35.8,316307
2010-02-17,35.59,35.75,35.33,35.75,300456
2010-02-18,35.87,35.99,35.55,35.86,356345
2010-02-19,35.86,36.58,35.64,36.52,281137
2010-02-22,36.58,36.86,36.53,36.57,175987
2010-02-23,36.61,36.64,36.16,36.3,252702
2010-02-24,36.29,36.59,36.09,36.52,189380
2010-02-25,35.98,36.51,35.85,36.51,161147
2010-02-26,36.61,36.68,36.11,36.33,164274
2010-03-01,36.33,37.0,36.33,36.83,222880
2010-03-02,36.95,37.05,36.78,37.0,169377
2010-03-03,37.01,37.05,36.71,36.86,163377
2010-03-04,36.76,36.93,36.67,36.87,182742
2010-03-05,37.02,37.25,36.88,37.25,117370
2010-03-08,37.1,37.24,36.83,36.91,260653
2010-03-09,36.85,36.98,36.65,36.82,179243
2010-03-10,36.68,36.95,36.62,36.95,341356
2010-03-11,36.71,37.25,36.71,37.25,149127
2010-03-12,37.35,37.61,37.17,37.58,235925
2010-03-15,37.42,37.75,37.18,37.5,167930
2010-03-16,37.39,37.78,37.26,37.68,133053
2010-03-17,37.8,38.0,37.74,37.9,117874
2010-03-18,37.98,38.0,37.7,37.88,141742
2010-03-19,37.88,38.12,37.73,38.07,311608
2010-03-22,37.88,37.98,37.69,37.98,137470
2010-03-23,37.9,38.2,37.85,38.13,115259
2010-03-24,38.26,38.26,37.78,37.79,228028
2010-03-25,38.05,38.22,37.66,37.85,163033
2010-03-26,37.8,38.09,37.7,38.0,146253
2010-03-29,38.2,38.48,37.91,38.43,203101
2010-03-30,38.45,38.83,38.17,38.74,349341
2010-03-31,38.72,38.83,38.54,38.65,364920
2010-04-01,38.85,39.1,38.67,38.93,144353
2010-04-05,38.91,39.25,38.82,39.25,160943
2010-04-06,38.96,39.63,38.96,39.58,254091
2010-04-07,39.34,39.54,38.16,38.55,620983
2010-04-08,38.52,38.53,38.0,38.2,602312
2010-04-09,38.15,38.33,37.93,38.25,456371
2010-04-12,38.21,38.43,38.01,38.28,301072
2010-04-13,38.21,38.35,37.8,37.93,253070
2010-04-14,37.91,37.98,37.77,37.93,191303
2010-04-15,37.72,38.47,37.72,38.23,283368
2010-04-16,38.17,38.52,37.87,38.16,292626
2010-04-19,38.13,38.21,37.84,38.02,179794
2010-04-20,38.22,38.71,38.0,38.7,243553
2010-04-21,38.74,38.93,38.51,38.74,219492
2010-04-22,38.57,38.88,38.57,38.87,160970
2010-04-23,38.92,39.27,38.63,39.27,172171
2010-04-26,39.05,39.48,39.0,39.16,184629
2010-04-27,38.85,39.42,38.35,38.61,276430
2010-04-28,38.87,40.0,38.58,39.63,463138
2010-04-29,39.75,39.75,38.85,39.52,308862
2010-04-30,39.42,39.96,39.26,39.51,277086
2010-05-03,39.75,40.08,39.43,39.98,280052
2010-05-04,39.57,39.72,38.82,39.12,321778
2010-05-05,39.02,39.37,38.84,38.94,543840
2010-05-06,38.92,39.26,36.8,38.09,685972
2010-05-07,37.94,38.46,37.29,37.53,685708
2010-05-10,38.98,39.4,37.77,39.39,549345
2010-05-11,38.92,39.87,38.77,39.43,428654
2010-05-12,38.95,39.52,38.69,39.02,401182
2010-05-13,38.93,39.59,38.92,39.27,184831
2010-05-14,38.97,39.0,38.07,38.26,461337
2010-05-17,38.46,38.69,37.75,38.29,295835
2010-05-18,38.7,38.83,37.91,37.96,351776
2010-05-19,37.78,38.04,37.28,37.49,282844
2010-05-20,36.78,37.0,36.07,36.33,537006
2010-05-21,36.02,36.08,35.41,35.71,716179
2010-05-24,35.66,36.58,35.66,36.21,520001
2010-05-25,35.7,35.7,34.72,35.63,441336
2010-05-26,35.86,36.26,35.47,35.52,2328757
2010-05-27,36.2,36.53,35.89,36.21,320474
2010-05-28,36.23,36.95,35.99,36.5,385957
2010-06-01,36.28,36.71,35.82,35.82,441123
2010-06-02,36.11,36.66,35.86,36.66,349884
2010-06-03,36.5,37.06,36.5,36.97,233341
2010-06-04,36.4,36.56,35.66,35.72,306136
2010-06-07,35.71,36.22,35.65,35.69,270494
2010-06-08,35.78,36.1,35.4,36.1,520658
2010-06-09,36.32,36.33,35.54,35.65,529651
2010-06-10,36.07,36.35,35.88,36.3,619498
2010-06-11,36.11,36.55,36.07,36.52,222966
2010-06-14,36.64,37.31,36.64,36.93,341511
2010-06-15,37.0,37.55,36.93,37.45,393741
2010-06-16,37.22,37.67,37.21,37.44,323944
2010-06-17,37.28,37.91,37.28,37.9,231841
2010-06-18,37.93,37.97,37.56,37.92,233787
2010-06-21,38.3,38.4,37.83,38.0,539402
2010-06-22,37.96,38.38,37.1,37.12,251863
2010-06-23,36.98,36.98,36.42,36.46,310204
2010-06-24,36.25,36.75,36.25,36.33,276730
2010-06-25,36.31,36.52,36.16,36.47,496973
2010-06-28,36.61,36.95,36.33,36.74,277208
2010-06-29,36.35,36.37,35.63,35.84,313160
2010-06-30,35.8,36.51,35.74,35.82,292391
2010-07-01,35.75,35.79,35.3,35.72,431391
2010-07-02,35.72,35.98,35.54,35.8,383666
2010-07-06,36.1,36.65,35.93,36.46,612142
2010-07-07,36.43,37.17,36.43,37.15,436429
2010-07-08,37.38,37.57,37.17,37.47,328429
2010-07-09,37.49,37.63,37.35,37.58,160124
2010-07-12,37.63,38.06,37.2,37.7,292191
2010-07-13,38.03,38.39,37.79,38.33,286054
2010-07-14,38.21,38.34,37.83,38.26,204940
2010-07-15,38.19,38.65,37.94,38.55,234485
2010-07-16,38.44,38.53,37.47,37.49,234010
2010-07-19,37.49,37.95,37.36,37.9,207142
2010-07-20,37.44,38.33,37.33,38.31,202906
2010-07-21,38.51,38.51,37.69,37.8,266675
2010-07-22,38.11,38.98,38.04,38.81,321031
2010-07-23,38.66,39.0,38.48,38.87,260093
2010-07-26,38.87,39.49,38.81,39.49,206922
2010-07-27,39.5,40.0,39.44,39.98,288553
2010-07-28,39.98,40.0,39.42,39.53,266866
2010-07-29,39.69,39.69,37.71,38.26,700658
2010-07-30,38.0,38.35,37.52,38.0,488547
2010-08-02,38.48,38.81,38.21,38.71,254046
2010-08-03,38.56,39.04,38.39,38.68,223048
2010-08-04,38.81,39.02,38.6,38.95,128760
2010-08-05,38.64,39.35,38.64,39.29,202296
2010-08-06,38.89,39.16,38.62,38.98,278420
2010-08-09,39.08,39.37,39.0,39.33,122928
2010-08-10,39.0,39.24,38.69,39.02,353453
2010-08-11,38.49,38.49,37.55,37.58,193829
2010-08-12,37.14,37.42,36.94,37.25,314623
2010-08-13,37.19,37.53,37.03,37.22,187169
2010-08-16,37.13,37.37,36.86,36.93,225252
2010-08-17,37.14,37.67,37.13,37.3,293112
2010-08-18,37.34,37.71,37.04,37.58,371283
2010-08-19,37.34,37.39,36.35,36.56,436374
