Date,Open,High,Low,Close,Volume
2010-01-04,22.07,22.95,22.0,22.9,6675684
2010-01-05,22.91,23.74,22.9,23.52,5317373
2010-01-06,23.46,24.1,23.22,24.03,5368187
2010-01-07,20.01,21.17,19.42,20.46,41190284
2010-01-08,20.64,21.23,20.23,20.29,11970614
2010-01-11,20.54,20.59,20.11,20.32,7021232
2010-01-12,20.66,20.8,20.3,20.77,7122355
2010-01-13,20.83,20.9,20.62,20.79,4447604
2010-01-14,20.72,20.83,20.39,20.5,6772556
2010-01-15,20.49,20.67,20.41,20.5,6128761
2010-01-19,20.65,20.81,20.4,20.81,4102572
2010-01-20,20.65,20.77,20.39,20.51,4074274
2010-01-21,20.43,20.65,20.33,20.42,4427331
2010-01-22,20.42,20.44,19.98,20.03,3384372
2010-01-25,20.12,20.29,19.9,19.93,3506599
2010-01-26,19.83,20.05,19.52,19.64,6251693
2010-01-27,19.67,20.01,19.5,19.94,6568963
2010-01-28,20.01,20.01,19.75,19.86,4298873
2010-01-29,19.94,20.04,19.72,19.77,4527179
2010-02-01,19.98,20.07,19.66,19.93,5728510
2010-02-02,19.94,20.3,19.86,20.23,4298250
2010-02-03,20.27,20.57,20.06,20.51,3254293
2010-02-04,20.36,20.42,19.96,20.1,5046577
2010-02-05,20.17,20.31,19.88,20.15,3281910
2010-02-08,20.14,20.14,19.67,19.69,4157074
2010-02-09,18.98,19.15,18.27,18.82,11024805
2010-02-10,18.82,19.3,18.79,19.17,5620338
2010-02-11,19.19,19.52,19.13,19.36,4236079
2010-02-12,19.23,19.26,18.8,19.17,4913615
2010-02-16,19.18,19.25,18.85,18.99,3780102
2010-02-17,18.96,19.32,18.95,19.28,3058801
2010-02-18,19.23,19.5,19.11,19.42,2295759
2010-02-19,19.33,19.44,19.23,19.31,2986689
2010-02-22,19.35,19.35,19.0,19.08,2634545
2010-02-23,19.01,19.14,18.82,18.87,3590651
2010-02-24,18.94,18.98,18.74,18.86,3847593
2010-02-25,17.48,17.53,17.12,17.51,16427834
2010-02-26,17.59,17.77,17.13,17.2,6984130
2010-03-01,17.29,17.58,17.26,17.49,4689615
2010-03-02,17.58,17.73,17.36,17.49,3386512
2010-03-03,17.56,17.94,17.47,17.85,4655375
2010-03-04,17.88,18.17,17.64,17.79,4898012
2010-03-05,17.85,18.15,17.75,18.08,4407486
2010-03-08,18.13,18.61,18.09,18.47,3601055
2010-03-09,18.42,18.58,17.88,18.06,5172754
2010-03-10,18.03,18.35,17.94,18.28,3830923
2010-03-11,18.24,19.72,18.14,19.35,17707206
2010-03-12,19.53,19.84,19.12,19.21,4848007
2010-03-15,19.19,19.45,18.74,19.4,4196438
2010-03-16,19.49,19.49,19.1,19.41,3506263
2010-03-17,19.39,19.91,19.27,19.86,7305393
2010-03-18,21.53,22.11,21.03,21.16,18807883
2010-03-19,21.21,21.38,20.9,21.11,7862686
2010-03-22,21.64,22.01,21.4,21.6,8133913
2010-03-23,21.55,22.3,21.45,22.2,7427165
2010-03-24,22.06,22.06,21.52,21.71,5631198
2010-03-25,22.0,22.2,21.72,21.78,4378719
2010-03-26,21.82,22.0,21.57,22.0,2885656
2010-03-29,22.14,22.3,21.73,21.77,3466989
2010-03-30,21.77,22.05,21.66,21.82,2840042
