Date,Open,High,Low,Close,Volume
2010-01-04,11.62,12.13,11.52,12.05,9276144
2010-01-05,12.05,12.78,11.99,12.73,13597759
2010-01-06,12.73,13.19,12.7,13.02,19758912
2010-01-07,12.99,13.43,12.89,13.4,9770950
2010-01-08,13.21,13.46,12.98,13.1,8827142
2010-01-11,13.12,13.42,12.99,13.16,9602170
2010-01-12,13.26,13.6,12.91,12.98,10680938
2010-01-13,12.95,13.25,12.55,13.21,8270415
2010-01-14,13.18,13.66,13.05,13.61,14811106
2010-01-15,13.46,13.52,13.18,13.39,14028549
2010-01-19,12.91,13.6,12.8,13.51,14572276
2010-01-20,13.3,13.38,13.09,13.34,17655847
2010-01-21,13.31,13.58,12.77,12.9,24257320
2010-01-22,12.72,12.93,12.3,12.41,15618886
2010-01-25,12.66,12.94,12.6,12.88,13125702
2010-01-26,12.83,13.78,12.76,13.05,17494495
2010-01-27,13.02,13.38,12.79,13.37,17506384
2010-01-28,13.51,13.84,13.0,13.63,27928064
2010-01-29,14.1,14.38,13.57,13.84,30846336
2010-02-01,14.09,14.35,13.89,14.34,15073346
2010-02-02,14.4,15.02,14.22,15.0,14273222
2010-02-03,15.2,15.2,14.58,14.7,12642478
2010-02-04,14.58,14.58,13.57,13.59,16622928
2010-02-05,13.51,13.9,13.07,13.85,13781325
2010-02-08,13.89,14.08,13.35,13.51,9582172
2010-02-09,13.74,14.05,13.46,14.0,12123217
2010-02-10,14.11,14.38,13.83,14.18,8038632
2010-02-11,14.16,14.41,13.91,14.36,7885534
2010-02-12,14.16,14.59,13.73,14.58,12045953
2010-02-16,14.69,14.87,14.49,14.84,6771269
2010-02-17,14.95,14.99,14.72,14.86,6382125
2010-02-18,14.73,15.78,14.72,15.27,14861882
2010-02-19,15.18,15.49,15.05,15.35,9126061
2010-02-22,15.4,15.95,15.33,15.76,9850582
2010-02-23,15.66,16.33,15.22,15.26,14616625
2010-02-24,15.44,15.95,15.43,15.77,12329586
2010-02-25,15.47,15.97,15.26,15.94,9139166
2010-02-26,15.94,15.99,15.74,15.94,9170350
2010-03-01,16.06,16.25,15.83,15.9,8251821
2010-03-02,15.95,16.3,15.89,16.11,7591552
2010-03-03,16.14,16.34,15.76,15.77,10879661
2010-03-04,15.84,16.13,15.77,16.02,7769892
2010-03-05,16.12,16.49,16.1,16.39,7080499
2010-03-08,16.42,16.52,16.21,16.27,5625456
2010-03-09,16.19,16.52,16.12,16.37,6888072
2010-03-10,16.42,16.67,16.21,16.5,7950343
2010-03-11,16.44,16.58,16.37,16.58,4211721
2010-03-12,16.74,16.77,16.2,16.36,6838362
2010-03-15,16.25,16.38,15.85,15.96,8078589
2010-03-16,16.08,16.6,15.97,16.56,7765136
2010-03-17,16.49,16.74,16.26,16.4,8545350
2010-03-18,16.46,16.55,16.31,16.4,5788937
2010-03-19,16.38,16.54,15.78,15.78,16781229
2010-03-22,15.6,16.25,15.3,16.24,9852260
2010-03-23,16.35,16.62,16.24,16.54,9196653
2010-03-24,16.42,17.76,16.36,17.24,19727250
2010-03-25,17.52,17.79,16.88,16.89,12739955
2010-03-26,17.12,17.8,17.06,17.53,12882224
2010-03-29,17.71,17.77,17.41,17.6,7247014
2010-03-30,17.64,17.75,17.26,17.45,6168263
2010-03-31,17.35,18.7,17.25,18.34,22879145
2010-04-01,18.53,18.69,18.22,18.45,8501945
2010-04-05,18.35,18.84,18.26,18.7,10081725
2010-04-06,18.67,18.71,18.43,18.49,9068972
2010-04-07,18.53,18.55,18.02,18.2,8067170
2010-04-08,18.06,18.49,17.79,18.31,9477005
2010-04-09,18.42,18.59,18.08,18.31,4606600
2010-04-12,18.39,18.41,18.2,18.29,6242743
2010-04-13,18.17,18.3,17.96,18.19,6245941
2010-04-14,18.36,19.1,18.28,18.78,10154916
2010-04-15,18.83,18.91,18.6,18.76,7587033
2010-04-16,18.62,18.71,17.92,18.1,12502245
2010-04-19,17.94,18.44,17.75,18.34,8369552
2010-04-20,18.4,18.55,18.06,18.5,6215860
2010-04-21,18.59,18.75,18.27,18.55,7572580
2010-04-22,18.34,18.68,18.0,18.68,8721674
2010-04-23,18.68,19.16,18.55,18.96,7724214
