Date,Open,High,Low,Close,Volume
2010-01-04,35.58,36.29,35.19,35.87,607535
2010-01-05,35.9,37.29,35.84,37.23,822532
2010-01-06,37.22,37.44,36.96,37.35,668674
2010-01-07,37.24,37.43,36.83,37.14,617345
2010-01-08,36.84,37.38,36.77,37.09,332591
2010-01-11,37.44,37.73,37.05,37.33,307639
2010-01-12,37.08,37.4,36.63,36.93,382949
2010-01-13,37.02,37.84,36.84,37.76,323874
2010-01-14,37.63,38.67,37.46,38.6,867162
2010-01-15,38.54,38.72,37.44,37.88,490712
2010-01-19,37.76,38.46,37.18,38.45,309689
2010-01-20,38.15,38.17,37.22,37.93,539762
2010-01-21,37.81,38.72,36.93,36.96,582070
2010-01-22,36.91,37.81,36.69,37.01,716572
2010-01-25,37.48,37.52,36.92,37.24,386768
2010-01-26,37.0,37.33,36.54,36.97,433172
2010-01-27,36.86,37.33,36.65,37.28,519099
2010-01-28,37.47,38.23,37.23,37.84,706512
2010-01-29,37.95,37.95,35.5,35.55,989075
2010-02-01,35.72,36.2,35.35,36.19,557804
2010-02-02,36.19,38.56,36.01,38.39,1093586
2010-02-03,38.22,38.31,36.92,37.42,681400
2010-02-04,37.08,37.45,35.88,35.99,659695
2010-02-05,35.9,35.96,33.92,34.93,1331035
2010-02-08,34.81,36.6,34.68,35.5,1392414
2010-02-09,38.53,42.06,38.02,41.19,5804561
2010-02-10,41.34,42.48,41.0,42.21,1990714
2010-02-11,42.09,44.0,41.78,43.98,2031908
2010-02-12,43.74,44.56,43.17,44.2,1243139
2010-02-16,44.6,45.09,44.22,44.4,1078172
2010-02-17,44.54,44.7,43.71,43.87,1041865
2010-02-18,43.79,44.36,43.2,44.31,1199992
2010-02-19,44.03,44.33,43.89,43.96,628276
2010-02-22,44.32,44.45,43.9,44.14,435463
2010-02-23,43.95,43.98,42.92,43.03,863334
2010-02-24,43.23,43.5,42.9,43.08,750908
2010-02-25,42.03,43.28,42.03,43.22,759082
2010-02-26,43.24,43.54,42.72,43.14,473598
2010-03-01,43.52,43.94,43.05,43.48,545233
2010-03-02,43.75,43.75,42.89,43.16,611619
2010-03-03,43.39,43.44,42.68,42.93,414035
2010-03-04,42.96,43.03,42.02,42.23,1130559
