Date,Open,High,Low,Close,Volume
2010-01-04,13.76,13.89,13.59,13.6,4998980
2010-01-05,13.6,13.63,13.38,13.47,4932488
2010-01-06,13.38,13.7,13.37,13.6,4071162
2010-01-07,13.78,14.13,13.74,14.01,9819273
2010-01-08,14.01,14.34,13.89,14.33,6871303
2010-01-11,14.47,14.71,14.18,14.27,4365887
2010-01-12,14.2,14.24,13.88,13.95,5845887
2010-01-13,14.0,14.2,13.84,14.06,7924771
2010-01-14,13.99,14.06,13.81,13.98,7523853
2010-01-15,13.87,13.99,13.72,13.84,5895631
2010-01-19,13.84,13.94,13.72,13.74,6004258
2010-01-20,13.72,13.72,13.46,13.59,8061096
2010-01-21,13.63,13.66,13.09,13.26,14205513
2010-01-22,13.33,13.36,13.1,13.12,7694444
2010-01-25,13.26,13.26,13.03,13.1,5908718
2010-01-26,13.05,13.27,13.05,13.06,5273794
2010-01-27,13.02,13.33,13.02,13.27,6600303
2010-01-28,13.3,13.36,13.12,13.15,6090567
2010-01-29,13.23,13.35,13.2,13.27,5947528
2010-02-01,13.33,13.35,13.18,13.25,4522599
2010-02-02,13.27,13.28,13.09,13.21,6017624
2010-02-03,13.07,13.09,12.87,12.89,7943240
2010-02-04,12.86,12.95,12.5,12.6,9181491
2010-02-05,12.57,13.1,12.55,13.06,10665605
2010-02-08,12.8,13.06,12.6,12.74,7120129
2010-02-09,12.86,12.96,12.66,12.85,6884472
2010-02-10,12.82,13.02,12.75,12.91,4916926
2010-02-11,12.87,13.14,12.83,13.12,5591027
2010-02-12,12.95,13.21,12.95,13.19,6873563
2010-02-16,13.25,13.43,13.13,13.41,7750672
2010-02-17,13.44,13.47,13.17,13.24,5286510
2010-02-18,13.22,13.4,13.12,13.37,5935321
2010-02-19,13.29,13.34,13.04,13.16,7130657
2010-02-22,13.2,13.28,13.1,13.22,5264427
2010-02-23,13.2,13.35,13.07,13.23,5941480
2010-02-24,13.31,13.44,13.18,13.31,5003399
2010-02-25,13.25,13.36,13.17,13.34,4246789
2010-02-26,13.4,13.58,13.29,13.52,6630574
2010-03-01,13.47,13.55,13.17,13.23,6184587
2010-03-02,13.33,13.42,13.23,13.33,5189441
2010-03-03,13.38,13.44,13.18,13.23,4758632
2010-03-04,13.23,13.28,13.16,13.25,4926036
2010-03-05,13.3,13.41,13.23,13.39,4186465
2010-03-08,13.45,13.46,13.34,13.4,3152431
2010-03-09,13.33,13.62,13.33,13.59,5010895
2010-03-10,13.56,13.68,13.5,13.64,4266931
2010-03-11,13.59,13.72,13.54,13.71,4162259
2010-03-12,13.73,13.79,13.6,13.66,4744654
2010-03-15,13.7,13.75,13.43,13.52,5377489
2010-03-16,13.54,13.81,13.54,13.8,3938863
2010-03-17,13.85,14.05,13.83,14.05,6937901
2010-03-18,14.07,14.11,13.97,14.07,4878308
2010-03-19,14.07,14.15,13.73,13.84,8831338
2010-03-22,13.8,13.97,13.71,13.95,4006946
2010-03-23,14.0,14.06,13.77,14.03,8219302
2010-03-24,14.03,14.2,14.0,14.17,7791472
2010-03-25,14.27,14.34,14.13,14.13,6766825
2010-03-26,14.2,14.21,13.9,13.99,6749852
2010-03-29,14.09,14.16,13.93,14.13,5093221
2010-03-30,14.13,14.16,14.02,14.1,3676564
2010-03-31,14.11,14.25,14.06,14.17,3608483
2010-04-05,14.33,14.35,14.08,14.13,4630924
2010-04-06,14.08,14.2,14.01,14.16,5797390
2010-04-07,14.19,14.36,14.13,14.2,6449987
2010-04-08,14.2,14.43,14.2,14.37,5135150
2010-04-09,14.35,14.46,14.33,14.43,3739270
2010-04-12,14.44,14.55,14.33,14.55,6200255
2010-04-13,14.56,14.58,14.29,14.39,4822306
2010-04-14,14.37,14.75,14.37,14.72,5862404
2010-04-15,14.68,14.72,14.53,14.6,5898333
2010-04-16,14.5,14.64,14.19,14.4,7689178
2010-04-19,14.34,14.52,14.2,14.44,6476708
2010-04-20,14.5,14.55,14.4,14.51,4827285
2010-04-21,14.52,14.65,14.35,14.51,9026037
2010-04-22,14.2,14.24,13.83,14.01,11404742
2010-04-23,13.83,13.95,13.5,13.62,13218599
