Date,Open,High,Low,Close,Volume
2010-01-04,43.1,43.17,42.7,42.84,1452525
2010-01-05,42.9,42.9,42.47,42.62,1474407
2010-01-06,42.6,42.69,42.35,42.63,1314989
2010-01-07,42.5,42.58,42.28,42.57,1401515
2010-01-08,42.58,42.59,42.11,42.41,1385434
2010-01-11,42.59,42.59,42.13,42.4,1850032
2010-01-12,42.33,42.58,42.26,42.46,1370082
2010-01-13,42.7,43.16,42.67,42.97,1841555
2010-01-14,43.22,43.22,42.8,43.01,1639022
2010-01-15,43.06,43.16,42.41,42.64,3442557
2010-01-19,42.65,43.16,42.61,43.1,1812102
2010-01-20,42.82,42.9,42.33,42.54,1985494
2010-01-21,42.64,42.75,42.05,42.08,2288957
2010-01-22,41.96,42.45,41.9,41.94,1958768
2010-01-25,42.15,42.79,42.08,42.52,3134457
2010-01-26,42.32,42.92,42.11,42.83,3379707
2010-01-27,42.84,43.73,42.83,43.53,5344422
2010-01-28,43.55,44.58,43.55,44.3,4874029
2010-01-29,44.48,44.62,43.6,43.63,3616556
2010-02-01,43.89,43.93,43.4,43.93,2111835
2010-02-02,44.05,44.4,43.69,44.4,3051451
2010-02-03,44.29,44.29,43.78,44.02,2094818
2010-02-04,43.9,43.9,42.86,42.86,2602502
2010-02-05,42.75,43.31,42.67,43.24,2941462
2010-02-08,43.23,43.62,43.06,43.16,1958297
2010-02-09,43.44,43.99,43.32,43.67,2536116
2010-02-10,43.61,43.83,43.33,43.7,1426643
2010-02-11,43.59,43.95,43.22,43.94,1625333
2010-02-12,43.72,43.88,43.29,43.74,2395527
2010-02-16,43.97,44.54,43.75,44.52,1724195
2010-02-17,44.68,45.02,44.63,45.02,2391178
2010-02-18,45.11,45.8,45.02,45.72,2646905
2010-02-19,45.55,46.16,45.49,45.99,2011709
2010-02-22,46.06,46.16,45.8,45.93,1714944
2010-02-23,45.95,46.04,45.41,45.63,1787496
2010-02-24,45.78,45.94,45.48,45.92,2222970
2010-02-25,45.59,45.78,45.16,45.66,2957004
2010-02-26,45.71,46.12,45.57,45.9,2586621
2010-03-01,45.89,46.11,45.74,45.98,2050554
2010-03-02,46.12,46.4,46.04,46.26,2139898
2010-03-03,46.22,46.46,46.03,46.18,2036466
2010-03-04,46.17,46.45,45.86,46.15,2147557
2010-03-05,46.24,46.42,45.99,46.4,1854860
2010-03-08,46.29,46.4,46.09,46.2,1561626
2010-03-09,46.07,46.45,46.07,46.28,1420948
