Date,Open,High,Low,Close,Volume
2010-01-04,26.86,27.31,26.84,27.16,3741161
2010-01-05,27.21,27.41,27.05,27.18,2503576
2010-01-06,27.21,27.81,26.95,27.62,5946310
2010-01-07,26.75,26.96,25.64,26.81,11138755
2010-01-08,27.16,27.16,26.4,26.6,5904395
2010-01-11,26.79,26.79,26.27,26.33,3287368
2010-01-12,26.0,26.22,25.15,25.37,6844880
2010-01-13,25.54,26.08,25.23,25.9,5360800
2010-01-14,25.94,26.03,25.54,26.0,5266900
2010-01-15,26.17,26.38,25.78,25.88,5975268
2010-01-19,26.06,26.36,25.83,26.12,6055531
2010-01-20,25.92,26.15,25.69,25.78,5090695
2010-01-21,25.77,26.2,25.34,25.43,6010183
2010-01-22,25.43,25.9,25.19,25.27,5775096
2010-01-25,25.59,25.63,24.85,25.16,3524962
2010-01-26,25.07,25.55,24.95,25.16,5512948
2010-01-27,25.14,25.43,24.61,24.99,4774792
2010-01-28,25.14,25.25,24.18,24.81,4749023
2010-01-29,24.94,25.25,24.72,24.83,3633426
2010-02-01,25.06,25.2,24.75,25.2,3001199
2010-02-02,25.29,25.97,25.16,25.8,4640738
2010-02-03,25.71,26.07,25.5,25.97,4017954
2010-02-04,25.98,26.19,25.15,25.15,8024610
2010-02-05,25.08,25.31,23.92,24.45,6264877
2010-02-08,24.41,24.78,24.05,24.3,4195221
2010-02-09,24.68,24.92,24.37,24.75,4964569
2010-02-10,24.77,24.99,24.5,24.53,4596082
2010-02-11,24.5,24.79,24.16,24.79,4240236
2010-02-12,24.52,25.14,24.38,24.89,4171322
2010-02-16,24.7,25.72,24.68,25.7,6195787
2010-02-17,25.76,26.13,25.62,25.88,4816018
2010-02-18,25.84,26.03,25.41,25.96,4940266
2010-02-19,27.16,27.97,26.99,27.66,17737999
2010-02-22,27.89,28.18,27.46,27.93,6266638
2010-02-23,27.89,28.0,27.25,27.61,5111956
2010-02-24,27.55,28.25,27.55,28.24,5441343
2010-02-25,27.78,28.04,27.37,27.98,4662748
2010-02-26,28.0,28.0,27.57,27.58,3999391
2010-03-01,27.83,28.01,27.42,27.92,7449135
2010-03-02,28.07,28.95,27.62,28.88,12316364
2010-03-03,28.97,29.35,28.77,28.81,8044265
2010-03-04,28.78,29.53,28.78,29.44,6315109
2010-03-05,29.6,30.2,29.35,30.15,4297769
2010-03-08,30.26,30.76,30.2,30.61,5786104
2010-03-09,30.51,30.58,29.95,30.12,4394649
2010-03-10,30.27,30.75,29.95,30.31,4867825
2010-03-11,30.33,30.42,29.93,30.21,3294040
2010-03-12,30.5,30.67,30.23,30.56,3626693
2010-03-15,30.43,30.84,30.21,30.72,3390777
2010-03-16,30.74,30.85,30.46,30.72,3509118
2010-03-17,30.75,30.96,30.63,30.89,2795436
2010-03-18,31.02,31.48,31.02,31.18,4655030
2010-03-19,31.22,31.52,31.07,31.42,4639678
2010-03-22,31.07,32.01,30.66,31.95,3842457
2010-03-23,31.82,33.75,31.82,33.59,12555065
2010-03-24,33.38,33.48,32.7,32.79,5102202
2010-03-25,33.16,33.45,32.82,32.82,4961563
2010-03-26,32.93,33.27,32.82,33.09,3785156
2010-03-29,33.29,33.29,32.46,32.91,2866705
2010-03-30,32.9,33.42,32.67,32.68,3057606
2010-03-31,32.49,32.68,32.08,32.17,3438002
2010-04-01,32.35,33.06,32.27,32.93,3803517
2010-04-05,33.01,33.75,32.94,33.67,4560347
2010-04-06,33.57,33.7,33.31,33.42,3959242
2010-04-07,33.28,33.4,32.62,32.79,5779173
2010-04-08,31.54,31.99,30.93,30.98,12203840
2010-04-09,32.17,32.17,31.32,31.52,12371142
2010-04-12,31.62,31.62,30.89,30.96,5597098
2010-04-13,30.96,31.1,30.6,30.9,5737484
2010-04-14,31.2,31.56,30.96,31.4,6731118
2010-04-15,31.3,31.9,31.17,31.45,6041465
2010-04-16,31.26,31.66,30.95,31.09,7482822
2010-04-19,31.03,31.46,30.43,31.46,5330114
2010-04-20,31.5,31.73,30.17,30.48,11333475
2010-04-21,30.63,30.7,29.78,30.59,7541216
2010-04-22,30.42,31.91,30.18,31.65,6366167
2010-04-23,31.46,32.08,31.03,32.0,4537088
2010-04-26,32.19,32.62,32.05,32.36,4074672
2010-04-27,32.21,32.22,31.02,31.17,5400084
2010-04-28,31.32,31.42,30.02,30.66,6388916
2010-04-29,31.02,31.43,30.48,31.11,6152880
2010-04-30,31.17,31.2,29.0,29.17,9423040
2010-05-03,29.39,30.15,29.2,30.09,6156304
2010-05-04,29.65,29.66,28.47,28.71,7246812
2010-05-05,28.27,29.27,27.7,28.64,6878309
2010-05-06,28.34,29.34,26.76,28.1,10159463
2010-05-07,28.15,28.95,26.91,27.61,8056063
2010-05-10,29.22,29.8,28.62,29.62,6391494
2010-05-11,28.43,29.63,28.43,29.07,6903341
2010-05-12,29.36,29.77,28.93,29.63,3733495
2010-05-13,29.56,29.66,28.1,28.17,7452948
2010-05-14,27.99,28.04,27.1,27.54,7807880
2010-05-17,27.99,28.31,26.67,27.62,7429193
2010-05-18,27.96,28.1,26.52,26.65,6805461
2010-05-19,26.23,26.98,26.04,26.51,7728258
2010-05-20,25.98,26.94,25.7,26.0,9231296
2010-05-21,25.56,27.44,25.56,27.33,10775572
2010-05-24,27.32,27.6,26.91,27.0,5094722
2010-05-25,26.08,27.14,25.97,27.14,4167589
2010-05-26,27.43,27.56,26.32,26.43,5933502
2010-05-27,27.02,27.81,26.75,27.78,4858419
2010-05-28,27.66,28.11,27.32,27.49,4007363
2010-06-01,27.12,27.48,26.51,26.57,5309059
2010-06-02,26.79,27.16,26.38,27.14,4634151
2010-06-03,27.29,27.98,26.91,27.07,4336835
2010-06-04,26.53,26.53,25.1,25.48,7213292
2010-06-07,25.48,25.78,24.7,24.76,3906970
2010-06-08,24.86,25.22,24.5,25.16,4304244
2010-06-09,25.32,25.87,25.19,25.34,4636820
2010-06-10,25.9,26.32,25.72,26.27,3599661
2010-06-11,25.92,26.43,25.66,25.99,3124162
2010-06-14,26.22,27.54,26.2,27.14,6057231
2010-06-15,27.25,27.82,27.08,27.58,5489769
2010-06-16,27.35,27.55,26.6,27.21,9642299
2010-06-17,27.25,27.31,26.31,26.57,7081068
2010-06-18,26.66,26.76,26.0,26.16,5310659
2010-06-21,26.57,26.71,25.35,25.37,6565850
2010-06-22,25.4,25.9,24.56,24.66,7746037
2010-06-23,24.69,24.87,24.01,24.66,7240822
2010-06-24,24.48,24.48,23.05,23.24,11555305
2010-06-25,23.3,23.46,22.88,23.21,6211346
2010-06-28,23.22,23.35,22.75,23.01,4705291
2010-06-29,22.76,22.76,21.58,21.75,8632682
2010-06-30,21.97,22.07,21.41,21.48,6403692
2010-07-01,21.39,21.66,20.93,21.48,13061388
2010-07-02,21.63,21.78,20.87,21.16,5832298
2010-07-06,21.59,21.71,20.32,20.83,11793842
2010-07-07,20.73,21.78,20.65,21.78,10184246
2010-07-08,23.85,24.31,22.94,23.24,16612374
2010-07-09,23.18,23.46,22.74,23.36,7000520
2010-07-12,23.12,23.26,22.35,22.56,5700852
2010-07-13,22.89,23.3,22.78,23.19,4700058
2010-07-14,23.0,23.03,22.64,22.99,4606810
2010-07-15,22.94,23.16,22.51,22.75,4073048
2010-07-16,22.6,22.73,21.73,21.73,5354213
2010-07-19,21.77,22.02,21.43,21.95,3121201
2010-07-20,21.65,23.96,21.5,23.96,13676846
2010-07-21,23.91,24.62,23.51,23.63,9933659
2010-07-22,23.97,25.0,23.97,24.66,6661694
2010-07-23,24.5,25.16,24.23,25.06,4670741
2010-07-26,25.0,25.75,24.72,25.73,3995363
2010-07-27,25.84,25.9,25.34,25.41,4832887
2010-07-28,25.29,25.67,24.84,24.92,4386918
2010-07-29,25.08,25.47,24.24,24.65,4492572
2010-07-30,24.28,24.71,23.9,24.63,3922631
2010-08-02,25.07,25.7,24.54,25.48,6468174
2010-08-03,25.29,25.29,23.27,23.38,13066961
2010-08-04,23.46,24.13,23.41,23.96,6410115
2010-08-05,22.74,23.03,22.0,22.12,12046964
2010-08-06,21.78,21.86,21.26,21.81,10312968
2010-08-09,21.9,22.11,21.23,21.53,9563614
2010-08-10,21.01,21.47,20.86,21.02,10647350
2010-08-11,20.7,21.02,20.61,20.83,6144409
2010-08-12,20.42,20.89,20.2,20.8,8090005
2010-08-13,21.1,21.2,19.79,19.82,11514529
2010-08-16,19.75,19.9,19.44,19.56,6265022
2010-08-17,19.71,20.23,19.46,20.14,8443783
2010-08-18,20.15,20.77,19.96,20.66,7561942
2010-08-19,20.55,21.0,20.42,20.6,9744148
2010-08-20,20.48,21.26,20.44,21.18,7006455
2010-08-23,21.35,21.4,20.93,20.98,5773137
2010-08-24,20.59,20.76,20.19,20.57,8426108
2010-08-25,20.45,21.22,20.34,21.11,9882060
2010-08-26,21.17,21.21,20.31,20.32,4611232
2010-08-27,20.55,20.56,19.9,20.19,7147567
2010-08-30,20.18,20.18,19.5,19.5,5399369
2010-08-31,19.42,20.28,19.42,19.97,6432990
2010-09-01,20.31,20.76,20.2,20.75,5116625
2010-09-02,21.21,21.55,21.04,21.41,5487775
2010-09-03,21.59,21.96,21.47,21.59,5554214
2010-09-07,21.44,21.48,20.75,20.76,4240233
2010-09-08,20.81,21.21,20.81,20.97,2977462
2010-09-09,21.27,21.3,20.59,20.73,3150568
2010-09-10,20.79,21.23,20.61,21.15,3970670
2010-09-13,21.47,22.44,21.27,22.33,11673799
2010-09-14,23.06,24.24,22.98,23.99,16582876
2010-09-15,23.93,24.44,23.57,24.4,7588226
2010-09-16,24.21,24.45,23.81,24.41,7038229
2010-09-17,24.49,24.5,23.98,24.4,9261959
2010-09-20,24.35,24.94,24.26,24.85,9238388
2010-09-21,24.73,24.96,24.2,24.85,8546482
2010-09-22,24.62,24.71,24.15,24.59,8298865
2010-09-23,24.17,24.92,23.9,24.6,6482452
