Date,Open,High,Low,Close,Volume
2010-01-04,8.5,8.53,8.29,8.46,3356550
2010-01-05,8.52,8.53,8.31,8.49,5443258
2010-01-06,8.45,9.03,8.44,8.92,7243516
2010-01-07,9.03,9.13,8.88,8.97,4911066
2010-01-08,8.99,9.0,8.86,8.92,3000631
2010-01-11,9.02,9.12,8.6,8.61,5784379
2010-01-12,8.5,8.61,8.16,8.23,5213358
2010-01-13,8.23,8.41,8.03,8.35,4215934
2010-01-14,8.35,8.58,8.27,8.39,4098084
2010-01-15,8.44,8.44,8.14,8.21,3121420
2010-01-19,8.46,8.91,8.43,8.81,5783582
2010-01-20,8.76,8.82,8.5,8.63,4276242
2010-01-21,8.64,8.77,8.41,8.49,3779955
2010-01-22,8.58,8.58,8.03,8.08,4544049
2010-01-25,8.13,8.45,8.03,8.1,2949954
2010-01-26,8.15,8.33,8.0,8.19,2869589
2010-01-27,8.11,8.37,8.02,8.25,3760661
2010-01-28,8.24,8.33,8.05,8.19,5883572
2010-01-29,8.31,8.36,7.78,7.86,5599188
2010-02-01,8.02,8.22,7.91,8.16,5159676
2010-02-02,8.16,8.39,7.95,8.37,5529415
2010-02-03,8.76,8.79,8.51,8.71,10439724
2010-02-04,8.65,8.71,7.96,8.04,7232893
2010-02-05,8.02,8.12,7.66,7.91,8508823
2010-02-08,7.9,8.34,7.69,8.13,6763504
2010-02-09,8.26,8.35,8.02,8.15,4479447
2010-02-10,8.05,8.29,7.94,8.26,6068452
2010-02-11,8.24,8.69,8.21,8.68,7462284
2010-02-12,8.71,9.45,8.65,9.25,13751723
2010-02-16,9.38,9.62,9.31,9.6,8014170
2010-02-17,9.62,9.67,9.37,9.43,7347319
2010-02-18,9.38,9.61,9.29,9.57,4939489
2010-02-19,9.53,9.57,9.42,9.55,3586110
2010-02-22,9.71,10.04,9.6,9.88,8644924
2010-02-23,9.84,9.93,9.72,9.85,7262671
2010-02-24,9.8,10.38,9.77,10.3,8262181
2010-02-25,10.04,10.26,9.95,10.26,6336684
2010-02-26,10.37,10.84,10.3,10.73,9933392
2010-03-01,10.87,11.33,10.85,11.31,12170484
2010-03-02,11.34,11.36,10.9,11.11,11374896
2010-03-03,11.41,11.75,11.2,11.28,15810983
2010-03-04,11.18,11.41,10.83,11.35,13159688
2010-03-05,11.59,11.6,11.35,11.42,6886031
2010-03-08,11.42,11.48,11.16,11.34,6035833
2010-03-09,11.18,11.79,11.18,11.6,7582798
2010-03-10,11.68,11.83,11.41,11.47,9534936
2010-03-11,11.4,11.61,11.26,11.56,5509385
2010-03-12,11.65,11.67,11.32,11.39,4379232
2010-03-15,11.43,11.56,11.14,11.32,5715734
2010-03-16,11.3,11.49,11.23,11.37,4712026
2010-03-17,11.4,11.5,11.35,11.46,5425902
2010-03-18,11.43,11.55,11.24,11.27,4365404
2010-03-19,11.29,11.34,10.82,10.96,9049822
2010-03-22,10.8,11.18,10.58,11.07,4986974
2010-03-23,11.16,11.39,11.06,11.33,4083602
2010-03-24,11.25,11.33,11.13,11.19,3488137
2010-03-25,11.4,11.97,11.4,11.58,13099099
2010-03-26,11.7,11.98,11.7,11.78,8398874
2010-03-29,11.91,11.99,11.8,11.96,4821091
2010-03-30,11.97,12.12,11.73,11.99,4544143
2010-03-31,12.04,12.86,12.04,12.52,14307576
2010-04-05,12.8,13.07,12.75,13.01,7812413
2010-04-06,13.1,13.53,12.98,13.32,9813988
2010-04-07,13.44,13.56,13.11,13.31,10254325
2010-04-08,13.18,13.3,13.01,13.18,6421096
2010-04-09,13.35,13.57,13.2,13.52,6340122
2010-04-12,13.65,13.78,13.5,13.56,7565994
2010-04-13,13.52,13.71,13.25,13.46,5614808
2010-04-14,13.58,13.88,13.54,13.82,5625762
2010-04-15,13.73,13.95,13.36,13.74,8418185
2010-04-16,13.63,13.63,13.06,13.38,9652218
2010-04-19,13.35,13.38,12.71,13.11,8151633
2010-04-20,13.16,13.46,12.99,13.38,5656328
2010-04-21,13.7,13.75,13.47,13.61,6209205
2010-04-22,13.41,13.75,13.21,13.71,4938620
2010-04-23,13.7,13.77,13.53,13.7,4227234
2010-04-26,13.71,13.88,13.7,13.81,3836796
2010-04-27,13.79,13.79,13.15,13.21,6892527
2010-04-28,13.3,13.54,12.94,13.15,6344062
2010-04-29,13.23,13.6,13.15,13.51,4286636
2010-04-30,13.58,13.72,12.95,13.01,5833923
2010-05-03,13.22,13.89,13.11,13.75,9549826
2010-05-04,13.65,13.68,13.28,13.59,12211785
2010-05-05,13.17,13.79,12.91,13.7,16109434
2010-05-06,12.11,12.25,9.2,10.94,49039744
2010-05-07,11.1,11.29,10.21,10.45,22881245
2010-05-10,11.3,11.69,11.25,11.68,15741817
2010-05-11,11.63,12.4,11.53,11.94,13499395
2010-05-12,12.07,12.76,12.04,12.73,13064809
2010-05-13,12.62,12.89,12.18,12.25,12889574
2010-05-14,12.05,12.05,11.44,11.83,13023932
2010-05-17,11.83,11.93,11.18,11.68,11648844
2010-05-18,11.94,12.05,11.35,11.41,11975148
2010-05-19,11.22,11.45,10.8,11.19,8573306
2010-05-20,10.78,10.8,10.21,10.37,13797694
2010-05-21,10.07,11.24,10.0,11.11,14070059
2010-05-24,11.32,11.47,11.03,11.05,6968352
2010-05-25,10.54,11.03,10.25,11.02,8282986
2010-05-26,11.31,11.56,10.86,10.94,7461072
2010-05-27,11.43,11.57,11.26,11.54,6522632
2010-05-28,11.55,11.77,11.32,11.5,6457724
2010-06-01,11.32,11.51,10.68,10.69,11193752
2010-06-02,10.85,11.0,10.5,11.0,8321267
2010-06-03,11.04,11.35,11.02,11.27,6086686
2010-06-04,10.88,11.16,10.55,10.62,6754675
2010-06-07,10.72,10.82,10.11,10.21,6494434
2010-06-08,10.22,10.43,9.75,10.23,7858102
2010-06-09,10.39,10.97,10.23,10.29,7925894
2010-06-10,10.65,10.76,10.39,10.74,6633241
2010-06-11,10.57,11.16,10.52,11.1,5969070
2010-06-14,11.37,11.56,11.12,11.13,6958162
2010-06-15,11.38,11.76,11.25,11.68,7085646
2010-06-16,11.51,11.81,11.44,11.69,5169015
