Date,Open,High,Low,Close,Volume
2011-01-03,87.75,90.46,87.7,88.87,1660355
2011-01-04,,,,87.34,0
2011-01-05,87.58,88.33,86.71,87.5,1591399
2011-01-06,,,,86.37,0
2011-01-07,86.86,87.68,84.45,86.19,1076471
2011-01-10,86.01,87.93,85.12,87.26,1262962
2011-01-11,,,,88.53,0
2011-01-12,89.49,89.65,88.19,89.43,892120
2011-01-13,89.26,90.1,88.65,89.7,856046
2011-01-14,,,,91.18,0
2011-01-18,91.24,93.5,91.04,93.21,2323599
2011-01-19,92.63,92.82,90.5,90.88,1357992
2011-01-20,89.67,89.67,86.55,87.52,1776428
2011-01-21,,,,85.81,0
2011-01-24,86.12,86.5,84.65,86.01,1353615
2011-01-25,,,,84.1,0
2011-01-26,85.65,88.7,85.6,88.26,2278604
2011-01-27,89.5,89.65,86.82,87.14,1608141
2011-01-28,87.53,87.87,84.6,85.35,971967
2011-01-31,85.55,88.38,85.55,87.18,1186798
2011-02-01,88.51,90.72,87.82,89.84,1407551
2011-02-02,89.75,90.99,89.14,90.29,932545
2011-02-03,90.52,90.57,88.37,90.16,754241
2011-02-04,90.41,92.65,89.85,92.53,1289310
2011-02-07,92.57,94.29,92.54,93.99,1877117
2011-02-08,94.0,94.01,92.32,93.53,1351969
2011-02-09,93.22,93.42,91.4,91.97,1058790
2011-02-10,91.48,93.53,91.24,92.65,678956
2011-02-11,92.03,94.16,91.67,93.89,1126121
2011-02-14,94.44,96.3,94.41,95.74,1351098
2011-02-15,95.38,95.4,93.51,94.07,893207
2011-02-16,94.63,97.0,94.2,96.88,1407753
2011-02-17,98.65,98.8,97.1,98.07,2264392
2011-02-18,,,,100.03,0
2011-02-22,98.72,100.23,96.38,96.52,1885757
2011-02-23,96.38,96.38,91.05,93.04,2535527
2011-02-24,93.07,94.82,92.14,93.4,1732942
2011-02-25,94.79,96.53,93.58,93.93,25694134
2011-02-28,96.43,97.38,94.08,97.38,3194237
2011-03-01,98.53,98.84,95.15,97.17,3864009
2011-03-02,94.0,96.87,91.67,94.32,6898039
2011-03-03,95.42,97.44,95.36,97.33,2818337
2011-03-04,96.97,97.62,95.62,96.61,1362087
2011-03-07,97.14,97.27,92.81,93.82,1721265
2011-03-08,93.93,94.46,92.06,93.69,1548503
2011-03-09,93.32,93.43,90.74,92.24,2201084
2011-03-10,89.83,90.0,87.23,88.4,2467782
2011-03-11,87.26,91.06,86.75,90.56,1700490
2011-03-14,90.05,91.86,88.96,90.61,1742359
2011-03-15,87.89,90.24,86.77,89.56,2034620
2011-03-16,90.01,92.16,88.0,88.75,2242209
2011-03-17,90.34,91.94,90.06,91.2,1727842
2011-03-18,92.74,93.77,91.78,91.96,2281201
2011-03-21,94.51,94.93,93.76,94.78,1336963
2011-03-22,94.84,95.0,92.51,92.97,1850726
2011-03-23,92.65,93.88,91.35,93.48,1295845
2011-03-24,94.42,95.89,93.36,95.58,1212569
2011-03-25,96.05,97.75,95.61,96.01,1391327
2011-03-28,96.28,96.94,94.75,94.87,1174654
2011-03-29,,,,94.81,0
2011-03-30,95.6,95.71,94.18,95.29,1614251
2011-03-31,95.35,98.81,95.34,98.81,2079360
2011-04-01,,,,101.47,0
2011-04-04,103.33,103.33,101.44,102.36,1325734
2011-04-05,101.84,102.0,99.16,100.82,3049415
2011-04-06,101.81,101.81,98.81,99.01,1689410
2011-04-07,98.63,100.58,98.0,98.81,1340425
2011-04-08,99.37,100.31,98.09,98.92,1115640
2011-04-11,99.05,99.42,95.28,95.96,1332393
2011-04-12,95.27,95.63,92.42,93.39,2307394
2011-04-13,,,,94.59,0
2011-04-14,94.16,96.3,93.49,95.97,1637316
2011-04-15,,,,96.6,0
2011-04-18,95.37,95.37,92.21,93.31,1939008
2011-04-19,,,,93.05,0
2011-04-20,96.24,97.17,95.25,96.84,1183487
2011-04-21,,,,98.46,0
2011-04-25,98.31,98.34,96.75,97.5,676872
2011-04-26,98.35,100.4,97.4,99.86,1439071
2011-04-27,100.11,100.11,96.92,99.57,1010949
2011-04-28,99.73,100.46,98.43,99.85,832899
