Date,Open,High,Low,Close,Volume
2010-01-04,31.06,31.17,30.83,30.94,2887553
2010-01-05,31.01,31.12,30.7,30.96,3449295
2010-01-06,30.81,31.21,30.34,30.48,4056283
2010-01-07,30.35,30.58,30.05,30.5,2967580
2010-01-08,30.48,31.01,30.23,30.89,3148941
2010-01-11,30.95,31.13,30.5,30.64,4499511
2010-01-12,30.47,30.47,29.91,30.23,5654784
2010-01-13,30.48,30.52,29.23,29.87,9883764
2010-01-14,29.85,30.04,29.24,29.71,4976454
2010-01-15,29.84,29.84,28.57,28.72,7894650
2010-01-19,28.76,29.2,28.73,29.0,4129626
2010-01-20,28.73,28.88,28.28,28.71,5042170
2010-01-21,28.75,29.05,28.42,28.58,4830364
2010-01-22,28.36,28.55,27.31,27.37,6432691
2010-01-25,27.44,27.8,27.38,27.68,3719242
2010-01-26,27.54,27.8,27.27,27.3,3653191
2010-01-27,27.28,27.58,26.82,27.37,5240274
2010-01-28,27.4,27.4,26.27,26.72,6439103
2010-01-29,26.88,27.21,25.87,26.1,7939060
2010-02-01,26.04,27.05,26.04,27.04,5506324
2010-02-02,26.97,27.19,26.77,27.06,5176088
2010-02-03,26.91,27.15,26.76,27.01,2942216
2010-02-04,26.73,26.84,25.94,26.11,4934639
2010-02-05,26.1,26.73,25.94,26.6,5702596
2010-02-08,26.41,26.81,26.16,26.43,4050424
2010-02-09,26.84,27.0,26.46,26.67,4184301
2010-02-10,26.56,26.81,26.23,26.59,3305750
2010-02-11,26.51,27.26,26.3,27.15,4395487
2010-02-12,26.95,27.61,26.61,27.25,4989848
2010-02-16,27.35,27.55,27.08,27.48,4232137
2010-02-17,27.92,28.0,27.35,27.69,3921462
2010-02-18,27.77,27.8,27.4,27.74,4212076
2010-02-19,27.71,27.98,27.51,27.75,3792916
2010-02-22,27.81,27.89,27.4,27.58,2631660
2010-02-23,27.41,27.7,26.84,27.02,5262050
2010-02-24,27.22,27.74,27.18,27.61,2994208
2010-02-25,27.28,27.43,26.74,27.4,4663167
2010-02-26,27.35,27.44,26.92,27.17,2850442
2010-03-01,27.21,27.69,27.12,27.63,4154548
2010-03-02,27.68,27.95,27.42,27.48,2576099
2010-03-03,27.62,27.76,27.06,27.18,3605270
2010-03-04,27.25,27.25,26.77,27.02,4617865
2010-03-05,27.09,27.56,26.86,27.51,3701645
2010-03-08,27.5,27.62,27.22,27.24,2330891
2010-03-09,27.07,27.31,26.95,27.27,3810338
2010-03-10,27.23,28.08,27.18,28.03,6173403
2010-03-11,27.9,28.08,27.44,27.68,3926414
2010-03-12,27.69,27.79,27.44,27.6,2943941
2010-03-15,27.6,27.64,27.25,27.39,2488641
2010-03-16,27.51,28.54,27.41,28.49,5918131
