Date,Open,High,Low,Close,Volume
2010-01-04,30.37,30.73,30.12,30.25,2654849
2010-01-05,30.27,30.27,29.75,30.16,2104716
2010-01-06,30.19,30.86,29.92,30.8,1893681
2010-01-07,30.71,30.99,30.33,30.52,2076804
2010-01-08,30.45,30.93,30.32,30.77,1792447
2010-01-11,30.98,31.81,30.79,31.55,2883221
2010-01-12,31.42,31.95,30.72,30.78,2776652
2010-01-13,30.98,31.11,30.58,30.93,1782368
2010-01-14,30.98,30.99,30.37,30.5,2092605
2010-01-15,30.47,30.65,30.0,30.46,1837759
2010-01-19,30.59,30.98,30.34,30.79,1647277
2010-01-20,30.77,31.6,30.22,31.43,3502373
2010-01-21,30.14,30.23,28.3,28.32,8874032
2010-01-22,28.24,28.3,26.71,26.99,6387134
2010-01-25,27.36,27.85,27.12,27.52,2793665
2010-01-26,27.31,27.91,27.13,27.43,2733743
2010-01-27,27.34,27.57,26.31,27.0,4176822
2010-01-28,27.22,27.29,26.06,26.53,2769154
2010-01-29,26.7,27.1,25.63,25.78,2935613
2010-02-01,25.85,26.56,25.8,26.28,1934776
2010-02-02,26.41,26.62,26.24,26.46,1881603
2010-02-03,26.33,26.5,26.11,26.2,1495279
2010-02-04,26.01,26.28,24.51,24.54,3917892
2010-02-05,24.49,25.07,24.0,24.87,2971993
2010-02-08,24.81,24.96,24.42,24.56,2753584
2010-02-09,24.83,25.25,24.5,25.08,2268175
2010-02-10,25.15,26.64,25.08,26.45,4632947
2010-02-11,26.45,26.45,25.71,25.84,3115695
2010-02-12,25.6,25.81,25.12,25.76,1964228
2010-02-16,26.13,26.31,25.76,26.3,1984199
2010-02-17,26.43,26.54,26.17,26.52,1985582
2010-02-18,26.28,26.4,25.87,26.18,1986478
2010-02-19,26.1,26.21,25.84,26.09,2500714
2010-02-22,26.07,26.14,25.78,26.0,1699954
2010-02-23,25.87,26.23,25.52,25.57,2265377
2010-02-24,25.63,25.79,25.52,25.72,2754045
2010-02-25,25.48,25.54,24.93,25.37,2383407
2010-02-26,25.48,25.92,25.37,25.85,2354456
