Date,Open,High,Low,Close,Volume
2010-01-04,26.86,27.19,26.69,27.17,3045486
2010-01-05,27.25,27.25,26.44,26.45,5515026
2010-01-06,26.39,26.61,26.18,26.31,4801767
2010-01-07,26.21,26.25,25.81,25.97,6296352
2010-01-08,25.98,25.99,25.62,25.98,4437942
2010-01-11,26.12,26.24,26.0,26.15,2081172
2010-01-12,26.11,26.14,25.69,25.91,6345384
2010-01-13,26.0,26.2,25.88,25.9,3115926
2010-01-14,25.83,25.94,25.67,25.82,4626654
2010-01-15,25.7,26.06,25.67,25.85,4245438
2010-01-19,25.54,25.85,25.42,25.72,3978192
2010-01-20,25.55,25.55,25.1,25.36,6079146
2010-01-21,25.35,25.53,25.09,25.24,6199167
2010-01-22,25.22,25.25,24.76,24.81,5039967
2010-01-25,24.82,25.8,24.82,25.66,8585058
2010-01-26,25.64,25.79,25.36,25.6,5512809
2010-01-27,25.6,25.72,25.22,25.42,2545575
2010-01-28,25.54,25.63,25.18,25.52,2444487
2010-01-29,25.57,25.63,25.22,25.23,1845003
2010-02-01,25.39,25.67,25.29,25.58,1679376
2010-02-02,25.69,25.97,25.48,25.91,5815704
2010-02-03,25.86,25.86,25.26,25.35,3603921
2010-02-04,25.19,25.19,24.73,24.75,4508367
2010-02-05,24.65,24.97,24.52,24.83,5427867
2010-02-08,24.81,25.18,24.57,24.74,5273142
2010-02-09,24.89,25.04,24.66,24.97,6493824
2010-02-10,25.0,25.0,24.63,24.78,2020719
2010-02-11,24.71,25.38,24.63,25.3,4334169
2010-02-12,25.17,25.29,24.9,25.12,3949065
2010-02-16,25.22,25.38,25.09,25.2,2975079
2010-02-17,25.31,25.31,25.0,25.2,6817011
2010-02-18,25.2,25.4,25.07,25.38,2351289
2010-02-19,25.29,25.61,25.28,25.5,3152313
2010-02-22,25.56,25.68,25.37,25.57,4056039
2010-02-23,25.59,25.71,25.34,25.35,3311619
2010-02-24,25.38,25.48,25.18,25.25,3129546
2010-02-25,24.83,24.92,24.63,24.85,7251918
2010-02-26,24.78,24.8,24.28,24.35,7738119
2010-03-01,24.35,24.35,24.02,24.25,8855673
2010-03-02,24.26,24.81,24.26,24.68,5346117
2010-03-03,24.7,24.86,24.7,24.75,3577998
2010-03-04,24.85,25.0,24.77,24.91,4957944
2010-03-05,24.94,25.2,24.83,25.17,8945547
2010-03-08,25.05,25.32,25.03,25.28,5346120
2010-03-09,25.2,25.42,24.98,25.07,5257845
2010-03-10,25.11,25.34,25.01,25.22,3401184
2010-03-11,25.16,25.38,24.95,25.36,5730744
2010-03-12,25.39,25.4,25.19,25.33,3049224
2010-03-15,25.28,25.5,25.14,25.48,3587052
2010-03-16,25.47,25.77,25.46,25.65,4856715
2010-03-17,25.77,25.78,25.47,25.65,4871697
2010-03-18,25.7,25.74,25.59,25.61,2421240
2010-03-19,25.63,25.81,25.51,25.69,6417615
2010-03-22,25.62,25.85,25.44,25.83,4854486
2010-03-23,25.82,25.9,25.68,25.85,2622000
2010-03-24,25.77,25.9,25.74,25.77,2802000
2010-03-25,25.87,25.87,25.45,25.46,3039510
2010-03-26,25.54,25.58,25.27,25.33,3373122
2010-03-29,25.09,25.28,24.93,24.96,7066074
2010-03-30,24.98,25.12,24.87,24.99,3435012
2010-03-31,24.99,25.14,24.87,25.08,6905706
2010-04-01,25.18,25.33,25.17,25.26,3858753
2010-04-05,25.33,25.68,25.25,25.63,4447752
2010-04-06,25.51,26.05,25.5,25.97,7222311
2010-04-07,25.95,25.95,25.68,25.77,3150798
2010-04-08,25.68,25.77,25.51,25.56,3142452
2010-04-09,25.53,25.68,25.38,25.67,2712633
2010-04-12,25.68,25.98,25.68,25.83,2250258
2010-04-13,25.77,25.81,25.48,25.76,2129934
2010-04-14,25.75,25.93,25.44,25.91,3921759
2010-04-15,25.91,26.02,25.77,25.94,3052857
2010-04-16,25.94,26.0,25.67,25.78,4225539
2010-04-19,25.82,26.04,25.76,26.02,2730252
2010-04-20,26.08,26.4,25.99,26.39,2484474
2010-04-21,26.35,26.67,26.33,26.54,3241377
2010-04-22,26.4,26.52,26.11,26.43,1952628
2010-04-23,26.48,26.56,26.14,26.52,2649777
2010-04-26,27.42,27.42,26.23,26.29,14436618
2010-04-27,26.24,26.39,25.79,25.85,4583604
2010-04-28,25.92,26.08,25.68,25.94,4682229
2010-04-29,26.03,26.32,26.03,26.19,3486093
2010-04-30,26.22,26.47,26.11,26.12,2708733
2010-05-03,26.29,26.3,25.9,26.01,3737802
2010-05-04,25.87,26.09,25.73,25.75,5001195
2010-05-05,25.67,25.95,25.45,25.79,4797162
2010-05-06,25.73,25.83,24.33,25.4,7109181
2010-05-07,25.4,25.63,25.02,25.4,9574233
2010-05-10,26.06,26.59,26.02,26.52,5989932
2010-05-11,26.36,27.1,26.33,26.89,5993121
2010-05-12,26.93,26.97,26.54,26.73,3499146
2010-05-13,26.69,26.91,26.52,26.55,2582184
2010-05-14,26.48,26.58,26.14,26.28,6525162
2010-05-17,26.38,26.83,26.25,26.7,7492707
2010-05-18,26.84,26.9,26.37,26.52,4694976
2010-05-19,26.39,26.56,26.07,26.2,7192845
2010-05-20,25.98,25.98,25.15,25.15,4817391
2010-05-21,24.92,24.92,24.54,24.9,8147160
2010-05-24,24.86,24.89,24.61,24.63,6830331
2010-05-25,24.25,24.42,24.07,24.37,5564142
2010-05-26,24.51,24.78,24.32,24.34,6602841
2010-05-27,24.22,24.33,24.05,24.33,5978358
2010-05-28,24.3,24.33,23.83,23.83,4405254
2010-06-01,23.77,24.2,23.41,23.79,4451829
2010-06-02,23.94,24.28,23.94,24.19,6337077
2010-06-03,24.21,24.46,24.14,24.36,4304871
2010-06-04,23.94,24.24,23.76,23.86,3667161
2010-06-07,23.86,24.09,23.67,23.71,6598509
2010-06-08,23.64,24.02,23.6,24.01,4255896
2010-06-09,24.03,24.49,23.86,24.1,5819832
2010-06-10,24.36,24.66,24.36,24.65,4084164
2010-06-11,24.51,24.61,24.11,24.57,4528293
2010-06-14,24.7,24.76,24.45,24.54,4986354
2010-06-15,24.62,24.9,24.56,24.86,3918765
2010-06-16,24.71,25.04,24.66,25.01,2470551
2010-06-17,25.08,25.12,24.76,24.87,2448150
2010-06-18,24.87,25.05,24.87,25.0,3116721
2010-06-21,25.25,25.31,25.0,25.14,3292467
2010-06-22,25.17,25.27,24.65,24.74,4910049
2010-06-23,24.65,24.86,24.52,24.7,3074406
2010-06-24,24.63,24.69,24.24,24.29,5766897
2010-06-25,24.34,24.34,23.87,23.92,13987920
2010-06-28,23.98,24.72,23.92,24.51,5968089
2010-06-29,24.33,24.5,24.07,24.18,4602627
2010-06-30,24.12,24.35,23.98,23.99,5313771
2010-07-01,24.04,24.06,23.62,23.98,3918639
2010-07-02,24.03,24.1,23.79,23.97,4020894
2010-07-06,24.21,24.37,23.99,24.22,3040293
2010-07-07,24.18,24.32,23.84,24.17,6657957
2010-07-08,24.22,24.74,24.22,24.73,5076582
2010-07-09,24.75,24.82,24.6,24.81,5729823
2010-07-12,24.92,25.09,24.8,24.89,3591597
2010-07-13,25.02,25.05,24.45,24.88,8625018
2010-07-14,24.81,24.93,24.69,24.91,3838827
2010-07-15,24.86,25.21,24.72,24.92,8679375
2010-07-16,24.83,25.0,24.5,24.51,4221792
2010-07-19,24.62,24.7,24.44,24.68,3810270
2010-07-20,24.44,25.05,24.44,25.0,3010005
2010-07-21,25.0,25.14,24.66,24.82,4192425
2010-07-22,24.98,25.31,24.88,25.3,5159808
2010-07-23,25.25,25.49,25.25,25.43,2758683
2010-07-26,25.63,25.91,25.54,25.75,2664666
2010-07-27,25.86,25.9,25.69,25.81,2189496
2010-07-28,25.74,25.89,25.53,25.56,2791143
2010-07-29,25.61,25.77,25.24,25.27,2294805
2010-07-30,25.1,25.45,24.99,25.41,3868053
2010-08-02,25.56,25.67,25.3,25.45,3018627
2010-08-03,25.46,25.55,25.24,25.26,3479919
2010-08-04,25.33,25.4,24.86,24.93,4989333
2010-08-05,24.9,25.3,24.82,25.3,3754443
2010-08-06,25.13,25.46,25.11,25.44,3592290
2010-08-09,25.49,25.54,25.36,25.37,4846512
2010-08-10,25.26,25.55,25.21,25.39,4044174
2010-08-11,25.14,25.25,25.03,25.24,3532935
2010-08-12,25.01,25.2,24.8,25.1,6487014
2010-08-13,25.15,25.29,25.05,25.1,3112995
2010-08-16,25.01,25.04,24.75,24.82,3140544
2010-08-17,24.99,25.33,24.83,25.29,3486090
2010-08-18,25.27,25.46,25.1,25.41,2893560
2010-08-19,25.32,25.36,24.85,25.09,2632461
2010-08-20,24.88,25.12,24.82,24.91,4050198
2010-08-23,25.03,25.22,24.79,24.88,4432452
2010-08-24,24.69,25.24,24.68,25.11,6774639
2010-08-25,25.09,26.05,25.07,26.01,7783923
2010-08-26,26.12,26.28,25.65,25.98,6257880
2010-08-27,26.03,26.04,25.57,25.73,5148690
2010-08-30,25.45,25.45,25.2,25.39,5429220
2010-08-31,25.25,25.48,25.11,25.34,7261071
2010-09-01,25.57,26.07,25.52,26.07,6453309
2010-09-02,26.06,26.64,25.7,26.63,5257434
2010-09-03,26.7,26.9,26.45,26.9,8618424
2010-09-07,26.84,26.96,26.77,26.86,3012852
2010-09-08,26.93,27.06,26.82,26.89,4576407
2010-09-09,27.12,27.12,26.69,26.69,3807708
2010-09-10,26.77,27.3,26.77,27.25,3196272
2010-09-13,27.4,27.41,27.0,27.12,3124191
2010-09-14,27.14,27.16,26.86,27.08,2678988
2010-09-15,27.1,27.14,26.91,27.04,4341966
2010-09-16,27.05,27.08,26.66,26.9,3229179
2010-09-17,26.9,27.16,26.88,26.9,2753286
2010-09-20,27.02,27.34,26.92,27.33,2651160
2010-09-21,27.36,27.68,27.23,27.63,3774912
2010-09-22,27.55,27.62,27.26,27.31,3819450
2010-09-23,27.02,27.08,26.69,26.71,4320588
2010-09-24,26.93,27.15,26.54,27.13,3241707
2010-09-27,27.11,27.24,27.05,27.06,2086377
2010-09-28,27.12,27.12,26.77,26.93,3085611
2010-09-29,26.81,27.06,26.72,26.9,2704866
2010-09-30,26.96,27.24,26.74,26.77,3799887
2010-10-01,26.94,26.98,26.59,26.68,2994693
2010-10-04,26.68,26.82,26.18,26.23,4428534
2010-10-05,26.36,26.62,26.34,26.51,3272547
2010-10-06,26.5,26.77,26.31,26.35,4151853
2010-10-07,26.47,26.6,26.33,26.33,2684271
2010-10-08,26.43,26.7,26.37,26.66,3325989
2010-10-11,26.55,26.73,26.43,26.66,2612769
2010-10-12,26.7,27.22,26.7,27.15,4537776
2010-10-13,27.18,27.42,27.17,27.35,3139575
2010-10-14,27.34,27.67,27.2,27.3,2352894
2010-10-15,27.54,27.86,27.54,27.66,4214052
2010-10-18,27.7,27.85,27.68,27.82,1532097
2010-10-19,27.64,27.91,27.51,27.64,2991633
2010-10-20,27.73,28.03,27.71,27.73,1969371
2010-10-21,27.85,27.95,27.7,27.73,2366037
2010-10-22,27.8,28.03,27.69,28.02,2462088
2010-10-25,28.84,29.16,28.34,28.38,4123902
2010-10-26,28.35,28.86,28.34,28.86,2858886
2010-10-27,28.6,28.6,28.04,28.38,3766749
2010-10-28,28.55,28.8,28.51,28.78,1838082
2010-10-29,28.74,28.78,28.33,28.45,3217836
2010-11-01,28.5,28.72,28.37,28.5,2319540
2010-11-02,28.71,29.24,28.69,29.24,3197532
2010-11-03,29.3,29.42,29.09,29.42,3270315
2010-11-04,29.58,29.66,29.37,29.65,3354288
2010-11-05,29.68,29.77,29.51,29.64,1761645
2010-11-08,29.54,29.8,29.52,29.74,4850760
2010-11-09,29.72,29.9,29.52,29.53,3120678
2010-11-10,29.56,29.59,29.29,29.36,2680014
2010-11-11,29.2,29.53,29.19,29.46,1658010
2010-11-12,29.12,29.27,28.96,29.27,1728120
2010-11-15,29.34,29.6,29.26,29.39,2205528
2010-11-16,29.31,29.31,28.77,28.95,3074835
2010-11-17,28.89,29.01,28.77,28.92,2964345
2010-11-18,29.05,29.2,28.88,28.96,9320433
2010-11-19,28.94,29.01,28.48,28.68,9469398
2010-11-22,28.6,28.68,28.23,28.42,9817008
2010-11-23,28.21,28.24,27.92,27.93,5277774
2010-11-24,28.0,28.15,27.96,27.99,4286535
2010-11-26,27.97,28.02,27.84,27.84,2079990
2010-11-29,27.34,27.42,27.03,27.21,4591779
2010-11-30,27.02,27.07,26.53,26.53,7177824
2010-12-01,26.84,27.44,26.84,27.4,4909074
2010-12-02,27.4,27.4,27.15,27.25,3512853
2010-12-03,27.23,27.39,27.11,27.25,3716988
2010-12-06,27.18,27.41,27.13,27.3,2879853
2010-12-07,27.45,27.5,27.16,27.28,3014007
2010-12-08,27.27,27.5,27.11,27.48,3729171
2010-12-09,27.52,27.57,26.86,26.91,4519032
2010-12-10,26.99,27.5,26.95,27.38,3781293
2010-12-13,27.51,27.55,27.28,27.32,2941722
2010-12-14,27.28,27.58,27.28,27.49,2366109
2010-12-15,27.28,27.5,27.16,27.4,3823989
2010-12-16,27.48,27.66,27.48,27.56,3185673
2010-12-17,27.6,27.63,27.37,27.46,5620704
2010-12-20,27.43,27.5,27.0,27.36,4129533
2010-12-21,27.32,27.42,27.18,27.34,1759305
2010-12-22,27.32,27.48,27.24,27.47,1624245
2010-12-23,27.42,27.54,27.34,27.53,1714311
2010-12-27,27.47,27.5,27.29,27.45,1470024
2010-12-28,27.51,27.56,27.21,27.33,1969368
2010-12-29,27.3,27.55,27.27,27.46,1514691
2010-12-30,27.47,27.47,27.32,27.37,1130415
2010-12-31,27.36,27.44,27.25,27.35,2067555
2011-01-03,27.52,27.54,27.25,27.3,2577852
2011-01-04,27.3,27.3,26.82,26.92,3241992
2011-01-05,26.66,27.11,26.49,27.03,6527592
2011-01-06,26.94,27.09,26.78,26.99,4681938
2011-01-07,26.79,26.82,25.68,25.76,11476980
2011-01-10,25.72,26.04,25.68,25.95,6319614
2011-01-11,25.97,26.14,25.62,25.66,5083191
2011-01-12,25.91,25.95,25.5,25.63,4005663
2011-01-13,25.59,25.75,25.52,25.66,11017467
2011-01-14,25.62,25.78,25.55,25.69,10127187
2011-01-18,25.75,25.93,25.25,25.5,5356428
2011-01-19,25.54,25.64,24.92,24.98,7803504
2011-01-20,25.0,25.09,24.72,24.77,7863951
2011-01-21,25.13,25.13,24.68,24.73,6377067
2011-01-24,24.87,24.93,24.13,24.75,14709435
2011-01-25,24.69,24.95,24.65,24.8,6129177
2011-01-26,24.93,25.17,24.9,25.06,7224966
2011-01-27,25.08,25.39,24.97,25.09,5904909
2011-01-28,25.13,25.23,24.84,24.88,3532290
2011-01-31,24.98,25.31,24.89,25.08,5458308
2011-02-01,25.15,25.32,24.82,24.83,4608807
2011-02-02,24.81,25.01,24.77,24.86,4089456
2011-02-03,24.83,25.0,24.79,24.95,12513366
2011-02-04,24.95,25.14,24.95,25.0,18150006
2011-02-07,25.6,25.73,25.34,25.48,13382874
2011-02-08,25.52,25.58,25.37,25.48,4741470
2011-02-09,25.43,25.57,25.26,25.45,5773584
2011-02-10,25.41,25.58,25.39,25.5,7550484
2011-02-11,25.54,26.33,25.49,26.08,8833671
2011-02-14,26.06,26.06,25.73,25.92,3828489
2011-02-15,25.86,25.96,25.75,25.83,4414434
2011-02-16,25.9,25.97,25.73,25.95,2834586
2011-02-17,25.9,26.42,25.81,26.4,5382624
2011-02-18,26.44,26.6,26.25,26.51,5382075
2011-02-22,26.41,26.63,26.32,26.37,5713479
2011-02-23,26.39,26.85,26.37,26.65,6589413
2011-02-24,26.66,26.76,25.97,26.15,6852207
2011-02-25,25.85,26.0,25.69,25.73,4996188
2011-02-28,25.76,25.76,25.34,25.59,8080440
2011-03-01,26.84,27.06,25.97,25.99,13283880
2011-03-02,25.98,26.12,25.64,25.76,15610641
2011-03-03,25.91,26.07,25.7,25.76,6208512
2011-03-04,25.84,26.01,25.76,25.91,4425792
2011-03-07,25.97,26.11,25.83,25.85,6387375
2011-03-08,25.83,26.36,25.78,26.2,5234919
2011-03-09,26.17,26.46,26.12,26.46,4450455
2011-03-10,26.31,26.6,26.22,26.45,5579772
2011-03-11,26.38,26.55,26.31,26.45,3680736
2011-03-14,26.0,26.65,26.0,26.28,9003126
2011-03-15,25.94,26.22,25.75,26.09,4982712
2011-03-16,26.01,26.27,25.88,26.11,6678729
2011-03-17,26.41,27.75,26.11,26.26,14368245
2011-03-18,26.67,29.39,26.43,29.04,44400285
2011-03-21,29.11,30.03,29.05,29.72,13265697
2011-03-22,29.61,30.74,29.5,30.42,18691299
2011-03-23,30.18,31.56,29.92,31.53,23897676
2011-03-24,31.3,31.66,31.11,31.24,10243017
2011-03-25,31.38,31.66,31.18,31.58,8338248
2011-03-28,31.58,32.25,31.43,31.95,5133180
2011-03-29,32.01,32.15,31.91,32.15,6794601
2011-03-30,32.27,32.35,31.82,31.93,6151503
2011-03-31,31.87,32.06,31.64,31.67,4961034
2011-04-01,31.72,31.89,31.57,31.59,3983148
2011-04-04,31.67,31.81,31.57,31.69,2866908
2011-04-05,31.48,32.15,31.48,32.0,3565242
2011-04-06,32.07,32.25,31.8,31.86,2445897
2011-04-07,31.82,32.04,31.7,31.83,5514093
2011-04-08,31.78,32.18,31.72,32.08,3497562
2011-04-11,32.06,32.73,32.06,32.24,4030074
2011-04-12,32.18,32.63,32.15,32.48,4251624
2011-04-13,32.53,32.95,32.5,32.86,4697913
2011-04-14,32.8,33.58,32.75,33.46,4219908
2011-04-15,33.48,33.48,32.84,32.98,4720818
2011-04-18,32.82,32.91,32.37,32.61,2917737
2011-04-19,33.22,33.29,32.45,33.01,3938643
2011-04-20,33.2,33.24,32.81,33.06,2696148
2011-04-21,33.06,33.41,32.95,33.07,2407080
2011-04-25,33.09,33.33,32.99,33.2,2402805
2011-04-26,34.17,34.99,34.0,34.58,8141328
2011-04-27,34.92,35.0,34.32,34.75,3952782
2011-04-28,34.65,34.96,34.55,34.93,2812590
2011-04-29,35.02,35.58,34.91,35.5,4549626
2011-05-02,35.66,35.84,35.58,35.76,4669449
2011-05-03,35.64,35.88,34.96,35.86,11259402
2011-05-04,35.81,35.86,35.27,35.54,10332597
2011-05-05,35.43,36.06,35.17,35.75,3796818
2011-05-06,36.02,36.35,35.86,36.21,3232500
2011-05-09,36.11,36.39,35.95,36.34,1760616
2011-05-10,36.39,36.49,35.98,36.42,2485173
2011-05-11,36.41,36.85,36.12,36.34,2993214
2011-05-12,36.35,37.16,36.22,36.96,7172652
2011-05-13,36.95,37.27,36.76,37.17,3269484
