Date,Open,High,Low,Close,Volume
2010-01-04,35.93,36.25,35.52,35.76,132689
2010-01-05,35.76,35.92,35.09,35.31,199148
2010-01-06,35.06,35.5,35.06,35.24,269564
2010-01-07,35.24,35.62,34.9,35.35,179937
2010-01-08,35.3,35.41,34.9,35.01,218678
2010-01-11,35.58,36.41,35.4,36.34,208795
2010-01-12,35.73,36.3,35.15,35.36,145704
2010-01-13,35.44,36.83,35.42,36.24,178548
2010-01-14,36.2,36.59,35.9,36.21,88640
2010-01-15,36.16,36.44,35.44,35.86,164551
2010-01-19,36.04,36.58,35.76,36.56,198423
2010-01-20,36.16,36.53,35.74,36.43,115380
2010-01-21,36.56,36.58,35.46,35.9,132152
2010-01-22,35.76,36.09,33.92,34.03,266760
2010-01-25,34.25,34.65,34.05,34.49,133274
2010-01-26,34.44,34.62,34.17,34.21,87063
2010-01-27,34.09,34.37,33.8,34.29,252789
2010-01-28,34.47,34.68,33.29,33.82,107450
2010-01-29,33.9,34.35,33.5,33.9,227194
2010-02-01,34.08,34.27,33.84,34.25,71018
2010-02-02,34.12,34.71,33.68,34.42,120259
2010-02-03,34.42,34.47,33.75,34.0,68790
2010-02-04,33.79,33.95,32.65,32.77,120437
2010-02-05,32.8,33.45,32.44,33.43,99420
2010-02-08,33.35,33.35,32.4,32.45,102128
2010-02-09,32.74,32.8,31.92,31.99,130808
2010-02-10,31.93,32.18,31.12,32.17,120446
2010-02-11,32.16,32.51,31.56,32.39,100818
2010-02-12,31.94,32.8,31.86,32.8,117303
2010-02-16,32.98,33.02,32.32,33.01,117842
2010-02-17,33.24,33.24,32.79,33.04,99960
2010-02-18,33.14,33.54,32.4,32.75,141891
2010-02-19,32.55,33.33,32.55,32.77,161786
2010-02-22,32.83,32.83,32.11,32.28,161122
2010-02-23,32.31,32.33,31.44,31.66,285756
2010-02-24,31.85,31.95,31.6,31.86,114906
2010-02-25,31.42,31.71,31.36,31.71,127884
2010-02-26,31.7,31.9,31.51,31.73,204373
2010-03-01,31.84,32.06,31.61,31.96,215647
2010-03-02,32.11,32.28,31.64,32.2,114066
2010-03-03,32.36,32.99,32.13,32.83,159338
2010-03-04,32.99,33.41,32.9,33.32,89343
2010-03-05,33.57,34.65,33.14,34.57,154633
2010-03-08,34.7,35.18,34.65,35.04,88530
2010-03-09,34.97,35.84,34.85,35.23,211392
2010-03-10,35.13,35.76,35.05,35.61,96196
2010-03-11,35.35,35.58,35.09,35.56,91916
2010-03-12,35.62,35.62,35.22,35.55,183207
2010-03-15,35.57,35.69,35.16,35.27,83793
2010-03-16,35.48,35.98,35.13,35.98,83064
2010-03-17,35.99,36.25,35.79,36.02,81034
2010-03-18,36.11,36.62,35.98,36.41,120398
2010-03-19,36.55,36.55,35.71,35.88,255073
2010-03-22,35.46,35.96,35.24,35.82,92720
2010-03-23,35.91,35.91,35.16,35.73,190169
2010-03-24,35.55,35.89,35.55,35.57,114078
2010-03-25,35.79,36.52,35.39,35.4,203492
2010-03-26,35.45,35.63,34.5,34.86,121363
2010-03-29,35.14,35.19,34.74,35.15,345847
2010-03-30,35.11,35.36,34.75,35.33,262045
2010-03-31,35.31,35.57,34.7,34.86,281047
2010-04-01,35.11,35.11,34.66,35.07,155338
2010-04-05,35.28,35.7,35.0,35.7,196956
2010-04-06,35.39,36.14,35.39,36.12,189302
2010-04-07,35.97,36.35,35.42,35.64,136793
2010-04-08,35.13,35.2,34.66,34.84,105450
2010-04-09,34.93,35.27,34.66,35.1,91223
2010-04-12,35.1,35.1,34.58,34.72,107713
2010-04-13,34.73,35.75,34.41,35.69,189073
2010-04-14,35.95,36.33,35.48,36.3,338513
2010-04-15,36.15,36.21,35.35,35.39,457922
2010-04-16,35.21,35.44,34.29,34.3,400605
2010-04-19,34.25,35.06,34.0,35.0,489020
2010-04-20,35.03,35.3,34.74,35.28,115880
2010-04-21,35.22,35.62,35.17,35.56,297498
2010-04-22,35.28,35.64,34.64,35.59,172480
2010-04-23,35.59,35.94,35.21,35.93,65331
2010-04-26,35.99,36.36,35.8,36.21,140094
2010-04-27,36.08,36.3,35.57,35.7,171356
2010-04-28,35.8,36.4,35.79,36.08,168035
2010-04-29,36.43,37.39,36.27,37.36,187645
2010-04-30,37.25,37.65,36.81,36.89,189132
2010-05-03,37.1,38.89,37.07,38.68,196200
2010-05-04,38.2,38.96,37.8,38.59,286344
2010-05-05,38.23,38.73,37.87,38.29,198607
2010-05-06,38.3,38.87,36.3,38.26,504267
2010-05-07,38.23,38.56,36.95,37.55,231679
2010-05-10,38.98,40.09,38.98,39.75,217786
2010-05-11,39.11,39.68,39.02,39.51,324282
2010-05-12,39.71,40.28,39.47,40.23,221954
2010-05-13,40.22,40.47,39.69,40.25,265075
2010-05-14,39.8,39.86,38.93,39.76,259356
2010-05-17,39.89,40.79,39.49,40.06,327972
2010-05-18,40.48,40.66,38.43,38.68,189472
2010-05-19,38.46,39.26,37.54,37.93,129119
2010-05-20,36.69,37.35,35.95,36.04,167358
2010-05-21,35.18,37.05,35.18,36.89,209474
2010-05-24,36.75,36.91,35.85,35.87,128043
2010-05-25,35.09,35.45,34.53,35.23,237031
2010-05-26,35.34,36.39,34.89,35.21,255622
2010-05-27,35.9,36.79,35.71,36.35,323721
2010-05-28,36.14,36.6,35.72,36.03,135009
2010-06-01,35.81,36.37,35.13,35.15,116276
2010-06-02,35.27,36.03,34.6,35.98,175268
2010-06-03,36.36,36.51,35.44,35.61,157005
2010-06-04,34.99,35.14,33.61,33.71,191062
2010-06-07,33.94,34.4,33.29,33.38,148966
2010-06-08,33.44,33.6,32.29,33.3,154009
2010-06-09,33.65,34.09,32.83,33.03,312367
2010-06-10,33.59,34.23,33.2,34.22,119861
2010-06-11,33.95,35.44,33.86,35.41,182796
2010-06-14,35.71,36.43,35.44,36.1,135375
2010-06-15,36.96,37.86,36.85,37.73,229709
2010-06-16,37.25,37.82,37.04,37.2,117470
