Date,Open,High,Low,Close,Volume
2010-01-04,26.29,26.69,26.12,26.51,1170275
2010-01-05,26.72,27.24,26.47,26.89,1777712
2010-01-06,26.76,27.23,26.53,26.67,1319114
2010-01-07,26.56,26.57,26.31,26.51,645062
2010-01-08,26.31,26.55,26.24,26.51,630026
2010-01-11,26.75,26.75,26.08,26.35,645357
2010-01-12,26.23,26.23,25.74,25.83,764885
2010-01-13,25.83,26.82,25.83,26.77,1094985
2010-01-14,26.75,27.36,26.57,27.3,1023388
2010-01-15,27.36,27.64,26.79,27.6,1791511
2010-01-19,27.48,28.22,27.42,28.17,1802867
2010-01-20,28.06,28.06,26.95,27.7,1863294
2010-01-21,27.64,28.0,26.94,27.0,1966284
2010-01-22,26.87,27.04,25.59,25.66,2246391
2010-01-25,25.76,25.84,25.1,25.5,1416876
2010-01-26,26.49,27.48,26.49,27.4,3659858
2010-01-27,26.8,27.23,26.47,27.13,2735398
2010-01-28,27.06,27.34,26.68,27.11,3162193
2010-01-29,27.25,27.59,25.67,25.79,3618021
2010-02-01,25.8,26.96,25.72,26.8,2928244
2010-02-02,30.58,30.85,29.04,30.01,13408422
2010-02-03,30.73,32.53,30.47,32.26,10824021
2010-02-04,31.77,32.32,31.13,31.61,4274467
2010-02-05,31.74,32.74,31.39,32.26,3792685
2010-02-08,32.05,32.94,31.55,32.09,2702222
2010-02-09,32.47,33.5,32.15,33.16,3986993
2010-02-10,33.06,33.5,32.95,33.28,1708716
2010-02-11,33.21,33.55,32.77,33.39,2055046
2010-02-12,33.21,33.3,32.86,33.14,1813025
2010-02-16,33.28,33.89,33.2,33.89,1448239
2010-02-17,33.99,34.42,33.75,33.99,2048901
2010-02-18,34.29,34.75,33.31,33.91,3021316
2010-02-19,33.91,34.33,33.8,34.17,1969492
2010-02-22,34.34,34.37,33.41,33.49,2644134
2010-02-23,33.36,33.55,32.5,33.03,2255686
2010-02-24,33.1,33.48,32.88,33.16,2218065
2010-02-25,32.78,33.51,32.44,33.43,2593765
2010-02-26,33.71,34.17,33.27,33.71,2396593
2010-03-01,33.69,34.72,33.68,34.7,1859030
2010-03-02,34.9,35.47,34.37,34.53,2692509
2010-03-03,34.63,34.65,33.89,34.08,1883560
2010-03-04,34.09,34.33,33.77,34.26,1505556
2010-03-05,34.61,34.76,34.1,34.47,2101526
2010-03-08,34.49,34.79,34.16,34.57,2361386
2010-03-09,34.53,36.04,34.48,35.23,3312011
2010-03-10,35.26,36.11,35.1,36.02,2143585
2010-03-11,35.82,36.4,35.58,35.85,1834932
2010-03-12,36.06,36.13,35.35,35.6,1059947
2010-03-15,35.71,35.93,35.13,35.85,1072193
2010-03-16,35.85,36.01,35.3,35.61,1149369
2010-03-17,35.66,36.22,35.6,35.98,1223117
2010-03-18,36.12,36.14,35.38,35.45,1363505
2010-03-19,35.43,35.43,34.42,34.71,2145026
2010-03-22,34.57,35.05,34.31,34.89,1634403
2010-03-23,35.11,37.35,34.69,36.82,5325506
2010-03-24,36.69,36.73,36.22,36.33,1409783
2010-03-25,36.61,36.61,35.35,35.43,1479010
2010-03-26,35.56,35.81,34.57,35.58,1800531
2010-03-29,35.55,35.9,35.29,35.5,1455319
2010-03-30,35.6,36.26,35.31,36.15,1362538
