Date,Open,High,Low,Close,Volume
2010-01-04,29.01,29.18,28.85,29.03,1395153
2010-01-05,28.93,29.74,28.87,29.55,2085764
2010-01-06,29.45,29.66,29.29,29.44,1978955
2010-01-07,29.22,29.3,28.84,29.12,1715050
2010-01-08,28.71,28.94,28.12,28.86,1769318
2010-01-11,29.0,29.0,28.32,28.65,1602830
2010-01-12,28.47,29.17,28.32,28.85,1709240
2010-01-13,28.93,29.16,28.5,29.1,1062093
2010-01-14,28.93,29.18,28.56,28.65,726694
2010-01-15,28.64,28.75,28.09,28.22,1064069
2010-01-19,28.22,28.98,28.19,28.97,967662
2010-01-20,28.62,28.64,27.84,28.17,917394
2010-01-21,28.17,28.17,26.43,26.43,2432045
2010-01-22,26.13,26.91,25.51,26.15,1942863
2010-01-25,26.5,26.93,26.19,26.32,813687
2010-01-26,26.15,27.35,26.1,26.6,1642118
2010-01-27,26.58,26.67,24.6,25.09,2839937
2010-01-28,25.24,25.25,24.17,24.54,1859228
2010-01-29,24.7,24.84,24.0,24.07,1749643
2010-02-01,24.39,25.04,24.08,25.01,1571278
2010-02-02,24.96,25.22,24.77,24.98,1324052
2010-02-03,24.62,24.79,23.91,24.37,1363483
2010-02-04,24.04,24.12,23.3,23.32,2115998
2010-02-05,23.29,23.34,22.25,23.04,2397479
2010-02-08,23.01,23.37,22.66,22.77,1566809
2010-02-09,23.09,23.65,22.79,23.2,1819126
2010-02-10,23.12,23.17,22.35,22.75,1500540
2010-02-11,22.76,23.05,22.53,23.04,1477909
2010-02-12,22.7,23.18,22.35,23.06,1439177
2010-02-16,23.11,23.74,23.11,23.73,1171049
2010-02-17,23.84,24.08,23.32,23.41,1126535
2010-02-18,23.29,23.82,23.29,23.77,911723
2010-02-19,23.7,23.91,23.44,23.54,1503223
2010-02-22,23.78,24.02,23.21,23.83,1587040
2010-02-23,23.81,24.0,23.33,23.45,1501382
2010-02-24,23.45,23.8,23.2,23.59,1089147
2010-02-25,23.06,23.68,22.79,23.64,1550480
2010-02-26,23.53,23.75,22.9,22.94,1806021
2010-03-01,23.11,23.94,23.02,23.87,1641385
2010-03-02,23.95,24.25,23.92,24.0,1452751
2010-03-03,24.11,24.87,24.05,24.37,1692516
2010-03-04,24.48,24.55,23.66,24.11,1881995
2010-03-05,24.27,24.7,24.2,24.54,1376535
2010-03-08,24.59,25.02,24.54,24.93,1325735
2010-03-09,24.81,25.27,24.69,24.96,1447136
2010-03-10,24.92,25.28,24.64,25.16,1442352
2010-03-11,24.95,25.37,24.79,25.35,761551
2010-03-12,25.36,25.66,25.25,25.41,999883
2010-03-15,25.34,25.54,24.9,25.1,1025653
2010-03-16,25.1,25.65,25.03,25.53,1117925
2010-03-17,25.74,26.06,25.68,25.87,1224946
2010-03-18,25.82,25.99,25.53,25.74,987523
2010-03-19,25.78,25.87,24.82,24.93,1960351
