Date,Open,High,Low,Close,Volume
2010-01-04,22.49,23.21,22.39,23.19,3055721
2010-01-05,23.25,25.52,23.21,25.13,13151788
2010-01-06,25.01,25.92,25.0,25.74,8349342
2010-01-07,25.44,26.34,25.23,26.16,8705028
2010-01-08,26.52,27.05,26.27,26.87,6814036
2010-01-11,27.02,27.04,25.43,25.99,9410187
2010-01-12,25.52,26.0,25.19,25.22,5554532
2010-01-13,25.1,25.91,25.01,25.85,4824468
2010-01-14,25.61,26.37,25.55,25.98,4361705
2010-01-15,25.87,25.97,25.2,25.55,5489783
2010-01-19,25.37,26.48,25.32,26.45,5459626
2010-01-20,26.0,26.07,25.5,25.79,4396128
2010-01-21,25.76,26.27,25.2,25.24,6409169
2010-01-22,24.99,25.02,23.77,23.88,7929807
2010-01-25,24.1,24.77,24.02,24.33,3279135
2010-01-26,23.9,24.84,23.53,24.18,6087109
2010-01-27,24.05,24.33,22.67,23.59,7895422
2010-01-28,24.23,24.52,23.06,23.34,7505068
2010-01-29,23.71,24.25,22.16,22.3,7623751
2010-02-01,22.76,23.56,22.33,23.55,5396851
2010-02-02,23.66,24.18,23.57,23.8,6816141
2010-02-03,23.65,24.19,23.55,23.71,3471446
2010-02-04,23.48,23.48,22.14,22.24,7190466
2010-02-05,22.2,22.5,21.26,22.16,7947302
2010-02-08,22.19,22.55,21.49,21.53,6963043
2010-02-09,21.97,22.71,21.69,22.29,8486956
2010-02-10,22.27,22.95,21.91,22.67,6786321
2010-02-11,22.61,23.47,22.48,23.32,7034376
2010-02-12,22.82,23.67,22.71,23.56,8510140
2010-02-16,23.91,24.16,23.73,23.86,5746135
2010-02-17,23.67,23.8,22.75,23.08,9175952
2010-02-18,23.1,23.54,22.64,23.4,6475205
2010-02-19,23.26,23.63,23.03,23.38,5921450
2010-02-22,23.51,23.62,22.45,22.54,7429513
2010-02-23,22.36,22.53,21.68,21.88,6597295
2010-02-24,21.98,22.2,21.7,21.92,5501286
2010-02-25,21.49,22.07,21.14,22.0,5473774
2010-02-26,22.07,22.22,21.65,22.04,4686037
2010-03-01,22.26,22.39,21.88,22.33,6411972
2010-03-02,22.38,23.23,22.38,22.81,7041578
2010-03-03,22.94,23.55,22.81,23.2,5264814
2010-03-04,23.18,23.37,22.31,22.5,7263088
2010-03-05,22.76,22.94,22.5,22.51,6171530
2010-03-08,22.51,22.7,22.2,22.42,4496294
2010-03-09,22.24,22.39,21.85,22.09,4835655
2010-03-10,22.17,22.79,21.99,22.52,4993777
2010-03-11,22.29,22.56,22.16,22.51,2657631
2010-03-12,22.73,22.97,22.39,22.51,4200714
2010-03-15,22.4,22.41,21.57,21.9,4503959
2010-03-16,22.05,22.22,21.8,22.06,4578686
2010-03-17,22.14,22.25,21.57,21.68,6627839
2010-03-18,21.51,21.63,20.22,20.63,12673095
2010-03-19,20.59,20.66,19.57,19.88,14212013
2010-03-22,19.63,20.41,19.31,20.27,9141892
2010-03-23,20.35,20.35,19.36,19.39,14804577
2010-03-24,19.2,19.72,19.2,19.58,10366450
2010-03-25,19.66,19.73,18.74,18.76,9000248
2010-03-26,18.9,19.19,18.81,18.95,6913853
2010-03-29,19.14,19.71,19.14,19.53,7314331
2010-03-30,19.61,19.68,19.05,19.35,5116989
2010-03-31,19.5,19.84,19.33,19.63,5964057
2010-04-01,19.83,20.12,19.76,19.9,5301658
2010-04-05,20.03,20.7,20.0,20.64,5879792
2010-04-06,20.6,20.95,20.53,20.68,4938096
2010-04-07,20.6,20.67,20.22,20.36,5323953
2010-04-08,20.12,20.16,19.65,20.02,5833694
