Date,Open,High,Low,Close,Volume
2010-01-04,38.21,38.58,37.93,38.1,2196050
2010-01-05,38.16,38.64,38.08,38.55,1902051
2010-01-06,38.58,38.82,38.46,38.68,1553886
2010-01-07,38.68,39.26,38.32,39.26,2433771
2010-01-08,39.1,39.21,38.73,39.0,2249359
2010-01-11,39.15,39.38,38.32,38.79,1747407
2010-01-12,38.63,38.9,37.95,38.34,1602515
2010-01-13,38.28,38.74,38.17,38.64,1725732
2010-01-14,38.74,38.98,38.18,38.42,933367
2010-01-15,38.41,38.48,37.65,37.87,1685958
2010-01-19,37.86,38.69,37.75,38.64,1454526
2010-01-20,38.45,38.51,37.65,38.01,1347759
2010-01-21,37.97,38.14,36.69,36.78,2301554
2010-01-22,36.74,37.07,36.33,36.44,2071734
2010-01-25,36.67,37.05,36.22,36.84,1535650
2010-01-26,36.63,37.18,36.36,36.64,1235096
2010-01-27,36.66,36.82,35.9,36.79,2158669
2010-01-28,37.0,37.22,36.12,36.56,1415559
2010-01-29,36.79,37.23,36.09,36.17,1703965
2010-02-01,36.16,37.03,36.16,36.75,1902677
2010-02-02,37.36,38.54,37.26,38.26,3785672
2010-02-03,38.21,38.32,37.72,38.01,2398905
2010-02-04,37.74,37.74,36.19,36.2,2895177
2010-02-05,36.01,36.48,35.35,36.41,2844591
2010-02-08,36.47,36.47,35.18,35.22,2059297
2010-02-09,35.56,35.77,35.07,35.54,1959116
2010-02-10,35.6,35.89,34.91,35.42,1571046
2010-02-11,35.43,35.74,35.03,35.68,1741234
2010-02-12,35.25,35.89,35.14,35.81,1771278
2010-02-16,36.03,36.44,35.78,36.37,2308459
2010-02-17,36.31,36.76,36.17,36.63,2003637
2010-02-18,36.52,36.92,36.37,36.77,1213122
2010-02-19,36.57,37.05,36.46,36.65,2083263
2010-02-22,36.67,36.78,36.22,36.35,1743843
2010-02-23,36.3,36.47,35.75,35.8,1919994
2010-02-24,35.94,36.27,35.83,36.27,1645121
2010-02-25,35.93,36.02,35.57,35.99,1305640
2010-02-26,35.95,36.03,35.62,35.73,1589574
2010-03-01,35.94,36.23,35.77,36.0,1588923
2010-03-02,36.07,36.33,35.92,36.08,1455247
2010-03-03,36.15,36.26,35.95,35.98,1434825
2010-03-04,36.13,36.18,35.86,36.06,1054375
2010-03-05,36.29,36.84,36.2,36.79,1757348
2010-03-08,36.76,37.18,36.76,37.09,1715690
2010-03-09,36.9,37.29,36.78,36.87,1073748
2010-03-10,36.96,36.97,36.51,36.75,973692
2010-03-11,36.63,36.75,36.28,36.74,1391485
