Date,Open,High,Low,Close,Volume
2010-01-04,111.77,112.7,110.64,112.54,922465
2010-01-05,112.11,114.67,111.75,114.44,1207733
2010-01-06,113.47,115.0,112.31,114.9,1290790
2010-01-07,114.67,115.76,114.27,115.7,949156
2010-01-08,114.9,117.5,114.41,117.26,841996
2010-01-11,118.62,118.62,114.76,116.28,890057
2010-01-12,114.53,114.53,112.92,114.49,1021496
2010-01-13,114.35,115.1,112.96,114.81,644766
2010-01-14,114.11,115.68,113.9,115.34,617482
2010-01-15,115.37,116.53,113.36,113.75,1293714
2010-01-19,113.7,115.17,113.22,114.11,922105
2010-01-20,113.27,113.61,110.75,113.3,1083542
2010-01-21,110.0,111.13,106.65,107.35,3010087
2010-01-22,107.06,108.11,104.01,104.29,1491000
2010-01-25,105.38,105.38,101.86,103.01,1258403
2010-01-26,102.73,106.51,102.18,105.1,1861216
2010-01-27,105.13,107.57,103.69,107.14,2226606
2010-01-28,106.99,107.39,104.46,105.66,1408291
2010-01-29,106.03,107.33,104.91,105.25,1390507
2010-02-01,105.7,107.57,104.77,107.5,1054116
2010-02-02,107.83,111.3,107.19,111.19,1570740
2010-02-03,110.81,111.73,109.61,109.78,977645
2010-02-04,108.89,108.89,105.65,106.4,1503750
2010-02-05,106.58,107.71,104.34,107.3,1321561
2010-02-08,107.48,107.48,105.18,105.95,924171
2010-02-09,106.93,108.73,105.46,108.01,1101606
2010-02-10,107.55,108.26,105.86,106.92,1022426
2010-02-11,106.9,109.93,105.68,109.76,912044
2010-02-12,108.39,109.67,107.2,109.05,819857
2010-02-16,110.25,110.71,109.44,110.6,828681
2010-02-17,111.05,111.57,110.24,111.5,603913
2010-02-18,111.1,113.0,111.1,112.78,479120
2010-02-19,112.61,115.5,112.32,114.37,896899
2010-02-22,114.84,114.98,113.05,113.71,874773
2010-02-23,113.6,114.23,110.68,111.18,979691
2010-02-24,111.84,113.5,111.28,112.45,925646
2010-02-25,110.96,112.43,109.21,112.33,695358
2010-02-26,112.3,113.23,111.41,112.75,713779
2010-03-01,113.97,116.95,112.41,116.15,1080329
2010-03-02,116.96,118.23,115.85,117.29,955911
2010-03-03,117.79,118.07,116.24,116.54,561693
2010-03-04,116.44,117.81,115.75,117.37,758300
2010-03-05,118.2,120.59,117.75,120.31,1186413
2010-03-08,120.25,120.25,117.69,117.8,1090506
2010-03-09,117.85,120.98,117.77,120.33,1235528
2010-03-10,120.57,123.19,120.57,122.53,1204980
2010-03-11,122.32,122.52,120.53,122.19,815165
2010-03-12,122.79,122.79,120.29,121.06,1060106
2010-03-15,121.08,121.58,119.7,120.42,832334
2010-03-16,120.64,121.08,119.31,120.15,992968
2010-03-17,120.45,120.84,119.32,119.65,1132271
2010-03-18,119.21,119.94,118.79,119.35,1047587
2010-03-19,122.29,123.68,121.24,121.79,2631171
2010-03-22,121.4,122.65,121.23,122.08,1145723
2010-03-23,122.4,123.32,121.57,122.64,1051725
2010-03-24,122.57,123.41,121.82,122.26,1098176
2010-03-25,123.0,124.52,122.42,122.49,1029982
2010-03-26,123.19,124.97,122.86,123.82,1232649
2010-03-29,126.36,127.74,125.78,127.09,1827986
2010-03-30,127.1,128.06,125.82,126.98,1038729
2010-03-31,126.86,127.71,126.03,126.71,971811
2010-04-01,126.89,128.63,126.47,127.22,1085094
2010-04-05,127.4,128.42,126.62,127.26,945601
2010-04-06,126.4,127.2,125.54,126.25,901734
2010-04-07,126.26,126.26,124.21,125.04,866502
2010-04-08,124.46,126.09,123.8,125.89,791203
2010-04-09,125.96,127.21,125.56,126.08,881740
2010-04-12,126.48,127.18,125.42,125.75,821471
2010-04-13,125.36,125.36,123.25,124.17,719815
2010-04-14,124.1,124.66,123.36,124.1,770488
2010-04-15,123.63,126.42,123.22,125.83,755079
2010-04-16,125.45,125.86,122.94,123.76,1072537
2010-04-19,123.08,123.71,121.35,122.92,762244
2010-04-20,123.99,125.36,123.66,124.62,1101821
2010-04-21,124.47,130.26,124.47,129.81,2160283
2010-04-22,128.99,133.74,128.32,133.5,1517595
2010-04-23,133.01,134.78,132.0,134.49,1586435
2010-04-26,134.67,135.4,133.07,133.36,1195849
2010-04-27,133.03,133.45,129.5,130.07,1374097
2010-04-28,130.97,131.2,128.89,131.01,792413
2010-04-29,131.5,134.57,131.41,133.83,645895
2010-04-30,133.92,134.27,128.34,128.34,1460960
2010-05-03,129.21,130.49,128.34,130.18,1780522
2010-05-04,128.45,128.45,123.64,123.92,1125196
2010-05-05,123.07,123.33,121.46,122.58,1299478
2010-05-06,122.6,126.9,111.47,120.5,3147962
2010-05-07,120.77,120.77,113.7,117.0,1910943
2010-05-10,121.46,125.49,120.49,123.7,1555310
2010-05-11,122.64,125.29,121.9,124.02,1235992
2010-05-12,124.86,125.32,123.98,124.87,1402401
2010-05-13,124.62,126.03,123.91,124.39,1325538
2010-05-14,123.07,123.67,118.74,120.23,1254192
2010-05-17,120.06,121.2,117.01,120.82,1086863
2010-05-18,121.17,123.24,119.76,120.12,1469863
2010-05-19,119.28,119.68,115.09,117.57,1289907
2010-05-20,114.29,115.86,111.98,112.87,2431198
2010-05-21,110.48,118.42,110.48,118.2,2295313
2010-05-24,117.82,117.96,115.34,115.48,1085326
2010-05-25,112.63,115.47,111.86,115.38,2032810
2010-05-26,116.57,119.04,115.43,116.08,986707
2010-05-27,118.81,121.0,118.17,120.87,1200981
2010-05-28,120.77,120.96,115.87,116.7,1394681
2010-06-01,115.67,117.66,113.74,113.93,1498585
2010-06-02,114.77,115.85,113.24,115.75,1290289
2010-06-03,116.41,117.38,115.41,117.02,1577665
2010-06-04,113.27,114.4,109.63,110.4,2149575
2010-06-07,110.56,110.6,105.53,105.64,2308484
2010-06-08,105.39,106.97,102.46,104.27,2745549
2010-06-09,105.11,107.25,104.34,104.93,1509847
2010-06-10,106.45,108.65,106.0,108.59,1839338
2010-06-11,107.73,109.18,106.88,108.93,1401739
2010-06-14,109.99,111.21,108.89,109.07,1698191
2010-06-15,110.83,113.4,110.05,113.39,1390674
2010-06-16,112.63,113.9,111.9,113.16,860218
2010-06-17,113.0,113.55,111.33,113.12,596399
2010-06-18,113.35,114.77,112.31,114.76,1514224
