Date,Open,High,Low,Close,Volume
2010-01-04,7.74,8.14,7.72,7.97,5312153
2010-01-05,7.95,8.07,7.89,7.99,4177125
2010-01-06,7.99,8.0,7.4,7.45,11193199
2010-01-07,7.49,7.66,7.37,7.52,8860705
2010-01-08,7.3,7.32,6.96,7.1,13527588
2010-01-11,7.07,7.35,7.05,7.19,9452618
2010-01-12,7.37,7.45,6.32,6.35,28617160
2010-01-13,6.55,6.58,6.17,6.33,15538429
2010-01-14,6.21,6.42,6.2,6.23,9764159
2010-01-15,6.28,6.36,6.18,6.32,10820668
2010-01-19,6.3,6.57,6.26,6.4,9549691
2010-01-20,6.37,6.43,6.21,6.24,5786255
2010-01-21,6.18,6.27,5.97,5.99,12141453
2010-01-22,6.07,6.11,5.87,5.88,5625116
2010-01-25,5.97,5.99,5.81,5.86,5332565
2010-01-26,5.87,5.88,5.75,5.75,6467203
2010-01-27,5.7,5.8,5.58,5.69,6356111
2010-01-28,5.69,5.72,5.53,5.53,6538252
2010-01-29,5.57,5.75,5.52,5.63,6451538
2010-02-01,5.66,6.01,5.64,5.93,11961108
2010-02-02,5.85,5.94,5.7,5.91,7046804
2010-02-03,5.87,6.21,5.83,6.08,8531288
2010-02-04,5.97,6.0,5.78,5.81,7844533
2010-02-05,5.78,5.9,5.62,5.88,8709809
2010-02-08,5.86,5.99,5.78,5.87,4868276
2010-02-09,5.94,6.05,5.83,6.01,6171128
2010-02-10,6.0,6.07,5.75,5.78,6832409
2010-02-11,5.81,5.95,5.75,5.94,4735136
2010-02-12,5.95,6.12,5.86,5.96,5585396
2010-02-16,6.05,6.22,6.03,6.2,3908995
2010-02-17,6.18,6.28,6.16,6.21,3521774
2010-02-18,6.21,6.28,6.17,6.27,3086608
2010-02-19,6.2,6.35,6.19,6.31,3643254
2010-02-22,6.36,6.39,6.15,6.24,4016352
2010-02-23,6.21,6.25,6.07,6.16,4977032
2010-02-24,6.19,6.29,6.1,6.24,4900087
2010-02-25,6.52,6.76,6.31,6.48,16349043
2010-02-26,6.56,6.56,6.14,6.17,11147620
2010-03-01,6.24,6.28,5.99,6.04,10243836
2010-03-02,6.13,6.27,6.05,6.23,6769237
2010-03-03,6.19,6.35,6.17,6.33,6564190
2010-03-04,6.35,6.39,6.24,6.37,4314601
2010-03-05,6.38,6.46,6.32,6.38,4566186
2010-03-08,6.42,6.57,6.37,6.55,5051669
2010-03-09,6.53,6.68,6.44,6.6,3593951
2010-03-10,6.58,6.7,6.54,6.61,4759275
2010-03-11,6.6,6.76,6.48,6.73,5332911
2010-03-12,6.77,6.8,6.65,6.69,3462671
2010-03-15,6.67,6.71,6.6,6.63,2387341
2010-03-16,6.63,6.85,6.62,6.85,3062296
2010-03-17,6.78,6.94,6.78,6.91,2863194
