Date,Open,High,Low,Close,Volume
2010-01-04,36.45,37.02,36.25,36.69,989008
2010-01-05,36.68,36.88,36.45,36.79,602043
2010-01-06,36.56,36.88,36.54,36.82,582322
2010-01-07,36.66,37.25,36.66,37.17,612892
2010-01-08,36.89,37.55,36.76,37.47,598464
2010-01-11,37.62,37.65,37.21,37.52,473516
2010-01-12,37.25,37.58,37.01,37.32,631198
2010-01-13,37.32,37.67,37.24,37.49,748351
2010-01-14,37.35,37.78,37.26,37.77,664978
2010-01-15,37.66,37.8,37.45,37.5,826018
2010-01-19,37.46,37.85,37.44,37.75,694073
2010-01-20,37.29,37.43,36.89,37.22,778590
2010-01-21,37.17,37.42,36.4,36.58,870954
2010-01-22,36.65,36.65,35.93,35.96,1061365
2010-01-25,36.4,36.4,35.65,35.91,560814
2010-01-26,35.79,36.02,35.55,35.78,548506
2010-01-27,35.66,35.82,35.11,35.66,778351
2010-01-28,35.71,35.81,34.56,34.88,793631
2010-01-29,35.03,35.42,34.47,34.47,623959
2010-02-01,34.74,35.41,34.66,35.39,624083
2010-02-02,35.39,35.82,35.25,35.72,772721
2010-02-03,35.47,35.79,35.18,35.52,488192
2010-02-04,35.22,35.3,34.28,34.29,663407
2010-02-05,34.07,34.28,33.21,33.92,566486
2010-02-08,33.91,34.03,33.45,33.5,770786
2010-02-09,33.97,34.37,33.7,34.08,632462
2010-02-10,34.08,34.18,33.52,33.9,711191
2010-02-11,33.87,34.43,33.55,34.35,492779
2010-02-12,34.08,34.86,33.92,34.82,843032
2010-02-16,35.02,35.85,34.8,35.85,656740
2010-02-17,35.94,36.28,35.88,36.18,715100
2010-02-18,36.05,36.78,35.92,36.69,564758
2010-02-19,36.7,37.27,36.61,37.07,608327
2010-02-22,37.2,39.16,36.89,39.03,4645419
2010-02-23,38.91,39.5,38.13,38.55,2131102
2010-02-24,38.58,39.25,38.54,39.13,994624
2010-02-25,38.45,39.5,37.99,39.31,1299726
2010-02-26,39.34,39.52,38.9,39.47,755283
2010-03-01,40.72,41.82,40.42,41.01,3003465
2010-03-02,41.35,41.5,40.92,41.05,2101883
2010-03-03,41.11,41.29,40.82,41.0,838344
2010-03-04,41.09,41.21,40.53,40.64,892913
2010-03-05,41.01,41.38,40.94,41.32,1064269
2010-03-08,41.4,41.4,40.9,41.02,912984
2010-03-09,41.0,41.12,40.78,41.0,589864
2010-03-10,40.96,41.22,40.73,41.04,1080701
2010-03-11,40.67,41.0,40.22,40.84,1023827
2010-03-12,38.85,39.64,38.45,38.87,2953184
2010-03-15,38.86,39.0,37.97,38.23,1369251
2010-03-16,38.15,38.43,38.0,38.21,1079950
2010-03-17,38.35,38.86,38.29,38.66,1129818
2010-03-18,38.58,38.83,38.3,38.8,844442
2010-03-19,38.82,39.0,38.45,38.66,1337156
2010-03-22,38.31,39.19,38.3,39.07,731620
2010-03-23,39.09,40.02,38.89,40.02,895440
2010-03-24,40.14,40.14,39.34,39.58,1107184
2010-03-25,39.94,40.45,39.51,39.68,2143957
2010-03-26,39.72,40.01,39.32,39.85,1359218
2010-03-29,39.91,40.33,39.83,40.3,610257
2010-03-30,40.43,40.74,40.25,40.55,943274
2010-03-31,40.35,40.71,40.19,40.49,863537
2010-04-01,40.65,40.65,40.07,40.39,968931
2010-04-05,40.46,40.55,40.3,40.44,775215
2010-04-06,40.33,40.73,40.1,40.64,792883
2010-04-07,40.5,40.5,39.8,39.81,1074613
2010-04-08,39.64,39.94,39.35,39.92,1282033
2010-04-09,39.94,40.06,39.76,39.94,743757
2010-04-12,40.0,40.1,39.62,39.74,929520
2010-04-13,39.6,40.01,39.49,39.83,898681
2010-04-14,39.95,39.95,39.55,39.74,1057012
2010-04-15,39.52,39.86,39.52,39.53,1319721
2010-04-16,39.36,39.65,38.81,39.0,1834125
2010-04-19,38.93,39.32,38.76,39.23,639721
2010-04-20,39.37,39.67,39.11,39.25,418151
2010-04-21,39.25,39.67,39.16,39.6,918622
2010-04-22,39.28,40.13,38.81,40.07,917089
