Date,Open,High,Low,Close,Volume
2010-01-04,17.01,17.11,16.83,16.9,1289500
2010-01-05,16.9,16.95,16.6,16.71,1494122
2010-01-06,16.75,16.88,16.62,16.86,1477004
2010-01-07,16.81,16.82,16.66,16.77,1105447
2010-01-08,16.74,16.79,16.54,16.6,1938812
2010-01-11,16.71,16.94,16.61,16.94,1676453
2010-01-12,16.89,17.03,16.83,16.92,1802498
2010-01-13,16.99,17.26,16.95,17.26,1458103
2010-01-14,17.17,17.3,17.15,17.27,1026454
2010-01-15,17.2,17.28,17.06,17.19,1713361
2010-01-19,17.19,17.57,17.19,17.57,2139688
2010-01-20,17.35,17.44,17.17,17.43,2735018
2010-01-21,17.4,17.48,16.79,16.93,5619225
2010-01-22,16.96,16.96,16.36,16.38,2797825
2010-01-25,16.53,16.59,16.36,16.47,1211513
2010-01-26,16.47,16.65,16.33,16.56,1907552
2010-01-27,16.48,16.58,16.24,16.57,2466823
2010-01-28,16.6,16.76,16.38,16.52,2115798
2010-01-29,16.59,16.73,16.41,16.42,2110629
2010-02-01,16.49,16.6,16.35,16.6,1040571
2010-02-02,16.65,16.69,16.4,16.61,2123653
2010-02-03,16.61,16.61,16.43,16.47,1126832
2010-02-04,16.46,16.46,16.02,16.03,2466399
2010-02-05,16.0,16.09,15.74,16.05,3313672
2010-02-08,16.12,16.13,15.91,15.91,1035175
2010-02-09,16.08,16.34,15.97,16.09,1607173
2010-02-10,16.09,16.38,15.96,16.31,2472970
2010-02-11,16.25,16.54,16.11,16.51,1767744
2010-02-12,16.4,16.53,16.25,16.5,2252369
2010-02-16,16.63,16.9,16.62,16.88,1260251
2010-02-17,16.93,17.01,16.6,16.62,3735721
2010-02-18,16.62,16.75,16.6,16.75,2079975
2010-02-19,16.68,17.14,16.68,17.12,4274381
2010-02-22,17.23,17.24,17.05,17.1,1595144
2010-02-23,17.07,17.14,16.9,16.99,1892656
2010-02-24,17.05,17.17,16.81,17.06,2110036
2010-02-25,16.88,16.94,16.51,16.9,3491118
2010-02-26,16.9,17.32,16.77,16.82,3074087
2010-03-01,16.76,17.06,16.71,16.74,1920427
