Date,Open,High,Low,Close,Volume
2010-01-04,23.36,24.11,23.21,24.04,3728370
2010-01-05,24.0,24.31,23.73,23.77,3084951
2010-01-06,23.72,24.53,23.49,24.28,3154983
2010-01-07,24.25,24.3,23.89,24.0,2096417
2010-01-08,24.04,25.31,23.86,25.25,4277866
2010-01-11,25.5,26.16,25.26,25.75,4838868
2010-01-12,25.33,25.54,24.8,24.93,2994110
2010-01-13,24.93,24.93,24.26,24.86,3190929
2010-01-14,24.82,25.08,24.32,24.93,2404453
2010-01-15,,,,24.13,0
2010-01-19,24.09,24.09,23.69,24.05,4576439
2010-01-20,23.62,23.85,23.23,23.48,2898738
2010-01-21,23.57,23.67,22.77,22.83,3119418
2010-01-22,22.63,22.64,22.0,22.1,4688733
2010-01-25,22.34,22.78,22.29,22.5,2303604
2010-01-26,22.41,22.96,22.02,22.39,3015283
2010-01-27,22.66,23.0,22.08,22.58,3621050
2010-01-28,22.78,23.0,22.0,22.09,2639585
2010-01-29,22.41,22.72,21.33,21.48,3304878
2010-02-01,21.81,22.34,21.68,22.25,1717527
2010-02-02,22.36,22.76,22.24,22.69,2408484
2010-02-03,22.94,23.2,22.7,22.9,3299319
2010-02-04,22.69,22.69,21.89,21.92,4132047
2010-02-05,22.0,22.22,21.21,21.93,4351354
2010-02-08,21.98,22.25,21.52,21.56,2312617
2010-02-09,21.91,22.37,21.79,22.17,2815063
2010-02-10,22.12,23.03,21.9,22.7,4708095
2010-02-11,22.7,23.47,22.44,23.43,3073419
2010-02-12,,,,23.24,0
2010-02-16,23.55,23.99,23.52,23.94,3063426
2010-02-17,23.97,24.59,23.84,24.45,3470848
2010-02-18,24.41,24.81,24.14,24.65,3518625
2010-02-19,24.7,25.63,24.63,25.24,4488375
2010-02-22,25.5,25.51,24.78,25.06,3535480
2010-02-23,24.83,25.01,24.27,24.5,3833031
2010-02-24,24.5,24.99,24.33,24.78,3218850
2010-02-25,24.3,25.65,24.04,25.62,5993645
2010-02-26,25.7,26.19,25.59,26.02,6447074
2010-03-01,27.04,27.69,26.68,27.32,6254454
2010-03-02,26.97,27.64,26.72,27.41,6099934
2010-03-03,27.83,27.92,27.45,27.5,5502538
2010-03-04,27.63,27.95,27.13,27.42,3379425
2010-03-05,27.66,28.0,27.59,27.85,2212369
2010-03-08,27.95,28.07,27.38,27.78,2712239
2010-03-09,27.41,28.0,27.28,27.68,2346532
2010-03-10,27.74,28.2,27.42,28.16,3370435
2010-03-11,28.0,28.0,27.66,27.9,2288859
2010-03-12,28.07,28.29,27.29,27.52,4122527
2010-03-15,27.3,27.36,26.58,26.96,2541243
2010-03-16,27.18,27.73,26.88,27.69,3655484
2010-03-17,27.65,28.05,27.65,27.85,3111311
2010-03-18,27.8,28.0,26.81,27.05,2608580
2010-03-19,27.03,27.23,26.29,26.39,3630100
2010-03-22,26.03,26.74,25.92,26.49,2471117
2010-03-23,26.5,27.09,26.47,26.93,2244815
2010-03-24,26.61,27.2,26.51,26.7,2848733
