Date,Open,High,Low,Close,Volume
2010-01-04,67.02,68.28,66.96,68.13,598584
2010-01-05,67.95,68.7,66.9,67.98,860423
2010-01-06,67.77,68.67,67.29,68.31,508963
2010-01-07,67.89,69.6,67.83,69.57,538625
2010-01-08,69.0,69.36,67.65,68.73,586813
2010-01-11,69.06,69.23,68.67,68.76,411817
2010-01-12,68.34,68.55,66.96,67.56,647453
2010-01-13,67.41,68.8,67.23,68.58,610594
2010-01-14,68.19,69.0,68.13,68.64,339132
2010-01-15,68.34,69.6,66.48,67.47,650423
2010-01-19,67.23,68.07,66.99,67.62,494056
2010-01-20,66.36,66.76,64.02,64.59,752441
2010-01-21,64.53,64.77,62.43,62.46,969442
2010-01-22,62.04,62.46,59.94,60.39,1002533
2010-01-25,61.02,61.29,59.58,59.73,866739
2010-01-26,59.16,60.34,58.05,59.76,710876
2010-01-27,59.85,60.33,58.5,60.09,693204
2010-01-28,59.4,60.48,58.89,59.73,729399
2010-01-29,60.06,61.08,58.71,59.46,583043
2010-02-01,59.82,60.24,58.86,60.15,624579
2010-02-02,60.45,61.71,60.03,61.14,686997
2010-02-03,60.75,61.5,60.48,60.87,644075
2010-02-04,60.48,60.75,57.75,57.99,870350
2010-02-05,57.84,58.2,55.53,57.21,914140
2010-02-08,57.09,57.96,56.37,57.09,460284
2010-02-09,57.6,58.2,56.72,57.6,517145
2010-02-10,57.57,57.72,55.83,57.06,609555
2010-02-11,56.61,57.9,55.92,57.9,517028
2010-02-12,57.06,58.35,56.46,58.2,701139
2010-02-16,58.47,60.27,58.26,60.09,597871
2010-02-17,60.3,60.78,59.73,60.51,664406
2010-02-18,60.51,60.9,60.24,60.87,425631
2010-02-19,60.39,61.32,60.18,61.2,422953
2010-02-22,61.2,61.5,60.54,61.02,325372
2010-02-23,60.99,61.78,60.75,61.53,817720
2010-02-24,62.07,63.78,61.74,62.34,1245425
2010-02-25,61.5,61.56,59.56,60.33,1031355
2010-02-26,60.54,60.66,59.55,59.67,601577
2010-03-01,59.82,60.36,59.1,60.06,627702
2010-03-02,60.57,60.66,59.88,60.09,511016
2010-03-03,60.54,61.32,60.03,60.15,706130
2010-03-04,60.21,60.87,59.91,60.81,646051
2010-03-05,61.05,61.68,60.33,61.56,592237
2010-03-08,61.5,62.01,61.11,61.41,471207
2010-03-09,60.78,62.22,60.6,61.5,587969
2010-03-10,61.29,61.86,61.02,61.59,582291
2010-03-11,60.69,61.65,60.24,61.47,752174
2010-03-12,61.5,62.13,60.08,60.75,638073
2010-03-15,60.87,61.86,60.51,61.8,624648
2010-03-16,61.68,62.37,61.08,61.68,754858
2010-03-17,61.65,62.55,61.65,61.89,488784
2010-03-18,61.74,62.49,61.5,61.77,416631
2010-03-19,62.31,62.44,60.24,61.08,815343
2010-03-22,60.57,63.0,59.79,62.91,627525
2010-03-23,62.82,64.11,62.46,63.93,616897
2010-03-24,64.11,64.2,63.48,63.84,717880
2010-03-25,64.3,65.02,63.96,63.96,680778
2010-03-26,63.75,64.62,63.45,63.72,484763
2010-03-29,63.69,64.92,63.63,64.5,546234
2010-03-30,64.53,65.22,64.2,64.71,485930
2010-03-31,64.2,65.01,63.63,64.05,717804
2010-04-01,64.68,65.13,63.93,64.47,588966
2010-04-05,65.04,65.85,64.51,65.73,531297
2010-04-06,65.25,66.03,65.25,65.61,828531
2010-04-07,65.25,66.75,65.13,66.24,948617
2010-04-08,66.27,67.8,65.4,67.62,1038602
2010-04-09,67.44,68.19,67.35,67.62,536204
2010-04-12,67.86,68.19,66.96,67.44,397571
2010-04-13,67.08,67.5,66.84,67.2,631899
2010-04-14,67.23,67.95,66.3,66.6,759713
2010-04-15,66.66,67.12,66.42,66.48,610746
2010-04-16,66.42,66.99,64.38,64.86,749938
2010-04-19,64.96,65.31,63.0,64.2,637929
2010-04-20,65.19,66.09,65.1,65.73,466190
2010-04-21,65.7,67.77,65.61,67.05,1123075
2010-04-22,66.72,66.99,66.18,66.78,1053426
2010-04-23,66.9,67.89,65.64,67.8,911224
2010-04-26,68.07,68.49,67.05,67.08,477003
2010-04-27,66.03,66.7,63.99,64.14,1281879
2010-04-28,64.08,64.59,63.03,63.99,831211
2010-04-29,64.74,66.18,64.29,65.4,704361
2010-04-30,65.61,66.15,64.47,64.5,776231
2010-05-03,64.83,65.54,64.47,65.31,524469
2010-05-04,64.23,64.56,62.67,63.06,856158
2010-05-05,64.89,67.26,63.81,64.11,1189291
2010-05-06,63.93,64.5,54.72,60.18,1458475
2010-05-07,60.0,60.12,56.82,58.11,1366205
2010-05-10,58.95,61.23,58.2,60.93,1213570
2010-05-11,60.45,61.47,59.55,60.33,712173
2010-05-12,60.36,61.26,59.18,60.18,915061
2010-05-13,60.06,61.59,59.79,60.39,633324
2010-05-14,59.85,60.24,58.65,59.58,1007691
2010-05-17,60.21,61.2,58.92,60.36,814378
2010-05-18,60.36,61.44,58.34,58.35,732368
2010-05-19,57.9,58.95,56.61,58.5,1376958
2010-05-20,56.76,56.85,54.78,54.81,1089538
2010-05-21,53.76,56.43,53.37,55.59,1045634
2010-05-24,55.29,56.4,54.81,55.2,817939
2010-05-25,53.37,55.2,52.44,54.99,894873
2010-05-26,55.56,56.74,54.84,55.29,938854
2010-05-27,56.61,58.26,56.04,58.2,672126
2010-05-28,58.35,58.59,56.82,57.48,675304
2010-06-01,56.85,57.18,54.9,54.96,1058741
2010-06-02,55.35,56.1,54.51,56.04,1034395
2010-06-03,56.04,56.82,55.83,56.55,449768
2010-06-04,55.35,55.35,52.83,53.22,1196421
2010-06-07,53.4,53.94,51.96,52.14,1397552
2010-06-08,52.17,52.44,51.21,51.99,1050303
2010-06-09,52.35,53.43,52.02,52.23,947235
2010-06-10,52.89,54.45,52.02,54.18,500267
2010-06-11,53.64,54.0,52.44,53.88,1023119
2010-06-14,54.6,54.78,53.1,53.19,860401
2010-06-15,53.37,55.2,53.37,55.11,629197
2010-06-16,54.84,55.86,54.42,55.23,616482
2010-06-17,55.32,55.65,53.58,54.81,640170
2010-06-18,55.11,55.65,54.14,54.6,490954
2010-06-21,55.47,55.63,53.88,54.24,472958
2010-06-22,54.36,54.66,52.98,53.13,681005
2010-06-23,52.89,53.76,51.84,52.74,684942
2010-06-24,52.44,52.89,51.66,51.81,857760
2010-06-25,51.96,52.53,51.12,52.08,1081241
2010-06-28,52.38,52.38,51.3,51.36,448963
2010-06-29,50.7,51.09,48.81,49.32,753849
2010-06-30,49.35,50.13,48.96,49.11,922309
2010-07-01,49.62,49.62,47.76,49.02,859555
2010-07-02,49.47,49.59,47.76,48.45,833422
2010-07-06,49.23,49.38,47.61,48.15,1981022
2010-07-07,47.88,48.84,47.58,48.75,983640
2010-07-08,49.05,49.65,48.15,49.2,1016206
2010-07-09,49.47,50.19,49.2,50.04,518521
2010-07-12,49.92,50.94,49.59,50.52,731601
2010-07-13,51.0,51.81,50.85,51.51,810800
2010-07-14,51.06,51.42,50.7,51.42,656657
2010-07-15,51.33,51.57,50.43,51.33,695293
2010-07-16,50.97,50.97,48.54,48.72,626830
2010-07-19,48.78,49.23,47.88,48.48,573738
2010-07-20,47.67,49.08,47.16,48.84,872918
2010-07-21,49.05,49.32,47.88,48.24,527991
2010-07-22,48.72,50.04,48.63,49.62,604510
2010-07-23,49.68,50.85,49.44,50.67,1108086
2010-07-26,50.88,52.2,50.19,52.05,653538
2010-07-27,52.32,52.5,51.32,51.45,682869
2010-07-28,51.54,51.87,50.73,50.76,486071
2010-07-29,51.18,51.87,49.8,50.76,823817
2010-07-30,50.13,50.94,49.98,50.61,732110
2010-08-02,51.48,52.38,51.22,52.26,560846
2010-08-03,51.6,52.02,51.27,51.33,920942
2010-08-04,53.43,54.3,52.53,52.95,1018411
2010-08-05,52.38,52.95,52.02,52.32,656070
2010-08-06,51.93,52.92,51.48,52.65,581615
2010-08-09,53.13,54.24,52.32,54.15,807345
2010-08-10,53.7,53.73,52.11,52.56,918115
2010-08-11,51.81,51.84,50.25,50.43,1253745
2010-08-12,50.22,50.22,49.29,49.53,900329
2010-08-13,49.26,49.8,49.05,49.14,443791
2010-08-16,48.93,49.23,48.63,48.99,533120
2010-08-17,49.29,50.07,48.84,49.38,589269
2010-08-18,49.44,49.68,48.99,49.26,455847
2010-08-19,48.9,49.08,47.4,47.67,687520
2010-08-20,47.34,47.52,46.41,46.92,1022728
2010-08-23,47.1,47.46,45.75,46.2,1294004
2010-08-24,45.48,45.81,44.88,45.18,768915
2010-08-25,45.0,45.87,44.61,45.66,888566
2010-08-26,45.84,45.93,44.7,44.88,827312
2010-08-27,45.33,46.26,44.79,46.17,597866
2010-08-30,46.08,46.59,45.6,45.6,589966
2010-08-31,45.72,46.14,45.21,45.39,762339
2010-09-01,46.32,47.82,46.05,47.37,825945
2010-09-02,47.34,48.33,47.25,48.27,781141
2010-09-03,48.96,50.19,48.81,49.86,766405
2010-09-07,49.68,49.8,48.69,49.08,842946
2010-09-08,49.02,49.47,48.81,49.26,600779
2010-09-09,50.04,50.28,49.12,49.5,841196
2010-09-10,49.47,49.71,49.08,49.23,572836
2010-09-13,49.86,50.73,49.41,50.4,696806
2010-09-14,50.46,50.73,49.86,50.31,656835
2010-09-15,49.86,50.4,49.53,50.16,432250
2010-09-16,49.65,50.16,49.59,50.07,454616
2010-09-17,50.46,50.64,49.5,50.43,811604
2010-09-20,50.64,51.42,50.34,51.21,488202
2010-09-21,51.42,51.45,50.58,50.98,590865
2010-09-22,50.79,51.14,49.38,49.44,728040
2010-09-23,49.14,49.92,48.93,49.11,422658
2010-09-24,49.8,52.98,49.56,52.98,1056045
2010-09-27,52.83,53.16,51.27,51.36,756313
2010-09-28,51.63,52.08,50.88,51.96,504256
2010-09-29,51.84,52.08,51.03,51.12,536180
2010-09-30,51.63,52.2,50.43,50.88,789629
2010-10-01,51.57,52.05,50.82,50.97,556236
2010-10-04,51.0,51.3,50.13,50.25,494859
2010-10-05,50.73,52.53,50.73,52.38,628740
2010-10-06,52.5,52.59,51.66,52.53,508961
2010-10-07,53.07,53.07,52.41,52.92,500709
2010-10-08,53.1,54.21,52.77,53.97,346914
2010-10-11,54.18,54.48,53.55,54.33,414701
2010-10-12,54.39,54.57,53.58,53.91,499527
2010-10-13,54.3,54.87,53.88,54.36,820318
2010-10-14,54.3,55.05,53.97,54.33,549883
2010-10-15,54.96,55.38,54.08,54.45,503120
2010-10-18,54.54,54.99,54.27,54.57,1006171
2010-10-19,54.18,54.84,53.4,53.76,530927
2010-10-20,54.12,56.1,54.06,55.35,526881
2010-10-21,55.86,56.1,54.36,55.2,1235319
2010-10-22,55.23,55.62,54.87,55.2,260106
2010-10-25,55.62,56.1,55.47,55.62,546037
2010-10-26,55.62,55.71,54.63,54.72,515067
2010-10-27,54.51,54.54,53.52,54.33,393856
2010-10-28,55.14,55.56,53.88,54.21,344434
2010-10-29,54.06,55.38,54.0,55.35,958562
2010-11-01,55.74,56.26,54.33,54.78,374853
2010-11-02,55.62,56.67,55.38,56.46,472041
2010-11-03,56.82,57.18,54.0,54.78,713557
2010-11-04,55.68,55.77,54.78,55.5,630353
2010-11-05,55.5,55.62,54.15,54.54,743626
2010-11-08,53.88,54.27,53.19,53.37,613128
2010-11-09,53.58,53.88,52.26,52.62,401260
2010-11-10,52.8,52.8,51.48,52.35,753430
2010-11-11,51.6,51.78,50.76,51.03,1000894
2010-11-12,50.79,50.82,49.95,50.19,844097
2010-11-15,50.22,50.55,49.41,49.68,819640
2010-11-16,49.2,49.5,47.68,47.91,1098787
2010-11-17,47.58,49.17,47.58,48.54,923142
2010-11-18,49.26,49.38,48.39,49.23,765254
2010-11-19,49.11,49.23,48.45,48.84,526014
2010-11-22,48.69,48.72,48.12,48.69,528900
2010-11-23,48.0,48.15,47.13,47.91,664084
2010-11-24,48.3,48.69,48.06,48.24,415409
2010-11-26,48.06,48.9,47.94,48.57,227079
2010-11-29,48.18,48.3,47.28,47.91,588103
2010-11-30,47.22,48.09,47.22,47.28,970996
2010-12-01,48.21,49.5,48.09,49.38,658488
2010-12-02,49.53,50.46,49.44,50.19,541092
2010-12-03,50.01,50.4,49.26,50.19,1059575
2010-12-06,50.37,51.24,50.25,50.94,692194
2010-12-07,51.72,52.35,51.12,51.66,657639
2010-12-08,51.6,52.08,51.03,51.69,440929
2010-12-09,51.96,52.59,51.78,52.38,409392
2010-12-10,52.47,53.22,52.08,53.19,360948
2010-12-13,53.52,53.55,51.57,51.93,817623
2010-12-14,52.08,53.07,51.94,52.44,507997
2010-12-15,52.5,52.68,52.2,52.23,660504
2010-12-16,52.2,52.95,52.05,52.64,394326
2010-12-17,52.56,52.83,52.38,52.59,1036733
2010-12-20,52.65,52.86,51.48,51.54,728036
2010-12-21,51.96,52.05,51.42,51.69,416335
2010-12-22,49.5,52.53,49.44,52.53,359118
2010-12-23,52.44,52.74,52.02,52.2,291628
2010-12-27,52.11,52.11,51.42,51.72,423510
2010-12-28,51.99,52.08,51.18,51.69,339903
2010-12-29,51.75,51.99,51.27,51.3,320504
2010-12-30,51.0,51.75,51.0,51.48,269246
2010-12-31,51.51,52.62,51.16,52.41,531521
2011-01-03,53.07,53.37,52.5,52.89,460822
2011-01-04,52.86,53.19,52.5,53.19,565424
2011-01-05,53.19,53.28,52.38,52.62,680589
2011-01-06,52.74,53.04,52.46,52.83,1336818
2011-01-07,53.19,53.19,52.35,52.89,1392768
2011-01-10,52.8,53.25,52.38,53.13,1385539
2011-01-11,53.25,53.85,52.68,53.28,603782
2011-01-12,53.88,54.51,53.59,54.45,862087
2011-01-13,54.54,54.69,52.92,52.95,2196644
2011-01-14,52.77,53.49,52.53,52.89,810694
2011-01-18,53.4,54.2,53.28,53.54,979625
2011-01-19,53.85,54.03,52.92,53.46,847866
2011-01-20,53.49,53.64,52.95,53.34,747495
2011-01-21,53.82,54.18,53.46,53.55,674927
2011-01-24,53.76,54.75,53.73,54.33,774180
2011-01-25,54.42,54.93,54.03,54.75,856474
2011-01-26,54.36,54.51,53.91,54.03,561784
2011-01-27,54.24,54.27,53.73,54.09,415068
2011-01-28,54.24,54.3,52.53,53.16,785827
2011-01-31,53.4,53.73,52.98,53.16,535218
2011-02-01,53.73,54.84,53.55,54.57,501382
2011-02-02,54.6,55.26,54.36,54.66,500819
2011-02-03,54.72,55.8,54.51,55.58,674672
2011-02-04,55.5,55.92,54.72,55.31,521392
2011-02-07,55.5,56.19,55.41,56.08,348156
2011-02-08,56.4,56.55,55.41,56.55,446932
2011-02-09,56.31,56.49,55.89,55.92,397610
2011-02-10,55.65,56.31,55.29,56.28,508416
2011-02-11,56.16,56.82,55.65,56.31,448322
2011-02-14,56.22,56.46,55.74,56.28,325712
2011-02-15,55.92,56.4,55.8,56.13,344497
2011-02-16,56.13,56.58,55.5,56.49,698773
2011-02-17,56.46,57.84,56.22,57.81,728194
2011-02-18,57.93,58.35,57.42,58.17,553985
2011-02-22,57.9,57.96,55.2,56.1,957565
2011-02-23,56.1,56.79,54.24,54.63,724245
2011-02-24,54.6,55.23,53.94,54.6,736053
2011-02-25,54.93,55.32,54.15,55.29,457834
2011-02-28,55.44,56.01,55.29,55.86,467997
2011-03-01,56.25,56.64,54.1,54.2,729930
