Date,Open,High,Low,Close,Volume
2010-01-04,76.08,76.68,75.56,76.44,875117
2010-01-05,76.32,76.72,75.4,76.12,984654
2010-01-06,76.92,77.16,76.0,76.32,691447
2010-01-07,76.2,76.4,75.8,76.36,506552
2010-01-08,76.04,76.36,75.84,76.24,546910
2010-01-11,75.92,76.28,75.84,76.04,444974
2010-01-12,75.84,76.32,75.68,76.12,570012
2010-01-13,76.2,76.2,75.0,75.8,1167754
2010-01-14,75.84,76.24,75.52,76.0,1107399
2010-01-15,76.0,76.36,75.52,75.6,1431614
2010-01-19,75.6,76.44,75.32,76.44,539351
2010-01-20,76.12,76.2,75.4,75.56,601961
2010-01-21,75.48,76.28,74.64,74.8,701823
2010-01-22,74.8,75.4,73.48,73.64,692796
2010-01-25,74.28,74.68,73.68,74.48,520044
2010-01-26,74.32,74.64,72.96,73.4,635540
2010-01-27,73.12,73.36,72.76,73.08,804543
2010-01-28,73.12,73.72,72.64,73.16,688447
2010-01-29,73.32,74.0,72.92,73.32,862748
2010-02-01,73.0,74.48,72.44,74.4,878226
2010-02-02,74.36,74.56,73.56,74.56,1067462
2010-02-03,74.28,74.76,74.0,74.12,875985
2010-02-04,73.52,74.48,73.52,73.92,1341219
2010-02-05,73.88,74.72,73.48,74.72,1548760
2010-02-08,74.6,74.68,73.36,73.4,650169
2010-02-09,74.28,74.28,73.04,74.04,633014
2010-02-10,73.76,74.28,73.52,74.24,797654
2010-02-11,74.36,74.68,73.44,74.64,588423
2010-02-12,74.24,75.08,73.76,75.0,657302
2010-02-16,75.2,76.4,74.88,76.0,800544
2010-02-17,76.2,76.72,75.88,76.68,651120
2010-02-18,76.6,76.96,76.16,76.24,624986
2010-02-19,75.96,76.56,75.28,76.44,860002
2010-02-22,76.44,76.8,75.84,76.04,368802
2010-02-23,75.8,76.32,75.68,76.28,750696
2010-02-24,76.64,77.92,76.28,77.92,1035984
2010-02-25,77.08,77.72,76.24,77.56,762528
2010-02-26,77.8,79.0,77.76,78.8,4072862
2010-03-01,78.8,79.04,77.88,78.04,665912
2010-03-02,78.68,78.8,77.12,77.64,1046943
2010-03-03,77.96,77.96,76.8,76.88,863831
2010-03-04,77.48,77.8,76.6,76.8,847831
2010-03-05,77.2,77.68,76.76,77.24,859928
2010-03-08,77.32,77.48,76.96,77.32,778506
2010-03-09,77.12,78.04,77.08,77.96,766936
2010-03-10,77.92,78.0,77.36,77.88,601630
2010-03-11,77.6,77.72,77.04,77.56,637763
2010-03-12,77.6,77.72,77.0,77.2,378776
2010-03-15,77.2,77.4,76.84,77.4,421330
2010-03-16,77.2,77.32,76.88,77.28,424261
2010-03-17,77.2,77.56,76.92,77.08,546009
2010-03-18,76.84,77.36,76.24,76.56,705954
2010-03-19,76.64,76.72,75.12,76.56,1316941
2010-03-22,76.28,77.92,75.92,77.72,727835
2010-03-23,77.6,77.92,76.56,76.96,696341
2010-03-24,76.88,77.12,76.16,76.2,468277
2010-03-25,76.48,76.88,76.32,76.4,394138
2010-03-26,76.68,77.24,76.28,77.04,619604
2010-03-29,77.4,77.4,75.6,75.64,840588
2010-03-30,75.88,76.24,75.28,75.92,908696
2010-03-31,71.44,72.4,70.0,70.8,3931220
2010-04-01,70.8,71.2,69.28,69.68,2015019
2010-04-05,69.96,70.2,69.44,69.68,1106424
2010-04-06,69.64,69.88,68.64,69.2,986126
2010-04-07,69.36,69.36,67.96,68.8,1496636
2010-04-08,68.6,68.92,68.2,68.8,863231
2010-04-09,69.16,70.28,68.88,70.04,1164634
2010-04-12,70.64,70.64,69.36,69.6,1213307
2010-04-13,69.64,70.32,69.24,70.0,945134
2010-04-14,70.04,70.96,69.92,70.88,1146809
2010-04-15,71.68,72.56,70.88,72.0,1727655
2010-04-16,71.76,72.02,70.64,71.88,1710944
2010-04-19,72.04,72.84,71.64,72.76,1349174
2010-04-20,71.88,73.2,71.32,73.16,1505472
2010-04-21,72.84,73.4,72.56,73.04,1195388
2010-04-22,72.8,73.56,72.16,73.44,1160354
2010-04-23,73.44,73.84,72.72,73.84,987597
2010-04-26,73.44,73.68,72.76,72.88,1259338
2010-04-27,72.6,72.84,71.96,72.04,1284914
2010-04-28,72.44,72.44,70.32,70.92,1106697
2010-04-29,70.96,71.36,70.68,70.92,625404
2010-04-30,71.08,71.2,69.36,69.64,1581625
2010-05-03,69.96,70.28,69.48,69.76,801038
2010-05-04,69.24,70.0,68.84,69.84,851800
2010-05-05,69.64,71.4,69.36,69.72,583843
2010-05-06,69.44,70.76,68.28,69.16,1323132
2010-05-07,69.12,70.48,68.88,70.16,2022070
2010-05-10,71.48,71.48,69.24,69.72,1188587
2010-05-11,69.24,69.6,67.92,68.6,1953688
2010-05-12,68.88,69.04,68.52,69.0,1030545
2010-05-13,68.96,69.36,68.68,68.84,605747
2010-05-14,68.84,69.68,68.24,68.88,986863
2010-05-17,68.8,70.52,68.8,70.32,1140016
2010-05-18,70.36,70.78,69.96,70.12,1277902
