Date,Open,High,Low,Close,Volume
2010-01-04,20.66,20.81,20.61,20.81,3101203
2010-01-05,20.85,20.89,20.3,20.66,4640568
2010-01-06,20.6,20.81,20.6,20.7,3617695
2010-01-07,20.64,20.81,20.53,20.81,2971611
2010-01-08,20.87,21.0,20.75,20.99,2826939
2010-01-11,21.08,21.23,20.98,21.06,3912363
2010-01-12,20.96,21.39,20.85,21.13,5282658
2010-01-13,21.49,21.76,21.42,21.7,5286508
2010-01-14,22.0,22.28,21.79,22.18,4696624
2010-01-15,22.37,22.37,21.85,22.12,4822959
2010-01-19,22.19,23.06,22.16,23.03,5971956
2010-01-20,22.85,22.94,22.68,22.74,6680978
2010-01-21,22.77,23.06,22.4,22.61,7143500
2010-01-22,22.48,22.5,21.94,21.99,7053772
2010-01-25,22.1,22.45,22.1,22.29,4378032
2010-01-26,22.1,22.52,22.1,22.26,4135726
2010-01-27,22.26,22.37,21.69,22.04,4638425
2010-01-28,22.17,22.5,21.62,21.81,3902810
2010-01-29,21.9,22.05,21.22,21.25,5288449
2010-02-01,21.49,21.73,21.35,21.73,3889714
2010-02-02,21.77,22.02,21.48,21.98,4371289
2010-02-03,21.96,22.05,21.64,21.7,3540379
2010-02-04,21.48,21.7,20.91,20.93,4884474
2010-02-05,20.97,21.15,20.37,20.99,4461747
2010-02-08,21.03,21.16,20.75,20.76,3507479
2010-02-09,21.14,21.41,20.98,21.02,5401356
2010-02-10,20.94,20.94,20.47,20.64,4497365
2010-02-11,20.56,20.76,20.44,20.72,3918616
2010-02-12,20.51,20.82,20.37,20.73,4316142
2010-02-16,20.94,21.38,20.94,21.3,3707227
2010-02-17,21.36,21.47,21.3,21.38,2753500
2010-02-18,21.35,21.5,21.16,21.49,2998259
2010-02-19,21.35,21.82,21.35,21.7,3063479
2010-02-22,21.76,21.82,21.58,21.6,2352714
2010-02-23,21.49,21.57,21.23,21.3,2495084
2010-02-24,21.31,21.75,21.19,21.72,4513015
2010-02-25,21.47,21.79,21.3,21.75,2696175
2010-02-26,21.81,21.9,21.62,21.8,2483853
2010-03-01,21.9,22.11,21.86,21.98,3255096
2010-03-02,22.02,22.12,21.88,21.98,3300384
2010-03-03,21.99,22.11,21.82,21.88,2740939
2010-03-04,21.84,22.0,21.61,21.72,3087550
2010-03-05,21.83,22.13,21.78,22.1,3147087
2010-03-08,22.1,22.24,22.0,22.07,1976896
2010-03-09,21.86,22.09,21.83,22.0,2371414
2010-03-10,22.02,22.38,21.94,22.32,4041848
2010-03-11,22.32,22.37,22.15,22.32,2080567
2010-03-12,22.45,22.49,22.15,22.31,1856149
2010-03-15,22.39,22.44,22.01,22.32,2382361
2010-03-16,22.41,22.48,22.26,22.44,1824097
2010-03-17,22.42,22.62,22.38,22.45,2239704
2010-03-18,22.49,22.55,22.25,22.5,2708015
2010-03-19,22.53,22.65,22.09,22.22,4447557
2010-03-22,22.02,22.32,21.97,22.26,2225124
2010-03-23,22.33,22.51,22.18,22.48,2602890
2010-03-24,22.41,22.47,22.18,22.29,2630458
2010-03-25,22.47,22.59,22.38,22.41,3930541
2010-03-26,22.39,22.75,22.39,22.57,3992843
2010-03-29,22.7,22.96,22.66,22.82,4303395
2010-03-30,22.87,23.0,22.7,22.73,2867110
2010-03-31,22.71,22.71,22.43,22.53,3777346
2010-04-01,22.71,22.88,22.55,22.84,2013869
2010-04-05,22.9,23.29,22.86,23.24,2649099
2010-04-06,23.16,23.39,23.08,23.21,2626986
2010-04-07,23.2,23.28,22.99,23.06,3059614
2010-04-08,23.0,23.19,22.8,23.14,2071865
2010-04-09,23.12,23.32,22.9,23.29,2011578
2010-04-12,23.2,23.38,23.17,23.33,1892816
2010-04-13,23.24,23.24,22.91,23.15,1875333
2010-04-14,23.11,23.35,23.06,23.35,1814939
2010-04-15,23.29,23.35,23.12,23.29,2204195
2010-04-16,23.21,23.21,22.7,22.88,3463548
2010-04-19,22.71,23.16,22.71,23.16,2151702
2010-04-20,23.29,23.43,23.27,23.31,1906619
2010-04-21,23.35,23.37,23.11,23.24,2199799
2010-04-22,23.04,23.17,22.9,23.14,2588657
2010-04-23,23.17,23.47,22.96,23.47,2997339
2010-04-26,23.47,23.53,23.34,23.38,2103631
2010-04-27,23.32,23.41,22.79,22.85,3056453
2010-04-28,22.99,23.24,22.86,23.15,3097636
2010-04-29,23.39,23.57,23.29,23.44,2989297
2010-04-30,23.44,23.67,23.31,23.34,2672169
2010-05-03,23.47,23.85,23.43,23.74,3654725
2010-05-04,23.48,23.5,23.05,23.24,3728462
2010-05-05,23.06,23.14,22.5,22.62,3634746
2010-05-06,22.51,22.81,19.45,21.59,9549507
2010-05-07,21.51,21.84,20.86,21.29,8709896
2010-05-10,22.11,22.55,22.09,22.52,5031478
2010-05-11,22.34,22.95,22.34,22.67,3861902
2010-05-12,22.38,22.73,22.24,22.67,3115340
2010-05-13,22.59,22.82,22.38,22.38,2900995
2010-05-14,22.31,22.4,21.75,22.01,3760836
2010-05-17,22.07,22.28,21.27,21.74,3795106
2010-05-18,21.96,22.1,21.44,21.53,3332460
2010-05-19,21.42,21.52,20.79,21.11,3651765
2010-05-20,19.74,20.02,19.1,19.37,13128230
2010-05-21,18.66,19.73,18.57,19.68,6329945
2010-05-24,19.62,19.69,19.34,19.34,4488251
2010-05-25,18.9,19.31,18.63,19.3,5810782
2010-05-26,19.47,19.8,19.41,19.47,5729858
2010-05-27,19.82,20.25,19.79,20.23,3554696
2010-05-28,20.23,20.32,19.88,20.01,4409581
2010-06-01,19.82,19.96,19.2,19.2,4409272
2010-06-02,19.36,19.85,19.15,19.85,3549535
2010-06-03,19.81,20.16,19.74,20.11,4358716
2010-06-04,19.81,19.94,19.27,19.43,4453180
2010-06-07,19.51,19.69,19.23,19.23,4271121
2010-06-08,19.31,19.79,19.09,19.75,4203836
2010-06-09,19.93,20.24,19.63,19.74,3686609
2010-06-10,20.1,20.57,20.1,20.55,4341177
2010-06-11,20.2,20.63,20.2,20.62,2511401
2010-06-14,20.92,21.09,20.59,20.68,3590358
2010-06-15,20.9,21.38,20.89,21.38,2963831
2010-06-16,21.23,21.45,21.14,21.32,2474941
2010-06-17,21.9,21.9,21.2,21.49,2725203
2010-06-18,21.53,21.77,21.38,21.69,4276879
2010-06-21,21.96,22.12,21.48,21.6,3021205
2010-06-22,21.72,21.75,21.11,21.23,3693572
2010-06-23,21.18,21.24,20.76,21.02,3520715
2010-06-24,20.79,21.11,20.66,20.76,2900207
2010-06-25,20.79,21.04,20.62,20.91,4506647
2010-06-28,20.9,20.94,20.64,20.83,3552375
2010-06-29,20.57,20.68,20.12,20.25,4870053
2010-06-30,20.25,20.51,20.0,20.07,3451566
2010-07-01,20.1,20.3,19.67,20.24,5928262
2010-07-02,20.31,20.59,20.12,20.18,3049592
2010-07-06,20.48,20.6,20.11,20.35,7003332
2010-07-07,20.35,20.92,20.35,20.92,4208668
2010-07-08,21.1,21.31,20.94,21.23,2289927
2010-07-09,21.27,21.36,21.11,21.32,1731250
2010-07-12,21.24,21.76,21.19,21.46,2940548
2010-07-13,21.66,21.76,21.43,21.47,3192434
2010-07-14,21.35,21.44,21.1,21.22,4264252
2010-07-15,21.24,21.3,20.95,21.21,3785867
2010-07-16,21.11,21.15,20.73,20.83,3413844
2010-07-19,20.91,21.09,20.73,20.91,2389804
2010-07-20,20.69,21.25,20.56,21.22,4401656
2010-07-21,21.28,21.34,20.65,20.83,4226511
2010-07-22,21.07,21.36,21.06,21.22,3138739
2010-07-23,21.24,21.3,21.03,21.23,3550212
2010-07-26,21.16,21.53,21.16,21.49,2686609
2010-07-27,21.55,21.65,21.35,21.45,2976487
2010-07-28,21.55,21.59,21.09,21.12,4934100
2010-07-29,21.28,21.36,20.56,20.69,6960937
2010-07-30,20.44,20.84,20.4,20.79,6192865
2010-08-02,21.17,21.31,21.04,21.29,3652724
2010-08-03,21.22,21.4,21.05,21.24,2876770
2010-08-04,21.33,21.58,21.2,21.52,4176608
2010-08-05,21.42,21.83,21.2,21.79,3768837
2010-08-06,21.64,22.0,21.59,21.93,4457752
2010-08-09,22.07,22.11,21.93,21.96,2370730
2010-08-10,21.77,21.89,21.47,21.81,4547416
2010-08-11,21.34,21.34,20.92,20.95,3129633
2010-08-12,20.7,21.04,20.65,20.92,2784374
2010-08-13,20.9,21.34,20.78,21.27,3765439
2010-08-16,21.22,21.22,20.91,21.06,2901830
