Date,Open,High,Low,Close,Volume
2010-01-04,84.8,85.21,83.11,83.42,1799386
2010-01-05,83.15,89.99,82.17,87.2,2914044
2010-01-06,87.08,90.16,86.81,88.87,2118610
2010-01-07,101.41,101.85,96.1,99.18,7019646
2010-01-08,98.4,100.42,97.57,99.17,3004036
2010-01-11,99.35,100.0,97.58,99.44,2428095
2010-01-12,98.79,100.95,97.67,100.43,3599777
2010-01-13,101.16,104.41,99.88,103.12,3016150
2010-01-14,103.12,103.15,100.97,101.65,2669083
2010-01-15,101.02,102.98,100.14,102.37,1177259
2010-01-19,102.25,106.06,101.98,105.95,1683244
2010-01-20,104.81,104.96,101.21,102.55,1859277
2010-01-21,102.21,103.22,98.7,99.01,1791897
2010-01-22,98.98,101.24,98.05,98.3,1649181
2010-01-25,98.86,98.89,96.3,96.62,1592619
2010-01-26,95.92,99.75,95.66,97.46,1550381
2010-01-27,97.14,98.27,95.57,97.11,1450722
2010-01-28,97.62,98.04,94.3,94.5,1888510
2010-01-29,94.86,95.59,93.27,93.28,2008439
2010-02-01,94.15,94.26,91.79,94.24,1802487
2010-02-02,94.23,94.85,92.66,94.3,1608696
2010-02-03,93.41,93.41,92.16,92.93,1708913
2010-02-04,92.16,92.54,89.71,89.88,1871462
2010-02-05,89.93,91.71,88.75,91.32,2125155
2010-02-08,91.6,91.8,89.16,89.93,1644440
2010-02-09,91.52,91.8,89.2,90.4,1679729
2010-02-10,90.02,90.87,88.65,89.43,1462120
2010-02-11,89.23,91.02,88.36,90.52,1551107
2010-02-12,89.35,91.14,88.82,90.47,1538297
2010-02-16,91.14,93.11,90.51,92.68,678160
2010-02-17,93.07,95.53,93.07,95.32,1855398
2010-02-18,95.41,95.53,93.61,94.4,1349473
2010-02-19,94.39,95.73,94.02,95.04,829256
2010-02-22,95.61,96.39,94.25,95.66,930697
2010-02-23,97.98,99.37,93.69,93.8,1671783
2010-02-24,94.86,95.86,93.86,95.52,877381
2010-02-25,94.34,96.8,93.69,96.26,790975
2010-02-26,96.04,96.78,95.28,95.67,1380516
2010-03-01,95.18,96.39,95.1,95.9,1123699
2010-03-02,96.0,97.11,95.34,96.95,873760
2010-03-03,96.9,97.05,95.63,96.08,962326
2010-03-04,96.11,98.74,96.08,98.33,920778
2010-03-05,98.53,100.97,97.91,100.95,1196831
2010-03-08,100.99,102.39,100.07,101.87,1030201
2010-03-09,101.31,101.99,100.28,101.01,667373
2010-03-10,100.76,104.53,100.68,103.28,854210
2010-03-11,102.54,102.89,99.8,101.62,876310
2010-03-12,101.74,104.41,101.68,103.35,820656
2010-03-15,102.98,104.2,102.27,104.06,850213
2010-03-16,104.52,105.33,104.04,105.22,541732
2010-03-17,105.01,105.67,104.05,104.77,416707
2010-03-18,104.41,105.2,103.92,104.84,380520
2010-03-19,106.12,106.15,102.85,103.61,1444101
2010-03-22,102.65,107.82,102.06,107.47,1034101
2010-03-23,107.55,109.03,106.67,108.85,664819
2010-03-24,108.37,108.97,107.68,108.44,572397
2010-03-25,109.01,110.5,108.13,109.29,743767
2010-03-26,109.46,111.0,108.45,109.01,621043
2010-03-29,109.23,110.54,108.98,109.74,424013
