Date,Open,High,Low,Close,Volume
2010-01-04,51.88,52.19,51.06,51.52,473068
2010-01-05,51.36,51.45,50.14,50.71,459212
2010-01-06,50.55,50.74,50.15,50.61,588200
2010-01-07,50.5,50.61,50.08,50.59,312777
2010-01-08,50.6,51.13,50.53,50.99,453330
2010-01-11,51.02,51.61,50.5,51.61,494910
2010-01-12,51.21,51.41,50.49,51.04,492714
2010-01-13,51.29,52.21,50.97,52.06,547516
2010-01-14,51.72,52.1,51.72,52.0,600044
2010-01-15,51.05,52.2,51.05,51.88,1036325
2010-01-19,51.88,52.63,51.67,52.32,623646
2010-01-20,51.75,51.75,50.8,51.48,1136256
2010-01-21,51.33,51.61,50.71,50.76,1570257
2010-01-22,50.69,50.83,49.84,49.91,1914663
2010-01-25,50.27,50.48,49.85,49.93,991783
2010-01-26,49.61,49.92,48.57,48.58,1299781
2010-01-27,48.39,48.99,48.0,48.83,842181
2010-01-28,49.07,49.07,47.93,48.11,751784
2010-01-29,48.28,48.97,47.84,47.85,696381
2010-02-01,48.17,48.72,47.62,48.72,625147
2010-02-02,48.8,49.61,48.45,49.34,771871
2010-02-03,48.95,49.46,48.28,48.67,795243
2010-02-04,48.15,48.29,47.4,47.41,754585
2010-02-05,47.5,48.09,46.56,47.46,1147731
2010-02-08,47.34,47.62,46.72,46.79,787762
2010-02-09,48.19,48.55,47.36,48.25,942304
2010-02-10,49.8,49.93,48.01,48.24,1389871
2010-02-11,48.85,49.41,48.41,48.98,1407401
2010-02-12,48.48,48.93,47.95,48.4,1406432
2010-02-16,48.68,48.83,48.36,48.61,951252
2010-02-17,48.61,49.1,48.07,48.5,926424
2010-02-18,48.61,48.86,48.33,48.68,901326
2010-02-19,48.41,48.8,48.21,48.45,1078860
2010-02-22,48.45,48.59,48.1,48.22,723421
2010-02-23,48.2,48.33,47.23,47.33,1063626
2010-02-24,47.68,48.0,47.34,47.6,941532
2010-02-25,46.89,47.42,46.5,47.36,1412528
2010-02-26,47.43,47.76,47.12,47.69,1247217
2010-03-01,47.93,49.31,47.8,49.3,1546561
2010-03-02,49.15,50.65,49.15,50.59,1775870
2010-03-03,50.94,52.09,50.73,51.57,1848323
2010-03-04,51.62,51.88,51.37,51.71,1015351
2010-03-05,51.79,53.02,51.79,52.95,1194574
2010-03-08,52.85,53.25,52.58,52.8,784245
2010-03-09,52.45,52.92,52.41,52.61,902238
2010-03-10,52.48,53.11,52.32,52.97,819720
2010-03-11,52.82,53.1,52.55,53.1,585184
