Date,Open,High,Low,Close,Volume
2010-01-04,29.7,30.49,29.54,30.39,10148595
2010-01-05,30.69,31.04,30.06,30.59,11094751
2010-01-06,30.76,32.08,30.68,31.43,12633419
2010-01-07,31.51,31.51,30.08,30.37,10605640
2010-01-08,30.31,31.25,30.3,31.13,6401620
2010-01-11,31.48,31.48,30.17,30.49,7439641
2010-01-12,30.11,30.38,28.61,29.03,11259788
2010-01-13,29.24,30.3,29.03,30.14,7483089
2010-01-14,30.01,30.11,29.32,29.57,5301434
2010-01-15,29.43,29.71,27.79,27.98,14390685
2010-01-19,28.38,30.11,28.25,30.05,11822029
2010-01-20,29.53,29.58,28.58,29.2,9071951
2010-01-21,29.46,30.16,28.81,29.36,10425762
2010-01-22,29.31,29.87,28.28,28.39,13727886
2010-01-25,28.95,29.48,28.57,29.17,10828497
2010-01-26,28.92,29.8,28.53,29.23,9725495
2010-01-27,29.21,30.0,28.62,29.94,13111597
2010-01-28,30.36,30.5,28.62,28.78,17800520
2010-01-29,27.23,27.49,24.9,25.42,36270169
2010-02-01,25.44,26.44,25.11,26.26,12773302
2010-02-02,26.44,27.07,26.11,26.92,10314114
2010-02-03,26.6,27.17,26.57,26.92,8353445
2010-02-04,26.56,26.56,25.47,25.65,9526023
2010-02-05,25.46,26.17,25.15,26.09,10640223
2010-02-08,26.15,27.0,25.86,26.37,6717682
2010-02-09,26.91,27.04,25.96,26.76,11136059
2010-02-10,26.66,26.8,25.62,26.09,8485466
2010-02-11,26.03,27.18,25.82,26.79,10361997
2010-02-12,26.41,27.03,26.03,26.98,9659511
2010-02-16,27.29,27.57,27.1,27.34,9389381
2010-02-17,28.41,29.35,28.1,28.82,18238666
2010-02-18,28.62,29.1,28.2,28.96,7457353
2010-02-19,28.56,29.49,28.56,29.13,6266857
2010-02-22,29.4,29.6,28.7,29.02,6551857
2010-02-23,28.63,28.7,27.36,27.77,11375387
2010-02-24,27.91,28.65,27.87,28.23,7242253
2010-02-25,27.97,28.66,27.55,28.52,7879346
2010-02-26,28.63,29.24,28.07,29.15,8048436
2010-03-01,29.85,32.75,29.85,32.63,21316374
2010-03-02,32.76,33.25,32.27,32.48,12291775
2010-03-03,32.5,32.65,31.53,31.8,11031440
2010-03-04,31.88,32.3,31.52,32.17,8387147
2010-03-05,32.58,33.75,32.5,33.32,11072649
2010-03-08,33.5,34.0,33.4,33.41,8731548
2010-03-09,33.41,34.25,33.07,33.49,7894161
2010-03-10,33.62,34.77,33.56,34.06,9477645
2010-03-11,34.1,34.24,33.46,34.21,6846115
2010-03-12,34.32,34.49,33.58,33.8,7370161
2010-03-15,33.45,33.79,33.0,33.51,5483909
2010-03-16,33.77,34.28,33.28,33.87,6424143
2010-03-17,33.9,34.25,33.18,33.29,7787357
2010-03-18,33.35,33.42,32.8,33.05,6199807
2010-03-19,33.04,33.11,31.82,32.25,8430630
2010-03-22,32.0,34.0,31.82,33.82,8131066
2010-03-23,33.95,35.38,33.92,34.83,12776784
2010-03-24,34.71,35.49,34.31,35.18,10889761
2010-03-25,35.74,36.25,34.8,34.95,8475285
2010-03-26,35.38,35.44,34.57,34.7,9596386
2010-03-29,35.06,35.64,34.96,35.13,5703808
2010-03-30,35.41,35.72,34.63,34.98,6154635
2010-03-31,34.6,35.2,34.53,34.63,5250677
2010-04-05,35.08,36.11,34.95,35.99,7738336
2010-04-06,35.71,36.02,35.35,35.84,5626661
2010-04-07,35.95,36.24,35.33,35.74,6420121
2010-04-08,35.5,35.78,34.7,35.63,6376716
2010-04-09,35.72,36.1,35.26,36.03,5689872
2010-04-12,36.1,36.88,36.07,36.25,5648282
2010-04-13,36.17,36.68,35.88,35.96,5861782
2010-04-14,36.93,38.44,36.93,37.68,16038767
2010-04-15,37.95,39.55,37.82,38.63,12537102
2010-04-16,38.29,38.42,36.93,37.74,13666793
2010-04-19,36.79,37.49,35.33,36.69,14112149
2010-04-20,36.93,37.62,36.53,37.38,7323665
2010-04-21,38.15,38.6,36.95,37.59,13757065
2010-04-22,39.61,42.47,39.13,42.22,26150842
2010-04-23,42.16,44.77,41.69,44.61,21326876
2010-04-26,44.19,44.89,43.49,43.52,16667529
2010-04-27,43.18,43.25,41.56,41.81,13310598
2010-04-28,41.99,42.4,40.75,41.83,13659835
2010-04-29,42.0,42.22,41.36,42.02,6300715
2010-04-30,42.02,42.1,39.75,39.84,10311302
2010-05-03,40.33,44.01,40.31,43.52,17646837
2010-05-04,42.7,42.78,40.8,41.68,14420088
2010-05-05,40.8,42.25,39.76,41.82,12106652
2010-05-06,41.47,43.08,34.0,39.76,18210653
2010-05-07,39.82,40.62,35.12,37.61,25491629
2010-05-10,40.18,41.6,40.15,41.54,15235564
2010-05-11,40.75,43.2,40.72,42.25,11942036
2010-05-12,42.95,44.4,42.76,44.27,14419170
2010-05-13,43.92,45.2,42.57,42.82,11287816
2010-05-14,42.2,42.48,40.35,41.9,10944722
2010-05-17,41.64,42.77,40.42,42.68,11211691
2010-05-18,43.32,43.72,41.13,41.45,10275807
2010-05-19,40.64,41.97,39.73,40.42,10447143
2010-05-20,39.2,40.88,38.62,39.66,13590788
2010-05-21,38.93,41.88,38.63,41.48,11479527
2010-05-24,41.72,42.64,41.59,41.81,8672301
2010-05-25,40.26,43.28,40.06,43.18,11717972
2010-05-26,43.74,45.96,43.2,43.56,20408229
2010-05-27,44.89,46.88,44.56,46.85,15941151
2010-05-28,47.0,47.51,45.56,46.62,12782141
2010-06-01,46.05,47.5,44.92,45.0,11169364
2010-06-02,45.59,46.64,45.18,46.43,10898387
2010-06-03,46.88,47.38,45.97,47.1,9732253
2010-06-04,46.0,47.27,44.71,44.88,12707882
2010-06-07,45.03,45.83,43.07,43.22,12529897
