Date,Open,High,Low,Close,Volume
2010-01-04,37.06,37.44,36.89,37.03,2655259
2010-01-05,36.87,37.59,36.87,37.59,2376126
2010-01-06,37.51,38.29,37.4,38.28,3115885
2010-01-07,38.16,39.06,38.0,38.97,3100231
2010-01-08,38.92,39.64,38.71,39.38,3317510
2010-01-11,39.34,39.9,38.09,38.19,8949393
2010-01-12,38.09,38.74,37.8,38.13,4433586
2010-01-13,38.38,38.73,38.24,38.66,2075560
2010-01-14,38.56,38.92,38.42,38.74,1522113
2010-01-15,38.88,38.88,37.89,38.39,3140958
2010-01-19,38.45,38.95,38.45,38.91,2082338
2010-01-20,38.91,39.41,38.27,38.46,4238022
2010-01-21,38.38,38.61,37.8,38.24,4650013
2010-01-22,38.18,38.6,37.86,38.03,3964085
2010-01-25,37.28,38.1,37.28,37.98,3865280
2010-01-26,37.24,38.02,37.24,37.79,4089461
2010-01-27,37.7,38.15,36.81,37.92,4719745
2010-01-28,38.68,39.04,37.74,38.53,5353824
2010-01-29,38.6,38.6,37.71,37.73,3320921
2010-02-01,38.14,38.21,37.73,38.02,2477028
2010-02-02,38.21,38.7,37.92,38.64,2274706
2010-02-03,38.47,38.61,38.24,38.46,1598671
2010-02-04,37.7,38.51,37.59,37.61,3990200
2010-02-05,37.67,37.94,37.04,37.63,4478741
2010-02-08,37.0,37.64,36.75,37.4,3743403
2010-02-09,37.56,37.92,37.19,37.7,2515699
2010-02-10,37.74,37.9,37.1,37.49,2535930
2010-02-11,37.52,37.74,37.09,37.37,2684798
2010-02-12,37.13,37.41,36.73,37.34,2877495
2010-02-16,37.58,38.32,37.31,38.23,4953476
2010-02-17,38.37,39.0,38.29,38.83,2857058
2010-02-18,38.83,39.21,38.79,39.13,2650945
2010-02-19,39.06,39.14,38.51,39.05,2248709
2010-02-22,39.03,39.37,38.98,39.18,2152693
2010-02-23,39.06,39.06,38.15,38.47,3353186
2010-02-24,38.51,38.73,38.36,38.66,2454321
2010-02-25,38.48,38.48,37.86,38.36,2244022
2010-02-26,38.29,38.6,38.13,38.22,2467328
2010-03-01,38.17,38.9,38.12,38.84,1872937
2010-03-02,38.92,39.36,38.9,39.25,2215336
2010-03-03,39.41,39.44,38.87,38.98,1925133
2010-03-04,39.05,39.05,38.4,38.62,2186054
2010-03-05,38.64,39.09,38.64,39.09,1863306
2010-03-08,38.98,39.17,38.8,38.9,1165744
2010-03-09,38.64,38.7,38.33,38.43,2536410
2010-03-10,38.48,38.48,37.73,38.06,4551998
2010-03-11,37.96,37.99,37.04,37.74,3824508
2010-03-12,37.84,38.04,37.31,37.5,2885374
2010-03-15,40.25,40.79,39.54,40.56,14454933
2010-03-16,40.2,40.49,39.79,40.37,6558799
2010-03-17,40.45,40.45,39.64,39.93,4977647
2010-03-18,39.75,40.14,39.7,40.0,3290439
2010-03-19,40.21,40.21,38.89,39.41,6952257
2010-03-22,39.82,40.4,39.77,39.85,3648046
2010-03-23,39.96,40.32,39.72,40.19,3363697
2010-03-24,40.2,40.69,40.04,40.44,4335317
2010-03-25,40.74,41.76,40.59,41.26,6593502
2010-03-26,41.24,41.24,40.74,40.92,2605562
2010-03-29,41.07,41.24,40.72,40.84,2167004
2010-03-30,40.99,41.16,40.63,41.0,1617079
2010-03-31,40.98,41.28,40.73,41.05,2371390
2010-04-01,41.33,41.56,41.26,41.5,1721216
2010-04-05,41.56,41.83,41.29,41.51,1844200
2010-04-06,41.35,41.59,41.1,41.22,1735829
2010-04-07,41.0,41.06,40.61,40.81,3035140
2010-04-08,40.84,40.94,40.51,40.79,2183723
2010-04-09,40.76,41.37,40.59,41.24,1729397
