Date,Open,High,Low,Close,Volume
2010-01-04,21.4,21.59,21.26,21.48,2819147
2010-01-05,21.48,21.52,21.26,21.3,3224342
2010-01-06,21.17,21.37,20.91,21.32,3527959
2010-01-07,21.26,21.44,20.96,21.07,5389627
2010-01-08,21.01,21.15,20.92,21.13,2792455
2010-01-11,21.28,21.35,21.15,21.3,2836715
2010-01-12,21.35,21.68,21.31,21.58,4421109
2010-01-13,21.7,21.74,21.51,21.65,3361110
2010-01-14,21.65,21.69,21.34,21.41,3740530
2010-01-15,21.27,21.39,21.14,21.31,2958444
2010-01-19,21.3,21.88,21.17,21.88,4302511
2010-01-20,21.81,23.23,21.68,23.07,11439581
2010-01-21,22.85,23.22,22.7,22.71,7914486
2010-01-22,22.63,23.05,22.52,22.74,6415016
2010-01-25,22.96,22.96,22.48,22.6,5222175
2010-01-26,22.54,22.61,22.25,22.3,3901048
2010-01-27,22.15,22.37,22.1,22.37,5435467
2010-01-28,22.32,22.76,22.3,22.65,5323007
2010-01-29,22.71,22.88,22.45,22.45,5321741
2010-02-01,22.65,22.95,22.44,22.63,4672461
2010-02-02,22.61,22.9,22.6,22.78,3638456
2010-02-03,22.74,22.85,22.57,22.65,3511275
2010-02-04,22.65,22.82,22.02,22.06,5455818
2010-02-05,21.91,22.32,21.81,22.05,4262571
2010-02-08,21.96,22.14,21.91,21.98,2786114
2010-02-09,22.09,22.33,22.02,22.23,4200034
2010-02-10,22.2,22.37,22.18,22.26,3316311
2010-02-11,22.19,22.66,22.1,22.64,3403100
2010-02-12,22.5,22.6,22.21,22.41,4038394
2010-02-16,22.58,22.77,22.41,22.77,1800940
2010-02-17,22.94,23.38,22.88,23.2,4379693
2010-02-18,23.0,23.48,22.91,23.45,2604720
2010-02-19,23.36,23.9,23.24,23.79,6770414
2010-02-22,23.76,23.94,23.69,23.79,3629687
2010-02-23,23.7,23.7,23.19,23.38,5671842
2010-02-24,23.37,23.56,23.12,23.5,5745931
2010-02-25,22.4,24.83,22.4,24.73,16764591
2010-02-26,24.53,25.37,24.2,24.92,9822503
2010-03-01,25.01,25.23,24.81,24.99,6033398
2010-03-02,24.96,25.2,24.62,24.88,7593561
2010-03-03,23.84,24.88,23.84,24.46,11142847
2010-03-04,24.58,24.71,24.31,24.62,3156881
2010-03-05,24.63,24.68,24.36,24.67,5683153
2010-03-08,24.53,24.87,24.53,24.73,4931752
2010-03-09,24.51,25.07,24.41,24.54,6256101
2010-03-10,24.48,24.68,24.32,24.48,6627371
2010-03-11,24.52,24.56,24.31,24.5,5106857
2010-03-12,24.68,25.03,24.53,24.83,7688858
2010-03-15,24.79,24.95,24.58,24.89,4257998
2010-03-16,24.9,25.07,24.68,25.03,4201483
2010-03-17,25.07,25.41,24.89,25.33,3869423
2010-03-18,25.07,25.2,24.65,24.65,6542926
2010-03-19,24.6,24.8,23.9,24.04,11964723
2010-03-22,24.0,24.29,23.9,24.29,5902390
2010-03-23,24.25,24.48,24.07,24.45,3528576
2010-03-24,24.44,24.45,24.17,24.26,3487579
2010-03-25,24.41,24.64,24.28,24.37,4639434
2010-03-26,24.39,24.49,24.26,24.44,5127990
2010-03-29,24.51,24.92,24.44,24.84,6122434
2010-03-30,24.92,25.14,24.64,24.88,6106518
2010-03-31,24.88,24.96,24.7,24.86,6653010
2010-04-01,25.0,25.34,24.93,25.34,4093218
2010-04-05,25.47,25.67,25.27,25.58,4534757
2010-04-06,25.47,25.53,25.27,25.5,3931893
2010-04-07,25.44,25.66,25.36,25.51,5291123
2010-04-08,25.4,25.57,25.02,25.43,4444349
2010-04-09,25.38,25.71,25.33,25.51,5382002
2010-04-12,25.61,25.75,25.53,25.69,4134359
2010-04-13,25.69,26.04,25.58,26.01,3441986
2010-04-14,26.02,26.36,25.9,26.34,6948151
2010-04-15,26.27,26.45,26.12,26.43,6318942
2010-04-16,26.3,26.53,26.21,26.34,6259221
2010-04-19,25.75,26.31,25.75,26.22,6187598
2010-04-20,26.06,26.5,25.97,26.49,6798928
2010-04-21,26.55,26.85,26.55,26.8,7998499
2010-04-22,26.69,27.04,26.49,26.94,6968101
2010-04-23,26.92,26.98,26.45,26.77,6214065
2010-04-26,26.76,26.91,26.51,26.6,4463611
2010-04-27,26.39,26.39,25.22,25.24,14562208
2010-04-28,25.26,25.6,25.26,25.43,8088007
2010-04-29,25.54,25.54,23.88,23.91,14929212
2010-04-30,24.0,24.13,23.54,23.6,10075467
2010-05-03,23.7,24.14,23.67,23.97,7822957
2010-05-04,23.79,24.08,23.6,23.96,9828402
2010-05-05,23.83,24.43,23.83,24.29,8359830
2010-05-06,24.21,24.29,22.59,23.61,10181632
2010-05-07,23.56,24.22,23.16,23.3,11080061
2010-05-10,24.16,24.18,23.73,23.88,9898569
2010-05-11,23.76,24.33,23.76,24.0,5284208
