Date,Open,High,Low,Close,Volume
2010-01-04,16.13,16.4,15.96,16.09,2148281
2010-01-05,15.91,15.98,15.62,15.96,5108116
2010-01-06,15.98,16.07,15.86,16.05,2338451
2010-01-07,16.08,16.26,15.91,16.2,2992505
2010-01-08,16.13,16.23,16.01,16.21,1865426
2010-01-11,16.27,16.44,16.24,16.39,2212338
2010-01-12,16.29,16.48,16.23,16.25,2120125
2010-01-13,16.26,16.35,16.15,16.33,3687704
2010-01-14,16.32,16.5,16.26,16.49,1919940
2010-01-15,16.29,16.54,16.02,16.32,3810871
2010-01-19,16.21,16.45,16.21,16.45,2148158
2010-01-20,16.34,16.4,16.04,16.21,2687850
2010-01-21,16.14,16.27,15.77,15.85,3853871
2010-01-22,15.76,15.85,15.53,15.57,3232800
2010-01-25,15.67,15.86,15.57,15.75,1815498
2010-01-26,15.67,15.91,15.52,15.76,2096978
2010-01-27,15.73,15.79,15.46,15.69,2576229
2010-01-28,15.79,15.87,15.55,15.7,2057388
2010-01-29,15.72,15.89,15.57,15.57,3352041
2010-02-01,15.6,15.8,15.52,15.79,1566409
2010-02-02,15.8,15.99,15.67,15.99,1611571
2010-02-03,15.91,15.95,15.62,15.71,2112532
2010-02-04,15.66,15.66,15.17,15.17,3608123
2010-02-05,15.31,15.49,14.46,14.93,4429110
2010-02-08,14.88,15.07,14.73,14.75,2856039
2010-02-09,14.94,15.23,14.85,14.98,3381985
2010-02-10,14.94,14.94,14.54,14.69,3033114
2010-02-11,14.71,15.09,14.62,15.06,2930568
2010-02-12,14.97,14.99,14.77,14.9,1927357
2010-02-16,14.99,15.19,14.98,15.19,1386398
2010-02-17,15.3,15.3,15.08,15.16,1603710
2010-02-18,15.13,15.33,15.06,15.32,1214240
2010-02-19,15.25,15.65,15.25,15.64,1873215
2010-02-22,15.72,15.83,15.6,15.69,2084444
2010-02-23,15.67,15.67,15.36,15.38,2007018
2010-02-24,15.35,15.37,15.13,15.29,2571730
2010-02-25,15.16,15.32,14.96,15.28,2400846
2010-02-26,15.36,15.5,15.25,15.33,1459727
2010-03-01,15.39,15.61,15.36,15.55,1409582
2010-03-02,15.62,15.74,15.57,15.64,1832188
2010-03-03,15.7,15.74,15.48,15.54,2523199
2010-03-04,15.42,15.54,15.29,15.42,2214099
2010-03-05,15.52,15.81,15.43,15.79,2003886
2010-03-08,15.85,15.89,15.79,15.84,1304484
