Date,Open,High,Low,Close,Volume
2010-01-04,42.19,42.91,42.16,42.27,639853
2010-01-05,42.15,42.33,41.39,41.55,667955
2010-01-06,41.5,42.01,41.5,41.82,420330
2010-01-07,41.7,41.78,41.05,41.17,693603
2010-01-08,41.11,41.15,40.68,40.89,717942
2010-01-11,40.99,41.45,40.91,41.38,570706
2010-01-12,41.29,41.84,41.15,41.3,446978
2010-01-13,41.25,41.76,40.83,41.63,555352
2010-01-14,41.43,42.0,41.36,41.87,423083
2010-01-15,41.7,41.78,41.04,41.47,359789
2010-01-19,41.4,41.82,41.35,41.72,437040
2010-01-20,41.59,42.71,41.34,42.62,1169885
2010-01-21,42.46,43.34,41.76,42.79,1423072
2010-01-22,42.94,42.94,41.6,41.67,858496
2010-01-25,42.12,42.46,41.7,42.41,591118
2010-01-26,42.3,42.75,41.99,42.55,532194
2010-01-27,42.53,42.73,41.96,42.71,497375
2010-01-28,42.63,42.75,42.03,42.15,482253
2010-01-29,42.19,42.7,41.79,41.85,759754
2010-02-01,41.9,42.23,41.5,42.17,336144
2010-02-02,42.17,42.65,41.74,42.63,775159
2010-02-03,42.51,42.71,42.1,42.59,602192
2010-02-04,42.31,42.38,41.72,41.77,664878
2010-02-05,41.7,41.7,40.73,41.28,889263
2010-02-08,41.22,41.38,40.76,40.83,512558
2010-02-09,41.22,41.76,40.96,41.1,526916
2010-02-10,41.1,41.28,40.66,41.02,369399
2010-02-11,40.86,41.6,40.53,41.58,379422
2010-02-12,41.13,41.3,40.77,41.16,682523
2010-02-16,41.11,42.57,41.11,42.48,853046
2010-02-17,42.88,44.08,42.74,43.82,2664745
2010-02-18,43.58,44.68,43.5,44.52,787958
2010-02-19,44.52,45.79,44.45,45.72,1027217
2010-02-22,45.94,46.55,45.74,45.89,869078
2010-02-23,45.71,45.99,45.45,45.8,1301425
2010-02-24,45.11,45.32,44.35,44.95,813499
2010-02-25,44.33,44.94,43.99,44.81,943440
2010-02-26,44.55,45.14,44.02,44.08,899771
2010-03-01,44.26,44.86,44.23,44.83,709980
2010-03-02,44.81,45.44,44.81,45.43,706584
2010-03-03,45.4,45.86,45.37,45.53,744825
2010-03-04,45.56,45.89,45.32,45.56,508453
2010-03-05,45.69,46.1,45.61,45.92,704774
2010-03-08,46.03,46.26,45.92,46.12,543567
2010-03-09,46.04,46.59,46.04,46.53,683314
2010-03-10,46.42,46.96,46.31,46.82,619374
2010-03-11,46.53,46.8,46.4,46.8,431416
2010-03-12,46.95,46.95,46.13,46.4,452415
2010-03-15,46.49,46.72,46.15,46.66,502380
2010-03-16,46.75,47.43,46.62,47.33,594336
2010-03-17,46.48,47.25,46.24,46.85,810259
2010-03-18,47.0,47.14,46.62,46.89,438782
2010-03-19,46.02,46.39,45.79,46.24,1425533
2010-03-22,45.87,46.4,45.69,46.07,610410
2010-03-23,46.1,46.33,45.52,46.27,836844
2010-03-24,46.21,46.26,45.8,45.89,519385
2010-03-25,46.0,46.26,45.8,45.85,656688
2010-03-26,46.03,46.43,46.0,46.31,534211
2010-03-29,46.29,47.34,46.29,46.95,777255
2010-03-30,47.29,47.67,47.09,47.42,532277
2010-03-31,47.29,47.67,46.94,47.38,536085
2010-04-01,47.6,48.35,47.21,48.07,594296
2010-04-05,48.12,48.18,47.9,48.14,623194
2010-04-06,48.03,48.85,47.93,48.82,1493105
2010-04-07,48.45,48.61,47.85,48.1,722524
2010-04-08,47.85,48.19,47.58,47.7,766200
2010-04-09,47.75,47.77,47.19,47.73,642525
2010-04-12,47.7,48.09,47.69,47.96,745015
2010-04-13,47.84,48.08,47.64,48.01,532757
2010-04-14,48.0,48.71,47.9,48.66,821610
2010-04-15,48.26,48.97,48.12,48.93,916429
2010-04-16,48.89,49.09,48.13,48.35,699043
2010-04-19,48.12,48.42,48.05,48.34,589672
2010-04-20,48.44,48.62,48.28,48.58,297641
2010-04-21,48.6,49.07,48.6,49.04,432573
2010-04-22,48.92,49.56,48.66,49.5,481212
2010-04-23,49.48,50.2,49.23,50.18,466531
2010-04-26,50.17,50.55,49.82,50.05,527598
2010-04-27,49.68,50.13,49.09,49.19,627325
2010-04-28,49.36,50.16,49.08,49.93,726349
2010-04-29,50.06,50.5,49.91,50.3,814389
2010-04-30,50.42,50.92,49.58,49.61,987177
2010-05-03,49.63,50.55,49.63,50.39,850060
2010-05-04,50.02,50.25,49.74,49.94,996103
2010-05-05,49.81,50.34,49.25,49.41,686772
2010-05-06,49.09,49.56,44.8,47.84,2363072
2010-05-07,47.61,47.9,45.88,46.27,1654438
2010-05-10,48.15,48.37,47.25,48.02,841167
2010-05-11,47.66,49.18,47.57,48.57,1102127
2010-05-12,48.64,49.29,48.26,49.19,568564
2010-05-13,49.0,49.6,48.65,48.91,463925
2010-05-14,48.71,48.78,48.04,48.4,739603
2010-05-17,48.57,48.95,47.89,48.72,690709
2010-05-18,49.08,49.55,48.24,48.27,709887
2010-05-19,48.2,48.23,46.97,47.76,918391
2010-05-20,46.93,47.07,45.93,45.94,1081228
2010-05-21,45.3,45.98,44.54,45.98,1317017
2010-05-24,45.77,46.76,45.41,45.89,778950
2010-05-25,44.77,45.43,43.91,45.42,1210931
